[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
248  0x000029f0 0x004029f0 8   9    .text   ascii   ReadFile
249  0x000029fc 0x004029fc 9   10   .text   ascii   WriteFile
250  0x00002a08 0x00402a08 12  13   .text   ascii   GetTickCount
251  0x00002a18 0x00402a18 16  17   .text   ascii   CreateNamedPipeW
252  0x00002a2c 0x00402a2c 23  24   .text   ascii   SetNamedPipeHandleState
253  0x00002a44 0x00402a44 14  15   .text   ascii   WaitNamedPipeW
254  0x00002a54 0x00402a54 16  17   .text   ascii   ConnectNamedPipe
255  0x00002a68 0x00402a68 8   9    .text   ascii   HeapFree
256  0x00002a74 0x00402a74 11  12   .text   ascii   HeapReAlloc
257  0x00002a80 0x00402a80 9   10   .text   ascii   HeapAlloc
258  0x00002a8c 0x00402a8c 11  12   .text   ascii   HeapDestroy
259  0x00002a98 0x00402a98 10  11   .text   ascii   HeapCreate
260  0x00002aa4 0x00402aa4 14  15   .text   ascii   SetFilePointer
261  0x00002ab4 0x00402ab4 12  13   .text   ascii   CreateEventW
262  0x00002ac4 0x00402ac4 11  12   .text   ascii   CreateFileW
263  0x00002ad0 0x00402ad0 8   9    .text   ascii   SetEvent
264  0x00002adc 0x00402adc 19  20   .text   ascii   WaitForSingleObject
265  0x00002af0 0x00402af0 18  19   .text   ascii   SetFileAttributesW
266  0x00002b04 0x00402b04 11  12   .text   ascii   DeleteFileW
267  0x00002b10 0x00402b10 11  12   .text   ascii   CloseHandle
268  0x00002b1c 0x00402b1c 8   9    .text   ascii   lstrcatA
269  0x00002b28 0x00402b28 8   9    .text   ascii   lstrcatW
270  0x00002b34 0x00402b34 8   9    .text   ascii   lstrcpyA
271  0x00002b40 0x00402b40 9   10   .text   ascii   lstrcpynA
272  0x00002b4c 0x00402b4c 9   10   .text   ascii   lstrcpynW
273  0x00002b58 0x00402b58 8   9    .text   ascii   lstrcpyW
274  0x00002b64 0x00402b64 9   10   .text   ascii   lstrcmpiA
275  0x00002b70 0x00402b70 9   10   .text   ascii   lstrcmpiW
276  0x00002b7c 0x00402b7c 12  13   .text   ascii   ReleaseMutex
277  0x00002b8c 0x00402b8c 10  11   .text   ascii   OpenMutexW
278  0x00002b98 0x00402b98 12  13   .text   ascii   CreateMutexW
279  0x00002ba8 0x00402ba8 12  13   .text   ascii   GetLastError
280  0x00002bb8 0x00402bb8 16  17   .text   ascii   SetFilePointerEx
281  0x00002bcc 0x00402bcc 18  19   .text   ascii   GetModuleFileNameA
282  0x00002be0 0x00402be0 18  19   .text   ascii   GetModuleFileNameW
283  0x00002bf4 0x00402bf4 9   10   .text   ascii   CopyFileW
284  0x00002c00 0x00402c00 5   6    .text   ascii   Sleep
285  0x00002c08 0x00402c08 16  17   .text   ascii   GetModuleHandleA
286  0x00002c1c 0x00402c1c 24  25   .text   ascii   GetUserDefaultUILanguage
287  0x00002c38 0x00402c38 13  14   .text   ascii   GetVersionExW
288  0x00002c48 0x00402c48 22  23   .text   ascii   GetTimeZoneInformation
289  0x00002c60 0x00402c60 10  11   .text   ascii   ResetEvent
290  0x00002c6c 0x00402c6c 15  16   .text   ascii   UnmapViewOfFile
291  0x00002c7c 0x00402c7c 13  14   .text   ascii   MapViewOfFile
292  0x00002c8c 0x00402c8c 18  19   .text   ascii   CreateFileMappingW
293  0x00002ca0 0x00402ca0 13  14   .text   ascii   GetFileSizeEx
294  0x00002cb0 0x00402cb0 13  14   .text   ascii   GetDriveTypeW
295  0x00002cc0 0x00402cc0 16  17   .text   ascii   GetLogicalDrives
296  0x00002cd4 0x00402cd4 15  16   .text   ascii   GetCommandLineA
297  0x00002ce4 0x00402ce4 14  15   .text   ascii   GetProcessHeap
298  0x00002cf4 0x00402cf4 18  19   .text   ascii   GetFileAttributesW
299  0x00002d08 0x00402d08 12  13   .text   ascii   GetProcessId
300  0x00002d18 0x00402d18 13  14   .text   ascii   SuspendThread
301  0x00002d28 0x00402d28 11  12   .text   ascii   FreeLibrary
302  0x00002d34 0x00402d34 10  11   .text   ascii   OpenThread
303  0x00002d40 0x00402d40 12  13   .text   ascii   ResumeThread
304  0x00002d50 0x00402d50 16  17   .text   ascii   SetThreadContext
305  0x00002d64 0x00402d64 16  17   .text   ascii   GetThreadContext
306  0x00002d78 0x00402d78 21  22   .text   ascii   CreateTimerQueueTimer
307  0x00002d90 0x00402d90 21  22   .text   ascii   FileTimeToDosDateTime
308  0x00002da8 0x00402da8 23  24   .text   ascii   FileTimeToLocalFileTime
309  0x00002dc0 0x00402dc0 26  27   .text   ascii   GetFileInformationByHandle
310  0x00002ddc 0x00402ddc 22  23   .text   ascii   WaitForMultipleObjects
311  0x00002df4 0x00402df4 33  34   .text   ascii   GetVolumeNameForVolumeMountPointW
312  0x00002e18 0x00402e18 19  20   .text   ascii   GetOverlappedResult
313  0x00002e2c 0x00402e2c 23  24   .text   ascii   GetEnvironmentVariableW
314  0x00002e4f 0x00402e4f 4   5    .text   ascii   s~hL
315  0x00002e5f 0x00402e5f 4   5    .text   ascii   s~hL
316  0x00002ec3 0x00402ec3 28  29   .text   ascii   |zkrvvcnmaebNUf\VWXIT<AKG<B;
317  0x00002f6f 0x00402f6f 14  15   .text   ascii   Ik{wvAapcgd1)%
