[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
266  0x00001dbc 0x100029bc 4   7    .text   utf8    \t+ȋK blocks=Basic Latin,Latin Extended-B
267  0x00001ed7 0x10002ad7 5   8    .text   utf8    ȋID$4 blocks=Latin Extended-B,Basic Latin
268  0x00001f15 0x10002b15 4   5    .text   ascii   L$\bH
269  0x00001f20 0x10002b20 4   5    .text   ascii   D$Pq
270  0x00001f31 0x10002b31 4   5    .text   ascii   D$PH
271  0x00001f36 0x10002b36 4   5    .text   ascii   D$8H
272  0x00001f44 0x10002b44 5   7    .text   utf8    +KL$d
273  0x00001f4b 0x10002b4b 5   8    .text   utf8    ȋID$d blocks=Latin Extended-B,Basic Latin
274  0x00001f78 0x10002b78 5   7    .text   utf8    L$T#ȋ blocks=Basic Latin,Latin Extended-B
275  0x00001f9a 0x10002b9a 4   6    .text   utf8    \tD$l
276  0x00001fb9 0x10002bb9 4   6    .text   utf8    \tD$t
277  0x00002037 0x10002c37 4   5    .text   ascii   D$ o
278  0x0000203f 0x10002c3f 4   5    .text   ascii   D$d%
279  0x0000204c 0x10002c4c 5   7    .text   utf8    T$ \vы blocks=Basic Latin,Cyrillic
280  0x00002054 0x10002c54 4   6    .text   utf8    ID$L
281  0x0000205a 0x10002c5a 4   5    .text   ascii   D$\M
282  0x00002063 0x10002c63 4   5    .text   ascii   D$0H
283  0x00002068 0x10002c68 4   5    .text   ascii   D$(H
284  0x00002078 0x10002c78 6   9    .text   utf8    L$\+ȋI blocks=Basic Latin,Latin Extended-B
285  0x00002087 0x10002c87 7   8    .text   ascii   D$T9D$H
286  0x000020a9 0x10002ca9 4   5    .text   ascii   D$XH
287  0x000020c7 0x10002cc7 11  15   .text   utf8    L$0+ȋID$0Ǆ$ blocks=Basic Latin,Latin Extended-B
288  0x00002102 0x10002d02 5   6    .text   ascii   D$ %o
289  0x0000210b 0x10002d0b 6   9    .text   utf8    L$h+ȋI blocks=Basic Latin,Latin Extended-B
290  0x00002126 0x10002d26 6   9    .text   utf8    L$`+ȋK blocks=Basic Latin,Latin Extended-B
291  0x00002145 0x10002d45 9   12   .text   utf8    L$ \vȋKL$L blocks=Basic Latin,Latin Extended-B
292  0x00002151 0x10002d51 11  16   .text   utf8    ȋKL$L+ȋID$L blocks=Latin Extended-B,Basic Latin
293  0x00002196 0x10002d96 5   8    .text   utf8    ȋID$d blocks=Latin Extended-B,Basic Latin
294  0x000021b9 0x10002db9 12  16   .text   utf8    L$0+ȋID$0E3: blocks=Basic Latin,Latin Extended-B
295  0x000021f6 0x10002df6 9   12   .text   utf8    L$H+ȋKL$0 blocks=Basic Latin,Latin Extended-B
296  0x00002202 0x10002e02 6   9    .text   utf8    ȋID$0H blocks=Latin Extended-B,Basic Latin
297  0x0000222a 0x10002e2a 4   5    .text   ascii   L$\bH
298  0x00002240 0x10002e40 4   5    .text   ascii   D$ ]
299  0x00002249 0x10002e49 4   5    .text   ascii   D$ H
300  0x0000224e 0x10002e4e 4   5    .text   ascii   D$HH
301  0x00002261 0x10002e61 4   6    .text   utf8    ID$D
302  0x0000227e 0x10002e7e 4   5    .text   ascii   D$\H
303  0x00002283 0x10002e83 5   7    .text   utf8    D$8Ǆ$ blocks=Basic Latin,Latin Extended-B
304  0x000022b1 0x10002eb1 5   8    .text   utf8    ȋID$D blocks=Latin Extended-B,Basic Latin
305  0x000022b9 0x10002eb9 4   5    .text   ascii   D$0v
306  0x000022c1 0x10002ec1 4   5    .text   ascii   D$@1
307  0x000022ca 0x10002eca 4   5    .text   ascii   D$@H
308  0x000022cf 0x10002ecf 4   5    .text   ascii   D$hH
309  0x000022de 0x10002ede 5   8    .text   utf8    ȋID$$ blocks=Latin Extended-B,Basic Latin
310  0x0000230e 0x10002f0e 5   8    .text   utf8    ȋID$0 blocks=Latin Extended-B,Basic Latin
311  0x00002324 0x10002f24 4   6    .text   utf8    \tD$t
312  0x00002331 0x10002f31 5   6    .text   ascii   D$ %l
313  0x0000233e 0x10002f3e 11  16   .text   utf8    ȋKL$ +ȋID$  blocks=Latin Extended-B,Basic Latin
314  0x00002351 0x10002f51 4   5    .text   ascii   D$DH
315  0x00002356 0x10002f56 4   5    .text   ascii   D$`H
316  0x0000236b 0x10002f6b 5   8    .text   utf8    ȋID$@ blocks=Latin Extended-B,Basic Latin
317  0x00002381 0x10002f81 4   6    .text   utf8    \tD$|
318  0x000023d4 0x10002fd4 15  20   .text   utf8    L$0+ȋID$0뽋D$ \r| blocks=Basic Latin,Latin Extended-B,Hangul Syllables
319  0x000023f9 0x10002ff9 5   8    .text   utf8    ȋID$T blocks=Latin Extended-B,Basic Latin
320  0x00002401 0x10003001 5   6    .text   ascii   |$\0[
321  0x00002433 0x10003033 7   11   .text   utf8    ȋID$\Ǆ$ blocks=Latin Extended-B,Basic Latin
322  0x00002452 0x10003052 6   9    .text   utf8    L$X\vȋK blocks=Basic Latin,Latin Extended-B
323  0x00002461 0x10003061 5   8    .text   utf8    ȋKL$T blocks=Latin Extended-B,Basic Latin
324  0x0000246a 0x1000306a 5   8    .text   utf8    ȋID$T blocks=Latin Extended-B,Basic Latin
325  0x00002484 0x10003084 6   9    .text   utf8    \vȋKL$0 blocks=Basic Latin,Latin Extended-B
326  0x000024a8 0x100030a8 6   9    .text   utf8    L$0\vȋK blocks=Basic Latin,Latin Extended-B
327  0x000024b6 0x100030b6 6   9    .text   utf8    +ȋID$P blocks=Basic Latin,Latin Extended-B
328  0x000024df 0x100030df 7   11   .text   utf8    ȋID$\Ǆ$ blocks=Latin Extended-B,Basic Latin
329  0x0000252e 0x1000312e 5   8    .text   utf8    ȋID$T blocks=Latin Extended-B,Basic Latin
330  0x0000253f 0x1000313f 4   5    .text   ascii   D$pH
