[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1038 0x0003f451 0x10054051 9   20           utf16le \bCurrency
1039 0x0003f483 0x10054083 13  28           utf16le \fCurrency [0]
1040 0x0003f4aa 0x100540aa 16  17           ascii   Explanatory Text
1041 0x0003f4d0 0x100540d0 16  34           utf16le Explanatory Text
1042 0x0003f523 0x10054123 18  38           utf16le Followed Hyperlink
1043 0x0003f554 0x10054154 4   5            ascii   Good
1044 0x0003f56e 0x1005416e 4   10           utf16le Good
1045 0x0003f5a0 0x100541a0 9   10           ascii   Heading 1
1046 0x0003f5bd 0x100541bd 10  22           utf16le \tHeading 1
1047 0x0003f5fd 0x100541fd 9   10           ascii   Heading 2
1048 0x0003f61a 0x1005421a 10  22           utf16le \tHeading 2
1049 0x0003f65a 0x1005425a 9   10           ascii   Heading 3
1050 0x0003f677 0x10054277 10  22           utf16le \tHeading 3
1051 0x0003f6b7 0x100542b7 9   10           ascii   Heading 4
1052 0x0003f6d4 0x100542d4 10  22           utf16le \tHeading 4
1053 0x0003f719 0x10054319 10  22           utf16le \tHyperlink
1054 0x0003f73a 0x1005433a 5   6            ascii   Input
1055 0x0003f755 0x10054355 5   12           utf16le Input
1056 0x0003f7c1 0x100543c1 11  12           ascii   Linked Cell
1057 0x0003f7e0 0x100543e0 12  26           utf16le \vLinked Cell
1058 0x0003f824 0x10054424 7   8            ascii   Neutral
1059 0x0003f83f 0x1005443f 8   18           utf16le \aNeutral
1060 0x0003f88e 0x1005448e 6   14           utf16le Normal
1061 0x0003f8a7 0x100544a7 4   5            ascii   Note
1062 0x0003f8c1 0x100544c1 4   10           utf16le Note
1063 0x0003f91a 0x1005451a 6   7            ascii   Output
1064 0x0003f936 0x10054536 6   14           utf16le Output
1065 0x0003f9b7 0x100545b7 8   18           utf16le \aPercent
1066 0x0003f9d4 0x100545d4 5   6            ascii   Title
1067 0x0003f9ef 0x100545ef 5   12           utf16le Title
1068 0x0003fa17 0x10054617 5   6            ascii   Total
1069 0x0003fa32 0x10054632 5   12           utf16le Total
1070 0x0003fa76 0x10054676 12  13           ascii   Warning Text
1071 0x0003fa96 0x10054696 13  28           utf16le \fWarning Text
1072 0x0003fadd 0x100546dd 34  69           utf16le TableStyleMedium2PivotStyleLight16
1073 0x0003fb33 0x10054733 5   6            ascii   Page2
1074 0x0003fb44 0x10054744 6   7            ascii   Sheet1
1075 0x0003fca5 0x100548a5 5   6            ascii   XMl\eE
1076 0x0003fcc0 0x100548c0 4   5            ascii   \bU+@
1077 0x0003fcce 0x100548ce 4   5            ascii   R+L[
1078 0x0003fce1 0x100548e1 6   8            utf8    \tDQrȝC blocks=Basic Latin,Latin Extended-B
1079 0x0003fcea 0x100548ea 5   6            ascii   [%(\tJ
1080 0x0003fcf5 0x100548f5 4   6            utf8    I*%؎ blocks=Basic Latin,Arabic
1081 0x0003fd1e 0x1005491e 4   5            ascii   Z+_:
1082 0x0003fd2a 0x1005492a 5   6            ascii   cGE"r
1083 0x0003fd35 0x10054935 4   6            utf8    e͡:| blocks=Basic Latin,Combining Diacritical Marks
1084 0x0003fd3d 0x1005493d 6   7            ascii   ="oDDn
1085 0x0003fd50 0x10054950 4   6            utf8    5FNޟ blocks=Basic Latin,Thaana
1086 0x0003fd78 0x10054978 4   7            utf8    ˫rBޕ blocks=Spacing Modifier Letters,Basic Latin,Thaana
1087 0x0003fe61 0x10054a61 8   9            ascii   >88xMc`@
1088 0x0003feb8 0x10054ab8 4   5            ascii   VawW
1089 0x0003fec0 0x10054ac0 7   9            utf8    ?\a~"[\t٬ blocks=Basic Latin,Arabic
1090 0x0003fef9 0x10054af9 4   5            ascii   \07U
1091 0x0003ff2d 0x10054b2d 4   6            utf8    pkª\v blocks=Basic Latin,Latin-1 Supplement
1092 0x0003ffb5 0x10054bb5 5   6            ascii   D\tv6B
1093 0x0003ffd0 0x10054bd0 4   6            utf8    XX{Í blocks=Basic Latin,Latin-1 Supplement
1094 0x0003ffe8 0x10054be8 6   7            ascii   =~85Y-
1095 0x00040003 0x10054c03 4   5            ascii   i^Sj
1096 0x0004001e 0x10054c1e 4   5            ascii   q511
1097 0x00040026 0x10054c26 4   6            utf8    \f?p5
1098 0x00040068 0x10054c68 4   5            ascii   }3==
1099 0x000400a0 0x10054ca0 4   6            utf8    Ԕjmm blocks=Cyrillic Supplement,Basic Latin
1100 0x000400ac 0x10054cac 6   7            ascii   ?VWWU*
1101 0x000400b3 0x10054cb3 6   7            ascii   Rkkkua
1102 0x000400bd 0x10054cbd 5   6            ascii   yyYsc
1103 0x0004010f 0x10054d0f 4   5            ascii   \a)l+
1104 0x00040199 0x10054d99 5   6            ascii   XKl[E
1105 0x000401b6 0x10054db6 5   6            ascii   JUD\bB
1106 0x000401d6 0x10054dd6 4   5            ascii   )\eV,
1107 0x000402d6 0x10054ed6 5   7            utf8    GҦK3L blocks=Basic Latin,Cyrillic
1108 0x000402f4 0x10054ef4 4   5            ascii   Pf\b.
1109 0x0004030b 0x10054f0b 4   5            ascii   &^fW
1110 0x00040319 0x10054f19 4   5            ascii   UN\bW
1111 0x000403a4 0x10054fa4 6   9            utf8    _^^ֺ\nŢ blocks=Basic Latin,Hebrew,Latin Extended-A
1112 0x000403e9 0x10054fe9 5   6            ascii   X06>q
1113 0x00040400 0x10055000 6   8            utf8    }@\e<v`
1114 0x00040421 0x10055021 4   7            utf8    EuL콡 blocks=Basic Latin,Hangul Syllables
1115 0x0004048e 0x1005508e 5   6            ascii   X86PO
1116 0x000404bf 0x100550bf 4   5            ascii   ?_X{
1117 0x000404fd 0x100550fd 4   5            ascii   O;LN
1118 0x00040508 0x10055108 5   6            ascii   )`rrR
1119 0x00040537 0x10055137 4   5            ascii   Qsss
1120 0x00040541 0x10055141 4   5            ascii   6_Rk
1121 0x0004055b 0x1005515b 8   9            ascii   faaAuwwG
1122 0x000405a8 0x100551a8 4   5            ascii   fCH`
1123 0x000405ed 0x100551ed 4   5            ascii   B}x>
1124 0x00040606 0x10055206 4   5            ascii   W1Zf

