[Strings]
nth  paddr      vaddr      len  size section    type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
231  0x00006dca 0x00406dca 4    5    .Themida   ascii   l$PA
232  0x00006dde 0x00406dde 4    5    .Themida   ascii   t$@D
233  0x00006de3 0x00406de3 4    5    .Themida   ascii   l$8D
234  0x00006de8 0x00406de8 4    5    .Themida   ascii   d$0A
235  0x00006df1 0x00406df1 4    5    .Themida   ascii   |$(D
236  0x00006e0e 0x00406e0e 4    5    .Themida   ascii   \$`I
237  0x00006e20 0x00406e20 9    10   .Themida   ascii   A_A^A]A\_
238  0x00006e43 0x00406e43 10   11   .Themida   ascii   UATAUAVAWH
239  0x00006f26 0x00406f26 4    5    .Themida   ascii   }8fD
240  0x00006fbc 0x00406fbc 4    5    .Themida   ascii   Hc\r-
241  0x000070bb 0x004070bb 4    5    .Themida   ascii   U8E3
242  0x000070fd 0x004070fd 4    5    .Themida   ascii   \$`H
243  0x00007102 0x00407102 4    5    .Themida   ascii   t$pH
244  0x00007107 0x00407107 4    5    .Themida   ascii   |$xH
245  0x0000710d 0x0040710d 10   11   .Themida   ascii   0A_A^A]A\]
246  0x00007131 0x00407131 5    6    .Themida   ascii   x AVH
247  0x00007138 0x00407138 4    5    .Themida   ascii    Hc5
248  0x0000715e 0x0040715e 5    6    .Themida   ascii   L+q\bI
249  0x0000717a 0x0040717a 4    5    .Themida   ascii   Ps5H
250  0x000071b0 0x004071b0 4    6    .Themida   utf8    u\v58
251  0x000071ba 0x004071ba 4    5    .Themida   ascii   \a}\nH
252  0x000071d0 0x004071d0 4    5    .Themida   ascii   |$HH
253  0x000071d5 0x004071d5 4    5    .Themida   ascii   l$8H
254  0x000071da 0x004071da 4    5    .Themida   ascii   t$@H
255  0x000071ee 0x004071ee 4    5    .Themida   ascii   \$\bH
256  0x000071fb 0x004071fb 10   11   .Themida   ascii   WATAUAVAWH
257  0x0000722d 0x0040722d 4    5    .Themida   ascii   PswI
258  0x000072b0 0x004072b0 4    5    .Themida   ascii   l$XH
259  0x000072b5 0x004072b5 4    5    .Themida   ascii   t$`H
