[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
256  0x000078c7 0x004084c7 5   8    .text   utf8    Ћ@0+у blocks=Cyrillic,Basic Latin
257  0x000079ed 0x004085ed 6   7    .text   ascii   v\nhH)B
258  0x00007a36 0x00408636 5   6    .text   ascii   t\vWSV
259  0x00007aa0 0x004086a0 5   6    .text   ascii   PQSVW
260  0x00007afa 0x004086fa 6   8    .text   utf8    A\f\vƃy8 blocks=Basic Latin,Latin Extended-B
261  0x00007b23 0x00408723 4   5    .text   ascii   Y_^[
262  0x00007b50 0x00408750 5   6    .text   ascii   PQSVW
263  0x00007c24 0x00408824 4   5    .text   ascii   Y_^[
264  0x00007c40 0x00408840 5   6    .text   ascii   PQSVW
265  0x00007d14 0x00408914 4   5    .text   ascii   Y_^[
266  0x00007d71 0x00408971 6   7    .text   ascii   s\nhX)B
267  0x00007d8f 0x0040898f 6   7    .text   ascii   w\nhH)B
268  0x00007e7f 0x00408a7f 6   7    .text   ascii   v\nhH)B
269  0x00007f28 0x00408b28 6   7    .text   ascii   s\nhX)B
270  0x00007f74 0x00408b74 4   6    .text   utf8    \f+ǃ~ blocks=Basic Latin,Latin Extended-B
271  0x00007fa6 0x00408ba6 6   7    .text   ascii   v\nhH)B
272  0x00008003 0x00408c03 4   5    .text   ascii   \bSVW
273  0x00008024 0x00408c24 8   9    .text   ascii   $\tv\nhp)B
274  0x000080be 0x00408cbe 4   6    .text   utf8    +ӉN\b blocks=Basic Latin,Cyrillic
275  0x000080d5 0x00408cd5 4   5    .text   ascii   Y_^[
276  0x0000814d 0x00408d4d 5   6    .text   ascii   U\f;\bu
277  0x000081a8 0x00408da8 4   5    .text   ascii   ;H\bu
278  0x000081c9 0x00408dc9 6   7    .text   ascii   M\b;M\fu
279  0x00008311 0x00408f11 4   5    .text   ascii   Y_^[
280  0x00008485 0x00409085 4   5    .text   ascii   Y_^[
281  0x000085c2 0x004091c2 5   6    .text   ascii   9Y\bu{
282  0x000085ce 0x004091ce 4   7    .text   utf8    ƋщB\b blocks=Latin Extended-B,Cyrillic,Basic Latin
283  0x000085ee 0x004091ee 5   6    .text   ascii   \b;C\bu
284  0x00008699 0x00409299 4   5    .text   ascii   A\b8X
285  0x000086a1 0x004092a1 4   5    .text   ascii   Q\b8Z
286  0x000086ee 0x004092ee 4   5    .text   ascii   Q\b8Z
287  0x00008765 0x00409365 4   5    .text   ascii   E\b_^
288  0x00008840 0x00409440 5   6    .text   ascii   PQSVW
289  0x000088cd 0x004094cd 4   5    .text   ascii   Y_^[
290  0x00008961 0x00409561 4   5    .text   ascii   _^[]
291  0x000089a0 0x004095a0 4   5    .text   ascii   ;\nu\b
292  0x000089f1 0x004095f1 5   6    .text   ascii   ;J\bu\n
293  0x00008a68 0x00409668 5   6    .text   ascii   ;Q\bu\v
294  0x00008afc 0x004096fc 6   7    .text   ascii   \a;p\fs"
295  0x00008b17 0x00409717 4   5    .text   ascii   ;p\fs
296  0x00008c3c 0x0040983c 6   7    .text   ascii   \a;p\fs"
297  0x00008c57 0x00409857 4   5    .text   ascii   ;p\fs
298  0x00008d7c 0x0040997c 6   7    .text   ascii   \a;p\fs"
299  0x00008d97 0x00409997 4   5    .text   ascii   ;p\fs
300  0x00008ebc 0x00409abc 6   7    .text   ascii   \a;p\fs"
301  0x00008ed7 0x00409ad7 4   5    .text   ascii   ;p\fs
302  0x00008f84 0x00409b84 4   5    .text   ascii   E\bVP
303  0x00008fd8 0x00409bd8 6   7    .text   ascii   u\b;0u!
304  0x00008fdf 0x00409bdf 5   6    .text   ascii   G\f:F\f
305  0x00009007 0x00409c07 5   6    .text   ascii   Q\f:W\f
306  0x00009026 0x00409c26 5   6    .text   ascii   G\f8F\f
307  0x0000908e 0x00409c8e 7   8    .text   ascii   G\f8A\f} 
308  0x000090b5 0x00409cb5 5   6    .text   ascii   8F\f}P
309  0x000090d3 0x00409cd3 7   8    .text   ascii   G\f:A\f}0
310  0x00009143 0x00409d43 4   5    .text   ascii   (SVW
311  0x00009159 0x00409d59 5   7    .text   utf8    }\b3ۉ] blocks=Basic Latin,Arabic
312  0x00009166 0x00409d66 4   5    .text   ascii   u^j\b
313  0x000091d5 0x00409dd5 4   5    .text   ascii   Y_^[
314  0x0000922a 0x00409e2a 4   5    .text   ascii   ;\nu 
315  0x0000922f 0x00409e2f 4   5    .text   ascii   E\bPj
316  0x00009286 0x00409e86 4   5    .text   ascii   ;0u\v
317  0x000092a1 0x00409ea1 7   8    .text   ascii   V\fP:P\f}
318  0x00009326 0x00409f26 5   6    .text   ascii   #8]\ft
319  0x00009345 0x00409f45 4   5    .text   ascii   ;J\bu
320  0x0000936f 0x00409f6f 4   5    .text   ascii   v\b8^
321  0x0000937a 0x00409f7a 5   6    .text   ascii   ;J\bu=
322  0x000093d9 0x00409fd9 4   5    .text   ascii   ~\b8_
323  0x00009402 0x0040a002 5   6    .text   ascii   ;W\bu\v
324  0x0000943d 0x0040a03d 4   5    .text   ascii   ;\nu?
325  0x0000944b 0x0040a04b 4   5    .text   ascii   r\b8^
326  0x0000946e 0x0040a06e 4   5    .text   ascii   ;N\bu
327  0x000094f0 0x0040a0f0 4   5    .text   ascii   8_[]
328  0x00009590 0x0040a190 5   6    .text   ascii   PQSVW
329  0x000095b3 0x0040a1b3 6   7    .text   ascii   ;E\btr;
330  0x00009636 0x0040a236 4   5    .text   ascii   Y_^[
331  0x00009647 0x0040a247 5   6    .text   ascii   E\fPQR
332  0x0000965f 0x0040a25f 4   6    .text   utf8    ̋D$\f blocks=Combining Diacritical Marks,Basic Latin
333  0x000096f9 0x0040a2f9 5   6    .text   ascii   u\n][_
334  0x000097ac 0x0040a3ac 4   5    .text   ascii   5D~B
335  0x00009829 0x0040a429 4   5    .text   ascii   u\bVP
336  0x00009af1 0x0040a6f1 4   5    .text   ascii   E\b^_
337  0x00009afd 0x0040a6fd 4   5    .text   ascii   E\b^_
338  0x00009b0f 0x0040a70f 4   5    .text   ascii   E\b^_
339  0x00009b29 0x0040a729 4   5    .text   ascii   E\b^_
340  0x00009c8d 0x0040a88d 4   5    .text   ascii   E\b^_
341  0x00009c9b 0x0040a89b 4   5    .text   ascii   E\b^_
342  0x00009cb1 0x0040a8b1 4   5    .text   ascii   E\b^_
343  0x00009ccb 0x0040a8cb 4   5    .text   ascii   E\b^_
344  0x00009d01 0x0040a901 4   5    .text   ascii   9u\fr
345  0x00009d2d 0x0040a92d 4   5    .text   ascii   9u\fs
346  0x00009d42 0x0040a942 4   6    .text   utf8    X^]Ë blocks=Basic Latin,Latin-1 Supplement
347  0x00009dd1 0x0040a9d1 4   5    .text   ascii   \r\f{B
348  0x00009e46 0x0040aa46 5   8    .text   utf8    ]؉]܉u blocks=Basic Latin,Arabic,Syriac
349  0x00009ef4 0x0040aaf4 4   7    .text   utf8    3\vM܈ blocks=Basic Latin,Syriac
350  0x00009f2d 0x0040ab2d 4   5    .text   ascii   ~.8]
351  0x00009f9f 0x0040ab9f 5   6    .text   ascii   QW@Ph
352  0x00009fcd 0x0040abcd 4   5    .text   ascii   W@Ph
353  0x00009fff 0x0040abff 4   7    .text   utf8    U؉Mč blocks=Basic Latin,Arabic,Latin Extended-A
354  0x0000a020 0x0040ac20 4   5    .text   ascii   ~U8]
355  0x0000a1cf 0x0040adcf 4   6    .text   utf8    ȋAl; blocks=Latin Extended-B,Basic Latin
356  0x0000a214 0x0040ae14 4   6    .text   utf8    ȋAl; blocks=Latin Extended-B,Basic Latin
