[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
190  0x00002cfc 0x004038fc 4   6    CODE    utf8    03ۋx blocks=Basic Latin,Arabic
191  0x00002d04 0x00403904 5   6    CODE    ascii   Uh29@
192  0x00002d2a 0x0040392a 4   5    CODE    ascii   ZYYd
193  0x00002d46 0x00403946 8   10   CODE    utf8    _^[]ÐQVW blocks=Basic Latin,Latin-1 Supplement
194  0x00002d82 0x00403982 4   6    CODE    utf8    Mĉ\r8 blocks=Basic Latin,Latin Extended-A
195  0x00002d8a 0x0040398a 4   6    CODE    utf8    1Ƀ}\f blocks=Basic Latin,Latin Extended-B
196  0x00002e35 0x00403a35 5   7    CODE    utf8    ^_[Í@ blocks=Basic Latin,Latin-1 Supplement
197  0x00002e7c 0x00403a7c 4   7    CODE    utf8    03\nH
198  0x00002eb6 0x00403ab6 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
199  0x00002f39 0x00403b39 4   5    CODE    ascii   ht;@
200  0x00002f4b 0x00403b4b 4   6    CODE    utf8    ZÀ=, blocks=Basic Latin,Latin-1 Supplement
201  0x00002f78 0x00403b78 4   5    CODE    ascii   SVWU
202  0x00002fcc 0x00403bcc 4   6    CODE    utf8    3\tC\f
203  0x0000304b 0x00403c4b 5   7    CODE    utf8    ]_^[ã blocks=Basic Latin,Latin-1 Supplement
204  0x00003089 0x00403c89 4   6    CODE    utf8    XÐSV blocks=Basic Latin,Latin-1 Supplement
205  0x00003156 0x00403d56 4   6    CODE    utf8    ÐSVW blocks=Latin-1 Supplement,Basic Latin
206  0x00003181 0x00403d81 5   7    CODE    utf8    ;_^[Ë blocks=Basic Latin,Latin-1 Supplement
207  0x00003192 0x00403d92 5   6    CODE    ascii   E\bPQj
208  0x000031ae 0x00403dae 5   6    CODE    ascii   E\bPQj
209  0x000031c4 0x00403dc4 4   5    CODE    ascii   SVWU
210  0x0000324b 0x00403e4b 4   5    CODE    ascii   ]_^[
211  0x0000325d 0x00403e5d 4   7    CODE    utf8    ZÐ1Ʌ blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
212  0x00003264 0x00403e64 6   7    CODE    ascii   t!R:\nt
213  0x00003273 0x00403e73 4   5    CODE    ascii   t\v:J
214  0x00003294 0x00403e94 11  12   CODE    ascii   t-Rf;\nt f;J
215  0x000032cc 0x00403ecc 4   6    CODE    utf8    1Ɋ\nB blocks=Basic Latin,Latin Extended-B
216  0x000032d6 0x00403ed6 4   6    CODE    utf8    ÐWPQ blocks=Latin-1 Supplement,Basic Latin
217  0x00003382 0x00403f82 5   6    CODE    ascii   t\;\bt
218  0x000033d5 0x00403fd5 4   6    CODE    utf8    _^[É blocks=Basic Latin,Latin-1 Supplement
219  0x000033e8 0x00403fe8 5   6    CODE    ascii   SVWRP
220  0x000033f7 0x00403ff7 6   7    CODE    ascii   t\f9\bu\b
221  0x00003467 0x00404067 5   6    CODE    ascii   Z_^[X
222  0x000034a3 0x004040a3 4   5    CODE    ascii   uXJt
223  0x000034cf 0x004040cf 4   5    CODE    ascii   uAJt
224  0x000034d6 0x004040d6 4   5    CODE    ascii   u:Jt
225  0x00003512 0x00404112 4   7    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
226  0x0000353d 0x0040413d 4   5    CODE    ascii   It2S
227  0x0000358a 0x0040418a 6   7    CODE    ascii   t&J|\e9
228  0x000035c6 0x004041c6 5   6    CODE    ascii   t1SVW
229  0x000035ec 0x004041ec 4   5    CODE    ascii   _^t\f
230  0x00003601 0x00404201 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
231  0x00003665 0x00404265 5   7    CODE    utf8    ;_^[Ë blocks=Basic Latin,Latin-1 Supplement
232  0x00003692 0x00404292 5   8    CODE    utf8    _^[Ë0 blocks=Basic Latin,Latin-1 Supplement
233  0x000036fe 0x004042fe 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
234  0x00003728 0x00404328 4   5    CODE    ascii   SVWU
235  0x000037ad 0x004043ad 5   8    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
236  0x000037dc 0x004043dc 11  12   CODE    ascii   t-Rf;\nt f;J
237  0x0000386b 0x0040446b 4   5    CODE    ascii   uAJt
238  0x000038bd 0x004044bd 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
239  0x00003906 0x00404506 4   5    CODE    ascii   _^[]
240  0x0000394d 0x0040454d 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
241  0x0000399f 0x0040459f 4   6    CODE    utf8    _^[Ð blocks=Basic Latin,Latin-1 Supplement
242  0x000039be 0x004045be 7   8    CODE    ascii   <\nt"<\vt
243  0x000039c6 0x004045c6 9   10   CODE    ascii   <\ft$<\rt3<
244  0x00003a03 0x00404603 4   6    CODE    utf8    ՋT.\n blocks=Armenian,Basic Latin
245  0x00003a32 0x00404632 6   8    CODE    utf8    ]_^[Ð1 blocks=Basic Latin,Latin-1 Supplement
246  0x00003a65 0x00404665 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
247  0x00003a8d 0x0040468d 4   5    CODE    ascii   PSVW
248  0x00003a9e 0x0040469e 17  18   CODE    ascii   <\nt%<\vt><\ftQ<\rt\<
249  0x00003b0c 0x0040470c 4   6    CODE    utf8    ՋT.\n blocks=Armenian,Basic Latin
250  0x00003b5d 0x0040475d 5   6    CODE    ascii   \v_^[X
251  0x00003b69 0x00404769 6   9    CODE    utf8    _^[XË9 blocks=Basic Latin,Latin-1 Supplement
252  0x00003b94 0x00404794 4   5    CODE    ascii   SVWU
253  0x00003bf6 0x004047f6 4   5    CODE    ascii   ]_^[
254  0x00003c31 0x00404831 4   6    CODE    utf8    [1ɊJ blocks=Basic Latin,Latin Extended-B
255  0x00003c51 0x00404851 4   6    CODE    utf8    ;1ɊJ blocks=Basic Latin,Latin Extended-B
256  0x00003ca9 0x004048a9 5   7    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
257  0x00003cb0 0x004048b0 4   5    CODE    ascii   SVWU
258  0x00003cb5 0x004048b5 5   9    CODE    utf8    É։ϋl$ blocks=Latin-1 Supplement,Armenian,Greek and Coptic,Basic Latin
259  0x00003ced 0x004048ed 4   5    CODE    ascii   ]_^[
260  0x00003d34 0x00404934 4   6    CODE    utf8    f1ɊO blocks=Basic Latin,Latin Extended-B
261  0x00003d9b 0x0040499b 4   5    CODE    ascii   ]_^[
262  0x00003dcd 0x004049cd 5   7    CODE    utf8    Z^[Í@ blocks=Basic Latin,Latin-1 Supplement
263  0x00003df1 0x004049f1 5   7    CODE    utf8    $Z[Í@ blocks=Basic Latin,Latin-1 Supplement
264  0x00003e24 0x00404a24 4   5    CODE    ascii   SVWU
265  0x00003e66 0x00404a66 4   5    CODE    ascii   <-u\b
266  0x00003e89 0x00404a89 4   5    CODE    ascii   <Xt\e
267  0x00003f40 0x00404b40 5   6    CODE    ascii   T$\fE3
268  0x00003f64 0x00404b64 4   6    CODE    utf8    ډD$\b blocks=Arabic,Basic Latin
269  0x00003fda 0x00404bda 5   6    CODE    ascii   T$\fE3
270  0x00003ff7 0x00404bf7 4   6    CODE    utf8    ډD$\b blocks=Arabic,Basic Latin
271  0x0000404e 0x00404c4e 5   7    CODE    utf8    ]_^[Ð blocks=Basic Latin,Latin-1 Supplement
272  0x00004227 0x00404e27 4   5    CODE    ascii   \eSQ3
273  0x0000424e 0x00404e4e 5   7    CODE    utf8    u\f3ۃ} blocks=Basic Latin,Arabic
274  0x00004411 0x00405011 6   7    CODE    ascii   t\n;B\bt
275  0x00004418 0x00405018 5   6    CODE    ascii   ;B\fu\b
276  0x000044ac 0x004050ac 4   5    CODE    ascii   8\u8
277  0x000045d4 0x004051d4 12  13   CODE    ascii   kernel32.dll
278  0x000045e4 0x004051e4 16  17   CODE    ascii   GetLongPathNameA
279  0x00004628 0x00405228 4   5    CODE    ascii   h(T@
280  0x00004646 0x00405246 4   5    CODE    ascii   h(T@
281  0x00004664 0x00405264 4   5    CODE    ascii   hDT@
282  0x000046cc 0x004052cc 4   5    CODE    ascii   hdT@
283  0x000046e8 0x004052e8 4   5    CODE    ascii   ZYYd
284  0x00004765 0x00405365 4   5    CODE    ascii   ;.t\n
285  0x00004828 0x00405428 24  25   CODE    ascii   Software\Borland\Locales
286  0x00004844 0x00405444 31  32   CODE    ascii   Software\Borland\Delphi\Locales
287  0x00004895 0x00405495 4   6    CODE    utf8    [ÐSV blocks=Basic Latin,Latin-1 Supplement
288  0x000048c3 0x004054c3 4   7    CODE    utf8    ^[Ëօ blocks=Basic Latin,Latin-1 Supplement,Armenian
289  0x00004914 0x00405514 5   6    CODE    ascii   Uh3U@
290  0x0000492b 0x0040552b 4   5    CODE    ascii   ZYYd
291  0x0000494b 0x0040554b 8   11   CODE    utf8    _^[YY]Ë\v blocks=Basic Latin,Latin-1 Supplement
292  0x00004986 0x00405586 4   5    CODE    ascii   ZYYd
293  0x000049cf 0x004055cf 4   7    CODE    utf8    Y]Ë\v blocks=Basic Latin,Latin-1 Supplement
294  0x000049e5 0x004055e5 5   7    CODE    utf8    P\bXÍ@ blocks=Basic Latin,Latin-1 Supplement
295  0x00004a06 0x00405606 4   6    CODE    utf8    P\bË\b blocks=Basic Latin,Latin-1 Supplement
296  0x00004b94 0x00405794 4   5    CODE    ascii   ;M\bs
297  0x00004bac 0x004057ac 5   6    CODE    ascii   ";M\bs
298  0x00004bc7 0x004057c7 7   8    CODE    ascii   FFF;M\br
299  0x00004bd4 0x004057d4 5   6    CODE    ascii   ^[YY]
300  0x00004bf1 0x004057f1 5   7    CODE    utf8    u\n3\tE
301  0x00004c1a 0x0040581a 5   7    CODE    utf8    3Ɋ\f2F blocks=Basic Latin,Latin Extended-B
302  0x00004c21 0x00405821 6   8    CODE    utf8    @tl;u\b
303  0x00004c60 0x00405860 4   7    CODE    utf8    \vыʋU blocks=Basic Latin,Cyrillic,IPA Extensions
304  0x00004c85 0x00405885 4   6    CODE    utf8    f\vыM blocks=Basic Latin,Cyrillic
305  0x00004c96 0x00405896 10  11   CODE    ascii   \fB@;u\bs\t;E
306  0x00004cba 0x004058ba 6   7    CODE    ascii   G;u\bsB
307  0x00004cca 0x004058ca 7   8    CODE    ascii   t0;u\bs5
308  0x00004ce8 0x004058e8 4   5    CODE    ascii   ;u\bs
