[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
268  0x00005234 0x10005e34 4   5    .text   ascii   L$ ;
269  0x000052d7 0x10005ed7 4   5    .text   ascii   _^][
270  0x000052f4 0x10005ef4 4   5    .text   ascii   L$(W
271  0x00005311 0x10005f11 4   5    .text   ascii   L$$;
272  0x00005376 0x10005f76 6   9    .text   utf8    ᢋt$ t\v blocks=Mongolian,Basic Latin
273  0x0000538a 0x10005f8a 5   6    .text   ascii   T$$j@
274  0x000053a8 0x10005fa8 7   8    .text   ascii   L$@QRRR
275  0x00005411 0x10006011 4   5    .text   ascii   u\tWV
276  0x0000541a 0x1000601a 5   6    .text   ascii   YYQWV
277  0x00005460 0x10006060 6   7    .text   ascii   D$ PhP
278  0x000054f1 0x100060f1 6   7    .text   ascii   L$ QhP
279  0x00005557 0x10006157 4   5    .text   ascii   _^][
280  0x0000556b 0x1000616b 4   5    .text   ascii   4SUV
281  0x0000557a 0x1000617a 4   7    .text   utf8    ދˉ\$ blocks=Thaana,Spacing Modifier Letters,Basic Latin
282  0x0000559c 0x1000619c 4   5    .text   ascii   _^][
283  0x000055b5 0x100061b5 4   6    .text   utf8    ƉD$( blocks=Latin Extended-B,Basic Latin
284  0x000055d6 0x100061d6 4   5    .text   ascii   D$,;
285  0x00005640 0x10006240 5   6    .text   ascii   t$0t\v
286  0x0000566e 0x1000626e 5   8    .text   utf8    ЋȉL$0 blocks=Cyrillic,Latin Extended-B,Basic Latin
287  0x0000569f 0x1000629f 4   5    .text   ascii   L$,;
288  0x00005707 0x10006307 5   6    .text   ascii   t$0t\v
289  0x00005735 0x10006335 4   6    .text   utf8    ЉD$0 blocks=Cyrillic,Basic Latin
290  0x000057ca 0x100063ca 6   8    .text   utf8    Ջt$,t\v blocks=Armenian,Basic Latin
291  0x000057f8 0x100063f8 4   6    .text   utf8    Ћl$$ blocks=Cyrillic,Basic Latin
292  0x00005835 0x10006435 6   9    .text   utf8    +х\tT$, blocks=Basic Latin,Cyrillic
293  0x00005843 0x10006443 4   6    .text   utf8    ȉL$, blocks=Latin Extended-B,Basic Latin
294  0x00005857 0x10006457 5   7    .text   utf8    ƉD$,d blocks=Latin Extended-B,Basic Latin
295  0x0000587e 0x1000647e 4   5    .text   ascii   L$<;
296  0x000058e9 0x100064e9 4   5    .text   ascii   t$4t
297  0x0000597a 0x1000657a 4   5    .text   ascii   SVW3
298  0x0000599f 0x1000659f 6   7    .text   ascii   A<f9T\b
299  0x00005af9 0x100066f9 6   7    .text   ascii   A<f9T\b
300  0x00005b16 0x10006716 4   5    .text   ascii   D\bP;
301  0x00005be9 0x100067e9 4   5    .text   ascii   VVSV
302  0x00005ce0 0x100068e0 4   6    .text   utf8    [^ËI blocks=Basic Latin,Latin-1 Supplement
303  0x00005d4c 0x1000694c 7   11   .text   utf8    MĈMȍMĉ} blocks=Basic Latin,Latin Extended-A,Latin Extended-B
304  0x00005e2f 0x10006a2f 5   8    .text   utf8    ]ȉ]ċM blocks=Basic Latin,Latin Extended-B,Latin Extended-A
305  0x00005fdd 0x10006bdd 4   5    .text   ascii   YYSW
306  0x00006005 0x10006c05 5   8    .text   utf8    ]̉]Љ] blocks=Basic Latin,Combining Diacritical Marks,Cyrillic
307  0x0000602a 0x10006c2a 5   8    .text   utf8    ]؉]܉] blocks=Basic Latin,Arabic,Syriac
308  0x0000604e 0x10006c4e 7   11   .text   utf8    ]\t]ĉ]ȋM blocks=Basic Latin,Latin Extended-A,Latin Extended-B
309  0x0000605b 0x10006c5b 4   5    .text   ascii   _^[d
310  0x0000609c 0x10006c9c 4   5    .text   ascii   \fSVW
311  0x0000618f 0x10006d8f 4   6    .text   utf8    F\b^Ã blocks=Basic Latin,Latin-1 Supplement
312  0x000061b1 0x10006db1 4   5    .text   ascii   L$$W
313  0x0000626b 0x10006e6b 7   9    .text   utf8    ЋL$(_^] blocks=Cyrillic,Basic Latin
314  0x00006319 0x10006f19 5   6    .text   ascii   \f7_^[
315  0x00006338 0x10006f38 5   6    .text   ascii   QQSVW
316  0x0000634a 0x10006f4a 6   7    .text   ascii   u\b;u\ft
317  0x000063e7 0x10006fe7 4   5    .text   ascii   j Y+
318  0x00006483 0x10007083 4   6    .text   utf8    3ǉt$ blocks=Basic Latin,Latin Extended-B
319  0x000064c3 0x100070c3 5   7    .text   utf8    3ȣ\b4\b blocks=Basic Latin,Latin Extended-B
320  0x000064d0 0x100070d0 4   5    .text   ascii   \r\f4\b
321  0x00006515 0x10007115 6   8    .text   utf8    3ʋ5 4\b blocks=Basic Latin,IPA Extensions
322  0x00006527 0x10007127 5   6    .text   ascii   35$4\b
323  0x00006543 0x10007143 5   6    .text   ascii   \v=,4\b
324  0x0000654b 0x1000714b 5   6    .text   ascii   3-,4\b
325  0x00006551 0x10007151 5   6    .text   ascii   3=$4\b
326  0x0000656b 0x1000716b 6   8    .text   utf8    #I-(4\b
327  0x00006574 0x10007174 4   5    .text   ascii   \r04\b
328  0x00006579 0x10007179 6   8    .text   utf8    3Ë-<4\b blocks=Basic Latin,Latin-1 Supplement
329  0x00006583 0x10007183 5   7    .text   utf8    3٣ 4\b blocks=Basic Latin,Arabic
330  0x000065a6 0x100071a6 5   6    .text   ascii   3544\b
331  0x000065b6 0x100071b6 5   7    .text   utf8    ˉ-<4\b blocks=Spacing Modifier Letters,Basic Latin
332  0x000065cc 0x100071cc 5   7    .text   utf8    ҋ5H4\b blocks=Cyrillic,Basic Latin
333  0x000065e6 0x100071e6 4   6    .text   utf8    Σ04\b blocks=Greek and Coptic,Basic Latin
334  0x000065ff 0x100071ff 5   6    .text   ascii   #=L4\b
335  0x00006605 0x10007205 5   6    .text   ascii   3\rL4\b
336  0x0000660f 0x1000720f 5   6    .text   ascii   #\r@4\b
337  0x0000664e 0x1000724e 4   5    .text   ascii   \rH4\b
338  0x00006654 0x10007254 4   5    .text   ascii   \r\4\b
339  0x0000665a 0x1000725a 4   5    .text   ascii   -@4\b
340  0x00006660 0x10007260 4   5    .text   ascii   -P4\b
341  0x00006673 0x10007273 5   6    .text   ascii   3-X4\b
342  0x0000667b 0x1000727b 5   6    .text   ascii   35T4\b
343  0x00006685 0x10007285 5   6    .text   ascii   3=\4\b
344  0x00006698 0x10007298 4   5    .text   ascii   5T4\b
345  0x0000669e 0x1000729e 4   5    .text   ascii   5l4\b
346  0x000066a3 0x100072a3 7   10   .text   utf8    3ˋǉ\rX4\b blocks=Basic Latin,Spacing Modifier Letters,Latin Extended-B
347  0x000066ad 0x100072ad 4   6    .text   utf8    3IT$
348  0x000066c6 0x100072c6 5   7    .text   utf8    ؉=\4\b blocks=Arabic,Basic Latin
349  0x000066e6 0x100072e6 5   6    .text   ascii   #=l4\b
350  0x00006702 0x10007302 6   8    .text   utf8    3K-t4\b
351  0x00006712 0x10007312 5   7    .text   utf8    3ϣh4\b blocks=Basic Latin,Greek and Coptic
352  0x0000671e 0x1000731e 4   5    .text   ascii   \rl4\b
353  0x00006724 0x10007324 4   5    .text   ascii   \r|4\b
354  0x00006731 0x10007331 5   6    .text   ascii   #5|4\b
355  0x00006737 0x10007337 5   6    .text   ascii   35x4\b
356  0x00006768 0x10007368 4   5    .text   ascii   =|4\b
357  0x00006770 0x10007370 4   5    .text   ascii   \rx4\b
358  0x00006789 0x10007389 6   8    .text   utf8    3É-t4\b blocks=Basic Latin,Latin-1 Supplement
359  0x000067a9 0x100073a9 4   6    .text   utf8    3ǉt$ blocks=Basic Latin,Latin Extended-B
360  0x00006b0f 0x1000770f 5   7    .text   utf8    3ȣ\b5\b blocks=Basic Latin,Latin Extended-B
361  0x00006b1c 0x1000771c 5   7    .text   utf8    Љ\r\f5\b blocks=Cyrillic,Basic Latin
362  0x00006b61 0x10007761 6   8    .text   utf8    3ʋ5 5\b blocks=Basic Latin,IPA Extensions
