Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
299  0x00004278 0x00016078 4   5    .data   ascii   !\b#
300  0x000042cb 0x000160cb 4   5    .data   ascii   HEAq
301  0x000042e4 0x000160e4 4   5    .data   ascii   M85l
302  0x000042e9 0x000160e9 4   5    .data   ascii   ]?c(
303  0x000042fb 0x000160fb 4   5    .data   ascii   /y[u
304  0x00004304 0x00016104 4   5    .data   ascii   em!1
305  0x00004329 0x00016129 4   5    .data   ascii   ,2/G
306  0x00004336 0x00016136 6   10   .data   utf8    Ñ˗(1ܸQ blocks=Latin-1 Supplement,Spacing Modifier Letters,Basic Latin,Syriac
307  0x0000435f 0x0001615f 5   7    .data   utf8    e˾`d" blocks=Basic Latin,Spacing Modifier Letters
308  0x0000438e 0x0001618e 4   6    .data   utf8    J"aϟ blocks=Basic Latin,Greek and Coptic
309  0x0000439c 0x0001619c 4   5    .data   ascii   Ol .
310  0x000043a4 0x000161a4 4   6    .data   utf8    8@yX
311  0x000043c8 0x000161c8 6   7    .data   ascii   Xj_/Sl
312  0x000043e4 0x000161e4 4   5    .data   ascii   }z-{
313  0x00004402 0x00016202 5   7    .data   utf8    I0}ړ\t blocks=Basic Latin,Arabic
314  0x0000441f 0x0001621f 4   5    .data   ascii   {\aky
315  0x0000443f 0x0001623f 4   7    .data   utf8    GDuꑣ blocks=Basic Latin,Yi Syllables
316  0x0000446c 0x0001626c 5   7    .data   utf8    \b\f˫7G blocks=Basic Latin,Spacing Modifier Letters
317  0x000044c7 0x000162c7 5   6    .data   ascii   z4z7V
318  0x0000450d 0x0001630d 4   5    .data   ascii   [=kF
319  0x0000452f 0x0001632f 6   7    .data   ascii   7F*1"p
320  0x00004562 0x00016362 4   5    .data   ascii   Dhc/
321  0x0000458f 0x0001638f 4   6    .data   utf8    aG2Ƕ blocks=Basic Latin,Latin Extended-B
322  0x000045a6 0x000163a6 4   5    .data   ascii   Ls?T
323  0x000045d5 0x000163d5 6   8    .data   utf8    ~/\r<DЋ blocks=Basic Latin,Cyrillic
324  0x00004616 0x00016416 4   5    .data   ascii   TB\d
325  0x00004636 0x00016436 5   6    .data   ascii   O]\rp 
326  0x00004655 0x00016455 4   5    .data   ascii   )bU\v
327  0x0000467c 0x0001647c 5   6    .data   ascii   \epQs8
328  0x00004693 0x00016493 4   5    .data   ascii   !M38
329  0x000046ff 0x000164ff 4   5    .data   ascii   vfn\f
330  0x0000472b 0x0001652b 4   5    .data   ascii   9Zo*
331  0x00004734 0x00016534 5   9    .data   utf8    IA䄎ʴ\t blocks=Basic Latin,CJK Unified Ideographs Extension A,Spacing Modifier Letters
332  0x0000474d 0x0001654d 5   6    .data   ascii   'FK_$
333  0x00004760 0x00016560 5   6    .data   ascii   fgzN_
334  0x0000476c 0x0001656c 5   6    .data   ascii   a\n2\a2
335  0x00004797 0x00016597 6   7    .data   ascii   f"r,UP
336  0x000047d6 0x000165d6 4   5    .data   ascii   Qad4
337  0x0000489d 0x0001669d 5   6    .data   ascii   ,\v>UK
338  0x0000491c 0x0001671c 4   5    .data   ascii   0=zQ
339  0x000049b8 0x000167b8 4   5    .data   ascii   i_.n
340  0x00004a86 0x00016886 4   5    .data   ascii   .Hk\r
341  0x00004ac6 0x000168c6 4   5    .data   ascii   JD%H
342  0x00004b01 0x00016901 7   9    .data   utf8    DЦh\tfG, blocks=Basic Latin,Cyrillic
343  0x00004b41 0x00016941 5   6    .data   ascii   \rZ?\aP
344  0x00004b95 0x00016995 4   5    .data   ascii   RE :
345  0x00004bc8 0x000169c8 4   5    .data   ascii   ~-\tX
346  0x00004be1 0x000169e1 5   9    .data   utf8    {}鷮[ۓ blocks=Basic Latin,CJK Unified Ideographs,Arabic
347  0x00004bee 0x000169ee 5   7    .data   utf8    0߳Qqg blocks=Basic Latin,NKo
348  0x00004bff 0x000169ff 7   9    .data   utf8    9\bwפH|, blocks=Basic Latin,Hebrew
349  0x00004c0a 0x00016a0a 4   5    .data   ascii   HBE{
350  0x00004c33 0x00016a33 4   5    .data   ascii   \vTO^
351  0x00004c56 0x00016a56 4   5    .data   ascii   ]!5)
352  0x00004c8b 0x00016a8b 5   7    .data   utf8    A$~O.
353  0x00004c98 0x00016a98 4   5    .data   ascii   }JmI
354  0x00004c9d 0x00016a9d 5   7    .data   utf8    ޫr`;r blocks=Thaana,Basic Latin
355  0x00004cc8 0x00016ac8 4   5    .data   ascii   n21z
356  0x00004cd1 0x00016ad1 5   6    .data   ascii   \f&\t\n\n
357  0x00004cdb 0x00016adb 7   8    .data   ascii   5cyJ\r}e
358  0x00004cf3 0x00016af3 5   6    .data   ascii   75th0
359  0x00004d0a 0x00016b0a 5   7    .data   utf8    :ݯ\fp\f blocks=Basic Latin,Arabic Supplement
360  0x00004d17 0x00016b17 5   6    .data   ascii   \ePOs3
361  0x00004d79 0x00016b79 5   6    .data   ascii   @Q>\b|
362  0x00004d86 0x00016b86 5   6    .data   ascii   7sU\tK
363  0x00004dab 0x00016bab 6   7    .data   ascii   eP01H`
364  0x00004dc0 0x00016bc0 4   5    .data   ascii   IW4F
365  0x00004dd0 0x00016bd0 4   5    .data   ascii   rJ~[
366  0x00004ddc 0x00016bdc 5   6    .data   ascii   0a!:N
367  0x00004de9 0x00016be9 12  13   .data   ascii   X@g\n*qisU#B?
