Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
221  0x00005996 0x00405996 5   7    .text   utf8    MDFWȥ blocks=Basic Latin,Latin Extended-B
222  0x000059b4 0x004059b4 4   7    .text   utf8    BÈ{Ŋ blocks=Basic Latin,Latin-1 Supplement,Latin Extended-A
223  0x00005a4a 0x00405a4a 4   5    .text   ascii   fvMB
224  0x00005b9e 0x00405b9e 6   8    .text   utf8    6\a̴{p\n blocks=Basic Latin,Combining Diacritical Marks
225  0x00005bad 0x00405bad 4   5    .text   ascii   \t!5_
226  0x00005bd2 0x00405bd2 5   8    .text   utf8    Nǐ̸!} blocks=Basic Latin,Latin Extended-B,Combining Diacritical Marks
227  0x00005c66 0x00405c66 4   6    .text   utf8    ܬ8+B blocks=Syriac,Basic Latin
228  0x00005c7c 0x00405c7c 4   5    .text   ascii   ^\VE
229  0x00005d26 0x00405d26 4   6    .text   utf8    nBۊC blocks=Basic Latin,Arabic
230  0x00005dbd 0x00405dbd 4   5    .text   ascii   utSg
231  0x00005f3c 0x00405f3c 4   5    .text   ascii   /H3O
232  0x00005f93 0x00405f93 5   9    .text   utf8    ̳mvw blocks=Combining Diacritical Marks,Basic Latin,Private Use Area
233  0x00005fdd 0x00405fdd 4   5    .text   ascii   *E3@
234  0x00005fe7 0x00405fe7 6   7    .text   ascii   0e39@\b
235  0x00006098 0x00406098 4   5    .text   ascii   1C\0
236  0x00006126 0x00406126 4   6    .text   utf8    *>ѱB blocks=Basic Latin,Cyrillic
237  0x0000616b 0x0040616b 5   6    .text   ascii   <k{Uy
238  0x00006226 0x00406226 4   5    .text   ascii   2ZG\n
239  0x00006240 0x00406240 4   5    .text   ascii   ,^\r(
240  0x0000627f 0x0040627f 4   6    .text   utf8    \v}1Ş blocks=Basic Latin,Latin Extended-A
241  0x0000628d 0x0040628d 4   5    .text   ascii   9\tZ&
242  0x000062a4 0x004062a4 5   11   .text   utf8    苐̳}c䡡 blocks=CJK Unified Ideographs,Combining Diacritical Marks,Basic Latin,CJK Unified Ideographs Extension A
243  0x00006382 0x00406382 4   5    .text   ascii   1xl-
244  0x00006496 0x00406496 4   5    .text   ascii   RV<v
245  0x000065e3 0x004065e3 4   8    .text   utf8    若̐|L blocks=CJK Unified Ideographs,Combining Diacritical Marks,Basic Latin
246  0x00006645 0x00406645 4   6    .text   utf8    CβHM blocks=Basic Latin,Greek and Coptic
247  0x00006685 0x00406685 4   5    .text   ascii   K^}X
248  0x000066b2 0x004066b2 4   5    .text   ascii   LjEA
249  0x000066de 0x004066de 4   6    .text   utf8    ;q&ؐ blocks=Basic Latin,Arabic
250  0x0000675c 0x0040675c 7   8    .text   ascii   ;L\r#\rF\n
251  0x00006802 0x00406802 4   7    .text   utf8    F!8㐐 blocks=Basic Latin,CJK Unified Ideographs Extension A
252  0x000068f3 0x004068f3 4   6    .text   utf8    Ǌ`I= blocks=Latin Extended-B,Basic Latin
253  0x00006913 0x00406913 4   5    .text   ascii   nhN1
254  0x0000692b 0x0040692b 4   5    .text   ascii   e%-n
255  0x00006980 0x00406980 5   6    .text   ascii   V@E$@
256  0x000069a6 0x004069a6 6   7    .text   ascii   PS:E\f\b
257  0x00006a84 0x00406a84 4   5    .text   ascii   eN+%
258  0x00006af6 0x00406af6 4   5    .text   ascii   =N(,
259  0x00006c8d 0x00406c8d 4   5    .text   ascii   \fH@-
260  0x00006d4e 0x00406d4e 4   5    .text   ascii   }>ZX
261  0x00006d76 0x00406d76 4   6    .text   utf8    Vck̐ blocks=Basic Latin,Combining Diacritical Marks
262  0x00006d9e 0x00406d9e 4   5    .text   ascii   1g7e
263  0x00006dc6 0x00406dc6 4   6    .text   utf8    2˕hC blocks=Basic Latin,Spacing Modifier Letters
264  0x00006df7 0x00406df7 6   7    .text   ascii   $\vhK\b\t
265  0x00006e1a 0x00406e1a 6   7    .text   ascii   6.QOi!
266  0x00006e81 0x00406e81 4   6    .text   utf8    r#}$
267  0x00006f74 0x00406f74 4   6    .text   utf8    ˕0A\ blocks=Spacing Modifier Letters,Basic Latin
268  0x00006f8d 0x00406f8d 7   8    .text   ascii   o)%Uw8w
269  0x00006fa9 0x00406fa9 6   7    .text   ascii   p\bl*vQ
270  0x00007044 0x00407044 5   6    .text   ascii   \r$=t\b
271  0x000070cd 0x004070cd 4   5    .text   ascii   r(~1
272  0x000070fa 0x004070fa 4   5    .text   ascii   \t2q&
273  0x000071ff 0x004071ff 4   6    .text   utf8    Zb$w
274  0x0000720d 0x0040720d 5   6    .text   ascii   )-_B,
275  0x000072d7 0x004072d7 8   10   .text   utf8    ̾i\aqH^._ blocks=Combining Diacritical Marks,Basic Latin
276  0x000073aa 0x004073aa 4   5    .text   ascii   ";WZ
277  0x000073d8 0x004073d8 4   5    .text   ascii   \Je\n
278  0x00007437 0x00407437 4   6    .text   utf8    =qnߦ blocks=Basic Latin,NKo
279  0x0000747b 0x0040747b 4   5    .text   ascii   vMG\f
280  0x000074a6 0x004074a6 4   7    .text   utf8    Rf搷+ blocks=Basic Latin,CJK Unified Ideographs
281  0x000074c6 0x004074c6 4   5    .text   ascii    D| 
282  0x000074d3 0x004074d3 4   5    .text   ascii   \v%\v 
283  0x000074f1 0x004074f1 4   6    .text   utf8    \e^0Ҷ blocks=Basic Latin,Cyrillic
284  0x0000755b 0x0040755b 4   5    .text   ascii   0P\f-
285  0x000075c4 0x004075c4 5   6    .text   ascii   boL@M
286  0x000075ed 0x004075ed 7   8    .text   ascii   (4[5Mvd
287  0x0000760a 0x0040760a 6   8    .text   utf8    p(C=\fƐ blocks=Basic Latin,Latin Extended-B
288  0x0000767c 0x0040767c 4   6    .text   utf8    ̴j%# blocks=Combining Diacritical Marks,Basic Latin
289  0x000077e6 0x004077e6 4   5    .text   ascii   \n[\vc
290  0x0000783b 0x0040783b 6   8    .text   utf8    |µo@e  blocks=Basic Latin,Latin-1 Supplement
291  0x0000784b 0x0040784b 4   5    .text   ascii   ,4&4
292  0x00007879 0x00407879 5   6    .text   ascii   $u\t%O
293  0x000078a3 0x004078a3 4   5    .text   ascii   Oy|&
294  0x00007970 0x00407970 4   5    .text   ascii   /}H.
295  0x000079ac 0x004079ac 5   6    .text   ascii   !-^O8
296  0x00007a1a 0x00407a1a 4   5    .text   ascii   VvKY
297  0x00007ad5 0x00407ad5 4   5    .text   ascii   y/\v(
298  0x00007ae8 0x00407ae8 4   5    .text   ascii   5O%S
299  0x00007b09 0x00407b09 5   7    .text   utf8    Fĵ\rmA blocks=Basic Latin,Latin Extended-A
300  0x00007b1f 0x00407b1f 5   7    .text   utf8    ߇eK^Z blocks=NKo,Basic Latin
301  0x00007bdc 0x00407bdc 4   6    .text   utf8    WY'֑ blocks=Basic Latin,Hebrew
302  0x00007beb 0x00407beb 4   5    .text   ascii   A{t2
303  0x00007bf3 0x00407bf3 4   5    .text   ascii   &&dU
304  0x00007c27 0x00407c27 5   7    .text   utf8    ~և>lR blocks=Basic Latin,Armenian
305  0x00007c61 0x00407c61 4   5    .text   ascii   |8:+
