[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
369  0x0000f0f7 0x1000fcf7 4   5    .text   ascii   t z$
370  0x0000f29c 0x1000fe9c 4   5    .text   ascii   t<|>
371  0x0000f484 0x10010084 5   6    .text   ascii   j>t>t
372  0x0000f6c2 0x100102c2 6   7    .text   ascii   ZZZ@OY
373  0x0000f761 0x10010361 6   7    .text   ascii   k>t><t
374  0x0000f795 0x10010395 4   5    .text   ascii   ?FcY
375  0x0000f7dd 0x100103dd 4   5    .text   ascii   ,7|\a
376  0x0000f7fa 0x100103fa 4   6    .text   utf8    ?\b/ܺ blocks=Basic Latin,Syriac
377  0x0000f945 0x10010545 11  12   .text   ascii   \r<333333333
378  0x0000f97c 0x1001057c 5   6    .text   ascii   3333t
379  0x0000f9b4 0x100105b4 12  13   .text   ascii   333333333333
380  0x0000f9fb 0x100105fb 4   5    .text   ascii   \v\b\ft
381  0x0000fad8 0x100106d8 4   5    .text   ascii   cpzc
