[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
364   0x00008271 0x00408271 4   5    .text   ascii    !Q 
365   0x0000828a 0x0040828a 5   6    .text   ascii   -,__U
366   0x00008294 0x00408294 4   5    .text   ascii   (-,\
367   0x00008299 0x00408299 9   10   .text   ascii   pgbVDkka\a
368   0x000082ab 0x004082ab 5   6    .text   ascii   vaFBn
369   0x000082ce 0x004082ce 13  14   .text   ascii   @D2K)(["?777/
370   0x000082e9 0x004082e9 7   8    .text   ascii   \f\bc>\b\b]
371   0x0000830d 0x0040830d 7   8    .text   ascii   P]FEEO\v
372   0x00008315 0x00408315 4   5    .text   ascii   0h\\
373   0x0000831d 0x0040831d 5   6    .text   ascii   ::8y 
374   0x0000833e 0x0040833e 7   8    .text   ascii   <<q]w=;
375   0x00008346 0x00408346 4   5    .text   ascii   0068
376   0x0000834c 0x0040834c 6   7    .text   ascii   jFl^En
377   0x00008353 0x00408353 4   6    .text   utf8    Σ}}} blocks=Greek and Coptic,Basic Latin
378   0x00008364 0x00408364 7   9    .text   utf8    IC;9ONȐ blocks=Basic Latin,Latin Extended-B
379   0x00008391 0x00408391 9   10   .text   ascii   fyyv~TTtt
