[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
84   0x000016ac 0x004022ac 4   6    CODE    utf8    ؍t$\b blocks=Arabic,Basic Latin
85   0x00001721 0x00402321 4   6    CODE    utf8    u\n3\t
86   0x0000179d 0x0040239d 4   5    CODE    ascii   ;\au\a
87   0x000017e6 0x004023e6 5   6    CODE    ascii   \f]_^[
88   0x0000180d 0x0040240d 5   7    CODE    utf8    ~\n3\tE
89   0x00001828 0x00402428 4   5    CODE    ascii   =MpC
90   0x00001969 0x00402569 4   5    CODE    ascii   ZYYd
91   0x00001975 0x00402575 4   5    CODE    ascii   =MpC
92   0x000019d2 0x004025d2 5   6    CODE    ascii   Uh_'@
93   0x000019df 0x004025df 4   5    CODE    ascii   =MpC
94   0x00001a60 0x00402660 4   5    CODE    ascii   ;B\bt
95   0x00001b0b 0x0040270b 5   6    CODE    ascii   x\b\f}\f
96   0x00001b40 0x00402740 4   5    CODE    ascii   ZYYd
97   0x00001b46 0x00402746 4   5    CODE    ascii   hf'@
98   0x00001b4c 0x0040274c 4   5    CODE    ascii   =MpC
99   0x00001b70 0x00402770 4   5    CODE    ascii   SVWU
100  0x00001bc4 0x004027c4 7   8    CODE    ascii   u,)- vC
101  0x00001be0 0x004027e0 4   5    CODE    ascii   - vC
102  0x00001c54 0x00402854 4   5    CODE    ascii   ue;=
103  0x00001c65 0x00402865 4   5    CODE    ascii   = vC
104  0x00001d6d 0x0040296d 7   9    CODE    utf8    \f]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
105  0x00001d90 0x00402990 5   7    CODE    utf8    u\n3\tE
106  0x00001d9e 0x0040299e 5   6    CODE    ascii   Uh-*@
107  0x00001dab 0x004029ab 4   5    CODE    ascii   =MpC
108  0x00001e0e 0x00402a0e 4   5    CODE    ascii   ZYYd
109  0x00001e14 0x00402a14 4   5    CODE    ascii   h4*@
110  0x00001e1a 0x00402a1a 4   5    CODE    ascii   =MpC
111  0x00001e37 0x00402a37 7   9    CODE    utf8    ^[YY]Í@ blocks=Basic Latin,Latin-1 Supplement
112  0x00001e69 0x00402a69 5   7    CODE    utf8    $Z[Í@ blocks=Basic Latin,Latin-1 Supplement
113  0x00001f2b 0x00402b2b 4   6    CODE    utf8    3҉P\b blocks=Basic Latin,Cyrillic
114  0x00001f52 0x00402b52 4   5    CODE    ascii   =\bpC
115  0x00001f78 0x00402b78 5   8    CODE    utf8    w\n3\nÊ blocks=Basic Latin,Latin-1 Supplement
116  0x00001faf 0x00402baf 4   5    CODE    ascii   YZXu
117  0x00001fdf 0x00402bdf 5   7    CODE    utf8    Ƌ|$\f1 blocks=Latin Extended-B,Basic Latin
118  0x0000205c 0x00402c5c 5   7    CODE    utf8    _^Ít1 blocks=Basic Latin,Latin-1 Supplement
119  0x00002080 0x00402c80 4   5    CODE    ascii   SVWU
120  0x000020b0 0x00402cb0 4   5    CODE    ascii   8"u\r
121  0x000020ce 0x00402cce 4   5    CODE    ascii   8"u@
122  0x0000214f 0x00402d4f 4   5    CODE    ascii   8"uP
123  0x000021df 0x00402ddf 4   5    CODE    ascii   ]_^[
124  0x00002201 0x00402e01 5   6    CODE    ascii   D$\bPj
125  0x00002242 0x00402e42 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
126  0x00002250 0x00402e50 4   6    CODE    utf8    , Ðf blocks=Basic Latin,Latin-1 Supplement
127  0x0000225d 0x00402e5d 4   5    CODE    ascii   - 0C
128  0x00002267 0x00402e67 4   6    CODE    utf8    <$XÐ blocks=Basic Latin,Latin-1 Supplement
129  0x00002279 0x00402e79 4   5    CODE    ascii   =,pC
130  0x0000229c 0x00402e9c 5   7    CODE    utf8    3\tC\fj
131  0x000022d2 0x00402ed2 4   6    CODE    utf8    ÐSVQ blocks=Latin-1 Supplement,Basic Latin
132  0x00002305 0x00402f05 8   11   CODE    utf8    3҉S\fZ^[Ë blocks=Basic Latin,Cyrillic,Latin-1 Supplement
133  0x00002343 0x00402f43 4   6    CODE    utf8    1\tF\f
134  0x00002354 0x00402f54 8   9    CODE    ascii   t\vHt Ht.
135  0x000023a1 0x00402fa1 5   6    CODE    ascii   F$ /@
136  0x0000250f 0x0040310f 5   7    CODE    utf8    3 40C
137  0x0000254e 0x0040314e 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
138  0x000025bb 0x004031bb 4   5    CODE    ascii   QSVW
139  0x0000263c 0x0040323c 5   6    CODE    ascii   _^[Y]
140  0x00002649 0x00403249 4   5    CODE    ascii   ]\bSh
141  0x00002669 0x00403269 4   5    CODE    ascii   ]\bSh
142  0x00002692 0x00403292 4   5    CODE    ascii   r/f=
143  0x00002698 0x00403298 4   5    CODE    ascii   w)f%
144  0x000026e4 0x004032e4 4   6    CODE    utf8    ˈ\bB@ blocks=Spacing Modifier Letters,Basic Latin
145  0x000026f5 0x004032f5 5   7    CODE    utf8    [ÐSVQ blocks=Basic Latin,Latin-1 Supplement
146  0x00002708 0x00403308 4   5    CODE    ascii   uENt
147  0x0000272f 0x0040332f 7   8    CODE    ascii   \b:\nu0Nt
148  0x0000273d 0x0040333d 5   6    CODE    ascii   u%Nt\b
149  0x00002764 0x00403364 5   7    CODE    utf8    ^[ÐSV blocks=Basic Latin,Latin-1 Supplement
150  0x00002790 0x00403390 4   5    CODE    ascii   v-f=
151  0x000027ce 0x004033ce 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
152  0x000027e3 0x004033e3 4   5    CODE    ascii   v)f=
153  0x0000281a 0x0040341a 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
154  0x0000283d 0x0040343d 4   6    CODE    utf8    _ÐSV blocks=Basic Latin,Latin-1 Supplement
155  0x0000289e 0x0040349e 5   6    CODE    ascii   C$@4@
156  0x00002941 0x00403541 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
157  0x00002949 0x00403549 4   5    CODE    ascii   \r\b0C
158  0x000029fb 0x004035fb 4   5    CODE    ascii   \tw%9
159  0x00002a1f 0x0040361f 6   7    CODE    ascii   ~KxI[)
