Missing bin header dwarf
[Sections]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
132 0x00011688 0x00411688 4   5    .rodata ascii 2dV2
133 0x00011690 0x00411690 4   5    .rodata ascii :tN:
134 0x000116b0 0x004116b0 4   5    .rodata ascii $Hl$
135 0x00011710 0x00411710 4   5    .rodata ascii 7nY7
136 0x00011790 0x00411790 4   5    .rodata ascii %Jo%
137 0x00011798 0x00411798 4   5    .rodata ascii .\r.
138 0x00011808 0x00411808 4   5    .rodata ascii >|B>
139 0x00011848 0x00411848 4   5    .rodata ascii 5j_5
140 0x000118f0 0x004118f0 4   5    .rodata ascii (Px(
141 0x00011950 0x00411950 4   5    .rodata ascii -Zw-
142 0x000119c0 0x004119c0 4   5    .rodata ascii `P00
143 0x000119d8 0x004119d8 4   5    .rodata ascii V}++
144 0x00011a98 0x00411a98 4   5    .rodata ascii Lj&&
145 0x00011aa0 0x00411aa0 4   5    .rodata ascii lZ66
146 0x00011aa8 0x00411aa8 4   5    .rodata ascii ~A??
147 0x00011ac0 0x00411ac0 4   5    .rodata ascii h\44
148 0x00011af0 0x00411af0 4   5    .rodata ascii bS11
149 0x00011b10 0x00411b10 4   5    .rodata ascii Fe##
150 0x00011b68 0x00411b68 4   5    .rodata ascii Ni''
151 0x00011b90 0x00411b90 4   5    .rodata ascii Xt,,
152 0x00011ba0 0x00411ba0 4   5    .rodata ascii 6-\e\e
153 0x00011bc8 0x00411bc8 4   5    .rodata ascii vM;;
154 0x00011be0 0x00411be0 4   5    .rodata ascii R{))
155 0x00011bf0 0x00411bf0 4   5    .rodata ascii ^q//
156 0x00011c20 0x00411c20 4   5    .rodata ascii @`  
157 0x00011c58 0x00411c58 4   5    .rodata ascii rK99
158 0x00011cb0 0x00411cb0 4   5    .rodata ascii fU33
159 0x00011ce8 0x00411ce8 4   5    .rodata ascii xD<<
160 0x00011d30 0x00411d30 4   5    .rodata ascii pH88
161 0x00011d58 0x00411d58 4   5    .rodata ascii Bc!!
162 0x00011dd8 0x00411dd8 4   5    .rodata ascii zG==
163 0x00011e20 0x00411e20 4   5    .rodata ascii Df""
164 0x00011e28 0x00411e28 4   5    .rodata ascii T~**
165 0x00011e88 0x00411e88 4   5    .rodata ascii dV22
166 0x00011e90 0x00411e90 4   5    .rodata ascii tN::
167 0x00011eb0 0x00411eb0 4   5    .rodata ascii Hl$$
168 0x00011f10 0x00411f10 4   5    .rodata ascii nY77
169 0x00011f90 0x00411f90 4   5    .rodata ascii Jo%%
170 0x00011f98 0x00411f98 4   5    .rodata ascii \r..
171 0x00012008 0x00412008 4   5    .rodata ascii |B>>
172 0x00012048 0x00412048 4   5    .rodata ascii j_55
173 0x000120f0 0x004120f0 4   5    .rodata ascii Px((
174 0x00012150 0x00412150 4   5    .rodata ascii Zw--
arch     x86
baddr    0x400000
binsz    84378
bintype  elf
bits     64
canary   false
class    ELF64
compiler GCC: (GNU) 4.4.7 20120313 (Red Hat 4.4.7-4)
crypto   false
endian   little
havecode true
intrp    /lib64/ld-linux-x86-64.so.2
laddr    0x0
lang     c
linenum  false
lsyms    false
machine  AMD x86-64 architecture
nx       true
os       linux
pic      false
relocs   false
relro    no
rpath    NONE
sanitize false
static   false
stripped true
subsys   linux
va       true
0x00000000  ELF64       0x464c457f
0x00000010  Type        0x0002
0x00000012  Machine     0x003e
0x00000014  Version     0x00000001
0x00000018  Entrypoint  0x00401d40
0x00000020  PhOff       0x00000040
0x00000028  ShOff       0x000149a0
0x00000030  Flags       0x00000000
0x00000034  EhSize      64
0x00000036  PhentSize   56
0x00000038  PhNum       8
0x0000003a  ShentSize   64
0x0000003c  ShNum       28
0x0000003e  ShrStrndx   27
[Linked libraries]
libutil.so.1
libpthread.so.0
libdl.so.2
libc.so.6

4 libraries
[Relocations]

vaddr      paddr      type   name
―――――――――――――――――――――――――――――――――
0x006141e8 0x000141e8 SET_64 __gmon_start__
0x00614208 0x00014208 SET_64 daemon
0x00614210 0x00014210 SET_64 chmod
0x00614218 0x00014218 SET_64 dup2
0x00614220 0x00014220 SET_64 execv
0x00614228 0x00014228 SET_64 fseeko64
0x00614230 0x00014230 SET_64 memset
0x00614238 0x00014238 SET_64 setsid
0x00614240 0x00014240 SET_64 shutdown
0x00614248 0x00014248 SET_64 close
0x00614250 0x00014250 SET_64 ioctl
0x00614258 0x00014258 SET_64 ttyname
0x00614260 0x00014260 SET_64 gethostbyname
0x00614268 0x00014268 SET_64 fseek
0x00614270 0x00014270 SET_64 pthread_cond_signal
0x00614278 0x00014278 SET_64 select
0x00614280 0x00014280 SET_64 exit
0x00614288 0x00014288 SET_64 gettimeofday
0x00614290 0x00014290 SET_64 execl
0x00614298 0x00014298 SET_64 read
0x006142a0 0x000142a0 SET_64 malloc
0x006142a8 0x000142a8 SET_64 fopen
