[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
979  0x00012deb 0x004139eb 6   8    CODE    utf8    C\a[ÐSV blocks=Basic Latin,Latin-1 Supplement
980  0x00012df6 0x004139f6 4   5    CODE    ascii   :^\au
981  0x00012e06 0x00413a06 7   9    CODE    utf8    ^\a^[ÐSV blocks=Basic Latin,Latin-1 Supplement
982  0x00012e17 0x00413a17 4   6    CODE    utf8    3\tF 
983  0x00012e1d 0x00413a1d 6   8    CODE    utf8    F$3\tF(
984  0x00012e4f 0x00413a4f 4   7    CODE    utf8    3ҋƋ\b blocks=Basic Latin,Cyrillic,Latin Extended-B
985  0x00012e73 0x00413a73 4   5    CODE    ascii   S<^[
986  0x00012e78 0x00413a78 5   6    CODE    ascii   SVWUQ
987  0x00012ed2 0x00413ad2 8   10   CODE    utf8    $Z]_^[Í@ blocks=Basic Latin,Latin-1 Supplement
988  0x00012eeb 0x00413aeb 4   7    CODE    utf8    ؋ЋC$ blocks=Arabic,Cyrillic,Basic Latin
989  0x00012ef2 0x00413af2 4   6    CODE    utf8    S [Ë blocks=Basic Latin,Latin-1 Supplement
990  0x00012f07 0x00413b07 4   7    CODE    utf8    ؋ЋC, blocks=Arabic,Cyrillic,Basic Latin
991  0x00012f0e 0x00413b0e 4   6    CODE    utf8    S([Ë blocks=Basic Latin,Latin-1 Supplement
992  0x00012f3d 0x00413b3d 4   7    CODE    utf8    3ҋË\b blocks=Basic Latin,Cyrillic,Latin-1 Supplement
993  0x00012fba 0x00413bba 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
994  0x00013063 0x00413c63 8   10   CODE    utf8    YZ[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
995  0x00013084 0x00413c84 7   8    CODE    ascii   D$\f;t$\f
996  0x000130d0 0x00413cd0 5   6    CODE    ascii   ;t$\f~
997  0x000130e3 0x00413ce3 4   5    CODE    ascii   ]_^[
998  0x00013116 0x00413d16 6   9    CODE    utf8    _^[Ë\v@ blocks=Basic Latin,Latin-1 Supplement
999  0x0001317b 0x00413d7b 7   9    CODE    utf8    Q(^ÐSVQ blocks=Basic Latin,Latin-1 Supplement
1000 0x000131b6 0x00413db6 7   9    CODE    utf8    $Z^[ÐSV blocks=Basic Latin,Latin-1 Supplement
1001 0x000131c7 0x00413dc7 4   5    CODE    ascii   Sd^[
1002 0x00013217 0x00413e17 4   5    CODE    ascii   _^[]
1003 0x00013291 0x00413e91 4   5    CODE    ascii   _^[]
1004 0x000132ef 0x00413eef 7   9    CODE    utf8    _^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
1005 0x000133de 0x00413fde 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
1006 0x00013414 0x00414014 7   10   CODE    utf8    S4_^[Ë: blocks=Basic Latin,Latin-1 Supplement
1007 0x0001349c 0x0041409c 4   6    CODE    utf8    YZÐS blocks=Basic Latin,Latin-1 Supplement
1008 0x000134b8 0x004140b8 4   5    CODE    ascii   T$\fj
1009 0x000134d4 0x004140d4 7   10   CODE    utf8    t$\f3ҋË\b blocks=Basic Latin,Cyrillic,Latin-1 Supplement
1010 0x00013662 0x00414262 4   8    CODE    utf8    3ɊˋƋ blocks=Basic Latin,Latin Extended-B,Spacing Modifier Letters
1011 0x0001367a 0x0041427a 5   6    CODE    ascii   ^[YY]
1012 0x000136b7 0x004142b7 7   9    CODE    utf8    _^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
1013 0x000136f4 0x004142f4 5   7    CODE    utf8    _^[Ë@ blocks=Basic Latin,Latin-1 Supplement
1014 0x00013746 0x00414346 5   9    CODE    utf8    ڋȋÙRP blocks=Arabic,Latin Extended-B,Latin-1 Supplement,Basic Latin
1015 0x00013753 0x00414353 5   7    CODE    utf8    R\b[ÐU blocks=Basic Latin,Latin-1 Supplement
1016 0x00013762 0x00414362 6   9    CODE    utf8    u\b3ҋË\b blocks=Basic Latin,Cyrillic,Latin-1 Supplement
1017 0x00013797 0x00414397 4   5    CODE    ascii   E\bPj
1018 0x000137ca 0x004143ca 6   8    CODE    utf8    SVW3ۉ] blocks=Basic Latin,Arabic
1019 0x000137ed 0x004143ed 4   6    CODE    utf8    ؋}\f3 blocks=Arabic,Basic Latin
1020 0x000138d4 0x004144d4 4   5    CODE    ascii   ZYYd
1021 0x00013946 0x00414546 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
1022 0x0001399d 0x0041459d 4   5    CODE    ascii   F\b;E
1023 0x000139d1 0x004145d1 4   5    CODE    ascii   ZYYd
1024 0x000139ee 0x004145ee 8   10   CODE    utf8    _^[YY]Í@ blocks=Basic Latin,Latin-1 Supplement
1025 0x000139fb 0x004145fb 4   5    CODE    ascii   QSVW
1026 0x00013a19 0x00414619 5   6    CODE    ascii   UhoFA
1027 0x00013a59 0x00414659 4   5    CODE    ascii   ZYYd
1028 0x00013a5f 0x0041465f 4   5    CODE    ascii   hvFA
1029 0x00013a76 0x00414676 5   6    CODE    ascii   _^[Y]
1030 0x00013ac0 0x004146c0 4   6    CODE    utf8    ^[ÐS blocks=Basic Latin,Latin-1 Supplement
1031 0x00013ae5 0x004146e5 5   7    CODE    utf8    [ÐVWS blocks=Basic Latin,Latin-1 Supplement
1032 0x00013b0b 0x0041470b 5   7    CODE    utf8    V)ˋF\b blocks=Basic Latin,Spacing Modifier Letters
1033 0x00013b2d 0x0041472d 5   7    CODE    utf8    [_^Í@ blocks=Basic Latin,Latin-1 Supplement
1034 0x00013b6b 0x0041476b 4   7    CODE    utf8    ^[Ë2 blocks=Basic Latin,Latin-1 Supplement
1035 0x00013b95 0x00414795 4   6    CODE    utf8    3Ɋ\f$ blocks=Basic Latin,Latin Extended-B
1036 0x00013bac 0x004147ac 4   6    CODE    utf8    3Ɋ\f$ blocks=Basic Latin,Latin Extended-B
1037 0x00013bc2 0x004147c2 5   7    CODE    utf8    SV3ɉM blocks=Basic Latin,Latin Extended-B
1038 0x00013bcf 0x004147cf 5   6    CODE    ascii   UhiHA
1039 0x00013bff 0x004147ff 4   6    CODE    utf8    S3\tE
1040 0x00013c55 0x00414855 4   5    CODE    ascii   ZYYd
1041 0x00013c5b 0x0041485b 4   5    CODE    ascii   hpHA
1042 0x00013c70 0x00414870 6   8    CODE    utf8    ^[YY]Ë blocks=Basic Latin,Latin-1 Supplement
1043 0x00013c89 0x00414889 5   6    CODE    ascii   UhOIA
1044 0x00013cb9 0x004148b9 4   6    CODE    utf8    w3\tE
1045 0x00013d33 0x00414933 4   5    CODE    ascii   ZYYd
1046 0x00013d39 0x00414939 4   5    CODE    ascii   hVIA
1047 0x00013d98 0x00414998 4   5    CODE    ascii   ZYYd
1048 0x00013db3 0x004149b3 5   7    CODE    utf8    [Y]ÐU blocks=Basic Latin,Latin-1 Supplement
1049 0x00013e0b 0x00414a0b 5   7    CODE    utf8    [Y]ÐU blocks=Basic Latin,Latin-1 Supplement
1050 0x00013fe7 0x00414be7 4   5    CODE    ascii   ZYYd
1051 0x00014002 0x00414c02 4   6    CODE    utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
1052 0x00014012 0x00414c12 5   6    CODE    ascii   UhELA
1053 0x00014031 0x00414c31 4   5    CODE    ascii   ZYYd
1054 0x00014037 0x00414c37 4   5    CODE    ascii   hLLA
1055 0x000140a4 0x00414ca4 4   5    CODE    ascii   O\f+O
1056 0x000140dd 0x00414cdd 5   7    CODE    utf8    [_^Í@ blocks=Basic Latin,Latin-1 Supplement
1057 0x0001410c 0x00414d0c 4   5    CODE    ascii   SVWQ
1058 0x0001419f 0x00414d9f 4   5    CODE    ascii   Z_^[
1059 0x000141d5 0x00414dd5 4   5    CODE    ascii   ZYYd
1060 0x000141f0 0x00414df0 6   8    CODE    utf8    ^[Y]Í@ blocks=Basic Latin,Latin-1 Supplement
1061 0x00014216 0x00414e16 4   5    CODE    ascii   h<NA
1062 0x00014297 0x00414e97 4   5    CODE    ascii   ZYYd
1063 0x000142be 0x00414ebe 5   7    CODE    utf8    _^[]Ð blocks=Basic Latin,Latin-1 Supplement
1064 0x000142d1 0x00414ed1 5   6    CODE    ascii   UhpOA
1065 0x00014364 0x00414f64 4   5    CODE    ascii   ZYYd
1066 0x0001436a 0x00414f6a 4   5    CODE    ascii   hwOA
1067 0x000143f9 0x00414ff9 4   5    CODE    ascii   ZYYd
1068 0x000143ff 0x00414fff 4   5    CODE    ascii   h\fPA
1069 0x0001442d 0x0041502d 5   6    CODE    ascii   UhdPA
1070 0x00014458 0x00415058 4   5    CODE    ascii   ZYYd
1071 0x0001445e 0x0041505e 4   5    CODE    ascii   hkPA
1072 0x000144c5 0x004150c5 18  19   CODE    ascii   ERegistryException
1073 0x00014536 0x00415136 11  12   CODE    ascii   \tTRegistryS
1074 0x000145e8 0x004151e8 5   7    CODE    utf8    ^[ÐSV blocks=Basic Latin,Latin-1 Supplement
1075 0x0001464d 0x0041524d 4   6    CODE    utf8    ؋C\b; blocks=Arabic,Basic Latin
1076 0x00014691 0x00415291 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
1077 0x000146b2 0x004152b2 5   7    CODE    utf8    SV3ۉ] blocks=Basic Latin,Arabic
1078 0x0001479d 0x0041539d 4   5    CODE    ascii   ZYYd
1079 0x000147f3 0x004153f3 4   5    CODE    ascii   C\bPj
1080 0x00014832 0x00415432 6   8    CODE    utf8    S\f^[ÐU blocks=Basic Latin,Latin-1 Supplement
1081 0x0001483e 0x0041543e 8   11   CODE    utf8    SVW3ɉMԉM blocks=Basic Latin,Latin Extended-B,Cyrillic Supplement
1082 0x00014886 0x00415486 4   5    CODE    ascii   |JC3
1083 0x00014892 0x00415492 4   9    CODE    utf16le jjjj
1084 0x000148cc 0x004154cc 5   6    CODE    ascii   Q8FKu
1085 0x000148d4 0x004154d4 4   5    CODE    ascii   ZYYd
1086 0x00014900 0x00415500 5   6    CODE    ascii   SVWUQ
1087 0x00014920 0x00415520 5   6    CODE    ascii   D$\bPj
1088 0x00014949 0x00415549 8   10   CODE    utf8    Z]_^[ÐSV blocks=Basic Latin,Latin-1 Supplement
1089 0x00014971 0x00415571 5   7    CODE    utf8    YZ^[Ë blocks=Basic Latin,Latin-1 Supplement
1090 0x000149f1 0x004155f1 4   5    CODE    ascii   E\fPW
1091 0x00014a7e 0x0041567e 4   6    CODE    utf8    YZÍ@ blocks=Basic Latin,Latin-1 Supplement
1092 0x00014acc 0x004156cc 4   5    CODE    ascii   ZYYd
1093 0x00014af4 0x004156f4 4   5    CODE    ascii   SVWU
1094 0x00014b12 0x00415712 4   9    CODE    utf16le jjjj
1095 0x00014b69 0x00415769 5   7    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
1096 0x00014b76 0x00415776 4   6    CODE    utf8    S3ۉ] blocks=Basic Latin,Arabic
1097 0x00014b98 0x00415798 4   9    CODE    utf16le jjjj
1098 0x00014bd6 0x004157d6 4   5    CODE    ascii   ZYYd
1099 0x00014c01 0x00415801 5   7    CODE    utf8    SVW3\t
1100 0x00014c32 0x00415832 5   6    CODE    ascii   Uh>]A
1101 0x00014c93 0x00415893 5   7    CODE    utf8    3ɺX]A blocks=Basic Latin,IPA Extensions
1102 0x00014e41 0x00415a41 4   5    CODE    ascii   h0^A
1103 0x00014e4c 0x00415a4c 5   6    CODE    ascii   0h@^A
1104 0x00015112 0x00415d12 4   5    CODE    ascii   ZYYd
1105 0x00015118 0x00415d18 4   5    CODE    ascii   hE]A
1106 0x00015158 0x00415d58 89  90   CODE    ascii   Software\Microsoft\Windows NT\CurrentVersion\Windows Messaging Subsystem\Profiles\Outlook
1107 0x000151bc 0x00415dbc 90  91   CODE    ascii   Software\Microsoft\Windows NT\CurrentVersion\Windows Messaging Subsystem\Profiles\Outlook\
1108 0x00015220 0x00415e20 5   6    CODE    ascii   EMail
1109 0x00015230 0x00415e30 5   6    CODE    ascii   email
1110 0x00015240 0x00415e40 7   8    CODE    ascii   Outlook
1111 0x00015250 0x00415e50 9   10   CODE    ascii   IMAP User
1112 0x00015264 0x00415e64 13  14   CODE    ascii   IMAP Password
1113 0x0001527c 0x00415e7c 9   10   CODE    ascii   POP3 User
1114 0x00015290 0x00415e90 13  14   CODE    ascii   POP3 Password
1115 0x000152dc 0x00415edc 4   5    CODE    ascii   ZYYd
1116 0x000152f7 0x00415ef7 5   7    CODE    utf8    [Y]ÐU blocks=Basic Latin,Latin-1 Supplement
1117 0x00015301 0x00415f01 5   6    CODE    ascii   Uh-_A
1118 0x00015321 0x00415f21 4   5    CODE    ascii   ZYYd
1119 0x00015327 0x00415f27 4   5    CODE    ascii   h4_A
1120 0x00015340 0x00415f40 64  65   CODE    ascii   ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/
1121 0x00015389 0x00415f89 9   10   CODE    ascii   QQQQQQSVW
1122 0x00015399 0x00415f99 5   6    CODE    ascii   Uh}`A
1123 0x000153b3 0x00415fb3 4   7    CODE    utf8    3ҊӋM blocks=Basic Latin,Cyrillic
1124 0x000153e5 0x00415fe5 4   7    CODE    utf8    3ҊӋM blocks=Basic Latin,Cyrillic
1125 0x00015464 0x00416064 4   5    CODE    ascii   ZYYd
1126 0x000154a5 0x004160a5 5   6    CODE    ascii   Uh3aA
1127 0x0001551a 0x0041611a 4   5    CODE    ascii   ZYYd
1128 0x00015520 0x00416120 4   5    CODE    ascii   h:aA
1129 0x00015545 0x00416145 5   6    CODE    ascii   UheaA
1130 0x00015559 0x00416159 4   5    CODE    ascii   ZYYd
1131 0x0001555f 0x0041615f 4   5    CODE    ascii   hlaA
1132 0x000155c4 0x004161c4 4   5    CODE    ascii   ZYYd
1133 0x000155e1 0x004161e1 5   7    CODE    utf8    [Y]Í@ blocks=Basic Latin,Latin-1 Supplement
1134 0x00015604 0x00416204 72  73   CODE    ascii   Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\AppData
1135 0x00015655 0x00416255 6   7    CODE    ascii   QQQQQQ
1136 0x00015879 0x00416479 4   5    CODE    ascii   ZYYd
1137 0x000158a8 0x004164a8 6   7    CODE    ascii   <Host>
1138 0x000158b8 0x004164b8 7   8    CODE    ascii   </Host>
1139 0x000158d4 0x004164d4 9   10   CODE    ascii   FileZilla
1140 0x000158e8 0x004164e8 6   7    CODE    ascii   <User>
1141 0x000158f8 0x004164f8 7   8    CODE    ascii   </User>
1142 0x00015908 0x00416508 24  25   CODE    ascii   <Pass encoding="base64">
1143 0x0001592c 0x0041652c 7   8    CODE    ascii   </Pass>
1144 0x0001593d 0x0041653d 6   8    CODE    utf8    SVW3ɉM blocks=Basic Latin,Latin Extended-B
1145 0x00015954 0x00416554 5   6    CODE    ascii   Uh\tfA
1146 0x000159cc 0x004165cc 4   5    CODE    ascii   ZYYd
1147 0x000159f0 0x004165f0 4   5    CODE    ascii   ZYYd
1148 0x00015a1b 0x0041661b 5   11   CODE    utf16le jjjjj
1149 0x00015a90 0x00416690 4   6    CODE    utf8    I3ҋE blocks=Basic Latin,Cyrillic
1150 0x00015ae8 0x004166e8 4   5    CODE    ascii   ZYYd
1151 0x00015aee 0x004166ee 4   5    CODE    ascii   h\bgA
1152 0x00015b96 0x00416796 4   5    CODE    ascii   ZYYd
1153 0x00015bc4 0x004167c4 26  27   CODE    ascii   \FileZilla\sitemanager.xml
1154 0x00015c11 0x00416811 4   5    CODE    ascii   ZYYd
1155 0x00015c17 0x00416817 4   5    CODE    ascii   h$hA
1156 0x00015c4c 0x0041684c 6   8    CODE    utf8    ; s\b3\t
1157 0x00015c58 0x00416858 4   5    CODE    ascii   h\bjA
1158 0x00015c7c 0x0041687c 4   5    CODE    ascii   h,jA
1159 0x00015c8e 0x0041688e 4   5    CODE    ascii   h@jA
1160 0x00015ca0 0x004168a0 4   5    CODE    ascii   h,jA
1161 0x00015cb2 0x004168b2 4   5    CODE    ascii   h@jA
1162 0x00015cc4 0x004168c4 4   5    CODE    ascii   hXjA
1163 0x00015cd6 0x004168d6 4   5    CODE    ascii   hljA
1164 0x00015d54 0x00416954 4   5    CODE    ascii   h\bkA
1165 0x00015d8a 0x0041698a 4   5    CODE    ascii   h\bkA
1166 0x00015d9c 0x0041699c 4   5    CODE    ascii   h$kA
1167 0x00015dae 0x004169ae 4   5    CODE    ascii   h8kA
1168 0x00015dc0 0x004169c0 4   5    CODE    ascii   hTkA
1169 0x00015dd2 0x004169d2 4   5    CODE    ascii   hpkA
1170 0x00015dfc 0x004169fc 9   10   CODE    ascii   PSAPI.dll
1171 0x00015e08 0x00416a08 13  14   CODE    ascii   EnumProcesses
1172 0x00015e18 0x00416a18 18  19   CODE    ascii   EnumProcessModules
1173 0x00015e2c 0x00416a2c 18  19   CODE    ascii   GetModuleBaseNameA
1174 0x00015e40 0x00416a40 20  21   CODE    ascii   GetModuleFileNameExA
1175 0x00015e58 0x00416a58 18  19   CODE    ascii   GetModuleBaseNameW
1176 0x00015e6c 0x00416a6c 20  21   CODE    ascii   GetModuleFileNameExW
1177 0x00015e84 0x00416a84 20  21   CODE    ascii   GetModuleInformation
1178 0x00015e9c 0x00416a9c 15  16   CODE    ascii   EmptyWorkingSet
1179 0x00015eac 0x00416aac 15  16   CODE    ascii   QueryWorkingSet
1180 0x00015ebc 0x00416abc 27  28   CODE    ascii   InitializeProcessForWsWatch
1181 0x00015ed8 0x00416ad8 18  19   CODE    ascii   GetMappedFileNameA
1182 0x00015eec 0x00416aec 24  25   CODE    ascii   GetDeviceDriverBaseNameA
1183 0x00015f08 0x00416b08 24  25   CODE    ascii   GetDeviceDriverFileNameA
1184 0x00015f24 0x00416b24 18  19   CODE    ascii   GetMappedFileNameW
1185 0x00015f38 0x00416b38 24  25   CODE    ascii   GetDeviceDriverBaseNameW
1186 0x00015f54 0x00416b54 24  25   CODE    ascii   GetDeviceDriverFileNameW
1187 0x00015f70 0x00416b70 17  18   CODE    ascii   EnumDeviceDrivers
1188 0x00015f84 0x00416b84 20  21   CODE    ascii   GetProcessMemoryInfo
1189 0x00015fac 0x00416bac 5   6    CODE    ascii   t\vWVS
1190 0x00015fbb 0x00416bbb 5   7    CODE    utf8    _^[ÐU blocks=Basic Latin,Latin-1 Supplement
1191 0x00015fd6 0x00416bd6 6   7    CODE    ascii   E\bPWVS
1192 0x00015fe6 0x00416be6 4   5    CODE    ascii   _^[]
1193 0x00016006 0x00416c06 6   7    CODE    ascii   E\bPWVS
1194 0x00016016 0x00416c16 4   5    CODE    ascii   _^[]
1195 0x00016025 0x00416c25 5   6    CODE    ascii   UhElA
1196 0x00016039 0x00416c39 4   5    CODE    ascii   ZYYd
1197 0x0001603f 0x00416c3f 4   5    CODE    ascii   hLlA
1198 0x00016057 0x00416c57 5   8    CODE    utf8    ËȺtlA blocks=Latin-1 Supplement,Latin Extended-B,Basic Latin
1199 0x00016074 0x00416c74 72  73   CODE    ascii   Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\AppData
1200 0x000160c0 0x00416cc0 4   5    CODE    ascii   SVWU
1201 0x0001610f 0x00416d0f 4   5    CODE    ascii   ]_^[
1202 0x00016126 0x00416d26 5   6    CODE    ascii   UhtmA
1203 0x00016160 0x00416d60 4   5    CODE    ascii   ZYYd
1204 0x00016166 0x00416d66 4   5    CODE    ascii   h{mA
1205 0x0001617d 0x00416d7d 5   7    CODE    utf8    [Y]Í@ blocks=Basic Latin,Latin-1 Supplement
1206 0x0001618d 0x00416d8d 5   7    CODE    utf8    SVW3҉ blocks=Basic Latin,Cyrillic
1207 0x000161d5 0x00416dd5 5   6    CODE    ascii   UhgpA
1208 0x000163d5 0x00416fd5 4   5    CODE    ascii   h4qA
1209 0x000163e0 0x00416fe0 5   6    CODE    ascii   0h@qA
1210 0x0001645f 0x0041705f 4   5    CODE    ascii   ZYYd
1211 0x00016483 0x00417083 4   5    CODE    ascii   ZYYd
1212 0x000164c4 0x004170c4 10  11   CODE    ascii   <protocol>
1213 0x000164d8 0x004170d8 11  12   CODE    ascii   </protocol>
1214 0x000164ec 0x004170ec 6   7    CODE    ascii   <name>
1215 0x000164fc 0x004170fc 7   8    CODE    ascii   </name>
1216 0x0001650c 0x0041710c 10  11   CODE    ascii   <password>
1217 0x00016520 0x00417120 11  12   CODE    ascii   </password>
1218 0x00016540 0x00417140 6   7    CODE    ascii   Pidgin
1219 0x000165a9 0x004171a9 4   5    CODE    ascii   ZYYd
1220 0x000165d8 0x004171d8 21  22   CODE    ascii   \.purple\accounts.xml
1221 0x00016619 0x00417219 5   6    CODE    ascii   UhErA
1222 0x00016639 0x00417239 4   5    CODE    ascii   ZYYd
1223 0x0001663f 0x0041723f 4   5    CODE    ascii   hLrA
1224 0x0001665d 0x0041725d 5   6    CODE    ascii   Uh}rA
1225 0x00016671 0x00417271 4   5    CODE    ascii   ZYYd
1226 0x00016696 0x00417296 4   6    CODE    utf8    S3҉U blocks=Basic Latin,Cyrillic
1227 0x00016701 0x00417301 4   5    CODE    ascii   ZYYd
1228 0x00016707 0x00417307 4   5    CODE    ascii   h!sA
1229 0x00016788 0x00417388 4   6    CODE    utf8    G1ۋE blocks=Basic Latin,Arabic
1230 0x000167de 0x004173de 4   5    CODE    ascii   |8G1
1231 0x000167f9 0x004173f9 4   5    CODE    ascii   fPfQ
1232 0x0001680a 0x0041740a 4   5    CODE    ascii   fYfX
1233 0x00016813 0x00417413 4   5    CODE    ascii   3COu
1234 0x00016858 0x00417458 4   5    CODE    ascii   |$G1
1235 0x00016879 0x00417479 4   5    CODE    ascii   3COu
1236 0x0001688d 0x0041748d 4   5    CODE    ascii   |@G1
1237 0x000168ca 0x004174ca 4   5    CODE    ascii   3COu
1238 0x00016a03 0x00417603 4   5    CODE    ascii   ZYYd
1239 0x00016a09 0x00417609 4   5    CODE    ascii   h$vA
1240 0x00016a24 0x00417624 6   8    CODE    utf8    ^[Y]Í@ blocks=Basic Latin,Latin-1 Supplement
1241 0x00016c1e 0x0041781e 4   5    CODE    ascii   hLyA
1242 0x00016c29 0x00417829 5   6    CODE    ascii   0hXyA
1243 0x00016cbf 0x004178bf 4   5    CODE    ascii   ZYYd
1244 0x00016cfc 0x004178fc 12  13   CODE    ascii   \Wcx_ftp.ini
1245 0x00016d14 0x00417914 5   6    CODE    ascii   host=
1246 0x00016d24 0x00417924 9   10   CODE    ascii   username=
1247 0x00016d38 0x00417938 9   10   CODE    ascii   password=
1248 0x00016d58 0x00417958 5   6    CODE    ascii   Total
1249 0x00016d69 0x00417969 4   6    CODE    utf8    SV3\t
1250 0x00016d92 0x00417992 4   6    CODE    utf8     3ۍE blocks=Basic Latin,Arabic
1251 0x00016dbe 0x004179be 4   9    CODE    utf16le jjjj
1252 0x00016e6b 0x00417a6b 4   5    CODE    ascii   ZYYd
1253 0x00016e94 0x00417a94 56  57   CODE    ascii   Local Settings\Software\Microsoft\Windows\Shell\MuiCache
1254 0x00016ed8 0x00417ad8 12  13   CODE    ascii   \wcx_ftp.ini
1255 0x00016f04 0x00417b04 5   7    CODE    utf8    SVW3\t
1256 0x00016f23 0x00417b23 5   6    CODE    ascii   UhI|A
1257 0x0001702d 0x00417c2d 4   5    CODE    ascii   ZYYd
1258 0x00017033 0x00417c33 4   5    CODE    ascii   hP|A
1259 0x00017060 0x00417c60 12  13   CODE    ascii   \wcx_ftp.ini
1260 0x000170cf 0x00417ccf 4   5    CODE    ascii   ZYYd
1261 0x000170e2 0x00417ce2 4   6    CODE    utf8    ]Ã-, blocks=Basic Latin,Latin-1 Supplement
1262 0x000170f2 0x00417cf2 6   8    CODE    utf8    SVW3ɉM blocks=Basic Latin,Latin Extended-B
1263 0x000171d9 0x00417dd9 4   5    CODE    ascii   ZYYd
1264 0x00017201 0x00417e01 4   6    CODE    utf8    ]ÐSQ blocks=Basic Latin,Latin-1 Supplement
1265 0x000172d5 0x00417ed5 9   11   CODE    utf8    YZ_^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
1266 0x00017315 0x00417f15 7   8    CODE    ascii   |$\bf#4}
1267 0x0001732a 0x00417f2a 4   5    CODE    ascii   CBIu
1268 0x0001732f 0x00417f2f 4   6    CODE    utf8    3\tD$
1269 0x0001734a 0x00417f4a 4   6    CODE    utf8    \tD$\b
1270 0x00017356 0x00417f56 4   6    CODE    utf8    \tD$\b
1271 0x0001735c 0x00417f5c 4   5    CODE    ascii   D$\b@
1272 0x00017365 0x00417f65 5   7    CODE    utf8    D$\b3҉ blocks=Basic Latin,Cyrillic
1273 0x00017372 0x00417f72 5   7    CODE    utf8    D$\f3҉ blocks=Basic Latin,Cyrillic
1274 0x0001737e 0x00417f7e 5   7    CODE    utf8    3ɍD$L blocks=Basic Latin,Latin Extended-B
1275 0x000173e8 0x00417fe8 4   5    CODE    ascii   |$\b\t
1276 0x00017401 0x00418001 4   5    CODE    ascii   |$\f\t
1277 0x00017434 0x00418034 5   7    CODE    utf8    _^[Ê\b blocks=Basic Latin,Latin-1 Supplement
1278 0x00017467 0x00418067 4   5    CODE    ascii   \b\t\n@
1279 0x000174ab 0x004180ab 4   5    CODE    ascii   \b\t\n@
1280 0x0001755c 0x0041815c 5   6    CODE    ascii   33333
1281 0x0001770e 0x0041830e 5   6    CODE    ascii   33333
1282 0x0001774f 0x0041834f 7   9    CODE    utf8    YZ_^[Í@ blocks=Basic Latin,Latin-1 Supplement
1283 0x000177b3 0x004183b3 5   7    CODE    utf8    _^[ÐU blocks=Basic Latin,Latin-1 Supplement
1284 0x000177be 0x004183be 6   8    CODE    utf8    SVW3ɉM blocks=Basic Latin,Latin Extended-B
1285 0x00017890 0x00418490 4   5    CODE    ascii   ZYYd
1286 0x000179a5 0x004185a5 7   9    CODE    utf8    YZ_^[ÐU blocks=Basic Latin,Latin-1 Supplement
1287 0x00017bc9 0x004187c9 4   5    CODE    ascii   ZYYd
1288 0x00017c04 0x00418804 35  36   CODE    ascii   SOFTWARE\RealVNC\vncserver\Password
1289 0x00017c30 0x00418830 34  35   CODE    ascii   SOFTWARE\RealVNC\vncserver\RfbPort
1290 0x00017c5c 0x0041885c 35  36   CODE    ascii   SOFTWARE\RealVNC\vncserver\HttpPort
1291 0x00017c94 0x00418894 7   8    CODE    ascii   RealVNC
1292 0x00017ca4 0x004188a4 33  34   CODE    ascii   SOFTWARE\RealVNC\WinVNC4\Password
1293 0x00017cd0 0x004188d0 35  36   CODE    ascii   SOFTWARE\RealVNC\WinVNC4\PortNumber
1294 0x00017fd4 0x00418bd4 4   5    CODE    ascii   ZYYd
1295 0x00018008 0x00418c08 33  34   CODE    ascii   SOFTWARE\TightVNC\Server\Password
1296 0x00018034 0x00418c34 32  33   CODE    ascii   SOFTWARE\TightVNC\Server\RfbPort
1297 0x00018060 0x00418c60 33  34   CODE    ascii   SOFTWARE\TightVNC\Server\HttpPort
1298 0x00018098 0x00418c98 8   9    CODE    ascii   TightVNC
1299 0x000180ac 0x00418cac 41  42   CODE    ascii   SOFTWARE\TightVNC\Server\PasswordViewOnly
1300 0x000180dd 0x00418cdd 8   9    CODE    ascii   QQQQQQQ3
1301 0x00018254 0x00418e54 4   5    CODE    ascii   ZYYd
1302 0x00018288 0x00418e88 34  35   CODE    ascii   SOFTWARE\TigerVNC\WinVNC4\Password
1303 0x000182b4 0x00418eb4 36  37   CODE    ascii   SOFTWARE\TigerVNC\WinVNC4\PortNumber
1304 0x000182e4 0x00418ee4 40  41   CODE    ascii   SOFTWARE\TigerVNC\WinVNC4\HTTPPortNumber
1305 0x00018324 0x00418f24 8   9    CODE    ascii   TigerVNC
1306 0x00018376 0x00418f76 4   5    CODE    ascii   ZYYd
