[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
198  0x00003bf1 0x004047f1 4   7    CODE    utf8    ZÐ1Ʌ blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
199  0x00003bf8 0x004047f8 6   7    CODE    ascii   t!R:\nt
200  0x00003c07 0x00404807 4   5    CODE    ascii   t\v:J
201  0x00003c28 0x00404828 11  12   CODE    ascii   t-Rf;\nt f;J
202  0x00003c60 0x00404860 4   6    CODE    utf8    1Ɋ\nB blocks=Basic Latin,Latin Extended-B
203  0x00003c6a 0x0040486a 4   6    CODE    utf8    ÐWPQ blocks=Latin-1 Supplement,Basic Latin
204  0x00003cf2 0x004048f2 5   6    CODE    ascii   t\;\bt
205  0x00003d45 0x00404945 4   6    CODE    utf8    _^[É blocks=Basic Latin,Latin-1 Supplement
206  0x00003d58 0x00404958 5   6    CODE    ascii   SVWRP
207  0x00003d67 0x00404967 6   7    CODE    ascii   t\f9\bu\b
208  0x00003dd7 0x004049d7 5   6    CODE    ascii   Z_^[X
209  0x00003e13 0x00404a13 4   5    CODE    ascii   uXJt
210  0x00003e3f 0x00404a3f 4   5    CODE    ascii   uAJt
211  0x00003e46 0x00404a46 4   5    CODE    ascii   u:Jt
212  0x00003e82 0x00404a82 4   7    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
213  0x00003ead 0x00404aad 4   5    CODE    ascii   It2S
214  0x00003f02 0x00404b02 6   7    CODE    ascii   t&J|\e9
215  0x00003f4f 0x00404b4f 4   5    CODE    ascii   N|*9
216  0x00003f7c 0x00404b7c 4   6    CODE    utf8    _^[Å blocks=Basic Latin,Latin-1 Supplement
217  0x00003f86 0x00404b86 5   6    CODE    ascii   t1SVW
218  0x00003fac 0x00404bac 4   5    CODE    ascii   _^t\f
219  0x00003fc1 0x00404bc1 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
220  0x00004025 0x00404c25 5   7    CODE    utf8    ;_^[Ë blocks=Basic Latin,Latin-1 Supplement
221  0x00004043 0x00404c43 4   5    CODE    ascii   $Z^[
222  0x000040ce 0x00404cce 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
223  0x000040f8 0x00404cf8 4   5    CODE    ascii   SVWU
224  0x0000417d 0x00404d7d 5   8    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
225  0x000041ac 0x00404dac 11  12   CODE    ascii   t-Rf;\nt f;J
226  0x0000423b 0x00404e3b 4   5    CODE    ascii   uAJt
227  0x0000428d 0x00404e8d 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
228  0x000042d6 0x00404ed6 4   5    CODE    ascii   _^[]
229  0x00004323 0x00404f23 5   7    CODE    utf8    Z^[Ð1 blocks=Basic Latin,Latin-1 Supplement
230  0x00004355 0x00404f55 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
231  0x0000437d 0x00404f7d 4   5    CODE    ascii   PSVW
232  0x0000438e 0x00404f8e 17  18   CODE    ascii   <\nt%<\vt><\ftQ<\rt\<
233  0x000043fc 0x00404ffc 4   6    CODE    utf8    ՋT.\n blocks=Armenian,Basic Latin
234  0x0000444d 0x0040504d 5   6    CODE    ascii   \v_^[X
235  0x00004459 0x00405059 6   9    CODE    utf8    _^[XË9 blocks=Basic Latin,Latin-1 Supplement
236  0x00004484 0x00405084 4   5    CODE    ascii   SVWU
237  0x000044e6 0x004050e6 4   5    CODE    ascii   ]_^[
238  0x00004521 0x00405121 4   6    CODE    utf8    [1ɊJ blocks=Basic Latin,Latin Extended-B
239  0x00004541 0x00405141 4   6    CODE    utf8    ;1ɊJ blocks=Basic Latin,Latin Extended-B
240  0x00004599 0x00405199 5   7    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
241  0x000045a0 0x004051a0 4   5    CODE    ascii   SVWU
242  0x000045a5 0x004051a5 5   9    CODE    utf8    É։ϋl$ blocks=Latin-1 Supplement,Armenian,Greek and Coptic,Basic Latin
243  0x000045dd 0x004051dd 4   5    CODE    ascii   ]_^[
244  0x00004624 0x00405224 4   6    CODE    utf8    f1ɊO blocks=Basic Latin,Latin Extended-B
245  0x0000468b 0x0040528b 4   5    CODE    ascii   ]_^[
246  0x00004978 0x00405578 7   9    CODE    utf8    ^[ÐSVWQ blocks=Basic Latin,Latin-1 Supplement
247  0x00004999 0x00405599 5   6    CODE    ascii   ;X\bt\a
248  0x000049a0 0x004055a0 5   6    CODE    ascii   ;X\fu\v
249  0x000049bf 0x004055bf 4   5    CODE    ascii   Z_^[
250  0x000049ea 0x004055ea 6   8    CODE    utf8    ^[Y]ÐU blocks=Basic Latin,Latin-1 Supplement
251  0x00004a60 0x00405660 4   5    CODE    ascii   8\uA
252  0x00004b1b 0x0040571b 4   7    CODE    utf8    t{V赺 blocks=Basic Latin,CJK Unified Ideographs
253  0x00004ba4 0x004057a4 12  13   CODE    ascii   kernel32.dll
254  0x00004bb4 0x004057b4 16  17   CODE    ascii   GetLongPathNameA
255  0x00004bf7 0x004057f7 4   5    CODE    ascii   h\fZ@
256  0x00004c15 0x00405815 4   5    CODE    ascii   h\fZ@
257  0x00004c33 0x00405833 4   5    CODE    ascii   h(Z@
258  0x00004c9b 0x0040589b 4   5    CODE    ascii   hHZ@
259  0x00004cb7 0x004058b7 4   5    CODE    ascii   ZYYd
260  0x00004d3a 0x0040593a 4   5    CODE    ascii   8.t\v
261  0x00004e0c 0x00405a0c 24  25   CODE    ascii   Software\Borland\Locales
262  0x00004e28 0x00405a28 31  32   CODE    ascii   Software\Borland\Delphi\Locales
263  0x00004e79 0x00405a79 5   7    CODE    utf8    [ÐSVW blocks=Basic Latin,Latin-1 Supplement
264  0x00004efb 0x00405afb 7   9    CODE    utf8    YZ_^[Í@ blocks=Basic Latin,Latin-1 Supplement
265  0x00004f20 0x00405b20 5   6    CODE    ascii   Uh?[@
266  0x00004f37 0x00405b37 4   5    CODE    ascii   ZYYd
267  0x00004f57 0x00405b57 8   11   CODE    utf8    _^[YY]Ë\v blocks=Basic Latin,Latin-1 Supplement
268  0x00004f94 0x00405b94 4   5    CODE    ascii   ZYYd
269  0x00004ff0 0x00405bf0 4   6    CODE    utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
270  0x00005005 0x00405c05 5   7    CODE    utf8    P\bXÍ@ blocks=Basic Latin,Latin-1 Supplement
271  0x00005026 0x00405c26 4   6    CODE    utf8    P\bË\b blocks=Basic Latin,Latin-1 Supplement
272  0x0000518c 0x00405d8c 4   5    CODE    ascii   ;M\bs
273  0x000051a4 0x00405da4 5   6    CODE    ascii   ";M\bs
274  0x000051bf 0x00405dbf 7   8    CODE    ascii   FFF;M\br
275  0x000051cc 0x00405dcc 5   6    CODE    ascii   ^[YY]
276  0x000051e9 0x00405de9 5   7    CODE    utf8    u\n3\tE
