[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
4279 0x0003b8d5 0x0043c6d5 6   7    .data   ascii   })P?^'
4280 0x0003b90d 0x0043c70d 4   5    .data   ascii   xuC<
4281 0x0003b915 0x0043c715 4   5    .data   ascii   |\bmn
4282 0x0003b92c 0x0043c72c 6   7    .data   ascii   J\f<pdq
4283 0x0003b984 0x0043c784 4   5    .data   ascii   <;Pr
4284 0x0003b9aa 0x0043c7aa 4   5    .data   ascii   c|,a
4285 0x0003b9b9 0x0043c7b9 4   5    .data   ascii   K'dm
4286 0x0003ba29 0x0043c829 5   7    .data   utf8    WA"ɽL blocks=Basic Latin,IPA Extensions
4287 0x0003ba3c 0x0043c83c 4   5    .data   ascii   d4H8
4288 0x0003ba79 0x0043c879 6   9    .data   utf8    [ƽuœz< blocks=Basic Latin,Latin Extended-B,Latin Extended-A
4289 0x0003ba9c 0x0043c89c 4   5    .data   ascii   4YV%
4290 0x0003baa9 0x0043c8a9 6   7    .data   ascii   \elb4jy
4291 0x0003bb3e 0x0043c93e 4   6    .data   utf8    0gBU
4292 0x0003bbd5 0x0043c9d5 4   5    .data   ascii   N^X$
4293 0x0003bc06 0x0043ca06 4   5    .data   ascii   P7&\r
4294 0x0003bc21 0x0043ca21 5   7    .data   utf8    ۻy:xI blocks=Arabic,Basic Latin
4295 0x0003bc6f 0x0043ca6f 6   7    .data   ascii   9l?:AX
4296 0x0003bc8b 0x0043ca8b 4   5    .data   ascii   dAe-
4297 0x0003bc93 0x0043ca93 6   10   .data   utf8    /@Úоfˎ blocks=Basic Latin,Latin-1 Supplement,Cyrillic,Spacing Modifier Letters
4298 0x0003bd53 0x0043cb53 4   5    .data   ascii   c5X9
4299 0x0003bd63 0x0043cb63 4   6    .data   utf8    GGcם blocks=Basic Latin,Hebrew
4300 0x0003bd90 0x0043cb90 4   5    .data   ascii   K,\a{
4301 0x0003be13 0x0043cc13 7   9    .data   utf8    OXf`iڮh blocks=Basic Latin,Arabic
4302 0x0003be3a 0x0043cc3a 4   6    .data   utf8    ڕf2r blocks=Arabic,Basic Latin
4303 0x0003be77 0x0043cc77 4   5    .data   ascii   K5 v
4304 0x0003be86 0x0043cc86 6   9    .data   utf8    ]ęjqî7 blocks=Basic Latin,Latin Extended-A,Latin-1 Supplement
4305 0x0003bee4 0x0043cce4 5   6    .data   ascii   iVohC
4306 0x0003bf0c 0x0043cd0c 4   5    .data   ascii   4v@`
4307 0x0003bf4a 0x0043cd4a 5   7    .data   utf8    |ȶ`e7 blocks=Basic Latin,Latin Extended-B
4308 0x0003bfdd 0x0043cddd 8   10   .data   utf8    1J-ٗp%\fu blocks=Basic Latin,Arabic
4309 0x0003c00d 0x0043ce0d 4   5    .data   ascii   n9dx
4310 0x0003c06f 0x0043ce6f 4   6    .data   utf8    9\f+G
4311 0x0003c09a 0x0043ce9a 6   8    .data   utf8    kTUȚrV blocks=Basic Latin,Latin Extended-B
4312 0x0003c0a5 0x0043cea5 4   5    .data   ascii   9_;5
4313 0x0003c0d1 0x0043ced1 7   8    .data   ascii   6%=2x~&
4314 0x0003c0f4 0x0043cef4 6   7    .data   ascii   '\fh9o5
4315 0x0003c10c 0x0043cf0c 4   5    .data   ascii   <\am?
4316 0x0003c129 0x0043cf29 4   5    .data   ascii   f9E@
4317 0x0003c176 0x0043cf76 4   5    .data   ascii   fjl)
4318 0x0003c185 0x0043cf85 4   5    .data   ascii   ~oBX
4319 0x0003c1a0 0x0043cfa0 4   6    .data   utf8    YL"Ӡ blocks=Basic Latin,Cyrillic
4320 0x0003c1d5 0x0043cfd5 4   6    .data   utf8    bdcͬ blocks=Basic Latin,Combining Diacritical Marks
4321 0x0003c1e7 0x0043cfe7 4   6    .data   utf8    i1\fM
4322 0x0003c217 0x0043d017 4   5    .data   ascii   1;'t
4323 0x0003c223 0x0043d023 4   6    .data   utf8    A/\Ү blocks=Basic Latin,Cyrillic
4324 0x0003c22e 0x0043d02e 4   6    .data   utf8    Ġ=a> blocks=Latin Extended-A,Basic Latin
4325 0x0003c284 0x0043d084 4   5    .data   ascii   S<xG
4326 0x0003c292 0x0043d092 4   5    .data   ascii   uz6(
4327 0x0003c2a3 0x0043d0a3 4   5    .data   ascii   xM6|
4328 0x0003c2c3 0x0043d0c3 4   5    .data   ascii   [^Ba
4329 0x0003c2cb 0x0043d0cb 4   6    .data   utf8    .s1ߎ blocks=Basic Latin,NKo
4330 0x0003c31f 0x0043d11f 4   5    .data   ascii   T<\bp
4331 0x0003c365 0x0043d165 5   6    .data   ascii   vO6-!
4332 0x0003c420 0x0043d220 5   7    .data   utf8    bܙt\vL blocks=Basic Latin,Syriac
4333 0x0003c47a 0x0043d27a 4   5    .data   ascii   \bkI-
4334 0x0003c494 0x0043d294 6   8    .data   utf8    )݁*]sq blocks=Basic Latin,Syriac
4335 0x0003c4e6 0x0043d2e6 4   5    .data   ascii   ZNkU
4336 0x0003c50c 0x0043d30c 4   5    .data   ascii   W!eg
4337 0x0003c551 0x0043d351 6   7    .data   ascii   Z(\zh,
4338 0x0003c5b2 0x0043d3b2 4   5    .data   ascii   D8k[
4339 0x0003c5b7 0x0043d3b7 5   6    .data   ascii   \a$2\fd
4340 0x0003c623 0x0043d423 5   7    .data   utf8    qaJDܐ blocks=Basic Latin,Syriac
4341 0x0003c664 0x0043d464 6   8    .data   utf8    Qóz\o1 blocks=Basic Latin,Latin-1 Supplement
4342 0x0003c67b 0x0043d47b 4   6    .data   utf8    ]K1Ğ blocks=Basic Latin,Latin Extended-A
4343 0x0003c6a5 0x0043d4a5 4   5    .data   ascii   Yywa
4344 0x0003c6d3 0x0043d4d3 4   5    .data   ascii   r],6
4345 0x0003c6f1 0x0043d4f1 5   6    .data   ascii   Omfnt
4346 0x0003c6fd 0x0043d4fd 12  15   .data   utf8    \vocMjy_,Y8$ɟ blocks=Basic Latin,IPA Extensions
4347 0x0003c764 0x0043d564 4   5    .data   ascii   HRq~
4348 0x0003c7c7 0x0043d5c7 5   6    .data   ascii   :y\rg!
4349 0x0003c7e1 0x0043d5e1 4   5    .data   ascii   %x\t@
4350 0x0003c817 0x0043d617 4   5    .data   ascii   h!~s
4351 0x0003c828 0x0043d628 6   8    .data   utf8    TdAzBʥ blocks=Basic Latin,IPA Extensions
4352 0x0003c83b 0x0043d63b 4   6    .data   utf8    L.#Ӵ blocks=Basic Latin,Cyrillic
4353 0x0003c87e 0x0043d67e 4   6    .data   utf8    \tuæf blocks=Basic Latin,Latin-1 Supplement
4354 0x0003c89b 0x0043d69b 4   6    .data   utf8    ܇Evb blocks=Syriac,Basic Latin
4355 0x0003c8a5 0x0043d6a5 4   5    .data   ascii   ~\JP
4356 0x0003c901 0x0043d701 4   6    .data   utf8    \thS1
4357 0x0003c920 0x0043d720 4   5    .data   ascii   H7Y%
4358 0x0003c94d 0x0043d74d 4   5    .data   ascii   U:X2
4359 0x0003c96b 0x0043d76b 5   6    .data   ascii   a\bV&k
4360 0x0003c9e2 0x0043d7e2 4   5    .data   ascii   ?Ynq
4361 0x0003c9f5 0x0043d7f5 5   6    .data   ascii   V|~.I
4362 0x0003ca15 0x0043d815 4   5    .data   ascii   OFQF
4363 0x0003ca21 0x0043d821 4   6    .data   utf8    ?٦1f blocks=Basic Latin,Arabic
4364 0x0003cae9 0x0043d8e9 5   7    .data   utf8    N!!ۋa blocks=Basic Latin,Arabic
4365 0x0003cb21 0x0043d921 5   8    .data   utf8    <ΠI'ٔ blocks=Basic Latin,Greek and Coptic,Arabic
4366 0x0003cb72 0x0043d972 7   8    .data   ascii   %q TpOq
4367 0x0003cb93 0x0043d993 5   7    .data   utf8    W)ӈuC blocks=Basic Latin,Cyrillic
4368 0x0003cc4e 0x0043da4e 5   6    .data   ascii   S\fs9\a
4369 0x0003cc59 0x0043da59 5   7    .data   utf8    Ǐw.Ie blocks=Latin Extended-B,Basic Latin
4370 0x0003cc7a 0x0043da7a 4   5    .data   ascii   \a[3A
4371 0x0003ccee 0x0043daee 5   6    .data   ascii   Z!E!l
4372 0x0003cd06 0x0043db06 6   9    .data   utf8    ˇ1)ɂRD blocks=Spacing Modifier Letters,Basic Latin,Latin Extended-B
4373 0x0003cd35 0x0043db35 6   8    .data   utf8    y\/|~G
4374 0x0003cd95 0x0043db95 4   5    .data   ascii   QL1x
4375 0x0003cd9f 0x0043db9f 4   6    .data   utf8    QTћv blocks=Basic Latin,Cyrillic
4376 0x0003cdb5 0x0043dbb5 4   6    .data   utf8    nFɒp blocks=Basic Latin,IPA Extensions
4377 0x0003cdc0 0x0043dbc0 4   5    .data   ascii   \vG`T
4378 0x0003ce07 0x0043dc07 5   6    .data   ascii   0Xjqv
4379 0x0003ce36 0x0043dc36 5   6    .data   ascii   %^b}h
4380 0x0003ce44 0x0043dc44 4   5    .data   ascii   \f|B@
4381 0x0003ce71 0x0043dc71 5   7    .data   utf8    y;\eκJ blocks=Basic Latin,Greek and Coptic
4382 0x0003ce9c 0x0043dc9c 8   10   .data   utf8    }J85 \v;̒ blocks=Basic Latin,Combining Diacritical Marks
4383 0x0003ceb7 0x0043dcb7 4   5    .data   ascii   rlKI
4384 0x0003cebc 0x0043dcbc 4   5    .data   ascii   1r\vC
4385 0x0003cef1 0x0043dcf1 4   5    .data   ascii   DcwT
4386 0x0003cf08 0x0043dd08 4   5    .data   ascii   yvjN
4387 0x0003cf1a 0x0043dd1a 4   6    .data   utf8    ?fj\n
4388 0x0003cf61 0x0043dd61 5   6    .data   ascii   "6Jpf
4389 0x0003cf6a 0x0043dd6a 4   5    .data   ascii   T\r\e\r
4390 0x0003d001 0x0043de01 4   5    .data   ascii   d\b$+
4391 0x0003d058 0x0043de58 7   8    .data   ascii   mR\fH')a
4392 0x0003d06c 0x0043de6c 5   6    .data   ascii   ~]Ph]
4393 0x0003d07b 0x0043de7b 4   5    .data   ascii   hpaA
4394 0x0003d0a4 0x0043dea4 5   6    .data   ascii   '\bo6B
4395 0x0003d137 0x0043df37 4   8    .data   utf8    ǖ@❥[ blocks=Latin Extended-B,Basic Latin,Dingbats
4396 0x0003d169 0x0043df69 4   5    .data   ascii   {'{G
4397 0x0003d184 0x0043df84 4   5    .data   ascii   2Y"-
4398 0x0003d189 0x0043df89 4   7    .data   utf8    x̊\bͶ blocks=Basic Latin,Combining Diacritical Marks,Greek and Coptic
4399 0x0003d1b7 0x0043dfb7 4   5    .data   ascii   .vKl
4400 0x0003d1ef 0x0043dfef 4   5    .data   ascii   #\82
4401 0x0003d1f8 0x0043dff8 7   8    .data   ascii   ~8Sr&\tA
4402 0x0003d22d 0x0043e02d 4   5    .data   ascii   \rQ\e3
4403 0x0003d290 0x0043e090 4   5    .data   ascii   rIX*
4404 0x0003d29f 0x0043e09f 7   8    .data   ascii   eb|(jKx
4405 0x0003d2cd 0x0043e0cd 5   6    .data   ascii   }ia+c
4406 0x0003d2d5 0x0043e0d5 4   5    .data   ascii   f\rb9
4407 0x0003d316 0x0043e116 5   6    .data   ascii   u5#uw
4408 0x0003d328 0x0043e128 5   6    .data   ascii   ~*K\vv
4409 0x0003d338 0x0043e138 7   8    .data   ascii   "U\r'+n.
4410 0x0003d36b 0x0043e16b 4   5    .data   ascii   zCEa
4411 0x0003d37c 0x0043e17c 5   7    .data   utf8    ruՒ\f} blocks=Basic Latin,Armenian
4412 0x0003d383 0x0043e183 4   6    .data   utf8    VS2۲ blocks=Basic Latin,Arabic
4413 0x0003d3b2 0x0043e1b2 4   5    .data   ascii   P?7h
4414 0x0003d3c9 0x0043e1c9 5   6    .data   ascii   (D4\vP
4415 0x0003d408 0x0043e208 5   6    .data   ascii   \ry7`k
4416 0x0003d43d 0x0043e23d 4   5    .data   ascii   rC\tF
4417 0x0003d463 0x0043e263 4   6    .data   utf8    ۹\b[5 blocks=Arabic,Basic Latin
4418 0x0003d4e0 0x0043e2e0 4   6    .data   utf8    !~:̊ blocks=Basic Latin,Combining Diacritical Marks
4419 0x0003d4ef 0x0043e2ef 4   5    .data   ascii   aRDy
4420 0x0003d51c 0x0043e31c 4   9    .data   utf8    ϙ󹏄2\e blocks=Greek and Coptic,Supplementary Private Use Area-A,Basic Latin
4421 0x0003d52f 0x0043e32f 4   5    .data   ascii   @boB
4422 0x0003d55d 0x0043e35d 4   6    .data   utf8    9ĲF9 blocks=Basic Latin,Latin Extended-A
4423 0x0003d579 0x0043e379 7   9    .data   utf8    $؞.g_t\t blocks=Basic Latin,Arabic
4424 0x0003d5a3 0x0043e3a3 4   5    .data   ascii   jBQ1
4425 0x0003d5d2 0x0043e3d2 5   6    .data   ascii   K\ew\t8
4426 0x0003d683 0x0043e483 5   6    .data   ascii   oN|i+
4427 0x0003d690 0x0043e490 5   6    .data   ascii   wf/GP
4428 0x0003d6ac 0x0043e4ac 5   6    .data   ascii   +?fgA
4429 0x0003d6c4 0x0043e4c4 9   11   .data   utf8    |ޕ 0\vwt*L blocks=Basic Latin,Thaana
4430 0x0003d6f2 0x0043e4f2 4   5    .data   ascii   \eEvt
4431 0x0003d70f 0x0043e50f 4   6    .data   utf8    eڛS& blocks=Basic Latin,Arabic
4432 0x0003d71f 0x0043e51f 5   8    .data   utf8    Lcǅ,ҿ blocks=Basic Latin,Latin Extended-B,Cyrillic
4433 0x0003d73f 0x0043e53f 5   6    .data   ascii   g&W\r\n
4434 0x0003d745 0x0043e545 4   5    .data   ascii   7u~P
4435 0x0003d751 0x0043e551 4   5    .data   ascii   ^s~b
4436 0x0003d7b5 0x0043e5b5 7   12   .data   utf8    giل\bߨ\a뗊 blocks=Basic Latin,Arabic,NKo,Hangul Syllables
4437 0x0003d7c6 0x0043e5c6 7   10   .data   utf8    p1;]Kꗾ} blocks=Basic Latin,Vai
4438 0x0003d7f8 0x0043e5f8 4   5    .data   ascii   V\vLX
4439 0x0003d822 0x0043e622 7   8    .data   ascii   Ypvdy+_
4440 0x0003d84c 0x0043e64c 4   5    .data   ascii   t\bxO
4441 0x0003d868 0x0043e668 5   6    .data   ascii   ,4Ge@
4442 0x0003d87b 0x0043e67b 4   6    .data   utf8    Ǆ"GV blocks=Latin Extended-B,Basic Latin
4443 0x0003d890 0x0043e690 4   5    .data   ascii   J<.\e
4444 0x0003d8f9 0x0043e6f9 4   6    .data   utf8    ܘ#VQ blocks=Syriac,Basic Latin
4445 0x0003d934 0x0043e734 4   5    .data   ascii   FgyC
4446 0x0003d93b 0x0043e73b 5   6    .data   ascii   jUb@\a
4447 0x0003d96e 0x0043e76e 6   8    .data   utf8    xةTz9> blocks=Basic Latin,Arabic
4448 0x0003d976 0x0043e776 4   7    .data   utf8    N:a blocks=Private Use Area,Basic Latin
4449 0x0003d9f3 0x0043e7f3 4   5    .data   ascii   8b;!
4450 0x0003d9f8 0x0043e7f8 5   6    .data   ascii   *is@L
4451 0x0003da3c 0x0043e83c 5   6    .data   ascii   tuv\n-
4452 0x0003da42 0x0043e842 4   5    .data   ascii   WmOM
4453 0x0003da60 0x0043e860 4   5    .data   ascii   A)%-
4454 0x0003db35 0x0043e935 4   5    .data   ascii   : rH
4455 0x0003db76 0x0043e976 5   6    .data   ascii   E;ki\a
4456 0x0003dbc9 0x0043e9c9 4   5    .data   ascii   %/(V
4457 0x0003dbd0 0x0043e9d0 6   8    .data   utf8    {pMX@ξ blocks=Basic Latin,Greek and Coptic
4458 0x0003dbe4 0x0043e9e4 4   5    .data   ascii   V$*D
4459 0x0003dc6e 0x0043ea6e 4   5    .data   ascii   ,/P|
4460 0x0003dc8f 0x0043ea8f 4   5    .data   ascii    *tr
4461 0x0003dcfe 0x0043eafe 5   6    .data   ascii   uWm"*
4462 0x0003dd0f 0x0043eb0f 5   6    .data   ascii   \v/m^1
4463 0x0003dd1c 0x0043eb1c 6   8    .data   utf8    5ԶCKKR blocks=Basic Latin,Armenian
4464 0x0003dd2b 0x0043eb2b 6   7    .data   ascii   tGAE\8
4465 0x0003dd33 0x0043eb33 4   6    .data   utf8    =ѵp3 blocks=Basic Latin,Cyrillic
4466 0x0003dd52 0x0043eb52 4   5    .data   ascii   en1h
4467 0x0003dd61 0x0043eb61 4   5    .data   ascii   ?H\aA
4468 0x0003dd75 0x0043eb75 4   5    .data   ascii   '@9\t
4469 0x0003ddc9 0x0043ebc9 6   7    .data   ascii   5m`Y0c
4470 0x0003ddfb 0x0043ebfb 5   7    .data   utf8    UG+"ڃ blocks=Basic Latin,Arabic
4471 0x0003de16 0x0043ec16 4   5    .data   ascii   %{Ok
4472 0x0003de31 0x0043ec31 4   5    .data   ascii   PEDa
4473 0x0003de3e 0x0043ec3e 4   5    .data   ascii   C1hO
4474 0x0003de68 0x0043ec68 4   5    .data   ascii   \elGi
4475 0x0003de74 0x0043ec74 4   5    .data   ascii   X#;.
4476 0x0003de90 0x0043ec90 5   7    .data   utf8    >\eנZ\ blocks=Basic Latin,Hebrew
4477 0x0003df19 0x0043ed19 4   5    .data   ascii   al:,
4478 0x0003df33 0x0043ed33 4   5    .data   ascii   X}\v
4479 0x0003df9d 0x0043ed9d 4   5    .data   ascii   G96C
4480 0x0003dfba 0x0043edba 5   9    .data   utf8    鰆!fާ5 blocks=CJK Unified Ideographs,Basic Latin,Thaana
4481 0x0003e000 0x0043ee00 4   5    .data   ascii   \f7mx
4482 0x0003e016 0x0043ee16 5   6    .data   ascii   xL;=)
4483 0x0003e01c 0x0043ee1c 4   5    .data   ascii   \r6mY
4484 0x0003e08a 0x0043ee8a 6   7    .data   ascii   \fW\f/Dc
4485 0x0003e0d0 0x0043eed0 5   6    .data   ascii   ?)\t#J
4486 0x0003e0e1 0x0043eee1 4   5    .data   ascii   M}C1
4487 0x0003e104 0x0043ef04 7   8    .data   ascii   Oqo#A"x
4488 0x0003e116 0x0043ef16 4   5    .data   ascii   4w15
4489 0x0003e13c 0x0043ef3c 4   5    .data   ascii   <=f<
4490 0x0003e152 0x0043ef52 5   6    .data   ascii   '-j\t!
4491 0x0003e17e 0x0043ef7e 5   6    .data   ascii   "Zuz5
4492 0x0003e189 0x0043ef89 4   5    .data   ascii   #0L4
4493 0x0003e1a3 0x0043efa3 4   5    .data   ascii   G\b6`
4494 0x0003e1d0 0x0043efd0 4   5    .data   ascii   >~G!
4495 0x0003e1d8 0x0043efd8 4   5    .data   ascii   H>Wq
4496 0x0003e23b 0x0043f03b 4   6    .data   utf8    ڞ_," blocks=Arabic,Basic Latin
4497 0x0003e25b 0x0043f05b 4   6    .data   utf8    ^6\rŏ blocks=Basic Latin,Latin Extended-A
4498 0x0003e266 0x0043f066 4   5    .data   ascii   FopR
4499 0x0003e270 0x0043f070 5   6    .data   ascii   0#\bCY
4500 0x0003e2b7 0x0043f0b7 4   5    .data   ascii   hhz!
4501 0x0003e2e3 0x0043f0e3 6   8    .data   utf8     ؿ\fhM@ blocks=Basic Latin,Arabic
4502 0x0003e312 0x0043f112 4   6    .data   utf8    ~SĚA blocks=Basic Latin,Latin Extended-A
4503 0x0003e32f 0x0043f12f 5   6    .data   ascii   *zD&\a
4504 0x0003e393 0x0043f193 5   6    .data   ascii   ,1MEz
4505 0x0003e3ce 0x0043f1ce 4   6    .data   utf8    2Ӛv  blocks=Basic Latin,Cyrillic
4506 0x0003e446 0x0043f246 4   6    .data   utf8    r?}ӿ blocks=Basic Latin,Cyrillic
4507 0x0003e46e 0x0043f26e 6   7    .data   ascii   8EG-z*
4508 0x0003e4cf 0x0043f2cf 5   6    .data   ascii   nOc4\f
4509 0x0003e543 0x0043f343 4   5    .data   ascii   /Ff9
4510 0x0003e573 0x0043f373 4   5    .data   ascii   {9:;
4511 0x0003e5b5 0x0043f3b5 4   5    .data   ascii   /B!W
4512 0x0003e5c0 0x0043f3c0 4   5    .data   ascii   Y:Oe
4513 0x0003e606 0x0043f406 6   9    .data   utf8    #-ˏŽ\v@ blocks=Basic Latin,Spacing Modifier Letters,Latin Extended-A
4514 0x0003e656 0x0043f456 5   7    .data   utf8    )AƙRN blocks=Basic Latin,Latin Extended-B
4515 0x0003e688 0x0043f488 4   5    .data   ascii   $:MW
4516 0x0003e6a8 0x0043f4a8 5   6    .data   ascii   \ntCQ@
4517 0x0003e6cd 0x0043f4cd 5   6    .data   ascii   >=Y:l
4518 0x0003e6ee 0x0043f4ee 5   6    .data   ascii   w0p53
4519 0x0003e722 0x0043f522 6   10   .data   utf8    縤a(Rۊ< blocks=CJK Unified Ideographs,Basic Latin,Arabic
4520 0x0003e72c 0x0043f52c 4   8    .data   utf8    !Vt뾡 blocks=Basic Latin,Hangul Syllables
4521 0x0003e77b 0x0043f57b 4   5    .data   ascii   K\vM6
4522 0x0003e78b 0x0043f58b 9   10   .data   ascii   "Y\bIS~*C&
4523 0x0003e7e8 0x0043f5e8 4   5    .data   ascii   q?=o
4524 0x0003e83d 0x0043f63d 4   5    .data   ascii   Px\f}
4525 0x0003e84a 0x0043f64a 4   5    .data   ascii   Xb:Y
4526 0x0003e860 0x0043f660 4   5    .data   ascii   #cba
4527 0x0003e889 0x0043f689 4   6    .data   utf8    Jݬ"' blocks=Basic Latin,Arabic Supplement
4528 0x0003e8b5 0x0043f6b5 4   6    .data   utf8    4ӡ0] blocks=Basic Latin,Cyrillic
4529 0x0003e8c7 0x0043f6c7 5   6    .data   ascii   _%%h\t
4530 0x0003e929 0x0043f729 4   5    .data   ascii   !^/<
4531 0x0003e932 0x0043f732 6   7    .data   ascii   <T>7/b
4532 0x0003e970 0x0043f770 5   7    .data   utf8    ǦjL\e' blocks=Latin Extended-B,Basic Latin
4533 0x0003e978 0x0043f778 4   5    .data   ascii   7nl\a
4534 0x0003e9ff 0x0043f7ff 4   5    .data   ascii   ntx?
4535 0x0003ea5a 0x0043f85a 5   6    .data   ascii   t.3ru
4536 0x0003eaa2 0x0043f8a2 6   8    .data   utf8    t_ϥe&S blocks=Basic Latin,Greek and Coptic
4537 0x0003eb06 0x0043f906 4   5    .data   ascii   KV<N
4538 0x0003eb45 0x0043f945 4   6    .data   utf8    ]eҡg blocks=Basic Latin,Cyrillic
4539 0x0003eb55 0x0043f955 4   5    .data   ascii   !e,[
4540 0x0003eb96 0x0043f996 5   8    .data   utf8    ܴ{5$? blocks=Syriac,Basic Latin
4541 0x0003ebb7 0x0043f9b7 4   8    .data   utf8    䆴"4ȋ blocks=CJK Unified Ideographs Extension A,Basic Latin,Latin Extended-B
4542 0x0003ebd0 0x0043f9d0 4   5    .data   ascii   D=\f0
4543 0x0003ebde 0x0043f9de 4   5    .data   ascii   't\f`
4544 0x0003ec9a 0x0043fa9a 4   5    .data   ascii   vM|\t
4545 0x0003eca7 0x0043faa7 5   6    .data   ascii   #J]}h
4546 0x0003eccb 0x0043facb 4   5    .data   ascii   SZgn
4547 0x0003ed1b 0x0043fb1b 5   7    .data   utf8    #=%}ۦ blocks=Basic Latin,Arabic
4548 0x0003ed52 0x0043fb52 4   7    .data   utf8    \bU놞\a blocks=Basic Latin,Hangul Syllables
4549 0x0003edb9 0x0043fbb9 5   7    .data   utf8    Q2!rޚ blocks=Basic Latin,Thaana
4550 0x0003edc3 0x0043fbc3 4   5    .data   ascii   8%Ww
4551 0x0003edd2 0x0043fbd2 4   5    .data   ascii   Es-(
4552 0x0003edf8 0x0043fbf8 8   9    .data   ascii   +CR""\e\b<
4553 0x0003ee4e 0x0043fc4e 4   5    .data   ascii   pQKm
4554 0x0003ee56 0x0043fc56 4   5    .data   ascii   !\ec\r
4555 0x0003ee5c 0x0043fc5c 7   8    .data   ascii    3\r/"Z~
4556 0x0003ee8a 0x0043fc8a 4   5    .data   ascii   ~@y2
4557 0x0003eec1 0x0043fcc1 5   7    .data   utf8    eÁBN6 blocks=Basic Latin,Latin-1 Supplement
4558 0x0003eee6 0x0043fce6 4   5    .data   ascii   /v`\n
4559 0x0003ef03 0x0043fd03 4   5    .data   ascii   =N\5
4560 0x0003ef11 0x0043fd11 4   5    .data   ascii   -WXH
4561 0x0003ef50 0x0043fd50 4   5    .data   ascii   aRDD
4562 0x0003ef87 0x0043fd87 4   5    .data   ascii   `jb\e
4563 0x0003ef96 0x0043fd96 6   7    .data   ascii   J>}5!=
4564 0x0003efdf 0x0043fddf 5   6    .data   ascii   m:F#\n
4565 0x0003f0d8 0x0043fed8 4   5    .data   ascii   mdLQ
4566 0x0003f0e2 0x0043fee2 6   8    .data   utf8    uG:xޤt blocks=Basic Latin,Thaana
4567 0x0003f167 0x0043ff67 6   9    .data   utf8    ]wpႠ-G blocks=Basic Latin,Georgian
4568 0x0003f171 0x0043ff71 6   7    .data   ascii   p-\aFP:
4569 0x0003f17f 0x0043ff7f 4   6    .data   utf8    \a،.! blocks=Basic Latin,Arabic
4570 0x0003f197 0x0043ff97 5   6    .data   ascii   k$:Y"
4571 0x0003f1cc 0x0043ffcc 4   6    .data   utf8    ȃ+k\e blocks=Latin Extended-B,Basic Latin
4572 0x0003f1db 0x0043ffdb 5   7    .data   utf8    Rę,r! blocks=Basic Latin,Latin Extended-A
4573 0x0003f281 0x00440081 12  13   .data   ascii   K;e.<zPUEXv)
4574 0x0003f2c3 0x004400c3 4   5    .data   ascii   m'!P
4575 0x0003f312 0x00440112 4   5    .data   ascii   ;i\tV
4576 0x0003f328 0x00440128 5   6    .data   ascii   \G\b&a
4577 0x0003f35c 0x0044015c 5   6    .data   ascii   89R3'
4578 0x0003f36e 0x0044016e 4   5    .data   ascii   :\nD!
4579 0x0003f37e 0x0044017e 5   7    .data   utf8    zߒ/e_ blocks=Basic Latin,NKo
4580 0x0003f3b5 0x004401b5 7   9    .data   utf8    fwUܠ.`[ blocks=Basic Latin,Syriac
4581 0x0003f3c5 0x004401c5 4   6    .data   utf8    S҈X: blocks=Basic Latin,Cyrillic
4582 0x0003f3d2 0x004401d2 4   5    .data   ascii   \e\nV2
4583 0x0003f3dc 0x004401dc 7   9    .data   utf8    !wcwՏCV blocks=Basic Latin,Armenian
4584 0x0003f401 0x00440201 7   9    .data   utf8    74va8S<
4585 0x0003f488 0x00440288 4   5    .data   ascii   twLN
4586 0x0003f4a5 0x004402a5 4   5    .data   ascii   >\ndp
4587 0x0003f4ba 0x004402ba 4   6    .data   utf8    !ӣpa blocks=Basic Latin,Cyrillic
4588 0x0003f4f4 0x004402f4 5   6    .data   ascii   R!3sW
4589 0x0003f51b 0x0044031b 5   7    .data   utf8    ׂHr8\a blocks=Hebrew,Basic Latin
4590 0x0003f531 0x00440331 7   9    .data   utf8    )K9Qӟ\bD blocks=Basic Latin,Cyrillic
4591 0x0003f549 0x00440349 5   6    .data   ascii   \r4wE+
4592 0x0003f568 0x00440368 6   7    .data   ascii   k}qN\#
4593 0x0003f58c 0x0044038c 4   5    .data   ascii   K~70
4594 0x0003f6a3 0x004404a3 4   6    .data   utf8    'B\nʉ blocks=Basic Latin,IPA Extensions
4595 0x0003f6d3 0x004404d3 5   6    .data   ascii   &P0X=
4596 0x0003f6ea 0x004404ea 4   6    .data   utf8    W{֪y blocks=Basic Latin,Hebrew
4597 0x0003f70c 0x0044050c 5   6    .data   ascii   gz\a3\r
4598 0x0003f779 0x00440579 4   5    .data   ascii   .B\t_
4599 0x0003f7dc 0x004405dc 4   5    .data   ascii   ba?u
4600 0x0003f7ef 0x004405ef 9   11   .data   utf8    w"o5,cښcG blocks=Basic Latin,Arabic
4601 0x0003f813 0x00440613 6   9    .data   utf8    ŉ7}oƋN blocks=Latin Extended-A,Basic Latin,Latin Extended-B
4602 0x0003f81f 0x0044061f 5   6    .data   ascii   '"x:+
4603 0x0003f88d 0x0044068d 4   5    .data   ascii   \b'6+
4604 0x0003f8f5 0x004406f5 4   6    .data   utf8    Q`ף4 blocks=Basic Latin,Hebrew
4605 0x0003f901 0x00440701 8   10   .data   utf8    \v+7ǓF#fH blocks=Basic Latin,Latin Extended-B
