[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
260  0x0000472a 0x0040532a 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
261  0x00004731 0x00405331 4   5    .text   ascii   D$\b|
262  0x00004786 0x00405386 6   9    .text   utf8    \t~ڋE؋U blocks=Basic Latin,Arabic
263  0x00004790 0x00405390 4   5    .text   ascii   D$\b\n
264  0x000047ac 0x004053ac 5   8    .text   utf8    E؉U܃} blocks=Basic Latin,Arabic,Syriac
265  0x000047d3 0x004053d3 7   10   .text   utf8    E؋U܉D$\b blocks=Basic Latin,Arabic,Syriac
266  0x000047f6 0x004053f6 6   9    .text   utf8    E؋U܉D$ blocks=Basic Latin,Arabic,Syriac
267  0x00004804 0x00405404 7   10   .text   utf8    E؋U܉D$\b blocks=Basic Latin,Arabic,Syriac
268  0x00004825 0x00405425 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
269  0x0000482c 0x0040542c 4   5    .text   ascii   D$\bB
270  0x00004860 0x00405460 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
271  0x00004885 0x00405485 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
272  0x000048a8 0x004054a8 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
273  0x000048af 0x004054af 4   5    .text   ascii   D$\bH
274  0x00004918 0x00405518 4   6    .text   utf8    )čD$ blocks=Basic Latin,Latin Extended-A
275  0x00004984 0x00405584 4   5    .text   ascii   D$\b\f
276  0x000049a2 0x004055a2 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
277  0x000049de 0x004055de 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
278  0x00004ad6 0x004056d6 4   5    .text   ascii   [^_]
279  0x00004b14 0x00405714 4   5    .text   ascii   @\b;E
280  0x00004b1f 0x0040571f 4   5    .text   ascii   @\b;E
281  0x00004c58 0x00405858 4   6    .text   utf8    E܋@\f blocks=Basic Latin,Syriac
282  0x00004cb2 0x004058b2 4   6    .text   utf8    fǅ@o blocks=Basic Latin,Latin Extended-B
283  0x00004d35 0x00405935 5   7    .text   utf8    U؉T$\b blocks=Basic Latin,Arabic
284  0x00004d74 0x00405974 4   5    .text   ascii   D$\f:
285  0x00004d7c 0x0040597c 4   5    .text   ascii   D$\b+
286  0x00004e5a 0x00405a5a 7   10   .text   utf8    EЁuЍzn\b blocks=Basic Latin,Cyrillic
287  0x00004e64 0x00405a64 5   7    .text   utf8    EЉD$\b blocks=Basic Latin,Cyrillic
288  0x00004eb7 0x00405ab7 4   5    .text   ascii   D$\f:
289  0x00004ebf 0x00405abf 4   5    .text   ascii   D$\b+
290  0x00004f03 0x00405b03 4   5    .text   ascii   Auth
291  0x00004f0a 0x00405b0a 4   5    .text   ascii   oriz
292  0x00004f0f 0x00405b0f 6   7    .text   ascii   @\batio
293  0x00004f16 0x00405b16 6   7    .text   ascii   @\fn: B
294  0x00004f1f 0x00405b1f 5   6    .text   ascii   asicf
295  0x00004f6c 0x00405b6c 4   5    .text   ascii   "\r\nC
296  0x00004f73 0x00405b73 4   5    .text   ascii   onte
297  0x00004f78 0x00405b78 6   7    .text   ascii   @\bnt-T
298  0x00004f7f 0x00405b7f 6   7    .text   ascii   @\fype:
299  0x00004f88 0x00405b88 4   5    .text   ascii    app
300  0x00004f8f 0x00405b8f 4   5    .text   ascii   lica
301  0x00004f96 0x00405b96 4   5    .text   ascii   tion
302  0x00004f9d 0x00405b9d 4   5    .text   ascii   /x-w
303  0x00004fa2 0x00405ba2 6   7    .text   ascii   @ ww-f
304  0x00004fa9 0x00405ba9 6   7    .text   ascii   @$orm-
305  0x00004fb0 0x00405bb0 6   7    .text   ascii   @(urle
306  0x00004fb7 0x00405bb7 6   7    .text   ascii   @,ncod
307  0x00004fbe 0x00405bbe 7   8    .text   ascii   @0ed\r\nf
308  0x00004fc6 0x00405bc6 4   5    .text   ascii   @4\r\n
309  0x0000517a 0x00405d7a 4   5    .text   ascii   tws_
310  0x00005181 0x00405d81 5   6    .text   ascii   flagf
311  0x000052bc 0x00405ebc 4   5    .text   ascii   sele
312  0x000052c3 0x00405ec3 5   6    .text   ascii   ctedf
313  0x00005340 0x00405f40 4   5    .text   ascii   D$\b\b
