[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
328  0x00006fc3 0x10007bc3 4   5    .text   ascii   D$\b;
329  0x00007083 0x10007c83 4   5    .text   ascii   t)9}
330  0x000070a4 0x10007ca4 5   7    .text   utf8    E؋M|3 blocks=Basic Latin,Arabic
331  0x000070cc 0x10007ccc 4   5    .text   ascii   \fSV3
332  0x00007115 0x10007d15 7   9    .text   utf8    ;ÉE\btgS blocks=Basic Latin,Latin-1 Supplement
333  0x000071ad 0x10007dad 5   6    .text   ascii   lSVW3
334  0x000071c5 0x10007dc5 4   8    .text   utf8    3\r}䫃 blocks=Basic Latin,CJK Unified Ideographs Extension A
335  0x000071fe 0x10007dfe 4   5    .text   ascii   @PSW
336  0x00007227 0x10007e27 4   5    .text   ascii   u\fVh
337  0x0000722e 0x10007e2e 4   5    .text   ascii   \fVVV
338  0x000072b1 0x10007eb1 5   6    .text   ascii    SVWh
339  0x0000730b 0x10007f0b 5   7    .text   utf8    ;Ë5<= blocks=Basic Latin,Latin-1 Supplement
340  0x00007379 0x10007f79 7   8    .text   ascii   u\fu5hT]
341  0x00007401 0x10008001 5   6    .text   ascii   SPh\fY
342  0x00007578 0x10008178 4   5    .text   ascii   t$ V
343  0x00007582 0x10008182 4   5    .text   ascii   j\WV
344  0x000075f2 0x100081f2 4   5    .text   ascii   t$$W
345  0x00007601 0x10008201 6   7    .text   ascii   uRWhq]
346  0x0000763a 0x1000823a 6   7    .text   ascii   D$ hf]
347  0x00007668 0x10008268 4   5    .text   ascii   t\vWj
348  0x00007677 0x10008277 4   5    .text   ascii   t\vSj
349  0x00007688 0x10008288 4   5    .text   ascii   _^][
350  0x000076bf 0x100082bf 5   6    .text   ascii   SVVVV
351  0x000076d8 0x100082d8 4   5    .text   ascii   ~SPV
352  0x000076ed 0x100082ed 4   5    .text   ascii   t>VV
353  0x00007749 0x10008349 5   6    .text   ascii   SUVWh
354  0x00007777 0x10008377 4   5    .text   ascii   u{Vh
355  0x0000779d 0x1000839d 5   6    .text   ascii   Vj\b]S
356  0x000077c0 0x100083c0 6   7    .text   ascii   t(GWSV
357  0x00007826 0x10008426 5   6    .text   ascii   D\a Pj
358  0x00007866 0x10008466 6   8    .text   utf8    ;ƉE\bt" blocks=Basic Latin,Latin Extended-B
359  0x0000786e 0x1000846e 5   6    .text   ascii   u\fh^^
360  0x000078a1 0x100084a1 5   6    .text   ascii   E\b_^[
361  0x000078aa 0x100084aa 7   8    .text   ascii   SUVWh4#
362  0x000078e6 0x100084e6 4   5    .text   ascii   Wh>^
363  0x000078ff 0x100084ff 4   5    .text   ascii   WhI^
364  0x00007944 0x10008544 4   5    .text   ascii   tyWh
365  0x0000797b 0x1000857b 6   7    .text   ascii   t?WWWh
366  0x00007aca 0x100086ca 5   6    .text   ascii   VWh)\t
367  0x00007b44 0x10008744 4   5    .text   ascii   ut9E
368  0x00007b49 0x10008749 4   5    .text   ascii   WtQ;
369  0x00007bc7 0x100087c7 6   7    .text   ascii    VWj\b_
370  0x00007c6f 0x1000886f 4   5    .text   ascii   QQS3
371  0x00007c82 0x10008882 5   6    .text   ascii   tSVPS
372  0x00007cc5 0x100088c5 4   5    .text   ascii   X\bVj
373  0x00007ce4 0x100088e4 6   7    .text   ascii   HTTPt\b
374  0x00007cec 0x100088ec 5   6    .text   ascii   POSTu
375  0x00007d01 0x10008901 4   5    .text   ascii   t\vPj
376  0x00007d13 0x10008913 4   5    .text   ascii   t\vPj
377  0x00007d32 0x10008932 4   5    .text   ascii   ]\bVW
378  0x00007d48 0x10008948 4   5    .text   ascii   u\fFV
379  0x00007d9a 0x1000899a 4   5    .text   ascii   ]\bVW
380  0x00007db5 0x100089b5 4   5    .text   ascii   @j P
381  0x00007dc9 0x100089c9 4   5    .text   ascii   E\bPh
382  0x00007de9 0x100089e9 5   6    .text   ascii   D8\tPj
383  0x00007e15 0x10008a15 6   7    .text   ascii   j\a[SPV
384  0x00007e7c 0x10008a7c 5   6    .text   ascii   t@+E\b
385  0x00007eca 0x10008aca 5   6    .text   ascii   E\fSVW
386  0x00007f31 0x10008b31 4   5    .text   ascii   E\bWP
387  0x00007f6d 0x10008b6d 6   7    .text   ascii   E\fPh}[
388  0x00007faf 0x10008baf 6   7    .text   ascii   8chunu
389  0x00008015 0x10008c15 4   6    .text   utf8    WP+ލ blocks=Basic Latin,Thaana
390  0x00008191 0x10008d91 4   5    .text   ascii   L$\bV
391  0x0000819d 0x10008d9d 4   7    .text   utf8    D$\f蠈 blocks=Basic Latin,CJK Unified Ideographs
