[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1131 0x00017888 0x10018488 4   5    .text   ascii   t$0S
1132 0x000178b6 0x100184b6 4   5    .text   ascii   t$0S
1133 0x000178d4 0x100184d4 4   5    .text   ascii   t$,S
1134 0x000178ed 0x100184ed 7   8    .text   ascii   H\f91t\bQ
1135 0x0001790a 0x1001850a 4   5    .text   ascii   t$0j
1136 0x0001793e 0x1001853e 4   5    .text   ascii   t$,j
1137 0x00017962 0x10018562 4   5    .text   ascii   _^][
1138 0x00017971 0x10018571 4   5    .text   ascii   \fSWh
1139 0x000179af 0x100185af 5   6    .text   ascii   u09]\b
1140 0x00017aa3 0x100186a3 5   6    .text   ascii   1F\fWS
1141 0x00017ae8 0x100186e8 5   6    .text   ascii   SVWts
1142 0x00017afd 0x100186fd 4   5    .text   ascii   t\jW
1143 0x00017b03 0x10018703 4   5    .text   ascii   [j V
1144 0x00017c34 0x10018834 4   5    .text   ascii   t$\fj
1145 0x00017c62 0x10018862 4   5    .text   ascii   D0(j
1146 0x00017c9f 0x1001889f 9   11   .text   utf8    <SVW3ۉ\$0 blocks=Basic Latin,Arabic
1147 0x00017caa 0x100188aa 8   10   .text   utf8    \$43\r|$8
1148 0x00017cc0 0x100188c0 4   5    .text   ascii   D$ \b
1149 0x00017d00 0x10018900 4   6    .text   utf8    ;ÉD$ blocks=Basic Latin,Latin-1 Supplement
1150 0x00017d4a 0x1001894a 4   6    .text   utf8    ;ÉD$ blocks=Basic Latin,Latin-1 Supplement
1151 0x00017d8e 0x1001898e 4   5    .text   ascii   D$(S
1152 0x00017d93 0x10018993 4   5    .text   ascii   D$(P
1153 0x00017da0 0x100189a0 4   6    .text   utf8    ;ÉD$ blocks=Basic Latin,Latin-1 Supplement
1154 0x00017dbb 0x100189bb 4   5    .text   ascii   D$ \v
1155 0x00017de5 0x100189e5 6   8    .text   utf8    ;ÉG\bt} blocks=Basic Latin,Latin-1 Supplement
1156 0x00017dff 0x100189ff 6   8    .text   utf8    ;ÉG\ftc blocks=Basic Latin,Latin-1 Supplement
1157 0x00017f55 0x10018b55 6   7    .text   ascii   E\bPWVh
1158 0x00017faf 0x10018baf 5   6    .text   ascii   \r\nu\tf
1159 0x00017fff 0x10018bff 5   7    .text   utf8    tËB\t% blocks=Basic Latin,Latin-1 Supplement
1160 0x0001802b 0x10018c2b 5   6    .text   ascii   tO9]\b
1161 0x00018035 0x10018c35 4   5    .text   ascii   9]\ft
1162 0x000181fd 0x10018dfd 4   6    .text   utf8    ;ǋ5< blocks=Basic Latin,Latin Extended-B
1163 0x00018208 0x10018e08 4   5    .text   ascii   u>WW
1164 0x00018287 0x10018e87 6   7    .text   ascii   /t\vW@P
1165 0x0001834a 0x10018f4a 4   5    .text   ascii   QSVW
1166 0x000183a9 0x10018fa9 4   5    .text   ascii   +u\bV
1167 0x00018446 0x10019046 4   6    .text   utf8    3\vN\b
1168 0x0001846f 0x1001906f 4   5    .text   ascii   Qh/U
1169 0x0001851a 0x1001911a 6   7    .text   ascii   VWj\b_t
1170 0x000185dd 0x100191dd 4   5    .text   ascii   }\b\bu
1171 0x000185fe 0x100191fe 4   5    .text   ascii   _^Y]
1172 0x00018608 0x10019208 4   5    .text   ascii   QQSV
1173 0x00018612 0x10019212 4   5    .text   ascii   Wj\b[
1174 0x000186cd 0x100192cd 4   5    .text   ascii   ]\bW3
1175 0x000186dc 0x100192dc 6   8    .text   utf8    ;ǉE\btG blocks=Basic Latin,Latin Extended-B
1176 0x000186f2 0x100192f2 4   5    .text   ascii   E\b@P
1177 0x00018708 0x10019308 4   5    .text   ascii   u\bWV
1178 0x00018752 0x10019352 5   6    .text   ascii   QSUW3
1179 0x00018758 0x10019358 4   5    .text   ascii   j8SV
1180 0x0001876d 0x1001936d 4   5    .text   ascii   \fSS3
1181 0x0001877e 0x1001937e 4   5    .text   ascii   SUUS
1182 0x00018784 0x10019384 5   7    .text   utf8    ;ÉF t blocks=Basic Latin,Latin-1 Supplement
1183 0x0001879b 0x1001939b 7   8    .text   ascii   D$\f_][Y
1184 0x000187ae 0x100193ae 4   5    .text   ascii   t\nh`
1185 0x000187cd 0x100193cd 4   5    .text   ascii   t\tUP
1186 0x000187dd 0x100193dd 4   5    .text   ascii   t\tUP
1187 0x000187ed 0x100193ed 4   5    .text   ascii   t\tUP
1188 0x000187fb 0x100193fb 4   6    .text   utf8    ;ŋ=D blocks=Basic Latin,Latin Extended-A
1189 0x00018817 0x10019417 5   6    .text   ascii   _[t\fP
1190 0x00018862 0x10019462 4   5    .text   ascii   N(tG
1191 0x000188be 0x100194be 4   5    .text   ascii   QQSW
1192 0x000189b3 0x100195b3 5   6    .text   ascii   VWSSS
1193 0x00018a02 0x10019602 4   5    .text   ascii   E\fPj
1194 0x00018a12 0x10019612 4   5    .text   ascii   E\fPj
1195 0x00018be9 0x100197e9 4   5    .text   ascii   \bj\b_
1196 0x00018c27 0x10019827 5   7    .text   utf8    F(;ÉE blocks=Basic Latin,Latin-1 Supplement
1197 0x00018c3d 0x1001983d 4   5    .text   ascii   F,Ph
1198 0x00018c5c 0x1001985c 7   8    .text   ascii   u`9^,t[
1199 0x00018e6d 0x10019a6d 5   6    .text   ascii   \$\bVW
1200 0x00018f9c 0x10019b9c 5   6    .text   ascii   u\fh8d
1201 0x000190d9 0x10019cd9 5   6    .text   ascii   9u\ft\a
1202 0x0001919b 0x10019d9b 5   6    .text   ascii   VRPQh
1203 0x000191e6 0x10019de6 5   6    .text   ascii   9u t\b
1204 0x000191f3 0x10019df3 8   9    .text   ascii   9u$_^[t\b
1205 0x00019214 0x10019e14 4   5    .text   ascii   SVhD
1206 0x000193e7 0x10019fe7 4   5    .text   ascii   VWh|
1207 0x0001948a 0x1001a08a 4   5    .text   ascii   tdh\b
1208 0x0001961c 0x1001a21c 4   6    .text   utf8    P3ۍE blocks=Basic Latin,Arabic
1209 0x000197d2 0x1001a3d2 4   5    .text   ascii   Q\b9]
1210 0x000197fd 0x1001a3fd 4   5    .text   ascii   Q\b9]
1211 0x00019830 0x1001a430 5   7    .text   utf8    ؍D\e\fP blocks=Arabic,Basic Latin
1212 0x00019845 0x1001a445 5   6    .text   ascii   u\fhxe
1213 0x00019869 0x1001a469 4   5    .text   ascii   _^[]
1214 0x00019875 0x1001a475 7   9    .text   utf8    ,SWjW[3
1215 0x000198f8 0x1001a4f8 5   6    .text   ascii   u\fhVc
1216 0x000199d6 0x1001a5d6 4   5    .text   ascii   PWWW
1217 0x00019a72 0x1001a672 7   8    .text   ascii   QQSWj\v[
1218 0x00019b2d 0x1001a72d 4   5    .text   ascii   P\b^_
1219 0x00019b3e 0x1001a73e 4   5    .text   ascii   SVW3
1220 0x00019b50 0x1001a750 4   5    .text   ascii   Ph1c
1221 0x00019b6f 0x1001a76f 4   5    .text   ascii   Ph<c
1222 0x00019c54 0x1001a854 6   7    .text   ascii   TSVWh\b
1223 0x00019c67 0x1001a867 5   6    .text   ascii   u\bj\bX
1224 0x00019c80 0x1001a880 5   6    .text   ascii   u\bj\b_
1225 0x00019de2 0x1001a9e2 6   10   .text   utf8    3\tMԍ}ث blocks=Basic Latin,Cyrillic Supplement,Arabic
1226 0x00019dfc 0x1001a9fc 6   7    .text   ascii   PQQQQQ
1227 0x00019e58 0x1001aa58 4   5    .text   ascii   t\ah|
1228 0x00019f55 0x1001ab55 5   6    .text   ascii   SVWh\b
1229 0x00019f64 0x1001ab64 4   6    .text   utf8    ;ÉD$ blocks=Basic Latin,Latin-1 Supplement
1230 0x00019f6e 0x1001ab6e 5   6    .text   ascii   u\bj\bX
1231 0x00019f78 0x1001ab78 4   5    .text   ascii   SSSS
1232 0x00019f7d 0x1001ab7d 6   7    .text   ascii   L$(QPS
1233 0x00019fc6 0x1001abc6 4   5    .text   ascii   SSSS
1234 0x00019fcb 0x1001abcb 4   5    .text   ascii   D$(P
1235 0x0001a135 0x1001ad35 5   6    .text   ascii   ]\bVW3
1236 0x0001a15d 0x1001ad5d 4   5    .text   ascii   D$0P
1237 0x0001a173 0x1001ad73 5   6    .text   ascii   @9t$H
1238 0x0001a18c 0x1001ad8c 4   5    .text   ascii   |$HW
1239 0x0001a196 0x1001ad96 9   11   .text   utf8    \tD$\fu{WSP
1240 0x0001a1bc 0x1001adbc 6   7    .text   ascii   ;D$(uR
1241 0x0001a1c6 0x1001adc6 6   7    .text   ascii   ;D$,uH
1242 0x0001a1cd 0x1001adcd 9   10   .text   ascii   D$ ;D$0u>
1243 0x0001a1d7 0x1001add7 9   10   .text   ascii   D$$;D$4u4
1244 0x0001a1ea 0x1001adea 4   5    .text   ascii   D$<P
1245 0x0001a273 0x1001ae73 4   6    .text   utf8    ;ÉD$ blocks=Basic Latin,Latin-1 Supplement
1246 0x0001a2a1 0x1001aea1 6   7    .text   ascii   9]\btvV
1247 0x0001a315 0x1001af15 5   7    .text   utf8    Nuډ\$ blocks=Basic Latin,Arabic
1248 0x0001a372 0x1001af72 4   5    .text   ascii   t\nVW
1249 0x0001a3b5 0x1001afb5 6   7    .text   ascii   s+j\bY;
1250 0x0001a3e1 0x1001afe1 4   6    .text   utf8    13ɍB blocks=Basic Latin,Latin Extended-B
1251 0x0001a3ed 0x1001afed 5   6    .text   ascii   3p\b30
1252 0x0001a40a 0x1001b00a 4   6    .text   utf8    rۋZ  blocks=Basic Latin,Arabic
1253 0x0001a416 0x1001b016 7   9    .text   utf8    r(#Éu\f3 blocks=Basic Latin,Latin-1 Supplement
1254 0x0001a42b 0x1001b02b 6   7    .text   ascii   E\b\vE\f\v
1255 0x0001a434 0x1001b034 4   5    .text   ascii   3B,3
1256 0x0001a443 0x1001b043 5   6    .text   ascii   B,3u\f
1257 0x0001a4a0 0x1001b0a0 4   6    .text   utf8    3ƉB4 blocks=Basic Latin,Latin Extended-B
1258 0x0001a4ad 0x1001b0ad 4   6    .text   utf8    3ǉr< blocks=Basic Latin,Latin Extended-B
1259 0x0001a4d3 0x1001b0d3 5   6    .text   ascii   M\f\vE\b
1260 0x0001a515 0x1001b115 5   7    .text   utf8    ZP\vÉE blocks=Basic Latin,Latin-1 Supplement
1261 0x0001a51d 0x1001b11d 6   8    .text   utf8    M\f3ˋ]\b blocks=Basic Latin,Spacing Modifier Letters
1262 0x0001a52a 0x1001b12a 6   7    .text   ascii   #BX#M\b
1263 0x0001a532 0x1001b132 5   7    .text   utf8    \vËZP\v blocks=Basic Latin,Latin-1 Supplement
1264 0x0001a53f 0x1001b13f 4   6    .text   utf8    3ˋZl blocks=Basic Latin,Spacing Modifier Letters
1265 0x0001a54d 0x1001b14d 5   6    .text   ascii   JT3E\f
1266 0x0001a587 0x1001b187 7   8    .text   ascii   3zd\v}\b3
1267 0x0001a58f 0x1001b18f 5   7    .text   utf8    3z`3ϋ blocks=Basic Latin,Greek and Coptic
1268 0x0001a596 0x1001b196 4   5    .text   ascii   #]\f3
1269 0x0001a59d 0x1001b19d 4   6    .text   utf8    3Ërx blocks=Basic Latin,Latin-1 Supplement
1270 0x0001a5b0 0x1001b1b0 4   6    .text   utf8    3ω}\f blocks=Basic Latin,Greek and Coptic
1271 0x0001a5d9 0x1001b1d9 5   6    .text   ascii   #u\b3M
1272 0x0001a5e1 0x1001b1e1 4   5    .text   ascii   #E\f\v
1273 0x0001a5ec 0x1001b1ec 4   5    .text   ascii   }\b#}
1274 0x0001a622 0x1001b222 4   6    .text   utf8    \vƉzx blocks=Basic Latin,Latin Extended-B
1275 0x0001a636 0x1001b236 4   6    .text   utf8    щM\b# blocks=Cyrillic,Basic Latin
1276 0x0001a6a4 0x1001b2a4 4   5    .text   ascii   \vE\f\v
1277 0x0001a6ef 0x1001b2ef 5   7    .text   utf8    #Éu\f3 blocks=Basic Latin,Latin-1 Supplement
1278 0x0001a6f7 0x1001b2f7 5   6    .text   ascii   E\b\vE\f
1279 0x0001a780 0x1001b380 4   6    .text   utf8    3ى]\f blocks=Basic Latin,Arabic
1280 0x0001a7c9 0x1001b3c9 4   6    .text   utf8    3ǉE\b blocks=Basic Latin,Latin Extended-B
1281 0x0001a857 0x1001b457 6   8    .text   utf8    M\f3ˋ]\b blocks=Basic Latin,Spacing Modifier Letters
1282 0x0001a8c0 0x1001b4c0 4   6    .text   utf8    3IE\b
1283 0x0001a8eb 0x1001b4eb 4   5    .text   ascii   \v}\b3
1284 0x0001a94e 0x1001b54e 4   6    .text   utf8    3ȉu\b blocks=Basic Latin,Latin Extended-B
1285 0x0001a955 0x1001b555 4   5    .text   ascii   #E\f\v
1286 0x0001a95f 0x1001b55f 5   6    .text   ascii   #u\b3M
1287 0x0001a968 0x1001b568 4   5    .text   ascii   }\b#}
1288 0x0001a9a8 0x1001b5a8 5   7    .text   utf8    3Iu\f3
1289 0x0001a9be 0x1001b5be 4   6    .text   utf8    щM\b# blocks=Cyrillic,Basic Latin
1290 0x0001aa2c 0x1001b62c 4   5    .text   ascii   \vE\f\v
1291 0x0001aa7f 0x1001b67f 5   6    .text   ascii   E\b\vE\f
1292 0x0001ab0a 0x1001b70a 4   6    .text   utf8    \vω]\f blocks=Basic Latin,Greek and Coptic
1293 0x0001abe3 0x1001b7e3 5   7    .text   utf8    M\f3ˉE blocks=Basic Latin,Spacing Modifier Letters
1294 0x0001ac73 0x1001b873 4   5    .text   ascii   \v}\b3
1295 0x0001ac82 0x1001b882 4   5    .text   ascii   #]\f3
1296 0x0001acd7 0x1001b8d7 4   6    .text   utf8    u\b3ȋ blocks=Basic Latin,Latin Extended-B
1297 0x0001acdd 0x1001b8dd 5   6    .text   ascii   #u\b3M
1298 0x0001acea 0x1001b8ea 4   5    .text   ascii   }\b#}
1299 0x0001acfb 0x1001b8fb 5   6    .text   ascii   #E\f3}
1300 0x0001ad46 0x1001b946 4   6    .text   utf8    щM\b# blocks=Cyrillic,Basic Latin
1301 0x0001adb4 0x1001b9b4 4   5    .text   ascii   \vE\f\v
1302 0x0001ae09 0x1001ba09 4   6    .text   utf8    #Éu\f blocks=Basic Latin,Latin-1 Supplement
1303 0x0001ae0f 0x1001ba0f 6   7    .text   ascii   E\b\vE\f3
1304 0x0001ae32 0x1001ba32 6   7    .text   ascii   3u\b3u\f
1305 0x0001ae3e 0x1001ba3e 5   7    .text   utf8    3]\b3߉ blocks=Basic Latin,NKo
1306 0x0001ae8f 0x1001ba8f 4   5    .text   ascii   \vE\b3
1307 0x0001ae99 0x1001ba99 4   5    .text   ascii   \vu\b3
1308 0x0001aee0 0x1001bae0 4   6    .text   utf8    3ǉE\b blocks=Basic Latin,Latin Extended-B
1309 0x0001af0d 0x1001bb0d 5   7    .text   utf8    3ˋ]\b3 blocks=Basic Latin,Spacing Modifier Letters
1310 0x0001af1c 0x1001bb1c 8   10   .text   utf8    \vE\b3]\f3I
1311 0x0001af58 0x1001bb58 4   6    .text   utf8    \vÉu\b blocks=Basic Latin,Latin-1 Supplement
1312 0x0001af65 0x1001bb65 6   8    .text   utf8    M\f3ˋ]\b blocks=Basic Latin,Spacing Modifier Letters
1313 0x0001afc9 0x1001bbc9 4   6    .text   utf8    3IE\b
1314 0x0001aff6 0x1001bbf6 4   5    .text   ascii   \v}\b3
1315 0x0001b005 0x1001bc05 4   5    .text   ascii   #]\f3
1316 0x0001b060 0x1001bc60 4   5    .text   ascii   #E\f\v
1317 0x0001b06a 0x1001bc6a 5   6    .text   ascii   #u\b3M
1318 0x0001b073 0x1001bc73 4   5    .text   ascii   }\b#}
1319 0x0001b0ed 0x1001bced 4   5    .text   ascii   \vM\b3
1320 0x0001b11d 0x1001bd1d 4   6    .text   utf8    3ȉE\f blocks=Basic Latin,Latin Extended-B
1321 0x0001b150 0x1001bd50 4   5    .text   ascii   #]\f3
1322 0x0001b188 0x1001bd88 5   7    .text   utf8    #Éu\f3 blocks=Basic Latin,Latin-1 Supplement
1323 0x0001b196 0x1001bd96 7   9    .text   utf8    E\b\vE\f#ˋ blocks=Basic Latin,Spacing Modifier Letters
1324 0x0001b1b5 0x1001bdb5 6   7    .text   ascii   3u\b3u\f
1325 0x0001b1c1 0x1001bdc1 5   7    .text   utf8    3]\b3߉ blocks=Basic Latin,NKo
1326 0x0001b1f9 0x1001bdf9 4   5    .text   ascii   3_\b3
1327 0x0001b214 0x1001be14 6   7    .text   ascii   H,3O\f3
1328 0x0001b28b 0x1001be8b 4   5    .text   ascii   3p43
1329 0x0001b31b 0x1001bf1b 4   5    .text   ascii   3XL3
1330 0x0001b320 0x1001bf20 4   5    .text   ascii   3PD3
1331 0x0001b39c 0x1001bf9c 4   5    .text   ascii   3xT3
1332 0x0001b40b 0x1001c00b 4   6    .text   utf8    3ߋxl blocks=Basic Latin,NKo
1333 0x0001b41a 0x1001c01a 4   5    .text   ascii   3Hd3
1334 0x0001b488 0x1001c088 4   5    .text   ascii   3Xt3
1335 0x0001c877 0x1001d477 4   8    .text   utf8    3ډ]䋘 blocks=Basic Latin,Arabic,CJK Unified Ideographs Extension A
1336 0x0001c8f9 0x1001d4f9 4   8    .text   utf8    #ωM䋈 blocks=Basic Latin,Greek and Coptic,CJK Unified Ideographs Extension A
1337 0x0001cbbe 0x1001d7be 4   6    .text   utf8    \a3ϋ} blocks=Basic Latin,Greek and Coptic
1338 0x0001ccc7 0x1001d8c7 4   8    .text   utf8    3ډ]䋘 blocks=Basic Latin,Arabic,CJK Unified Ideographs Extension A
1339 0x0001cd49 0x1001d949 5   9    .text   utf8    #ωM䋈\b blocks=Basic Latin,Greek and Coptic,CJK Unified Ideographs Extension A
1340 0x0001d00e 0x1001dc0e 4   6    .text   utf8    \a3ϋ} blocks=Basic Latin,Greek and Coptic
1341 0x0001d117 0x1001dd17 4   8    .text   utf8    3ډ]䋘 blocks=Basic Latin,Arabic,CJK Unified Ideographs Extension A
1342 0x0001d199 0x1001dd99 4   8    .text   utf8    #ωM䋈 blocks=Basic Latin,Greek and Coptic,CJK Unified Ideographs Extension A
1343 0x0001d1fe 0x1001ddfe 4   5    .text   ascii   3p|\v
1344 0x0001d22d 0x1001de2d 7   9    .text   utf8    \a3ʋPp3U blocks=Basic Latin,IPA Extensions
1345 0x0001d299 0x1001de99 5   6    .text   ascii   3xh3U
1346 0x0001d2b3 0x1001deb3 4   5    .text   ascii   X`3]
1347 0x0001d31f 0x1001df1f 8   10   .text   utf8    3H\3ϋxX3 blocks=Basic Latin,Greek and Coptic
1348 0x0001d334 0x1001df34 4   5    .text   ascii   PP3U
1349 0x0001d380 0x1001df80 4   5    .text   ascii   PD\vM
1350 0x0001d38b 0x1001df8b 4   5    .text   ascii   3HL\v
1351 0x0001d3af 0x1001dfaf 5   7    .text   utf8    ދx@3} blocks=Thaana,Basic Latin
1352 0x0001d3dd 0x1001dfdd 4   6    .text   utf8    \r3߉u blocks=Basic Latin,NKo
1353 0x0001d40d 0x1001e00d 4   5    .text   ascii   3p4#
1354 0x0001d42a 0x1001e02a 4   6    .text   utf8    \a3ًM blocks=Basic Latin,Arabic
1355 0x0001d432 0x1001e032 4   5    .text   ascii   3H03
1356 0x0001d49c 0x1001e09c 4   5    .text   ascii   3P 3
1357 0x0001d4c7 0x1001e0c7 4   7    .text   utf8    3ϋ}ԉ blocks=Basic Latin,Greek and Coptic,Cyrillic Supplement
1358 0x0001d587 0x1001e187 7   9    .text   utf8    t^VW3Ƀ} blocks=Basic Latin,Latin Extended-B
1359 0x0001d5c5 0x1001e1c5 4   5    .text   ascii   ?}\a3
1360 0x0001d5d9 0x1001e1d9 6   7    .text   ascii   \n\rCC9E
1361 0x0001d5fa 0x1001e1fa 4   5    .text   ascii   SVWh
1362 0x0001d697 0x1001e297 4   5    .text   ascii   M\bQS
1363 0x0001d6c9 0x1001e2c9 5   7    .text   utf8    P\b3ۍE blocks=Basic Latin,Arabic
1364 0x0001d7c4 0x1001e3c4 5   6    .text   ascii   QRPh$
1365 0x0001d8ca 0x1001e4ca 5   6    .text   ascii   +E\bH]
1366 0x0001d8e5 0x1001e4e5 4   5    .text   ascii   u\a@A
1367 0x0001d96b 0x1001e56b 4   7    .text   utf8    u\tM̫ blocks=Basic Latin,Combining Diacritical Marks
1368 0x0001d972 0x1001e572 5   8    .text   utf8    MԉM؉M blocks=Basic Latin,Cyrillic Supplement,Arabic
1369 0x0001d983 0x1001e583 4   5    .text   ascii   E\fPj
1370 0x0001da3e 0x1001e63e 4   5    .text   ascii   E\fPj
1371 0x0001da6a 0x1001e66a 6   7    .text   ascii   t'j\bj@
1372 0x0001daab 0x1001e6ab 4   5    .text   ascii   u|9^
1373 0x0001dab0 0x1001e6b0 4   5    .text   ascii   t,9^
1374 0x0001dabb 0x1001e6bb 4   6    .text   utf8    ǁ8PE blocks=Latin Extended-B,Basic Latin
1375 0x0001dac7 0x1001e6c7 4   5    .text   ascii   9H\bu
1376 0x0001dacc 0x1001e6cc 5   6    .text   ascii   ;x4u\r
1377 0x0001db15 0x1001e715 4   5    .text   ascii   E\bPj
1378 0x0001db27 0x1001e727 4   6    .text   utf8    ]؋E\f blocks=Basic Latin,Arabic
1379 0x0001db6b 0x1001e76b 4   5    .text   ascii   tpSV
1380 0x0001dbee 0x1001e7ee 5   6    .text   ascii   QRPhD
1381 0x0001dcdb 0x1001e8db 5   6    .text   ascii   QRPhd
1382 0x0001dd64 0x1001e964 4   5    .text   ascii   QRPh
1383 0x0001dd9d 0x1001e99d 4   5    .text   ascii   QRPh
1384 0x0001ddf0 0x1001e9f0 4   5    .text   ascii   QRPh
1385 0x0001de29 0x1001ea29 4   5    .text   ascii   QRPh
1386 0x0001dea8 0x1001eaa8 4   5    .text   ascii   QRPh
1387 0x0001decd 0x1001eacd 6   7    .text   ascii   QRPh$\a
1388 0x0001df34 0x1001eb34 4   5    .text   ascii   T$\bH
1389 0x0001df41 0x1001eb41 4   6    .text   utf8    0_]ˋ blocks=Basic Latin,Spacing Modifier Letters
1390 0x0001df5e 0x1001eb5e 9   10   .text   ascii   0QRAPAQUH
1391 0x0001df7a 0x1001eb7a 7   8    .text   ascii   ]AYAXZY
1392 0x0001df9c 0x1001eb9c 4   5    .text   ascii   t$0h
1393 0x0001dfb3 0x1001ebb3 6   7    .text   ascii   SQRVWU
1394 0x0001dfd6 0x1001ebd6 6   7    .text   ascii   ]_^ZY[
1395 0x0001dfdf 0x1001ebdf 6   7    .text   ascii   SQRVWU
1396 0x0001e001 0x1001ec01 6   7    .text   ascii   ]_^ZY[
1397 0x0001e034 0x1001ec34 6   7    .text   ascii   QRPhD\a
1398 0x0001e171 0x1001ed71 6   7    .text   ascii   QRPhd\a
1399 0x0001e1b4 0x1001edb4 4   5    .text   ascii   QRPh
1400 0x0001e427 0x1001f027 4   5    .text   ascii   QRPh
1401 0x0001e524 0x1001f124 4   5    .text   ascii   QRPh
1402 0x0001e5a1 0x1001f1a1 4   5    .text   ascii   Y_^[
1403 0x0001e5a8 0x1001f1a8 9   10   .text   ascii   VC20XC00U
1404 0x0001e5b5 0x1001f1b5 5   6    .text   ascii   \bSVWU
1405 0x0001e5fe 0x1001f1fe 4   5    .text   ascii   tYVU
1406 0x0001e618 0x1001f218 4   5    .text   ascii   t?xH
1407 0x0001e68e 0x1001f28e 4   5    .text   ascii   ]_^[
1408 0x0001e6bb 0x1001f2bb 5   6    .text   ascii   SVWUj
1409 0x0001e6d0 0x1001f2d0 4   5    .text   ascii   ]_^[
1410 0x0001e6d6 0x1001f2d6 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
1411 0x0001e747 0x1001f347 6   7    .text   ascii   ;t$(v(
1412 0x0001e799 0x1001f399 6   7    .text   ascii   R\f9Q\bu
1413 0x0001e7c0 0x1001f3c0 10  11   .text   ascii   k\fUQPXY]Y[
1414 0x0001e7f7 0x1001f3f7 8   9    .text   ascii   r\f;]\bs\a3
1415 0x0001e816 0x1001f416 4   6    .text   utf8    3҉U\b blocks=Basic Latin,Cyrillic
1416 0x0001e866 0x1001f466 4   5    .text   ascii   t+@;
1417 0x0001e86e 0x1001f46e 4   5    .text   ascii   E\bPj
1418 0x0001e8f0 0x1001f4f0 5   7    .text   utf8    9B;Љ1 blocks=Basic Latin,Cyrillic
1419 0x0001e932 0x1001f532 4   6    .text   utf8    A8PE
1420 0x0001e99d 0x1001f59d 5   6    .text   ascii   90t\bJ
1421 0x0001e9c4 0x1001f5c4 5   7    .text   utf8    8B;Ӊ0 blocks=Basic Latin,Cyrillic
1422 0x0001ea59 0x10020059 4   5    .rdata  ascii   -\fwa
1423 0x0001eb31 0x10020131 8   9    .rdata  ascii   w\vwPw\vw\e
1424 0x0001ebf3 0x100201f3 4   6    .rdata  utf8    vŚ\fw blocks=Basic Latin,Latin Extended-A
1425 0x0001ec2b 0x1002022b 5   6    .rdata  ascii   wh\\vw
1426 0x0001ec35 0x10020235 7   8    .rdata  ascii   ]\vw\bU\vw
1427 0x0001ec45 0x10020245 11  12   .rdata  ascii   S\nwe<\fw8b\vw
1428 0x0001ec51 0x10020251 4   5    .rdata  ascii   `\vwn
1429 0x0001ec69 0x10020269 7   8    .rdata  ascii   -\aw@S\nw
1430 0x0001ec71 0x10020271 11  13   .rdata  utf8    3\fwɮ\fw(a\vwJ blocks=Basic Latin,IPA Extensions
1431 0x0001ec7e 0x1002027e 7   8    .rdata  ascii   \aw z\aw)
1432 0x0001ec89 0x10020289 11  12   .rdata  ascii   L\nw(W\vw`F\nw
1433 0x0001ec95 0x10020295 4   5    .rdata  ascii   E\nw0
1434 0x0001ecb0 0x100202b0 11  12   .rdata  ascii   WININET.dll
1435 0x0001ecc0 0x100202c0 11  12   .rdata  ascii   SHLWAPI.dll
1436 0x0001ecd0 0x100202d0 10  11   .rdata  ascii   WS2_32.dll
1437 0x0001ece0 0x100202e0 11  12   .rdata  ascii   CRYPT32.dll
1438 0x0001ecf0 0x100202f0 11  12   .rdata  ascii   VERSION.dll
1439 0x0001ed00 0x10020300 10  11   .rdata  ascii   USER32.dll
1440 0x0001ed10 0x10020310 12  13   .rdata  ascii   ADVAPI32.dll
1441 0x0001ed20 0x10020320 11  12   .rdata  ascii   SHELL32.dll
1442 0x0001ed30 0x10020330 9   10   .rdata  ascii   ole32.dll
1443 0x0001ed40 0x10020340 9   10   .rdata  ascii   PSAPI.DLL
1444 0x0001ed50 0x10020350 12  13   .rdata  ascii   SETUPAPI.dll
1445 0x0001ed60 0x10020360 12  13   .rdata  ascii   AVIFIL32.dll
1446 0x0001ed70 0x10020370 9   10   .rdata  ascii   GDI32.dll
1447 0x0001edae 0x100203ae 4   5    .rdata  ascii   3)6{
1448 0x0001edd0 0x100203d0 12  13   .rdata  ascii   OLEAUT32.dll
1449 0x0001edec 0x100203ec 4   5    .rdata  ascii    \t\r\n
1450 0x0001edf4 0x100203f4 7   8    .rdata  ascii   xul.dll
1451 0x0001ee00 0x10020400 6   7    .rdata  ascii   "%S"\r\n
1452 0x0001ee08 0x10020408 4   5    .rdata  ascii    s:\r
1453 0x0001ee28 0x10020428 64  65   .rdata  ascii   ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/
1454 0x0001ee70 0x10020470 80  81   .rdata  ascii   |$$$}rstuvwxyz{$$$$$$$>?@ABCDEFGHIJKLMNOPQRSTUVW$$$$$$XYZ[\]^_`abcdefghijklmnopq
1455 0x0001eec4 0x100204c4 8   9    .rdata  ascii   VIFPIV50
1456 0x0001eee5 0x100204e5 5   6    .rdata  ascii   QkkXa
1457 0x0001ef14 0x10020514 11  12   .rdata  ascii   Oct 22 2018
1458 0x0001ef20 0x10020520 4   5    .rdata  ascii   .bss
1459 0x0001ef28 0x10020528 4   5    .rdata  ascii   "%S"
