[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
310  0x00012425 0x00413025 6   8    .text   utf8    >ՋD$Dj blocks=Basic Latin,Armenian
311  0x00012438 0x00413038 4   5    .text   ascii   V\fPQ
312  0x00012454 0x00413054 4   5    .text   ascii   \$ P
313  0x0001245d 0x0041305d 4   5    .text   ascii   |$(P
314  0x00012478 0x00413078 5   7    .text   utf8    \vȋD$2 blocks=Basic Latin,Latin Extended-B
315  0x00012486 0x00413086 9   12   .text   utf8    ыL$6\vЋD$4 blocks=Cyrillic,Basic Latin
316  0x000124a2 0x004130a2 5   7    .text   utf8    \vЋD$8 blocks=Basic Latin,Cyrillic
317  0x000124b1 0x004130b1 4   5    .text   ascii   _^]3
318  0x000124cb 0x004130cb 6   8    .text   utf8    ^ËL$\bP blocks=Basic Latin,Latin-1 Supplement
319  0x000124f2 0x004130f2 4   5    .text   ascii   l$\fV
320  0x00012510 0x00413110 4   5    .text   ascii   9n@s
321  0x0001253f 0x0041313f 5   6    .text   ascii   n@UWP
322  0x00012580 0x00413180 5   8    .text   utf8    3KωF0 blocks=Basic Latin,Greek and Coptic
323  0x000125da 0x004131da 5   6    .text   ascii   *;F(r
324  0x000125ff 0x004131ff 5   6    .text   ascii   n$_^]
325  0x00012614 0x00413214 4   5    .text   ascii   QUWP
326  0x00012642 0x00413242 4   5    .text   ascii   4SUV
327  0x00012698 0x00413298 4   5    .text   ascii   -@PC
328  0x000126b2 0x004132b2 4   5    .text   ascii   NPQS
329  0x000126cb 0x004132cb 4   5    .text   ascii   PPPW
330  0x000126d5 0x004132d5 8   10   .text   utf8    3\t~|_^][
331  0x00012706 0x00413306 4   5    .text   ascii   D$4P
332  0x00012721 0x00413321 4   5    .text   ascii   D$ P
333  0x0001276b 0x0041336b 4   6    .text   utf8    \vȉVT blocks=Basic Latin,Latin Extended-B
334  0x00012782 0x00413382 9   12   .text   utf8    ыL$*\vЋD$( blocks=Cyrillic,Basic Latin
335  0x0001279e 0x0041339e 4   6    .text   utf8    \vЉ~| blocks=Basic Latin,Cyrillic
336  0x000127ae 0x004133ae 8   10   .text   utf8    3\tVh_^][
337  0x000127c2 0x004133c2 4   5    .text   ascii   _^][
338  0x000127f0 0x004133f0 4   5    .text   ascii   QSVW
339  0x0001284a 0x0041344a 4   5    .text   ascii   _^[Y
340  0x0001285d 0x0041345d 4   5    .text   ascii   L$\fj
341  0x00012864 0x00413464 5   6    .text   ascii   t$ SP
342  0x0001288d 0x0041348d 4   5    .text   ascii   _^[Y
343  0x000128b2 0x004134b2 5   6    .text   ascii    SUVW
344  0x00012936 0x00413536 5   6    .text   ascii   ~D$$f
345  0x0001297f 0x0041357f 5   6    .text   ascii   ~D$$f
346  0x000129ce 0x004135ce 5   6    .text   ascii   ~D$$f
347  0x00012a34 0x00413634 7   10   .text   utf8    A\b3ɋGHǀ blocks=Basic Latin,Latin Extended-B
348  0x00012ab6 0x004136b6 4   6    .text   utf8    \av\nǆ blocks=Basic Latin,Latin Extended-B
349  0x00012be2 0x004137e2 5   6    .text   ascii   GH_^]
350  0x00012c17 0x00413817 4   5    .text   ascii   _^][
351  0x00012c2f 0x0041382f 4   5    .text   ascii   _^][
352  0x00012c52 0x00413852 6   8    .text   utf8    \f+щl$4 blocks=Basic Latin,Cyrillic
353  0x00012c82 0x00413882 4   5    .text   ascii   _^][
