[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
267  0x0000624a 0x10006e4a 5   8    .text   utf8    u\t]\t]
268  0x000062b2 0x10006eb2 4   5    .text   ascii   u\bW3
269  0x00006344 0x10006f44 4   5    .text   ascii   D$<;
270  0x00006349 0x10006f49 4   5    .text   ascii   t%f9
271  0x000063d0 0x10006fd0 4   7    .text   utf8    t$,謺 blocks=Basic Latin,CJK Unified Ideographs
272  0x000063e4 0x10006fe4 4   7    .text   utf8    t$4蘺 blocks=Basic Latin,CJK Unified Ideographs
273  0x000063f8 0x10006ff8 4   7    .text   utf8    t$<脺 blocks=Basic Latin,CJK Unified Ideographs
274  0x00006415 0x10007015 4   6    .text   utf8    3\tF\b
275  0x00006433 0x10007033 4   5    .text   ascii   Vt%S
276  0x00006472 0x10007072 4   5    .text   ascii   $SVW
277  0x0000648f 0x1000708f 4   5    .text   ascii   YY9u
278  0x0000655d 0x1000715d 5   6    .text   ascii   C\fYYW
279  0x0000659a 0x1000719a 5   6    .text   ascii   \tw\r@@
280  0x000065ba 0x100071ba 6   7    .text   ascii   E\bSVW3
281  0x00006672 0x10007272 4   5    .text   ascii   t\eh4
282  0x00006699 0x10007299 6   7    .text   ascii   f9D$\fs
283  0x000066c7 0x100072c7 5   6    .text   ascii   D$8PS
284  0x0000673c 0x1000733c 4   6    .text   utf8    Ǎt$$ blocks=Latin Extended-B,Basic Latin
285  0x00006784 0x10007384 4   7    .text   utf8    D$0蟽 blocks=Basic Latin,CJK Unified Ideographs
286  0x000067d5 0x100073d5 5   6    .text   ascii   D$8Ph
287  0x000067e6 0x100073e6 4   5    .text   ascii   t\eh4
288  0x0000681a 0x1000741a 4   5    .text   ascii   u\ahl
289  0x000068b6 0x100074b6 6   7    .text   ascii   u\nj:Xj
290  0x000068c5 0x100074c5 6   7    .text   ascii   u\aj\Xf
291  0x000068f3 0x100074f3 4   7    .text   utf8    u\tW艵 blocks=Basic Latin,CJK Unified Ideographs
292  0x0000694c 0x1000754c 5   6    .text   ascii   YY[_3
293  0x000069c1 0x100075c1 4   5    .text   ascii   E\bPW
294  0x000069ed 0x100075ed 4   5    .text   ascii   @_^]
295  0x00006a00 0x10007600 4   5    .text   ascii   SVWj
296  0x00006a24 0x10007624 4   5    .text   ascii   D$lZ
297  0x00006a5e 0x1000765e 4   5    .text   ascii   D$DP
298  0x00006a6e 0x1000766e 6   7    .text   ascii   9|$Lt\t
299  0x00006a7e 0x1000767e 4   5    .text   ascii   L$T;
300  0x00006a8b 0x1000768b 4   5    .text   ascii   L$\;
301  0x00006a98 0x10007698 5   6    .text   ascii   D$HPh
302  0x00006ab0 0x100076b0 5   6    .text   ascii   L$\j,
303  0x00006ac3 0x100076c3 4   5    .text   ascii   D$$P
304  0x00006ac8 0x100076c8 4   5    .text   ascii   D$lP
305  0x00006ad5 0x100076d5 6   7    .text   ascii   9|$,YY
306  0x00006af2 0x100076f2 4   5    .text   ascii   D$  
307  0x00006b05 0x10007705 4   5    .text   ascii   \$ f
308  0x00006b28 0x10007728 4   5    .text   ascii   D$ 8
309  0x00006b31 0x10007731 4   5    .text   ascii   D$(f
310  0x00006b61 0x10007761 4   5    .text   ascii   ;D$$
311  0x00006b6b 0x1000776b 5   6    .text   ascii   9|$,t
312  0x00006bc8 0x100077c8 5   6    .text   ascii   9|$<u
313  0x00006bd9 0x100077d9 6   8    .text   utf8    3ɉD$<f blocks=Basic Latin,Latin Extended-B
314  0x00006be3 0x100077e3 4   5    .text   ascii   D$D;
315  0x00006bf5 0x100077f5 6   8    .text   utf8    3ɉD$Df blocks=Basic Latin,Latin Extended-B
316  0x00006c15 0x10007815 4   6    .text   utf8    3ҸP\f blocks=Basic Latin,Cyrillic
317  0x00006c22 0x10007822 5   6    .text   ascii   ;0u\rA
318  0x00006c3f 0x1000783f 4   6    .text   utf8    98uك blocks=Basic Latin,Arabic
319  0x00006c81 0x10007881 4   5    .text   ascii   Y_^3
320  0x00006cda 0x100078da 4   6    .text   utf8    ]ЋE\b blocks=Basic Latin,Cyrillic
321  0x00006d6b 0x1000796b 4   5    .text   ascii   Y_^[
322  0x00006d70 0x10007970 4   7    .text   utf8    Ëuȃe blocks=Latin-1 Supplement,Basic Latin,Latin Extended-B
323  0x00006da7 0x100079a7 4   5    .text   ascii   GGBB
324  0x00006e1a 0x10007a1a 5   6    .text   ascii   GAACC
325  0x00006e82 0x10007a82 6   7    .text   ascii   t\eVBBf
326  0x00006f81 0x10007b81 4   5    .text   ascii   Y_^[
327  0x00006fed 0x10007bed 4   5    .text   ascii   VVVV
328  0x0000701a 0x10007c1a 4   5    .text   ascii   VVVV
329  0x000070a4 0x10007ca4 4   5    .text   ascii   WWWW
330  0x000070ab 0x10007cab 7   8    .text   ascii   PWWWWWW
331  0x00007108 0x10007d08 4   7    .text   utf8    j2P膭 blocks=Basic Latin,CJK Unified Ideographs
332  0x0000715b 0x10007d5b 4   5    .text   ascii   uX9u
333  0x000071d8 0x10007dd8 4   5    .text   ascii   PWh?
334  0x000071df 0x10007ddf 4   5    .text   ascii   WWWh
335  0x0000726b 0x10007e6b 4   5    .text   ascii   D$$P
336  0x000072ab 0x10007eab 4   5    .text   ascii   D$,P
337  0x000072c0 0x10007ec0 4   5    .text   ascii   D$<d
338  0x000072fb 0x10007efb 4   5    .text   ascii   D$(P
339  0x00007310 0x10007f10 4   5    .text   ascii   D$8,
340  0x000073cf 0x10007fcf 4   7    .text   utf8    j(P迪 blocks=Basic Latin,CJK Unified Ideographs
341  0x000073db 0x10007fdb 4   5    .text   ascii   D$ P
342  0x00007400 0x10008000 4   5    .text   ascii   WjX[
343  0x00007405 0x10008005 6   9    .text   utf8    D$4SP自 blocks=Basic Latin,CJK Unified Ideographs
344  0x0000745b 0x1000805b 4   5    .text   ascii   t$d;
345  0x0000746b 0x1000806b 4   5    .text   ascii   D$0P
346  0x00007486 0x10008086 5   6    .text   ascii   t$Lh@
347  0x000074b5 0x100080b5 4   5    .text   ascii   <^\t
348  0x00007527 0x10008127 4   6    .text   utf8    +ÉD$ blocks=Basic Latin,Latin-1 Supplement
349  0x00007582 0x10008182 4   5    .text   ascii   }\bVh
350  0x000075fe 0x100081fe 4   6    .text   utf8    S3ۉ] blocks=Basic Latin,Arabic
351  0x00007639 0x10008239 4   5    .text   ascii   SSSS
352  0x0000768a 0x1000828a 4   5    .text   ascii   SSSS
353  0x000076c7 0x100082c7 4   5    .text   ascii   }\a9]
354  0x00007718 0x10008318 4   5    .text   ascii   SVhH
355  0x0000772f 0x1000832f 4   5    .text   ascii   FVhh
356  0x00007794 0x10008394 4   5    .text   ascii   Y^[3
357  0x00007811 0x10008411 4   5    .text   ascii   SVhH
358  0x00007828 0x10008428 4   5    .text   ascii   FVhh
359  0x0000788d 0x1000848d 4   5    .text   ascii   Y^[3
360  0x00007a97 0x10008697 5   6    .text   ascii   \fj\nXh
361  0x00007b22 0x10008722 4   5    .text   ascii   Wu\ah
362  0x00007b8f 0x1000878f 4   5    .text   ascii   }\bBf
363  0x00007b94 0x10008794 4   5    .text   ascii   <W|u
364  0x00007bb5 0x100087b5 5   6    .text   ascii   <G#u\v
365  0x00007cac 0x100088ac 4   5    .text   ascii   }\vCf
366  0x00007d86 0x10008986 5   8    .text   utf8    u\bu\n蚬 blocks=Basic Latin,CJK Unified Ideographs
367  0x00007e07 0x10008a07 5   6    .text   ascii   @Y_^[
368  0x00007e8e 0x10008a8e 4   5    .text   ascii   SVW3
369  0x00007f74 0x10008b74 4   5    .text   ascii   }\vCf
370  0x00007fa9 0x10008ba9 4   6    .text   utf8    i+؍{ blocks=Basic Latin,Arabic
371  0x00007fe0 0x10008be0 4   5    .text   ascii   Pu\ah
372  0x00008066 0x10008c66 4   5    .text   ascii   Pu\ah
373  0x000080c1 0x10008cc1 4   5    .text   ascii   SVWj
374  0x00008108 0x10008d08 4   5    .text   ascii   Pu\ah
375  0x0000843e 0x1000903e 5   8    .text   utf8    uĉE؉} blocks=Basic Latin,Latin Extended-A,Arabic
376  0x000084f1 0x100090f1 7   8    .text   ascii   t}f9>tx
377  0x0000854e 0x1000914e 4   5    .text   ascii   f98u
378  0x00008577 0x10009177 7   11   .text   utf8    tڋEȉEԋE blocks=Basic Latin,Arabic,Latin Extended-B,Cyrillic Supplement
