[Strings]
nth   paddr      vaddr       len  size section    type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d  44   45              ascii   !This program cannot be run in DOS mode.\r\r\n$
149   0x00002c82 0x140003882 5    6    .text      ascii   \$\bWH
150   0x00002cb6 0x1400038b6 4    5    .text      ascii   \$0H
151   0x00002cee 0x1400038ee 4    5    .text      ascii   D$ H
152   0x00002d42 0x140003942 5    6    .text      ascii   L$\bWH
153   0x00002d55 0x140003955 4    5    .text      ascii   \$XH
154   0x00002daa 0x1400039aa 4    5    .text      ascii   \$XH
155   0x00002df1 0x1400039f1 4    5    .text      ascii   \$@H
156   0x00002e76 0x140003a76 4    5    .text      ascii   \$@H
157   0x00002fa8 0x140003ba8 4    5    .text      ascii   l$0H
158   0x00002fca 0x140003bca 4    5    .text      ascii   l$0H
159   0x00002fcf 0x140003bcf 4    5    .text      ascii   t$@H
160   0x00002fd7 0x140003bd7 4    5    .text      ascii   \$8H
161   0x00003018 0x140003c18 4    5    .text      ascii   l$0H
162   0x0000303a 0x140003c3a 4    5    .text      ascii   l$0H
163   0x0000303f 0x140003c3f 4    5    .text      ascii   t$@H
164   0x00003047 0x140003c47 4    5    .text      ascii   \$8H
165   0x00003088 0x140003c88 4    5    .text      ascii   L$PI
166   0x000030a2 0x140003ca2 5    6    .text      ascii   \$\bWH
167   0x000030ca 0x140003cca 4    5    .text      ascii   \vy\tH
168   0x00003101 0x140003d01 4    5    .text      ascii   \$0H
169   0x00003141 0x140003d41 7    8    .text      ascii   Q\bI9Q\bu
170   0x0000314a 0x140003d4a 5    6    .text      ascii   \v9\bu\b
171   0x00003166 0x140003d66 10   11   .text      ascii   H\bL9I\bu\bD9
172   0x00003182 0x140003d82 4    5    .text      ascii   \$\bH
173   0x000031c5 0x140003dc5 4    5    .text      ascii   \$0H
174   0x000031e0 0x140003de0 8    9    .text      ascii   @USVWAVH
175   0x0000334e 0x140003f4e 4    5    .text      ascii   CE\aH
176   0x000033d1 0x140003fd1 4    5    .text      ascii   M'H3
177   0x000033e2 0x140003fe2 6    7    .text      ascii   A^_^[]
178   0x00003402 0x140004002 5    6    .text      ascii   \$\bWH
179   0x00003436 0x140004036 4    5    .text      ascii   \$0H
180   0x00003580 0x140004180 5    6    .text      ascii   )t$`H
181   0x00003590 0x140004190 4    5    .text      ascii   D$XH
182   0x00003598 0x140004198 4    5    .text      ascii   L$ A
183   0x000035d8 0x1400041d8 4    5    .text      ascii   t$ L
184   0x000035dd 0x1400041dd 4    5    .text      ascii   D$8H
185   0x000035e2 0x1400041e2 4    5    .text      ascii   T$ H
186   0x000035f0 0x1400041f0 4    5    .text      ascii   T$PH
187   0x000035fe 0x1400041fe 4    5    .text      ascii   L$8H
188   0x00003636 0x140004236 5    6    .text      ascii   L$XH3
189   0x00003642 0x140004242 5    6    .text      ascii   (t$`H
190   0x00003662 0x140004262 5    6    .text      ascii   \$\bWH
191   0x000036a7 0x1400042a7 4    5    .text      ascii   \$0H
192   0x000036c2 0x1400042c2 5    6    .text      ascii   \$\bWH
193   0x00003707 0x140004307 4    5    .text      ascii   \$0H
194   0x00003722 0x140004322 5    6    .text      ascii   \$\bWH
195   0x00003786 0x140004386 4    5    .text      ascii   D$8f
196   0x000037b2 0x1400043b2 4    5    .text      ascii   D$0H
197   0x000037c1 0x1400043c1 4    5    .text      ascii   D$6H
198   0x000037c6 0x1400043c6 5    6    .text      ascii   D$0H#
199   0x000037d1 0x1400043d1 4    5    .text      ascii   D$0H
200   0x000037ef 0x1400043ef 4    5    .text      ascii   D$(H
201   0x000037f4 0x1400043f4 4    5    .text      ascii   T$ H
202   0x0000380d 0x14000440d 4    5    .text      ascii   C\bH#
203   0x0000381b 0x14000441b 5    6    .text      ascii   D$ H;
204   0x00003840 0x140004440 5    6    .text      ascii   L$8H3
205   0x0000384d 0x14000444d 4    5    .text      ascii   \$XH
206   0x00003876 0x140004476 4    5    .text      ascii   D$8f
207   0x000038a1 0x1400044a1 4    5    .text      ascii   D$0H
208   0x000038b0 0x1400044b0 4    5    .text      ascii   D$6H
209   0x000038b5 0x1400044b5 5    6    .text      ascii   D$0H#
210   0x000038c0 0x1400044c0 4    5    .text      ascii   D$0H
211   0x000038df 0x1400044df 4    5    .text      ascii   D$(H
212   0x000038e4 0x1400044e4 4    5    .text      ascii   T$ H
213   0x000038fd 0x1400044fd 4    5    .text      ascii   C\bH#
214   0x0000390b 0x14000450b 5    6    .text      ascii   D$ H;
215   0x00003931 0x140004531 4    5    .text      ascii   @\bH#
216   0x0000393d 0x14000453d 5    6    .text      ascii   L$8H3
217   0x0000394a 0x14000454a 4    5    .text      ascii   \$XH
218   0x00003972 0x140004572 4    5    .text      ascii   D$8f
219   0x0000399a 0x14000459a 4    5    .text      ascii   D$0H
220   0x000039a9 0x1400045a9 4    5    .text      ascii   D$6H
221   0x000039ae 0x1400045ae 5    6    .text      ascii   D$0H#
222   0x000039b9 0x1400045b9 4    5    .text      ascii   D$0H
223   0x000039d2 0x1400045d2 4    5    .text      ascii   D$(H
224   0x000039d7 0x1400045d7 4    5    .text      ascii   T$ H
225   0x000039f0 0x1400045f0 4    5    .text      ascii   C\bH#
226   0x000039fe 0x1400045fe 5    6    .text      ascii   D$ H;
227   0x00003a13 0x140004613 5    6    .text      ascii   L$8H3
228   0x00003a2d 0x14000462d 5    6    .text      ascii   L$8H3
229   0x00003a52 0x140004652 4    5    .text      ascii   D$8f
230   0x00003a7a 0x14000467a 4    5    .text      ascii   D$0H
231   0x00003a89 0x140004689 4    5    .text      ascii   D$6H
232   0x00003a8e 0x14000468e 5    6    .text      ascii   D$0H#
233   0x00003a99 0x140004699 4    5    .text      ascii   D$0H
234   0x00003ab2 0x1400046b2 4    5    .text      ascii   D$(H
235   0x00003ab7 0x1400046b7 4    5    .text      ascii   T$ H
236   0x00003ad0 0x1400046d0 4    5    .text      ascii   C\bH#
237   0x00003ade 0x1400046de 5    6    .text      ascii   D$ H;
238   0x00003aec 0x1400046ec 5    6    .text      ascii   L$8H3
239   0x00003b06 0x140004706 5    6    .text      ascii   L$8H3
240   0x00003b36 0x140004736 4    5    .text      ascii   D$8f
241   0x00003b61 0x140004761 4    5    .text      ascii   D$0H
242   0x00003b70 0x140004770 4    5    .text      ascii   D$6H
243   0x00003b75 0x140004775 5    6    .text      ascii   D$0H#
244   0x00003b80 0x140004780 4    5    .text      ascii   D$0H
245   0x00003b9f 0x14000479f 4    5    .text      ascii   D$(H
246   0x00003ba4 0x1400047a4 4    5    .text      ascii   T$ H
247   0x00003bbd 0x1400047bd 4    5    .text      ascii   C\bH#
248   0x00003bcb 0x1400047cb 5    6    .text      ascii   D$ H;
249   0x00003be8 0x1400047e8 5    6    .text      ascii   L$8H3
250   0x00003bf5 0x1400047f5 4    5    .text      ascii   \$XH
251   0x00003c16 0x140004816 4    5    .text      ascii   D$8f
252   0x00003c41 0x140004841 4    5    .text      ascii   D$0H
253   0x00003c50 0x140004850 4    5    .text      ascii   D$6H
254   0x00003c55 0x140004855 5    6    .text      ascii   D$0H#
255   0x00003c60 0x140004860 4    5    .text      ascii   D$0H
256   0x00003c7f 0x14000487f 4    5    .text      ascii   D$(H
257   0x00003c84 0x140004884 4    5    .text      ascii   T$ H
258   0x00003c9d 0x14000489d 4    5    .text      ascii   C\bH#
259   0x00003cab 0x1400048ab 5    6    .text      ascii   D$ H;
260   0x00003cca 0x1400048ca 5    6    .text      ascii   L$8H3
261   0x00003cd7 0x1400048d7 4    5    .text      ascii   \$XH
262   0x00003cf6 0x1400048f6 4    5    .text      ascii   D$8f
263   0x00003d21 0x140004921 4    5    .text      ascii   D$0H
264   0x00003d30 0x140004930 4    5    .text      ascii   D$6H
265   0x00003d35 0x140004935 5    6    .text      ascii   D$0H#
266   0x00003d40 0x140004940 4    5    .text      ascii   D$0H
267   0x00003d5f 0x14000495f 4    5    .text      ascii   D$(H
268   0x00003d64 0x140004964 4    5    .text      ascii   T$ H
269   0x00003d7d 0x14000497d 4    5    .text      ascii   C\bH#
270   0x00003d8b 0x14000498b 5    6    .text      ascii   D$ H;
271   0x00003da4 0x1400049a4 5    6    .text      ascii   L$8H3
272   0x00003db1 0x1400049b1 4    5    .text      ascii   \$XH
273   0x00003dd6 0x1400049d6 4    5    .text      ascii   D$8f
274   0x00003e01 0x140004a01 4    5    .text      ascii   D$0H
275   0x00003e10 0x140004a10 4    5    .text      ascii   D$6H
