[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
249  0x00003be5 0x00403be5 4   5    .text   ascii   _^]3
250  0x00003c06 0x00403c06 6   8    .text   utf8    SVW3۹@ blocks=Basic Latin,Arabic
251  0x00003c2a 0x00403c2a 4   6    .text   utf8    3\r|$
252  0x00003c6b 0x00403c6b 4   5    .text   ascii   L$\fj
253  0x00003ca9 0x00403ca9 4   5    .text   ascii   L$\fj
254  0x00003cc6 0x00403cc6 7   8    .text   ascii   tMSVhz4
255  0x00003cf2 0x00403cf2 4   5    .text   ascii   T$ j
256  0x00003d5e 0x00403d5e 4   6    .text   utf8    3\r|$
257  0x00003da0 0x00403da0 4   5    .text   ascii   L$\fj
258  0x00003dda 0x00403dda 4   5    .text   ascii   L$\fj
259  0x00003e4a 0x00403e4a 4   5    .text   ascii   VWPh
260  0x00003e94 0x00403e94 4   5    .text   ascii   T$\bj
261  0x00003ed2 0x00403ed2 4   5    .text   ascii   \fSUV
262  0x00003ed7 0x00403ed7 4   5    .text   ascii   t$$W
263  0x00003edc 0x00403edc 4   5    .text   ascii   |$ j
264  0x00003ee3 0x00403ee3 4   5    .text   ascii   D$(j
265  0x00003f05 0x00403f05 5   6    .text   ascii   L$$Sh
266  0x00003f26 0x00403f26 4   5    .text   ascii   Vh\4
267  0x00003f35 0x00403f35 4   5    .text   ascii   _^][
268  0x00003f63 0x00403f63 4   5    .text   ascii   T$0j
269  0x00003f74 0x00403f74 7   8    .text   ascii   tZ;\$ r
270  0x00003fd7 0x00403fd7 4   5    .text   ascii   _^]3
271  0x00004015 0x00404015 4   5    .text   ascii   VRSW
272  0x0000402f 0x0040402f 4   5    .text   ascii   PQSU
273  0x0000408a 0x0040408a 6   8    .text   utf8    SUVW3۹ blocks=Basic Latin,Arabic
274  0x000040c7 0x004040c7 4   5    .text   ascii   D$%f
275  0x00004174 0x00404174 4   6    .text   utf8    3ɍD$ blocks=Basic Latin,Latin Extended-B
276  0x000041ee 0x004041ee 5   7    .text   utf8    3\r|$,
277  0x000042e4 0x004042e4 4   5    .text   ascii   _^][
278  0x000042fa 0x004042fa 4   5    .text   ascii   Ph\4
279  0x00004316 0x00404316 4   5    .text   ascii   SUVW
280  0x0000433a 0x0040433a 5   7    .text   utf8    3\r|$%
281  0x000043c8 0x004043c8 4   5    .text   ascii   L$$Q
282  0x000043da 0x004043da 5   6    .text   ascii   D$$RP
283  0x000043ec 0x004043ec 4   5    .text   ascii   L$$Q
284  0x00004403 0x00404403 5   6    .text   ascii   URh\4
285  0x00004413 0x00404413 4   5    .text   ascii   _^][
286  0x0000442a 0x0040442a 4   5    .text   ascii   L$8h
287  0x00004445 0x00404445 4   5    .text   ascii   T$$R
288  0x0000445c 0x0040445c 5   6    .text   ascii   UPh\4
289  0x0000446c 0x0040446c 4   5    .text   ascii   _^][
290  0x000044ca 0x004044ca 4   5    .text   ascii   D$ j
291  0x000044f3 0x004044f3 4   5    .text   ascii   L$$Q
292  0x00004504 0x00404504 4   5    .text   ascii   _^][
293  0x00004572 0x00404572 4   5    .text   ascii   T$ j
294  0x00004579 0x00404579 4   5    .text   ascii   E\bWP
295  0x000045f8 0x004045f8 4   5    .text   ascii   L$$Q
296  0x00004609 0x00404609 4   5    .text   ascii   _^][
297  0x00004635 0x00404635 4   5    .text   ascii   L$$Q
298  0x0000464e 0x0040464e 4   5    .text   ascii   D$$P
299  0x0000465f 0x0040465f 4   5    .text   ascii   _^][
300  0x00004672 0x00404672 4   5    .text   ascii   T$$R
301  0x00004680 0x00404680 4   5    .text   ascii   _^][
302  0x000046e4 0x004046e4 4   6    .text   utf8    3\r\$
303  0x0000470e 0x0040470e 4   6    .text   utf8    3\vt$
304  0x00004723 0x00404723 4   6    .text   utf8    +щT$ blocks=Basic Latin,Cyrillic
305  0x000047c3 0x004047c3 4   5    .text   ascii   _^]3
306  0x000047cf 0x004047cf 4   6    .text   utf8    àp9A blocks=Latin-1 Supplement,Basic Latin
307  0x000047da 0x004047da 6   7    .text   ascii   SUVWus
308  0x0000481d 0x0040481d 4   5    .text   ascii   Hu&3
309  0x00004828 0x00404828 4   5    .text   ascii   \rl9A
310  0x00004898 0x00404898 4   5    .text   ascii   T$$u
311  0x000048c0 0x004048c0 4   5    .text   ascii   L$$P
312  0x000048ea 0x004048ea 4   5    .text   ascii   =p9A
313  0x00004924 0x00404924 4   5    .text   ascii   _^]2
314  0x0000495e 0x0040495e 5   6    .text   ascii   u\f_^2
315  0x00004979 0x00404979 4   5    .text   ascii   taOj
316  0x000049e4 0x004049e4 5   6    .text   ascii   D$\fPS
317  0x000049f2 0x004049f2 4   5    .text   ascii   L$\fQ
318  0x00004a01 0x00404a01 5   6    .text   ascii   T$\fSR
319  0x00004a31 0x00404a31 4   5    .text   ascii   D$\bP
320  0x00004a48 0x00404a48 7   8    .text   ascii   T$\bQhz4
321  0x00004a60 0x00404a60 7   8    .text   ascii   L$\bPh\4
322  0x00004aa5 0x00404aa5 5   7    .text   utf8    3\r|$\t
323  0x00004acb 0x00404acb 4   5    .text   ascii   Qhz4
324  0x00004ae5 0x00404ae5 4   5    .text   ascii   j\nPR
325  0x00004afd 0x00404afd 8   9    .text   ascii   L$\fQRh\4
326  0x00004b21 0x00404b21 4   5    .text   ascii   D$\bj
327  0x00004b3a 0x00404b3a 7   8    .text   ascii   T$\bQhz4
328  0x00004b52 0x00404b52 7   8    .text   ascii   L$\bPh\4
329  0x00004b75 0x00404b75 6   7    .text   ascii   l$0VWj
330  0x00004b9a 0x00404b9a 4   6    .text   utf8    3\r|$
331  0x00004ba5 0x00404ba5 5   6    .text   ascii   tESPV
332  0x00004bb4 0x00404bb4 8   10   .text   utf8    ;߉|$<v(j blocks=Basic Latin,NKo
333  0x00004bd0 0x00404bd0 4   5    .text   ascii   L$Dj
334  0x00004c03 0x00404c03 4   5    .text   ascii   D$(j
335  0x00004c08 0x00404c08 4   5    .text   ascii   Rhz4
336  0x00004c25 0x00404c25 4   5    .text   ascii   j\nQP
337  0x00004c3e 0x00404c3e 5   6    .text   ascii   RPh\4
338  0x00004c73 0x00404c73 5   6    .text   ascii   L$\bPQ
339  0x00004d45 0x00404d45 4   5    .text   ascii   T$\bj
340  0x00004d4c 0x00404d4c 5   6    .text   ascii   D$\fRP
341  0x00004d65 0x00404d65 4   5    .text   ascii   T$\bj
342  0x00004dea 0x00404dea 5   6    .text   ascii   D$\fW3
343  0x00004e0a 0x00404e0a 4   6    .text   utf8    ;͉D$ blocks=Basic Latin,Combining Diacritical Marks
344  0x00004e69 0x00404e69 4   5    .text   ascii   \f\aQS
345  0x00004ec8 0x00404ec8 4   5    .text   ascii   l$ ;
346  0x00004ed4 0x00404ed4 7   8    .text   ascii   L$$PUQU
347  0x00004ee2 0x00404ee2 8   9    .text   ascii   D$$RUUPU
348  0x00004f04 0x00404f04 4   5    .text   ascii   9(u~
349  0x00004f86 0x00404f86 4   5    .text   ascii   _^]3
350  0x00004fbe 0x00404fbe 4   5    .text   ascii   \$ f
351  0x00004fc3 0x00404fc3 4   5    .text   ascii   D$\rS
352  0x00004fe5 0x00404fe5 4   5    .text   ascii   u\f_^
353  0x00005005 0x00405005 4   5    .text   ascii   u\f_^
354  0x00005035 0x00405035 7   9    .text   utf8    ;ˉ\$$|E blocks=Basic Latin,Spacing Modifier Letters
355  0x00005108 0x00405108 4   6    .text   utf8    ȋD$$ blocks=Latin Extended-B,Basic Latin
356  0x00005257 0x00405257 4   5    .text   ascii   _^][
357  0x00005277 0x00405277 4   6    .text   utf8    ID$$
358  0x00005281 0x00405281 4   5    .text   ascii   _^]3
359  0x000052d5 0x004052d5 5   7    .text   utf8    \b\vȋD$ blocks=Basic Latin,Latin Extended-B
360  0x0000530c 0x0040530c 4   6    .text   utf8    3ɉD$ blocks=Basic Latin,Latin Extended-B
361  0x00005315 0x00405315 4   5    .text   ascii   T$\b~
362  0x0000532f 0x0040532f 4   5    .text   ascii   T$\b^
363  0x00005364 0x00405364 5   6    .text   ascii   \f_^]3
364  0x00005391 0x00405391 6   8    .text   utf8    \b\vȋD$$ blocks=Basic Latin,Latin Extended-B
365  0x0000539f 0x0040539f 6   7    .text   ascii   ~\f_^]3
366  0x000054da 0x004054da 5   6    .text   ascii   Jt\nJu
367  0x00005553 0x00405553 4   5    .text   ascii   T$\ej
368  0x0000558d 0x0040558d 4   5    .text   ascii   _^]3
369  0x000055af 0x004055af 4   5    .text   ascii   VWj 
370  0x00005604 0x00405604 5   6    .text   ascii    Ej U
371  0x0000561f 0x0040561f 4   5    .text   ascii   D$Q/
