[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
189  0x000083a4 0x10008fa4 4   7    .text   utf8    3ҋʍq blocks=Basic Latin,Cyrillic,IPA Extensions
190  0x000084d2 0x100090d2 4   5    .text   ascii   Y_^[
191  0x0000851e 0x1000911e 4   5    .text   ascii   SVWP
192  0x000087b5 0x100093b5 4   5    .text   ascii   Y_^[
193  0x000088ce 0x100094ce 4   5    .text   ascii   SVWP
194  0x000089ce 0x100095ce 5   6    .text   ascii   Q;C\bt
195  0x00008a98 0x10009698 4   5    .text   ascii   Y_^[
196  0x00008b1e 0x1000971e 4   5    .text   ascii   SVWP
197  0x00008cc9 0x100098c9 5   6    .text   ascii   O\bIu9
198  0x00008d5c 0x1000995c 5   6    .text   ascii   G\bHu9
199  0x00008db1 0x100099b1 5   6    .text   ascii   F\bHu5
200  0x00008fd7 0x10009bd7 4   5    .text   ascii   Y_^[
201  0x0000903e 0x10009c3e 4   5    .text   ascii   SVWP
202  0x00009192 0x10009d92 6   7    .text   ascii   Q;C\bt\r
203  0x00009297 0x10009e97 4   5    .text   ascii   Y_^[
204  0x000093d1 0x10009fd1 4   5    .text   ascii   SVWP
205  0x00009596 0x1000a196 5   6    .text   ascii   N\bIu9
206  0x00009603 0x1000a203 4   7    .text   utf8    3ҋʍq blocks=Basic Latin,Cyrillic,IPA Extensions
207  0x00009640 0x1000a240 5   6    .text   ascii   F\bHu9
208  0x000096b8 0x1000a2b8 5   6    .text   ascii   N\bIu9
209  0x00009755 0x1000a355 5   6    .text   ascii   F\bHu9
210  0x000097cd 0x1000a3cd 5   6    .text   ascii   N\bIu9
211  0x0000986a 0x1000a46a 5   6    .text   ascii   F\bHu9
212  0x000098e2 0x1000a4e2 5   6    .text   ascii   N\bIu9
213  0x00009979 0x1000a579 5   6    .text   ascii   F\bHu9
214  0x000099f1 0x1000a5f1 5   6    .text   ascii   N\bIu9
215  0x00009a24 0x1000a624 4   7    .text   utf8    j\fV貤 blocks=Basic Latin,CJK Unified Ideographs
216  0x00009a91 0x1000a691 5   6    .text   ascii   F\bHu9
217  0x00009ae9 0x1000a6e9 5   6    .text   ascii   G\bHu5
218  0x00009b18 0x1000a718 4   7    .text   utf8    j\fW辣 blocks=Basic Latin,CJK Unified Ideographs
219  0x00009c9f 0x1000a89f 7   8    .text   ascii   w,;w0tI
220  0x00009cd9 0x1000a8d9 4   6    .text   utf8    E\tFH
221  0x00009e96 0x1000aa96 4   5    .text   ascii   Y_^[
222  0x00009fee 0x1000abee 4   5    .text   ascii   SVWP
223  0x0000a19a 0x1000ad9a 5   6    .text   ascii   N\bIu9
224  0x0000a201 0x1000ae01 4   7    .text   utf8    3ҋʍq blocks=Basic Latin,Cyrillic,IPA Extensions
225  0x0000a23d 0x1000ae3d 5   6    .text   ascii   F\bHu9
226  0x0000a2ac 0x1000aeac 5   6    .text   ascii   N\bIu9
227  0x0000a313 0x1000af13 4   7    .text   utf8    3ҋʍq blocks=Basic Latin,Cyrillic,IPA Extensions
228  0x0000a34d 0x1000af4d 5   6    .text   ascii   F\bHu9
229  0x0000a3bc 0x1000afbc 5   6    .text   ascii   N\bIu9
230  0x0000a423 0x1000b023 4   7    .text   utf8    3ҋʍq blocks=Basic Latin,Cyrillic,IPA Extensions
231  0x0000a45a 0x1000b05a 5   6    .text   ascii   F\bHu9
232  0x0000a4c9 0x1000b0c9 5   6    .text   ascii   N\bIu9
233  0x0000a561 0x1000b161 5   6    .text   ascii   F\bHu9
234  0x0000a5d0 0x1000b1d0 5   6    .text   ascii   N\bIu9
235  0x0000a668 0x1000b268 5   6    .text   ascii   F\bHu9
236  0x0000a6d7 0x1000b2d7 5   6    .text   ascii   N\bIu9
237  0x0000a76b 0x1000b36b 5   6    .text   ascii   F\bHu9
238  0x0000a7c0 0x1000b3c0 5   6    .text   ascii   G\bHu5
239  0x0000a862 0x1000b462 4   5    .text   ascii   Y_^[
240  0x0000a8ae 0x1000b4ae 4   5    .text   ascii   SVWP
241  0x0000aa57 0x1000b657 5   6    .text   ascii   N\bIu9
242  0x0000aaee 0x1000b6ee 5   6    .text   ascii   F\bHu9
243  0x0000ab21 0x1000b721 4   7    .text   utf8    j\fV赓 blocks=Basic Latin,CJK Unified Ideographs
244  0x0000ab58 0x1000b758 5   6    .text   ascii   N\bIu9
245  0x0000abec 0x1000b7ec 5   6    .text   ascii   F\bHu9
246  0x0000ac1f 0x1000b81f 4   7    .text   utf8    j\fV跒 blocks=Basic Latin,CJK Unified Ideographs
247  0x0000ac41 0x1000b841 5   6    .text   ascii   G\bHu5
248  0x0000acdd 0x1000b8dd 4   5    .text   ascii   Y_^[
249  0x0000aeb5 0x1000bab5 4   5    .text   ascii   weRQ
250  0x0000aef1 0x1000baf1 4   5    .text   ascii   w)RQ
251  0x0000aefc 0x1000bafc 4   6    .text   utf8    \b3\vM
252  0x0000b47d 0x1000c07d 6   9    .text   utf8    \b3\tE܈E blocks=Basic Latin,Syriac
253  0x0000b653 0x1000c253 4   5    .text   ascii   E\b;E
254  0x0000b690 0x1000c290 4   5    .text   ascii   ;M\bu
255  0x0000b72a 0x1000c32a 4   5    .text   ascii   ;E\bt
256  0x0000b743 0x1000c343 6   7    .text   ascii   O\b;]\bu
257  0x0000b7af 0x1000c3af 4   7    .text   utf8    i7m۶ blocks=Basic Latin,Arabic
258  0x0000b7cf 0x1000c3cf 4   6    .text   utf8    #+ύA blocks=Basic Latin,Greek and Coptic
259  0x0000b89a 0x1000c49a 5   6    .text   ascii   U\bSVW
260  0x0000ba43 0x1000c643 4   5    .text   ascii   kM\fX
261  0x0000ba9e 0x1000c69e 4   5    .text   ascii   SVWP
262  0x0000baf3 0x1000c6f3 4   7    .text   utf8    +ωU܉ blocks=Basic Latin,Greek and Coptic,Syriac
