Missing bin header dwarf
[Sections]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
5   0x0000db70 0x0040db70 4   5    .rodata ascii iKwZ
6   0x0000dd18 0x0040dd18 4   5    .rodata ascii bF~T
7   0x0000dde8 0x0040dde8 4   5    .rodata ascii 1#?*
8   0x0000df50 0x0040df50 4   5    .rodata ascii ,4$8
9   0x0000dfb0 0x0040dfb0 4   5    .rodata ascii t\lH
10  0x0000dfc8 0x0040dfc8 4   5    .rodata ascii eA~S
11  0x0000e140 0x0040e140 4   5    .rodata ascii hHpX
12  0x0000e2f8 0x0040e2f8 4   5    .rodata ascii rZlN
13  0x0000e318 0x0040e318 4   5    .rodata ascii 9-6'
14  0x0000e338 0x0040e338 4   5    .rodata ascii .6$:
15  0x0000e370 0x0040e370 4   5    .rodata ascii KwZi
16  0x0000e518 0x0040e518 4   5    .rodata ascii F~Tb
17  0x0000e5e8 0x0040e5e8 4   5    .rodata ascii #?*1
18  0x0000e750 0x0040e750 4   5    .rodata ascii 4$8,
19  0x0000e7b0 0x0040e7b0 4   5    .rodata ascii \lHt
20  0x0000e7c8 0x0040e7c8 4   5    .rodata ascii A~Se
21  0x0000e940 0x0040e940 4   5    .rodata ascii HpXh
22  0x0000eaf8 0x0040eaf8 4   5    .rodata ascii ZlNr
23  0x0000eb18 0x0040eb18 4   5    .rodata ascii -6'9
24  0x0000eb38 0x0040eb38 4   5    .rodata ascii 6$:.
25  0x0000eb70 0x0040eb70 4   5    .rodata ascii wZiK
26  0x0000ed18 0x0040ed18 4   5    .rodata ascii ~TbF
27  0x0000ede8 0x0040ede8 4   5    .rodata ascii ?*1#
28  0x0000ef50 0x0040ef50 4   5    .rodata ascii $8,4
29  0x0000efb0 0x0040efb0 4   5    .rodata ascii lHt\
30  0x0000efc8 0x0040efc8 4   5    .rodata ascii ~SeA
31  0x0000f140 0x0040f140 4   5    .rodata ascii pXhH
32  0x0000f2f8 0x0040f2f8 4   5    .rodata ascii lNrZ
33  0x0000f318 0x0040f318 4   5    .rodata ascii 6'9-
34  0x0000f338 0x0040f338 4   5    .rodata ascii $:.6
35  0x0000f370 0x0040f370 4   5    .rodata ascii ZiKw
36  0x0000f518 0x0040f518 4   5    .rodata ascii TbF~
37  0x0000f5e8 0x0040f5e8 4   5    .rodata ascii *1#?
38  0x0000f750 0x0040f750 4   5    .rodata ascii 8,4$
39  0x0000f7b0 0x0040f7b0 4   5    .rodata ascii Ht\l
40  0x00010000 0x00410000 4   5    .rodata ascii P00`
41  0x00010018 0x00410018 4   5    .rodata ascii }++V
42  0x000100d8 0x004100d8 4   5    .rodata ascii j&&L
43  0x000100e0 0x004100e0 4   5    .rodata ascii Z66l
44  0x000100e8 0x004100e8 4   5    .rodata ascii A??~
45  0x00010100 0x00410100 4   5    .rodata ascii \44h
46  0x00010130 0x00410130 4   5    .rodata ascii S11b
47  0x00010150 0x00410150 4   5    .rodata ascii e##F
48  0x000101a8 0x004101a8 4   5    .rodata ascii i''N
49  0x000101d0 0x004101d0 4   5    .rodata ascii t,,X
50  0x000101e0 0x004101e0 4   5    .rodata ascii -\e\e6
51  0x00010208 0x00410208 4   5    .rodata ascii M;;v
52  0x00010220 0x00410220 4   5    .rodata ascii {))R
53  0x00010230 0x00410230 4   5    .rodata ascii q//^
54  0x00010260 0x00410260 4   5    .rodata ascii `  @
55  0x00010298 0x00410298 4   5    .rodata ascii K99r
56  0x000102f0 0x004102f0 4   5    .rodata ascii U33f
57  0x00010328 0x00410328 4   5    .rodata ascii D<<x
58  0x00010370 0x00410370 4   5    .rodata ascii H88p
59  0x00010398 0x00410398 4   5    .rodata ascii c!!B
60  0x00010418 0x00410418 4   5    .rodata ascii G==z
61  0x00010460 0x00410460 4   5    .rodata ascii f""D
62  0x00010468 0x00410468 4   5    .rodata ascii ~**T
63  0x000104c8 0x004104c8 4   5    .rodata ascii V22d
64  0x000104d0 0x004104d0 4   5    .rodata ascii N::t
65  0x000104f0 0x004104f0 4   5    .rodata ascii l$$H
66  0x00010550 0x00410550 4   5    .rodata ascii Y77n
67  0x000105d0 0x004105d0 4   5    .rodata ascii o%%J
68  0x000105d8 0x004105d8 4   5    .rodata ascii r..\
69  0x00010648 0x00410648 4   5    .rodata ascii B>>|
70  0x00010688 0x00410688 4   5    .rodata ascii _55j
71  0x00010730 0x00410730 4   5    .rodata ascii x((P
72  0x00010790 0x00410790 4   5    .rodata ascii w--Z
73  0x00010800 0x00410800 4   5    .rodata ascii 00`P
74  0x00010818 0x00410818 4   5    .rodata ascii ++V}
75  0x000108d8 0x004108d8 4   5    .rodata ascii &&Lj
76  0x000108e0 0x004108e0 4   5    .rodata ascii 66lZ
77  0x000108e8 0x004108e8 4   5    .rodata ascii ??~A
78  0x00010900 0x00410900 4   5    .rodata ascii 44h\
79  0x00010930 0x00410930 4   5    .rodata ascii 11bS
80  0x00010950 0x00410950 4   5    .rodata ascii ##Fe
81  0x000109a8 0x004109a8 4   5    .rodata ascii ''Ni
82  0x000109d0 0x004109d0 4   5    .rodata ascii ,,Xt
83  0x000109e0 0x004109e0 4   5    .rodata ascii \e\e6-
84  0x00010a08 0x00410a08 4   5    .rodata ascii ;;vM
85  0x00010a20 0x00410a20 4   5    .rodata ascii ))R{
86  0x00010a30 0x00410a30 4   5    .rodata ascii //^q
87  0x00010a60 0x00410a60 4   5    .rodata ascii   @`
88  0x00010a98 0x00410a98 4   5    .rodata ascii 99rK
89  0x00010af0 0x00410af0 4   5    .rodata ascii 33fU
90  0x00010b28 0x00410b28 4   5    .rodata ascii <<xD
91  0x00010b70 0x00410b70 4   5    .rodata ascii 88pH
92  0x00010b98 0x00410b98 4   5    .rodata ascii !!Bc
93  0x00010c18 0x00410c18 4   5    .rodata ascii ==zG
94  0x00010c60 0x00410c60 4   5    .rodata ascii ""Df
95  0x00010c68 0x00410c68 4   5    .rodata ascii **T~
96  0x00010cc8 0x00410cc8 4   5    .rodata ascii 22dV
97  0x00010cd0 0x00410cd0 4   5    .rodata ascii ::tN
98  0x00010cf0 0x00410cf0 4   5    .rodata ascii $$Hl
99  0x00010d50 0x00410d50 4   5    .rodata ascii 77nY
100 0x00010dd0 0x00410dd0 4   5    .rodata ascii %%Jo
101 0x00010dd8 0x00410dd8 4   5    .rodata ascii ..\r
102 0x00010e48 0x00410e48 4   5    .rodata ascii >>|B
103 0x00010e88 0x00410e88 4   5    .rodata ascii 55j_
104 0x00010f30 0x00410f30 4   5    .rodata ascii ((Px
105 0x00010f90 0x00410f90 4   5    .rodata ascii --Zw
106 0x00011000 0x00411000 4   5    .rodata ascii 0`P0
107 0x00011018 0x00411018 4   5    .rodata ascii +V}+
108 0x000110d8 0x004110d8 4   5    .rodata ascii &Lj&
109 0x000110e0 0x004110e0 4   5    .rodata ascii 6lZ6
110 0x000110e8 0x004110e8 4   5    .rodata ascii ?~A?
111 0x00011100 0x00411100 4   5    .rodata ascii 4h\4
112 0x00011130 0x00411130 4   5    .rodata ascii 1bS1
113 0x00011150 0x00411150 4   5    .rodata ascii #Fe#
114 0x000111a8 0x004111a8 4   5    .rodata ascii 'Ni'
115 0x000111d0 0x004111d0 4   5    .rodata ascii ,Xt,
116 0x000111e0 0x004111e0 4   5    .rodata ascii \e6-\e
117 0x00011208 0x00411208 4   5    .rodata ascii ;vM;
118 0x00011220 0x00411220 4   5    .rodata ascii )R{)
119 0x00011230 0x00411230 4   5    .rodata ascii /^q/
120 0x00011260 0x00411260 4   5    .rodata ascii  @` 
121 0x00011298 0x00411298 4   5    .rodata ascii 9rK9
122 0x000112f0 0x004112f0 4   5    .rodata ascii 3fU3
123 0x00011328 0x00411328 4   5    .rodata ascii <xD<
124 0x00011370 0x00411370 4   5    .rodata ascii 8pH8
125 0x00011398 0x00411398 4   5    .rodata ascii !Bc!
126 0x00011418 0x00411418 4   5    .rodata ascii =zG=
127 0x00011460 0x00411460 4   5    .rodata ascii "Df"
128 0x00011468 0x00411468 4   5    .rodata ascii *T~*
129 0x000114c8 0x004114c8 4   5    .rodata ascii 2dV2
130 0x000114d0 0x004114d0 4   5    .rodata ascii :tN:
131 0x000114f0 0x004114f0 4   5    .rodata ascii $Hl$
132 0x00011550 0x00411550 4   5    .rodata ascii 7nY7
133 0x000115d0 0x004115d0 4   5    .rodata ascii %Jo%
134 0x000115d8 0x004115d8 4   5    .rodata ascii .\r.
135 0x00011648 0x00411648 4   5    .rodata ascii >|B>
136 0x00011688 0x00411688 4   5    .rodata ascii 5j_5
137 0x00011730 0x00411730 4   5    .rodata ascii (Px(
138 0x00011790 0x00411790 4   5    .rodata ascii -Zw-
139 0x00011800 0x00411800 4   5    .rodata ascii `P00
140 0x00011818 0x00411818 4   5    .rodata ascii V}++
141 0x000118d8 0x004118d8 4   5    .rodata ascii Lj&&
142 0x000118e0 0x004118e0 4   5    .rodata ascii lZ66
143 0x000118e8 0x004118e8 4   5    .rodata ascii ~A??
144 0x00011900 0x00411900 4   5    .rodata ascii h\44
145 0x00011930 0x00411930 4   5    .rodata ascii bS11
146 0x00011950 0x00411950 4   5    .rodata ascii Fe##
147 0x000119a8 0x004119a8 4   5    .rodata ascii Ni''
148 0x000119d0 0x004119d0 4   5    .rodata ascii Xt,,
149 0x000119e0 0x004119e0 4   5    .rodata ascii 6-\e\e
150 0x00011a08 0x00411a08 4   5    .rodata ascii vM;;
151 0x00011a20 0x00411a20 4   5    .rodata ascii R{))
152 0x00011a30 0x00411a30 4   5    .rodata ascii ^q//
153 0x00011a60 0x00411a60 4   5    .rodata ascii @`  
154 0x00011a98 0x00411a98 4   5    .rodata ascii rK99
155 0x00011af0 0x00411af0 4   5    .rodata ascii fU33
156 0x00011b28 0x00411b28 4   5    .rodata ascii xD<<
157 0x00011b70 0x00411b70 4   5    .rodata ascii pH88
158 0x00011b98 0x00411b98 4   5    .rodata ascii Bc!!
159 0x00011c18 0x00411c18 4   5    .rodata ascii zG==
160 0x00011c60 0x00411c60 4   5    .rodata ascii Df""
161 0x00011c68 0x00411c68 4   5    .rodata ascii T~**
162 0x00011cc8 0x00411cc8 4   5    .rodata ascii dV22
163 0x00011cd0 0x00411cd0 4   5    .rodata ascii tN::
