Metadata Signature: 0x5a70 0x10001424a5342 12
.NET Version: v4.0.30319
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 1648
Stream name: #~ 4
DirectoryAddress: 16b4 Size: 1a14
Stream name: #Strings 12
DirectoryAddress: 30c8 Size: f08
Stream name: #US 4
DirectoryAddress: 3fd0 Size: 10
Stream name: #GUID 8
DirectoryAddress: 3fe0 Size: 9c0
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len size section type    string
298 0x000076ff 0x004094ff 8   9    .text   ascii   location
299 0x00007708 0x00409508 8   9    .text   ascii   getFiles
300 0x00007711 0x00409511 9   10   .text   ascii   getDrives
301 0x0000771b 0x0040951b 8   9    .text   ascii   Download
302 0x00007724 0x00409524 4   5    .text   ascii   Name
303 0x00007729 0x00409529 4   5    .text   ascii   Data
304 0x0000772e 0x0040952e 9   10   .text   ascii   MyProcess
305 0x00007741 0x00409541 8   9    .text   ascii   GetHashT
306 0x0000774a 0x0040954a 9   10   .text   ascii   strToHash
307 0x00007754 0x00409554 10  11   .text   ascii   frombase64
308 0x0000775f 0x0040955f 4   5    .text   ascii   bs64
309 0x00007764 0x00409564 4   5    .text   ascii   objj
310 0x0000776d 0x0040956d 6   7    .text   ascii   Plugin
311 0x00007776 0x00409576 13  14   .text   ascii   AES_Encryptor
312 0x00007784 0x00409584 5   6    .text   ascii   input
313 0x0000778a 0x0040958a 13  14   .text   ascii   AES_Decryptor
314 0x00007798 0x00409598 6   7    .text   ascii   INDATE
315 0x0000779f 0x0040959f 4   5    .text   ascii   usbp
316 0x000077a4 0x004095a4 5   6    .text   ascii   admin
317 0x000077aa 0x004095aa 9   10   .text   ascii   Antivirus
318 0x000077b4 0x004095b4 11  12   .text   ascii   CreateMutex
319 0x000077c0 0x004095c0 10  11   .text   ascii   CloseMutex
320 0x000077cb 0x004095cb 16  17   .text   ascii   ElapsedEventArgs
321 0x000077dc 0x004095dc 7   8    .text   ascii   tickees
322 0x000077e8 0x004095e8 6   7    .text   ascii   Thread
323 0x000077ef 0x004095ef 6   7    .text   ascii   thread
324 0x000077f6 0x004095f6 5   6    .text   ascii   Start
325 0x000077fc 0x004095fc 5   6    .text   ascii   stopp
326 0x00007802 0x00409602 4   5    .text   ascii   ruta
327 0x00007807 0x00409607 5   6    .text   ascii   usbSP
328 0x0000780d 0x0040960d 7   8    .text   ascii   Capture
329 0x0000781c 0x0040961c 22  23   .text   ascii   System.Drawing.Imaging
330 0x00007833 0x00409633 14  15   .text   ascii   ImageCodecInfo
331 0x00007842 0x00409642 11  12   .text   ascii   ImageFormat
332 0x0000784e 0x0040964e 14  15   .text   ascii   GetEncoderInfo
333 0x0000785d 0x0040965d 6   7    .text   ascii   format
334 0x00007864 0x00409664 17  18   .text   ascii   MulticastDelegate
335 0x00007876 0x00409676 12  13   .text   ascii   TargetObject
336 0x00007883 0x00409683 12  13   .text   ascii   TargetMethod
337 0x00007890 0x00409690 13  14   .text   ascii   AsyncCallback
338 0x0000789e 0x0040969e 11  12   .text   ascii   BeginInvoke
