[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
181  0x00004f46 0x00405b46 6   7    .text   ascii   \nof\v]=
182  0x00004f61 0x00405b61 4   5    .text   ascii   k?zF
183  0x00004fb7 0x00405bb7 4   6    .text   utf8    ͡n7\n blocks=Combining Diacritical Marks,Basic Latin
184  0x00004fcb 0x00405bcb 6   9    .text   utf8    H撙\j\a| blocks=Basic Latin,CJK Unified Ideographs
185  0x00005023 0x00405c23 4   5    .text   ascii   \a.KL
186  0x0000504c 0x00405c4c 4   6    .text   utf8    h٤^w blocks=Basic Latin,Arabic
187  0x00005079 0x00405c79 5   6    .text   ascii   %2?\b\b
188  0x0000509b 0x00405c9b 4   6    .text   utf8    ĉ>N) blocks=Latin Extended-A,Basic Latin
189  0x000050a7 0x00405ca7 4   5    .text   ascii   \a7k4
190  0x000050c9 0x00405cc9 6   8    .text   utf8    NpNȋTZ blocks=Basic Latin,Latin Extended-B
191  0x000050f9 0x00405cf9 5   6    .text   ascii   <.\b8!
192  0x0000510d 0x00405d0d 4   5    .text   ascii   ! !\v
193  0x00005167 0x00405d67 4   5    .text   ascii   _e/~
194  0x0000519a 0x00405d9a 5   6    .text   ascii   }'i?{
195  0x000051a9 0x00405da9 4   6    .text   utf8    2PÈ\e blocks=Basic Latin,Latin-1 Supplement
196  0x000051c7 0x00405dc7 4   5    .text   ascii   \tXOa
197  0x00005225 0x00405e25 5   7    .text   utf8    +>CHы blocks=Basic Latin,Cyrillic
198  0x00005232 0x00405e32 6   8    .text   utf8    ܇JL|=x blocks=Syriac,Basic Latin
199  0x00005243 0x00405e43 6   7    .text   ascii   `\vK+Oh
200  0x0000537a 0x00405f7a 6   7    .text   ascii   t6ERHV
201  0x000053a9 0x00405fa9 4   5    .text   ascii   Dn:\
202  0x00005415 0x00406015 5   7    .text   utf8    >/(rˬ blocks=Basic Latin,Spacing Modifier Letters
203  0x0000542e 0x0040602e 4   7    .text   utf8    4ۍ߸l blocks=Basic Latin,Arabic,NKo
204  0x00005457 0x00406057 4   5    .text   ascii   #]\a.
205  0x0000545e 0x0040605e 4   5    .text   ascii   {+*;
206  0x00005471 0x00406071 5   6    .text   ascii   \e0s?T
207  0x0000552f 0x0040612f 5   6    .text   ascii   kC[.J
208  0x00005547 0x00406147 4   5    .text   ascii   TjuE
209  0x00005569 0x00406169 4   5    .text   ascii   TN@\
210  0x000055b6 0x004061b6 4   6    .text   utf8    E6*ʚ blocks=Basic Latin,IPA Extensions
211  0x000055cd 0x004061cd 4   5    .text   ascii   >828
212  0x00005638 0x00406238 4   6    .text   utf8    Ҩvm/ blocks=Cyrillic,Basic Latin
213  0x0000568e 0x0040628e 4   5    .text   ascii   `>wl
214  0x0000569a 0x0040629a 6   7    .text   ascii   ]2>q`p
215  0x000056a4 0x004062a4 4   6    .text   utf8    //׃y blocks=Basic Latin,Hebrew
216  0x000056ce 0x004062ce 4   5    .text   ascii   P#P]
217  0x00005723 0x00406323 5   6    .text   ascii   5}dcW
218  0x0000577c 0x0040637c 9   10   .text   ascii   RCCCKAu=R
219  0x00005797 0x00406397 4   5    .text   ascii   W\n0e
220  0x000057a0 0x004063a0 5   7    .text   utf8    pH֢b\n blocks=Basic Latin,Hebrew
221  0x000057bc 0x004063bc 6   7    .text   ascii   +\f{SLK
222  0x00005828 0x00406428 4   5    .text   ascii   VV0W
223  0x00005836 0x00406436 4   6    .text   utf8    r²)~ blocks=Basic Latin,Latin-1 Supplement
224  0x00005853 0x00406453 4   5    .text   ascii   \fj5B
225  0x000058a6 0x004064a6 5   6    .text   ascii   V6sFc
226  0x000058af 0x004064af 5   7    .text   utf8    \ӾM+1 blocks=Basic Latin,Cyrillic
227  0x000058c5 0x004064c5 4   7    .text   utf8    r֯\Ʋ blocks=Basic Latin,Hebrew,Latin Extended-B
228  0x000058dc 0x004064dc 4   5    .text   ascii   \aY48
229  0x00005921 0x00406521 5   7    .text   utf8    t_u\aߏ blocks=Basic Latin,NKo
230  0x00005931 0x00406531 4   5    .text   ascii   ,Frj
231  0x00005985 0x00406585 7   8    .text   ascii   \rT*qFUL
232  0x000059aa 0x004065aa 5   7    .text   utf8    ZʺU+Y blocks=Basic Latin,Spacing Modifier Letters
233  0x000059b7 0x004065b7 6   7    .text   ascii   j)FkD<
234  0x000059fe 0x004065fe 4   5    .text   ascii   G^_)
235  0x00005a69 0x00406669 4   5    .text   ascii   O*tZ
