Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
276  0x000045d0 0x004051d0 5   6    UPX1    ascii   4\adAR
277  0x000045e9 0x004051e9 4   5    UPX1    ascii   4W~\a
278  0x000045f2 0x004051f2 5   6    UPX1    ascii   \bl>6\t
279  0x0000464c 0x0040524c 5   6    UPX1    ascii   Fo:ae
280  0x00004665 0x00405265 5   7    UPX1    utf8    ЛH&?0 blocks=Cyrillic,Basic Latin
281  0x00004689 0x00405289 4   5    UPX1    ascii   |>Gj
282  0x000046be 0x004052be 6   7    UPX1    ascii   ?@3^ ~
283  0x000046e4 0x004052e4 4   5    UPX1    ascii   cnTx
284  0x0000475b 0x0040535b 4   5    UPX1    ascii   \aHC`
285  0x00004779 0x00405379 6   7    UPX1    ascii   ~a~EW\r
286  0x000047bc 0x004053bc 4   5    UPX1    ascii   sc[9
287  0x000048ed 0x004054ed 5   6    UPX1    ascii   ^\#b~
288  0x000048f9 0x004054f9 5   7    UPX1    utf8    p^uxҶ blocks=Basic Latin,Cyrillic
289  0x0000493c 0x0040553c 5   11   UPX1    utf8    оޤ"⛾D blocks=Cyrillic,Thaana,Basic Latin,Miscellaneous Symbols
290  0x00004947 0x00405547 4   7    UPX1    utf8    >I[ blocks=Basic Latin,Private Use Area
291  0x0000494e 0x0040554e 4   9    UPX1    utf8    *ጿᶝ\r blocks=Basic Latin,Ethiopic,Phonetic Extensions Supplement
292  0x00004975 0x00405575 4   5    UPX1    ascii   \v~\ba
293  0x0000497b 0x0040557b 5   7    UPX1    utf8    _YEܾ~ blocks=Basic Latin,Syriac
294  0x000049a1 0x004055a1 4   5    UPX1    ascii   \b/ \n
295  0x000049ef 0x004055ef 4   5    UPX1    ascii   QK]\v
296  0x000049f9 0x004055f9 5   6    UPX1    ascii   ~^4x\t
297  0x00004a05 0x00405605 5   6    UPX1    ascii   *P?RP
298  0x00004a32 0x00405632 4   5    UPX1    ascii   p^~c
299  0x00004a5f 0x0040565f 4   7    UPX1    utf8    !SFȀ blocks=Basic Latin,Latin Extended-B
300  0x00004a90 0x00405690 4   5    UPX1    ascii   Tm^A
301  0x00004aa4 0x004056a4 6   7    UPX1    ascii   5J^6&q
302  0x00004ae2 0x004056e2 4   5    UPX1    ascii   KXMp
303  0x00004bbd 0x004057bd 6   7    UPX1    ascii   DrH*?H
304  0x00004bdb 0x004057db 4   5    UPX1    ascii   4u#)
305  0x00004d65 0x00405965 6   9    UPX1    utf8    &@(݇З~ blocks=Basic Latin,Syriac,Cyrillic
306  0x00004de9 0x004059e9 4   6    UPX1    utf8    hɅ): blocks=Basic Latin,Latin Extended-B
307  0x00004df4 0x004059f4 4   5    UPX1    ascii   j6\bt
308  0x00004e3b 0x00405a3b 10  12   UPX1    utf8    !8x^˾H=G1` blocks=Basic Latin,Spacing Modifier Letters
309  0x00004e5a 0x00405a5a 6   7    UPX1    ascii   %l;.zA
310  0x00004e73 0x00405a73 4   5    UPX1    ascii   20Ls
311  0x00004e8b 0x00405a8b 4   5    UPX1    ascii   \b!\nj
312  0x00004ea1 0x00405aa1 4   5    UPX1    ascii   8\fzQ
313  0x00004ecc 0x00405acc 9   11   UPX1    utf8    \t e[C`UҞn blocks=Basic Latin,Cyrillic
314  0x00004f00 0x00405b00 4   5    UPX1    ascii   0U_E
315  0x00004f23 0x00405b23 6   7    UPX1    ascii   _.#?~8
316  0x00004f47 0x00405b47 4   5    UPX1    ascii   \r1KM
317  0x00004fc2 0x00405bc2 5   6    UPX1    ascii   l\t,op
318  0x00004fd1 0x00405bd1 4   5    UPX1    ascii   c"pP
319  0x00005127 0x00405d27 7   8    UPX1    ascii   !Pi\n_Jj
320  0x00005149 0x00405d49 6   8    UPX1    utf8    ~\tJyǋC blocks=Basic Latin,Latin Extended-B
321  0x00005188 0x00405d88 4   6    UPX1    utf8    OUHͺ blocks=Basic Latin,Greek and Coptic
322  0x000051a4 0x00405da4 4   5    UPX1    ascii   [?VE
323  0x000051c7 0x00405dc7 5   6    UPX1    ascii   >\n_f~
324  0x000051d0 0x00405dd0 4   6    UPX1    utf8    dî_L blocks=Basic Latin,Latin-1 Supplement
325  0x000051ef 0x00405def 4   5    UPX1    ascii   rUA>
326  0x00005232 0x00405e32 8   10   UPX1    utf8    E=?u^Ij`
327  0x00005244 0x00405e44 4   5    UPX1    ascii   _~0_
328  0x00005275 0x00405e75 7   9    UPX1    utf8    FفX"H>< blocks=Basic Latin,Arabic
329  0x000052db 0x00405edb 5   6    UPX1    ascii   @>Z\rJ
330  0x000052e5 0x00405ee5 5   6    UPX1    ascii   >H\rn$
331  0x000052f9 0x00405ef9 5   6    UPX1    ascii   >u\`~
332  0x000052ff 0x00405eff 4   5    UPX1    ascii   |-]X
333  0x00005329 0x00405f29 4   5    UPX1    ascii   _lD,
334  0x00005339 0x00405f39 4   5    UPX1    ascii   gC\t~
335  0x0000534b 0x00405f4b 4   5    UPX1    ascii   )T|^
336  0x000053fa 0x00405ffa 6   7    UPX1    ascii   3X#(\a?
337  0x00005431 0x00406031 5   6    UPX1    ascii   M}P\f|
338  0x0000543d 0x0040603d 4   5    UPX1    ascii   >K #
339  0x0000544b 0x0040604b 4   5    UPX1    ascii   \e~q}
