Error parsing resource directory
[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
180   0x000022b4 0x0072f0b4 4   6    UPX1    utf8    ҌAhH blocks=Cyrillic,Basic Latin
181   0x000022ea 0x0072f0ea 4   6    UPX1    utf8    \eJȼx blocks=Basic Latin,Latin Extended-B
182   0x000022f0 0x0072f0f0 4   5    UPX1    ascii   \{vI
183   0x00002336 0x0072f136 5   6    UPX1    ascii   >H3H 
184   0x0000233c 0x0072f13c 7   9    UPX1    utf8    \tj GH&ߕ blocks=Basic Latin,NKo
185   0x00002348 0x0072f148 5   6    UPX1    ascii   08\bb#
186   0x0000235b 0x0072f15b 4   6    UPX1    utf8    -٨ \ blocks=Basic Latin,Arabic
187   0x000023c6 0x0072f1c6 4   5    UPX1    ascii   (|M<
188   0x000023f1 0x0072f1f1 4   5    UPX1    ascii   p,,l
189   0x0000241d 0x0072f21d 5   6    UPX1    ascii   B\bMDI
190   0x0000244c 0x0072f24c 6   8    UPX1    utf8    PP{\b!ͅ blocks=Basic Latin,Combining Diacritical Marks
191   0x00002464 0x0072f264 4   5    UPX1    ascii   VKx@
192   0x00002482 0x0072f282 4   5    UPX1    ascii   Av?(
193   0x00002493 0x0072f293 4   5    UPX1    ascii   EAH2
194   0x000024d3 0x0072f2d3 4   5    UPX1    ascii   8\b#I
195   0x000024fd 0x0072f2fd 4   5    UPX1    ascii   \eku
196   0x00002504 0x0072f304 4   5    UPX1    ascii   @4[P
197   0x00002519 0x0072f319 4   5    UPX1    ascii   \n'^]
198   0x00002596 0x0072f396 4   5    UPX1    ascii   Iz\b-
199   0x00002617 0x0072f417 4   5    UPX1    ascii   /\f(>
200   0x0000262b 0x0072f42b 5   7    UPX1    utf8    fܘNJ0 blocks=Basic Latin,Syriac
201   0x00002667 0x0072f467 4   5    UPX1    ascii   erg2
202   0x000026a3 0x0072f4a3 4   6    UPX1    utf8    D#׃y blocks=Basic Latin,Hebrew
203   0x000026b9 0x0072f4b9 7   8    UPX1    ascii   w4,c"NX
204   0x000026c9 0x0072f4c9 5   6    UPX1    ascii   \rNbTE
205   0x000026f5 0x0072f4f5 4   6    UPX1    utf8    oʿB] blocks=Basic Latin,Spacing Modifier Letters
206   0x00002706 0x0072f506 7   8    UPX1    ascii   {0DB`6]
207   0x0000270e 0x0072f50e 5   6    UPX1    ascii   f@ "N
208   0x0000273c 0x0072f53c 5   7    UPX1    utf8    *MИ5u blocks=Basic Latin,Cyrillic
209   0x00002752 0x0072f552 6   7    UPX1    ascii   @8A5Ry
210   0x00002798 0x0072f598 5   6    UPX1    ascii   W(co\
211   0x000027b0 0x0072f5b0 4   5    UPX1    ascii   \nZjN
212   0x000027ba 0x0072f5ba 6   7    UPX1    ascii   dR9H @
213   0x00002810 0x0072f610 7   10   UPX1    utf8    R!Śבa~ blocks=Basic Latin,Combining Diacritical Marks,Hebrew
214   0x0000282c 0x0072f62c 4   6    UPX1    utf8    DiǍy blocks=Basic Latin,Latin Extended-B
215   0x0000284e 0x0072f64e 4   5    UPX1    ascii   S\f|{
216   0x00002891 0x0072f691 4   5    UPX1    ascii   0z\b!
217   0x000028a7 0x0072f6a7 4   5    UPX1    ascii   ?Ky@
218   0x000028af 0x0072f6af 5   6    UPX1    ascii   =0bd\n
219   0x000028ca 0x0072f6ca 4   6    UPX1    utf8    x_օ\f blocks=Basic Latin,Armenian
220   0x00002916 0x0072f716 5   7    UPX1    utf8    R&HZ۠ blocks=Basic Latin,Arabic
221   0x0000291f 0x0072f71f 6   7    UPX1    ascii   <9CYHE
222   0x0000292e 0x0072f72e 4   5    UPX1    ascii   i8X}
223   0x000029e4 0x0072f7e4 4   5    UPX1    ascii   \rb.e
224   0x00002a19 0x0072f819 5   6    UPX1    ascii   d(t.H
225   0x00002a27 0x0072f827 4   5    UPX1    ascii   A+H#
226   0x00002a4f 0x0072f84f 10  11   UPX1    ascii   H~?W'H@r!'
227   0x00002a68 0x0072f868 4   5    UPX1    ascii   VSZh
228   0x00002a71 0x0072f871 4   5    UPX1    ascii   9>-W
229   0x00002a7a 0x0072f87a 4   5    UPX1    ascii   Y03W
230   0x00002a9f 0x0072f89f 4   5    UPX1    ascii   \f\b[q
231   0x00002ab0 0x0072f8b0 4   5    UPX1    ascii   ["p\
232   0x00002ac1 0x0072f8c1 5   7    UPX1    utf8    <ωHoL blocks=Basic Latin,Greek and Coptic
233   0x00002afe 0x0072f8fe 5   6    UPX1    ascii   m&}>M
234   0x00002b28 0x0072f928 4   7    UPX1    utf8    zyۑ\f blocks=Basic Latin,Arabic
235   0x00002b2f 0x0072f92f 6   7    UPX1    ascii   \eJ{Pkj
236   0x00002b37 0x0072f937 4   5    UPX1    ascii   @iXP
237   0x00002b59 0x0072f959 11  12   UPX1    ascii   H&R`|F~B@OA
238   0x00002b87 0x0072f987 4   5    UPX1    ascii   z8>"
239   0x00002ba1 0x0072f9a1 4   5    UPX1    ascii   @P[&
240   0x00002bbf 0x0072f9bf 4   6    UPX1    utf8    HGΈ; blocks=Basic Latin,Greek and Coptic
