[Strings]
nth  paddr      vaddr      len  size section         type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
187  0x0000c984 0x0040d384 4    6    .text           utf8    E̋E\b blocks=Basic Latin,Combining Diacritical Marks
188  0x0000c9df 0x0040d3df 4    6    .text           utf8    EĉD$ blocks=Basic Latin,Latin Extended-A
189  0x0000caee 0x0040d4ee 7    11   .text           utf8    MԉUЋEԉE blocks=Basic Latin,Cyrillic Supplement,Cyrillic
190  0x0000cbf7 0x0040d5f7 5    8    .text           utf8    ȋU؉P\b blocks=Latin Extended-B,Basic Latin,Arabic
191  0x0000cbff 0x0040d5ff 4    6    .text           utf8    U܉P\f blocks=Basic Latin,Syriac
192  0x0000cd19 0x0040d719 4    6    .text           utf8    EЋ@\b blocks=Basic Latin,Cyrillic
193  0x0000cf19 0x0040d919 8    12   .text           utf8    E̋E̋U؉T$ blocks=Basic Latin,Combining Diacritical Marks,Arabic
194  0x0000cf63 0x0040d963 4    7    .text           utf8    +E܉¸ blocks=Basic Latin,Syriac,Latin-1 Supplement
195  0x0000cf8f 0x0040d98f 5    8    .text           utf8    EԋE̺  blocks=Basic Latin,Cyrillic Supplement,Combining Diacritical Marks
196  0x0000d508 0x0040df08 4    5    .text           ascii   D$\b1
197  0x0000d546 0x0040df46 4    5    .text           ascii   $@xD
198  0x0000d7c5 0x0040e1c5 5    6    .text           ascii   9E\bt 
199  0x0000d874 0x0040e274 5    8    .text           utf8    EԋUЉP blocks=Basic Latin,Cyrillic Supplement,Cyrillic
200  0x0000da97 0x0040e497 4    5    .text           ascii   $0/F
201  0x0000dc9a 0x0040e69a 4    5    .text           ascii   D$\bN
202  0x0000dd26 0x0040e726 5    6    .text           ascii   }\b\vu*
203  0x0000dd88 0x0040e788 5    6    .text           ascii   }\b\bu'
204  0x0000e1b7 0x0040ebb7 4    5    .text           ascii   gfff
205  0x0000e39f 0x0040ed9f 4    6    .text           utf8    @\b؆D blocks=Basic Latin,Arabic
206  0x0000e3e6 0x0040ede6 4    5    .text           ascii   D$\b1
207  0x0000e655 0x0040f055 4    5    .text           ascii   D$\b1
208  0x0000e799 0x0040f199 4    5    .text           ascii   D$\b1
209  0x0000e7d0 0x0040f1d0 4    6    .text           utf8    EЋE\f blocks=Basic Latin,Cyrillic
210  0x0000e832 0x0040f232 4    7    .text           utf8    EЋUԉ blocks=Basic Latin,Cyrillic,Cyrillic Supplement
211  0x0000e8aa 0x0040f2aa 4    7    .text           utf8    E؋U܉ blocks=Basic Latin,Arabic,Syriac
212  0x0000e8c9 0x0040f2c9 4    7    .text           utf8    EЋUԉ blocks=Basic Latin,Cyrillic,Cyrillic Supplement
213  0x0000ea36 0x0040f436 4    7    .text           utf8    ME܉\b blocks=Basic Latin,Syriac
214  0x0000ea5d 0x0040f45d 4    7    .text           utf8    ME؉\b blocks=Basic Latin,Arabic
215  0x0000f01a 0x0040fa1a 4    6    .text           utf8    UԋE\b blocks=Basic Latin,Cyrillic Supplement
216  0x0000f314 0x0040fd14 4    7    .text           utf8    MEЉ\b blocks=Basic Latin,Cyrillic
217  0x0000f4a4 0x0040fea4 4    5    .text           ascii   D$\b1
218  0x0000f54a 0x0040ff4a 6    9    .text           utf8    UЋEԉ\f$ blocks=Basic Latin,Cyrillic,Cyrillic Supplement
219  0x0000f5f3 0x0040fff3 4    6    .text           utf8    Eċ@\b blocks=Basic Latin,Latin Extended-A
220  0x0000f65d 0x0041005d 4    6    .text           utf8    Eċ@\b blocks=Basic Latin,Latin Extended-A
221  0x0000fc07 0x00410607 6    9    .text           utf8    UȋẺ\$ blocks=Basic Latin,Latin Extended-B,Combining Diacritical Marks
222  0x0000fdb7 0x004107b7 4    6    .text           utf8    E؋E\b blocks=Basic Latin,Arabic
223  0x0000fdc2 0x004107c2 7    10   .text           utf8    U؋E܉L$\b blocks=Basic Latin,Arabic,Syriac
224  0x0000ff1d 0x0041091d 4    5    .text           ascii   D$\b1
225  0x0000ff51 0x00410951 7    8    .text           ascii   E\b;E\ft\f
226  0x000100a6 0x00410aa6 4    6    .text           utf8    u"ǅd blocks=Basic Latin,Latin Extended-B
227  0x000100cf 0x00410acf 4    6    .text           utf8    t'ǅd blocks=Basic Latin,Latin Extended-B
228  0x000100e6 0x00410ae6 4    7    .text           utf8    U؋E܉ blocks=Basic Latin,Arabic,Syriac
229  0x0001011f 0x00410b1f 6    10   .text           utf8    EԋUԋE܉ blocks=Basic Latin,Cyrillic Supplement,Syriac
230  0x000101e2 0x00410be2 4    6    .text           utf8    t:ǅd blocks=Basic Latin,Latin Extended-B
231  0x000101f9 0x00410bf9 4    7    .text           utf8    UЋEȉ blocks=Basic Latin,Cyrillic,Latin Extended-B
232  0x000102a4 0x00410ca4 4    7    .text           utf8    UċEȉ blocks=Basic Latin,Latin Extended-A,Latin Extended-B
233  0x000105e2 0x00410fe2 4    6    .text           utf8    t]ǅd blocks=Basic Latin,Latin Extended-B
234  0x000109f9 0x004113f9 4    6    .text           utf8    EԋM\b blocks=Basic Latin,Cyrillic Supplement
235  0x00010a5a 0x0041145a 6    9    .text           utf8    Eԉ¹ 4F blocks=Basic Latin,Cyrillic Supplement,Latin-1 Supplement
236  0x00010ad2 0x004114d2 7    8    .text           ascii   %UUUU)E
237  0x00010aeb 0x004114eb 5    6    .text           ascii   %3333
238  0x00010af8 0x004114f8 5    6    .text           ascii   %3333
239  0x00010f59 0x00411959 4    5    .text           ascii   D$\b1
240  0x000111e3 0x00411be3 6    9    .text           utf8    EԋEЉD$ blocks=Basic Latin,Cyrillic Supplement,Cyrillic
241  0x00011221 0x00411c21 4    7    .text           utf8    MԉЈE blocks=Basic Latin,Cyrillic Supplement,Cyrillic
242  0x0001125e 0x00411c5e 5    7    .text           utf8    Eк<4F blocks=Basic Latin,Cyrillic
243  0x00011272 0x00411c72 5    7    .text           utf8    Eк<4F blocks=Basic Latin,Cyrillic
244  0x000112a3 0x00411ca3 5    7    .text           utf8    Eк<4F blocks=Basic Latin,Cyrillic
245  0x00011410 0x00411e10 4    7    .text           utf8    ME؉\b blocks=Basic Latin,Arabic
246  0x00011437 0x00411e37 4    7    .text           utf8    MEԉ\b blocks=Basic Latin,Cyrillic Supplement
247  0x00011499 0x00411e99 4    6    .text           utf8    ¹ 4F blocks=Latin-1 Supplement,Basic Latin
248  0x00012158 0x00412b58 4    7    .text           utf8    MEԉ\b blocks=Basic Latin,Cyrillic Supplement
249  0x000122fa 0x00412cfa 4    6    .text           utf8    EЉT$ blocks=Basic Latin,Cyrillic
250  0x000123ad 0x00412dad 4    7    .text           utf8    MẺ\b blocks=Basic Latin,Combining Diacritical Marks
251  0x00012548 0x00412f48 4    7    .text           utf8    MẺ\b blocks=Basic Latin,Combining Diacritical Marks
252  0x000125f7 0x00412ff7 4    5    .text           ascii   <9w\a
253  0x000126c0 0x004130c0 4    5    .text           ascii   <9w\a
254  0x0001286a 0x0041326a 4    7    .text           utf8    ME\t\b
255  0x00012964 0x00413364 4    5    .text           ascii   +E\bq
256  0x0001296f 0x0041336f 4    7    .text           utf8    MEȉ\b blocks=Basic Latin,Latin Extended-B
257  0x00012b2f 0x0041352f 4    7    .text           utf8    MEЉ\b blocks=Basic Latin,Cyrillic
258  0x00012bc4 0x004135c4 4    7    .text           utf8    MẺ\b blocks=Basic Latin,Combining Diacritical Marks
259  0x00012c59 0x00413659 4    7    .text           utf8    MEȉ\b blocks=Basic Latin,Latin Extended-B
