[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
142  0x0000471e 0x1000531e 4   6    .text   utf8    ]ËE\f blocks=Basic Latin,Latin-1 Supplement
143  0x000047e3 0x100053e3 5   6    .text   ascii   x$;5(
144  0x00004929 0x10005529 4   5    .text   ascii   u\bW3
145  0x00004cc7 0x100058c7 6   7    .text   ascii   t$j\rXP
146  0x00004ea2 0x10005aa2 4   5    .text   ascii   j\rYf
147  0x00004f9f 0x10005b9f 4   5    .text   ascii   j\r^f
148  0x00004fc4 0x10005bc4 5   6    .text   ascii   VVhU\r
149  0x00005167 0x10005d67 6   9    .text   utf8    u؉u܋}\b blocks=Basic Latin,Arabic,Syriac
150  0x00005216 0x10005e16 4   7    .text   utf8    މu؉] blocks=Thaana,Basic Latin,Arabic
151  0x00005267 0x10005e67 4   5    .text   ascii   u\bWV
152  0x000053a2 0x10005fa2 4   5    .text   ascii   _^[]
153  0x000053ad 0x10005fad 4   6    .text   utf8    u\b3ۋ blocks=Basic Latin,Arabic
154  0x000054fb 0x100060fb 5   6    .text   ascii   Y_^[]
155  0x0000559c 0x1000619c 4   5    .text   ascii   j\fh@
156  0x000055b6 0x100061b6 4   5    .text   ascii   Npt"
157  0x000055ca 0x100061ca 4   5    .text   ascii   u\bj 
158  0x00005660 0x10006260 5   7    .text   utf8    _]Ã=P blocks=Basic Latin,Latin-1 Supplement
159  0x0000572c 0x1000632c 5   6    .text   ascii   ]\bVWh
160  0x00005757 0x10006357 4   6    .text   utf8    \vM{\f
161  0x0000578b 0x1000638b 4   5    .text   ascii   _^[]
162  0x0000591e 0x1000651e 4   5    .text   ascii   j\fh`
163  0x00005947 0x10006547 4   5    .text   ascii   u\bj 
164  0x000059ee 0x100065ee 4   5    .text   ascii   E\b;F
165  0x00005ab7 0x100066b7 4   5    .text   ascii   DK\ff
166  0x00005b39 0x10006739 4   5    .text   ascii   }\bj\r
167  0x00005c5d 0x1000685d 5   6    .text   ascii   \b\b@Iu
168  0x00005c86 0x10006886 4   6    .text   utf8    \vM~\f
169  0x00005eb0 0x10006ab0 4   6    .text   utf8    Ê@$$ blocks=Latin-1 Supplement,Basic Latin
170  0x00005ef9 0x10006af9 4   6    .text   utf8    Ê@$$ blocks=Latin-1 Supplement,Basic Latin
171  0x00005fbb 0x10006bbb 4   5    .text   ascii   E\bWP
172  0x00006049 0x10006c49 8   9    .text   ascii   ~';_t|%3
173  0x0000605d 0x10006c5d 5   6    .text   ascii   wtVj\t
