[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
266  0x00006e8c 0x10006e8c 5   6    .text   ascii   t$<t\v
267  0x00006eb4 0x10006eb4 4   5    .text   ascii   L$@Q
268  0x00006ec4 0x10006ec4 5   6    .text   ascii   L$TQj
269  0x00006ecb 0x10006ecb 4   6    .text   utf8    Ћ\$, blocks=Cyrillic,Basic Latin
270  0x00006ef6 0x10006ef6 4   5    .text   ascii   _^][
271  0x00006f0e 0x10006f0e 5   7    .text   utf8    ؍D$`P blocks=Arabic,Basic Latin
272  0x00006f28 0x10006f28 4   5    .text   ascii   L$nQ
273  0x00006f2e 0x10006f2e 6   7    .text   ascii   L$pQht
274  0x00006f4f 0x10006f4f 4   5    .text   ascii   t$0j
275  0x00006f9e 0x10006f9e 4   5    .text   ascii   L$$;
276  0x00007067 0x10007067 4   5    .text   ascii   U\fVW
277  0x00007085 0x10007085 4   5    .text   ascii   D08f
278  0x000070c4 0x100070c4 4   5    .text   ascii   D\b8f
279  0x0000710c 0x1000710c 5   6    .text   ascii   @\fSUV
280  0x0000712b 0x1000712b 4   5    .text   ascii   L$ ;
281  0x000071ce 0x100071ce 4   5    .text   ascii   _^][
282  0x000071eb 0x100071eb 4   5    .text   ascii   L$(W
283  0x00007208 0x10007208 4   5    .text   ascii   L$$;
284  0x0000726d 0x1000726d 6   9    .text   utf8    ᢋt$ t\v blocks=Mongolian,Basic Latin
285  0x00007281 0x10007281 5   6    .text   ascii   T$$j@
286  0x0000729f 0x1000729f 7   8    .text   ascii   L$@QRRR
287  0x00007308 0x10007308 4   5    .text   ascii   u\tWV
288  0x00007311 0x10007311 5   6    .text   ascii   YYQWV
289  0x00007357 0x10007357 6   7    .text   ascii   D$ Pht
290  0x000073e8 0x100073e8 6   7    .text   ascii   L$ Qht
291  0x0000744e 0x1000744e 4   5    .text   ascii   _^][
292  0x00007462 0x10007462 4   5    .text   ascii   4SUV
293  0x00007471 0x10007471 4   7    .text   utf8    ދˉ\$ blocks=Thaana,Spacing Modifier Letters,Basic Latin
294  0x00007493 0x10007493 4   5    .text   ascii   _^][
295  0x000074ac 0x100074ac 4   6    .text   utf8    ƉD$( blocks=Latin Extended-B,Basic Latin
296  0x000074cd 0x100074cd 4   5    .text   ascii   D$,;
297  0x00007537 0x10007537 5   6    .text   ascii   t$0t\v
298  0x00007565 0x10007565 5   8    .text   utf8    ЋȉL$0 blocks=Cyrillic,Latin Extended-B,Basic Latin
299  0x00007596 0x10007596 4   5    .text   ascii   L$,;
300  0x000075fe 0x100075fe 5   6    .text   ascii   t$0t\v
301  0x0000762c 0x1000762c 4   6    .text   utf8    ЉD$0 blocks=Cyrillic,Basic Latin
302  0x000076c1 0x100076c1 6   8    .text   utf8    Ջt$,t\v blocks=Armenian,Basic Latin
303  0x000076ef 0x100076ef 4   6    .text   utf8    Ћl$$ blocks=Cyrillic,Basic Latin
304  0x0000772c 0x1000772c 6   9    .text   utf8    +х\tT$, blocks=Basic Latin,Cyrillic
305  0x0000773a 0x1000773a 4   6    .text   utf8    ȉL$, blocks=Latin Extended-B,Basic Latin
306  0x0000774e 0x1000774e 5   7    .text   utf8    ƉD$,d blocks=Latin Extended-B,Basic Latin
307  0x00007775 0x10007775 4   5    .text   ascii   L$<;
308  0x000077e0 0x100077e0 4   5    .text   ascii   t$4t
309  0x00007871 0x10007871 4   5    .text   ascii   SVW3
310  0x00007896 0x10007896 6   7    .text   ascii   A<f9T\b
311  0x000079f0 0x100079f0 6   7    .text   ascii   A<f9T\b
312  0x00007a0d 0x10007a0d 4   5    .text   ascii   D\bP;
313  0x00007ae0 0x10007ae0 4   5    .text   ascii   VVSV
314  0x00007bc5 0x10007bc5 7   11   .text   utf8    MĈMȍMĉ} blocks=Basic Latin,Latin Extended-A,Latin Extended-B
315  0x00007ca8 0x10007ca8 5   8    .text   utf8    ]ȉ]ċM blocks=Basic Latin,Latin Extended-B,Latin Extended-A
316  0x00007e56 0x10007e56 4   5    .text   ascii   YYSW
317  0x00007e7e 0x10007e7e 5   8    .text   utf8    ]̉]Љ] blocks=Basic Latin,Combining Diacritical Marks,Cyrillic
318  0x00007ea3 0x10007ea3 5   8    .text   utf8    ]؉]܉] blocks=Basic Latin,Arabic,Syriac
319  0x00007ec7 0x10007ec7 7   11   .text   utf8    ]\t]ĉ]ȋM blocks=Basic Latin,Latin Extended-A,Latin Extended-B
320  0x00007ed4 0x10007ed4 4   5    .text   ascii   _^[d
321  0x00007f15 0x10007f15 4   5    .text   ascii   \fSVW
322  0x00008008 0x10008008 4   6    .text   utf8    F\b^Ã blocks=Basic Latin,Latin-1 Supplement
323  0x0000802a 0x1000802a 4   5    .text   ascii   L$$W
324  0x000080e4 0x100080e4 7   9    .text   utf8    ЋL$(_^] blocks=Cyrillic,Basic Latin
