[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
7202 0x000689bd 0x100689bd 5   6    .data   ascii   \b%Ao}
7203 0x00068a29 0x10068a29 8   10   .data   utf8    ̊-cU\t6oy blocks=Combining Diacritical Marks,Basic Latin
7204 0x00068a56 0x10068a56 4   5    .data   ascii   jiQv
7205 0x00068a70 0x10068a70 6   7    .data   ascii   +y06C\
7206 0x00068a7e 0x10068a7e 4   6    .data   utf8    Xؐ\I blocks=Basic Latin,Arabic
7207 0x00068a96 0x10068a96 5   7    .data   utf8    Nʗ(a\t blocks=Basic Latin,IPA Extensions
7208 0x00068aa1 0x10068aa1 4   5    .data   ascii   \b$L@
7209 0x00068b05 0x10068b05 4   6    .data   utf8    Lzeܼ blocks=Basic Latin,Syriac
7210 0x00068b0d 0x10068b0d 6   8    .data   utf8    ;?ߴu3H blocks=Basic Latin,NKo
7211 0x00068b1c 0x10068b1c 6   8    .data   utf8    :!ùJ0w blocks=Basic Latin,Latin-1 Supplement
7212 0x00068b46 0x10068b46 4   7    .data   utf8    |ɩӯq blocks=Basic Latin,IPA Extensions,Cyrillic
7213 0x00068b5b 0x10068b5b 7   8    .data   ascii   v}@)'"\
7214 0x00068b65 0x10068b65 4   6    .data   utf8    %ݒ15 blocks=Basic Latin,Arabic Supplement
7215 0x00068b6d 0x10068b6d 5   7    .data   utf8    +~Rܐ/ blocks=Basic Latin,Syriac
7216 0x00068b89 0x10068b89 4   5    .data   ascii   PI\tF
7217 0x00068bbd 0x10068bbd 4   6    .data   utf8    ,Fܸ% blocks=Basic Latin,Syriac
7218 0x00068bc4 0x10068bc4 5   6    .data   ascii   /^*bK
7219 0x00068c4d 0x10068c4d 6   8    .data   utf8    Si՟AXE blocks=Basic Latin,Armenian
7220 0x00068c5d 0x10068c5d 5   6    .data   ascii   c*\bMs
7221 0x00068d16 0x10068d16 4   5    .data   ascii    w`T
7222 0x00068d5b 0x10068d5b 4   5    .data   ascii   B<wq
7223 0x00068df4 0x10068df4 5   6    .data   ascii   iL3@-
7224 0x00068e08 0x10068e08 4   5    .data   ascii   \nrke
7225 0x00068e0d 0x10068e0d 4   5    .data   ascii   z5\nS
7226 0x00068e2b 0x10068e2b 5   6    .data   ascii   BDZ>$
7227 0x00068e74 0x10068e74 5   6    .data   ascii   wQbsD
7228 0x00068eed 0x10068eed 4   5    .data   ascii   fNvV
7229 0x00068efb 0x10068efb 4   5    .data   ascii   /D+!
7230 0x00068f57 0x10068f57 4   6    .data   utf8    ƌ>v~ blocks=Latin Extended-B,Basic Latin
7231 0x00068f64 0x10068f64 5   8    .data   utf8    8.FP blocks=Basic Latin,Private Use Area
7232 0x00068f80 0x10068f80 6   7    .data   ascii   #U?]'\f
7233 0x00068f8a 0x10068f8a 4   7    .data   utf8    ƼA\nה blocks=Latin Extended-B,Basic Latin,Hebrew
7234 0x00068fdc 0x10068fdc 6   8    .data   utf8    {JWځN$ blocks=Basic Latin,Arabic
7235 0x0006900b 0x1006900b 4   6    .data   utf8    /֮,\f blocks=Basic Latin,Hebrew
7236 0x0006901d 0x1006901d 6   9    .data   utf8    ƾ(;l\tܨ blocks=Latin Extended-B,Basic Latin,Syriac
7237 0x0006904d 0x1006904d 5   6    .data   ascii   <E\fAn
7238 0x00069068 0x10069068 4   5    .data   ascii   NqVo
7239 0x000690a0 0x100690a0 4   5    .data   ascii   ^oc\n
7240 0x000690a6 0x100690a6 5   6    .data   ascii   0im"m
7241 0x000690b0 0x100690b0 4   5    .data   ascii   QGE<
7242 0x00069104 0x10069104 9   11   .data   utf8    jI,QDJ"!z
7243 0x0006917e 0x1006917e 4   6    .data   utf8    9ʮO} blocks=Basic Latin,IPA Extensions
7244 0x000691b3 0x100691b3 4   5    .data   ascii   RmPg
7245 0x000691dc 0x100691dc 5   6    .data   ascii   1)<j+
7246 0x000691e4 0x100691e4 6   8    .data   utf8    P\aF+ޯ] blocks=Basic Latin,Thaana
7247 0x000691f9 0x100691f9 4   6    .data   utf8    ߁n2n blocks=NKo,Basic Latin
7248 0x0006920b 0x1006920b 4   5    .data   ascii   %sEm
7249 0x00069229 0x10069229 4   5    .data   ascii   (N/k
7250 0x00069245 0x10069245 5   6    .data   ascii   x,nd\r
7251 0x00069256 0x10069256 4   6    .data   utf8    8`͓u blocks=Basic Latin,Combining Diacritical Marks
7252 0x0006925c 0x1006925c 5   6    .data   ascii   9%u22
7253 0x00069291 0x10069291 4   6    .data   utf8    f(ݭa blocks=Basic Latin,Arabic Supplement
7254 0x000692bd 0x100692bd 4   5    .data   ascii   3,$ 
7255 0x000692e2 0x100692e2 4   5    .data   ascii   ILYR
7256 0x000693bf 0x100693bf 7   11   .data   utf8    ZV?Vyừҏ blocks=Basic Latin,Latin Extended Additional,Cyrillic
7257 0x000693e1 0x100693e1 5   6    .data   ascii   |V\e[J
7258 0x00069423 0x10069423 4   5    .data   ascii   xBu,
7259 0x00069449 0x10069449 6   7    .data   ascii   N"|`fI
7260 0x00069451 0x10069451 4   5    .data   ascii   !s\fe
7261 0x00069476 0x10069476 6   7    .data   ascii   .B+,~f
7262 0x000694b8 0x100694b8 4   6    .data   utf8    hͤt# blocks=Basic Latin,Combining Diacritical Marks
7263 0x000694e8 0x100694e8 4   5    .data   ascii   $zlY
7264 0x0006951d 0x1006951d 4   5    .data   ascii   J|#v
7265 0x0006957f 0x1006957f 7   9    .data   utf8    2gK4jٗ: blocks=Basic Latin,Arabic
7266 0x000695b0 0x100695b0 4   5    .data   ascii   U=/t
7267 0x000695c4 0x100695c4 5   6    .data   ascii   ~\tsw|
7268 0x00069601 0x10069601 4   6    .data   utf8    KǚGG blocks=Basic Latin,Latin Extended-B
7269 0x0006960f 0x1006960f 4   6    .data   utf8    ,PܳO blocks=Basic Latin,Syriac
7270 0x000696c3 0x100696c3 4   5    .data   ascii   $u>{
7271 0x000696e8 0x100696e8 4   5    .data   ascii   B^"M
7272 0x00069777 0x10069777 4   5    .data   ascii   w\gB
7273 0x00069793 0x10069793 5   7    .data   utf8    dҎ8vU blocks=Basic Latin,Cyrillic
7274 0x000697ac 0x100697ac 5   7    .data   utf8    \eSlân blocks=Basic Latin,Latin-1 Supplement
7275 0x000697be 0x100697be 4   5    .data   ascii   ^\nDv
7276 0x000697cf 0x100697cf 4   5    .data   ascii   `<y>
7277 0x00069806 0x10069806 4   6    .data   utf8    &ȉ|Y blocks=Basic Latin,Latin Extended-B
7278 0x000698ac 0x100698ac 4   5    .data   ascii   VJD8
7279 0x00069903 0x10069903 4   6    .data   utf8    Ԉx\ex blocks=Cyrillic Supplement,Basic Latin
7280 0x0006990e 0x1006990e 4   5    .data   ascii   IdP 
7281 0x00069915 0x10069915 4   5    .data   ascii   W\f*?
7282 0x00069972 0x10069972 6   7    .data   ascii   mAq@fW
7283 0x000699ec 0x100699ec 4   6    .data   utf8    ĺ6)5 blocks=Latin Extended-A,Basic Latin
7284 0x00069a52 0x10069a52 7   8    .data   ascii   $gg<\nlx
7285 0x00069a75 0x10069a75 5   7    .data   utf8    "k3ɾd blocks=Basic Latin,IPA Extensions
7286 0x00069a86 0x10069a86 6   7    .data   ascii   <(JDj6
7287 0x00069ac7 0x10069ac7 5   6    .data   ascii   ;Y1JM
7288 0x00069af1 0x10069af1 4   8    .data   utf8    (&ȇ blocks=Basic Latin,Private Use Area,Latin Extended-B
7289 0x00069b6c 0x10069b6c 5   6    .data   ascii   ?B5' 
7290 0x00069bb0 0x10069bb0 5   6    .data   ascii   D!Jz(
7291 0x00069be2 0x10069be2 5   7    .data   utf8    «\r#[k blocks=Latin-1 Supplement,Basic Latin
7292 0x00069c00 0x10069c00 5   7    .data   utf8    IT\e۬\ blocks=Basic Latin,Arabic
7293 0x00069c13 0x10069c13 4   5    .data   ascii   7x3r
7294 0x00069c96 0x10069c96 4   6    .data   utf8    U7Ѷ@ blocks=Basic Latin,Cyrillic
7295 0x00069ccd 0x10069ccd 7   8    .data   ascii   \nd\tlxI-
7296 0x00069ce0 0x10069ce0 4   6    .data   utf8    C\bԢ. blocks=Basic Latin,Cyrillic Supplement
7297 0x00069cef 0x10069cef 5   7    .data   utf8    >x|#Ϧ blocks=Basic Latin,Greek and Coptic
7298 0x00069cf6 0x10069cf6 5   6    .data   ascii    .TD>
7299 0x00069d31 0x10069d31 4   5    .data   ascii   \a(+&
7300 0x00069d3d 0x10069d3d 4   6    .data   utf8    łPG/ blocks=Latin Extended-A,Basic Latin
7301 0x00069d57 0x10069d57 4   5    .data   ascii   \b\rl9
7302 0x00069db9 0x10069db9 5   6    .data   ascii   %H(E8
7303 0x00069dd4 0x10069dd4 7   8    .data   ascii   6c0#&U(
7304 0x00069e2a 0x10069e2a 6   7    .data   ascii   6s.s\vu
7305 0x00069e6a 0x10069e6a 4   5    .data   ascii   \ft 4
7306 0x00069ef9 0x10069ef9 5   7    .data   utf8    FлY\t6 blocks=Basic Latin,Cyrillic
7307 0x00069f0b 0x10069f0b 4   7    .data   utf8    x/叵e blocks=Basic Latin,CJK Unified Ideographs
7308 0x00069f13 0x10069f13 4   6    .data   utf8    Õ\tBn blocks=Latin-1 Supplement,Basic Latin
7309 0x00069f3b 0x10069f3b 5   6    .data   ascii   C^:35
7310 0x00069fa8 0x10069fa8 4   5    .data   ascii   I+,@
7311 0x00069ff0 0x10069ff0 4   5    .data   ascii   PRk\f
7312 0x0006a0fa 0x1006a0fa 6   7    .data   ascii   GS\n\"Q
7313 0x0006a102 0x1006a102 4   6    .data   utf8    ͽx^A blocks=Greek and Coptic,Basic Latin
7314 0x0006a119 0x1006a119 5   6    .data   ascii   WyE{`
7315 0x0006a141 0x1006a141 4   5    .data   ascii   G;8t
7316 0x0006a154 0x1006a154 5   6    .data   ascii   -BS\vN
7317 0x0006a167 0x1006a167 4   5    .data   ascii   :]7'
7318 0x0006a21c 0x1006a21c 5   7    .data   utf8    \niы5H blocks=Basic Latin,Cyrillic
7319 0x0006a225 0x1006a225 6   7    .data   ascii   DtV.!f
7320 0x0006a25e 0x1006a25e 5   6    .data   ascii   i\v^@0
7321 0x0006a275 0x1006a275 5   9    .data   utf8    qDCش߹ blocks=Basic Latin,Arabic,NKo
7322 0x0006a28b 0x1006a28b 5   6    .data   ascii   ynK6D
7323 0x0006a2c0 0x1006a2c0 5   6    .data   ascii   mG\n95
7324 0x0006a312 0x1006a312 4   5    .data   ascii   tkFb
7325 0x0006a326 0x1006a326 6   8    .data   utf8    :U"|Ȥ, blocks=Basic Latin,Latin Extended-B
7326 0x0006a32f 0x1006a32f 4   5    .data   ascii   LNm{
7327 0x0006a380 0x1006a380 4   5    .data   ascii   DTr`
7328 0x0006a3d3 0x1006a3d3 5   6    .data   ascii   08>_`
7329 0x0006a3f7 0x1006a3f7 4   6    .data   utf8    \el)˼ blocks=Basic Latin,Spacing Modifier Letters
7330 0x0006a417 0x1006a417 6   7    .data   ascii   "]p8N0
7331 0x0006a47e 0x1006a47e 5   6    .data   ascii   uT;\vA
7332 0x0006a48b 0x1006a48b 6   7    .data   ascii   [v/;3H
7333 0x0006a4ee 0x1006a4ee 4   5    .data   ascii   7my\b
7334 0x0006a4f8 0x1006a4f8 4   5    .data   ascii   //b6
7335 0x0006a50a 0x1006a50a 5   7    .data   utf8    lbҲcY blocks=Basic Latin,Cyrillic
7336 0x0006a51e 0x1006a51e 4   6    .data   utf8    а[#h blocks=Cyrillic,Basic Latin
7337 0x0006a545 0x1006a545 5   6    .data   ascii   <3>4)
7338 0x0006a553 0x1006a553 4   5    .data   ascii   :Ub\t
7339 0x0006a55d 0x1006a55d 4   6    .data   utf8    ם?6k blocks=Hebrew,Basic Latin
7340 0x0006a56f 0x1006a56f 4   5    .data   ascii   `\t\t1
7341 0x0006a58a 0x1006a58a 4   5    .data   ascii   C=WS
7342 0x0006a592 0x1006a592 4   6    .data   utf8    ܦI_\v blocks=Syriac,Basic Latin
7343 0x0006a5ec 0x1006a5ec 4   5    .data   ascii   c9.!
7344 0x0006a645 0x1006a645 4   5    .data   ascii   y=Sg
7345 0x0006a682 0x1006a682 4   6    .data   utf8    |iWѹ blocks=Basic Latin,Cyrillic
7346 0x0006a6f7 0x1006a6f7 6   9    .data   utf8    ?K댋l#x blocks=Basic Latin,Hangul Syllables
7347 0x0006a740 0x1006a740 6   8    .data   utf8    Ъr+\eM7 blocks=Cyrillic,Basic Latin
7348 0x0006a766 0x1006a766 5   6    .data   ascii   8<KOn
7349 0x0006a772 0x1006a772 8   9    .data   ascii   oYoszMGY
7350 0x0006a77b 0x1006a77b 6   7    .data   ascii   F/V\v5r
7351 0x0006a7ad 0x1006a7ad 6   8    .data   utf8    5 ӥM#w blocks=Basic Latin,Cyrillic
7352 0x0006a7cc 0x1006a7cc 4   7    .data   utf8    j!\aə blocks=Basic Latin,IPA Extensions
7353 0x0006a7d6 0x1006a7d6 6   8    .data   utf8    Dݢ\e$3, blocks=Basic Latin,Arabic Supplement
7354 0x0006a832 0x1006a832 4   5    .data   ascii   @HLr
7355 0x0006a842 0x1006a842 4   5    .data   ascii    s@V
7356 0x0006a8c5 0x1006a8c5 4   6    .data   utf8    RAٯ\r blocks=Basic Latin,Arabic
7357 0x0006a8d0 0x1006a8d0 4   5    .data   ascii   )t8a
7358 0x0006a8ff 0x1006a8ff 4   5    .data   ascii   $iek
7359 0x0006a939 0x1006a939 8   9    .data   ascii   \a\n>g1byw
7360 0x0006a954 0x1006a954 6   7    .data   ascii   Rl*$?q
7361 0x0006a965 0x1006a965 4   5    .data   ascii   \r&`4
7362 0x0006a98d 0x1006a98d 4   6    .data   utf8    ݩ8 x blocks=Arabic Supplement,Basic Latin
7363 0x0006a9d5 0x1006a9d5 4   5    .data   ascii   I76Q
7364 0x0006a9fe 0x1006a9fe 4   5    .data   ascii   +^ux
7365 0x0006aa7e 0x1006aa7e 4   5    .data   ascii   gxqC
7366 0x0006aa88 0x1006aa88 5   7    .data   utf8    JȦaVk blocks=Basic Latin,Latin Extended-B
7367 0x0006aaa3 0x1006aaa3 4   5    .data   ascii   B#_i
7368 0x0006aab6 0x1006aab6 6   8    .data   utf8    >Pu˾:r blocks=Basic Latin,Spacing Modifier Letters
7369 0x0006aadb 0x1006aadb 4   5    .data   ascii   ;r\fr
7370 0x0006ab1b 0x1006ab1b 6   7    .data   ascii   `6F'\b3
7371 0x0006ab26 0x1006ab26 4   5    .data   ascii   %\v=1
7372 0x0006ab86 0x1006ab86 4   5    .data   ascii   ^^<\n
7373 0x0006ab92 0x1006ab92 4   5    .data   ascii   fRK2
7374 0x0006aba9 0x1006aba9 6   7    .data   ascii   \vu23'x
7375 0x0006abfb 0x1006abfb 4   5    .data   ascii   _KTm
7376 0x0006ac0b 0x1006ac0b 4   5    .data   ascii   B&\e\v
7377 0x0006ac3d 0x1006ac3d 4   5    .data   ascii   -|7(
7378 0x0006ac4a 0x1006ac4a 4   8    .data   utf8    _䯩Ь\t blocks=Basic Latin,CJK Unified Ideographs Extension A,Cyrillic
7379 0x0006ac96 0x1006ac96 6   8    .data   utf8    CVeu(|
7380 0x0006acb9 0x1006acb9 4   5    .data   ascii   Lc^|
7381 0x0006ad20 0x1006ad20 4   5    .data   ascii   .RqP
7382 0x0006ad29 0x1006ad29 5   6    .data   ascii   `3o9I
7383 0x0006ad47 0x1006ad47 4   5    .data   ascii   a&.U
7384 0x0006ad4e 0x1006ad4e 4   5    .data   ascii    \tAf
7385 0x0006ad7b 0x1006ad7b 6   7    .data   ascii   '(1*qw
7386 0x0006ade9 0x1006ade9 6   7    .data   ascii   zk\e>Uw
7387 0x0006adf3 0x1006adf3 5   6    .data   ascii   IU0r\f
7388 0x0006ae5f 0x1006ae5f 8   9    .data   ascii   oDM]+*a1
7389 0x0006ae7f 0x1006ae7f 5   6    .data   ascii   {f\pf
7390 0x0006ae9d 0x1006ae9d 4   5    .data   ascii   \t{xR
7391 0x0006af18 0x1006af18 5   7    .data   utf8    :NPfּ blocks=Basic Latin,Hebrew
7392 0x0006af59 0x1006af59 4   5    .data   ascii   F%8M
7393 0x0006b118 0x1006b118 4   6    .data   utf8    \eMز3 blocks=Basic Latin,Arabic
7394 0x0006b158 0x1006b158 5   6    .data   ascii   1vo3L
7395 0x0006b165 0x1006b165 4   5    .data   ascii   [\vN2
7396 0x0006b17c 0x1006b17c 4   5    .data   ascii   \r_r_
7397 0x0006b19c 0x1006b19c 4   5    .data   ascii   1jnK
7398 0x0006b1a7 0x1006b1a7 4   5    .data   ascii   \r'N0
7399 0x0006b1bb 0x1006b1bb 5   8    .data   utf8    "옞xdI blocks=Basic Latin,Hangul Syllables
7400 0x0006b1dc 0x1006b1dc 4   6    .data   utf8    v!ǔB blocks=Basic Latin,Latin Extended-B
7401 0x0006b2bd 0x1006b2bd 5   6    .data   ascii   h;dZ\v
7402 0x0006b335 0x1006b335 4   6    .data   utf8    l@e\b
7403 0x0006b397 0x1006b397 4   5    .data   ascii   :C$`
7404 0x0006b3a0 0x1006b3a0 4   5    .data   ascii   Z^MM
7405 0x0006b3c0 0x1006b3c0 5   6    .data   ascii   `6\vEA
7406 0x0006b3e6 0x1006b3e6 4   5    .data   ascii   ?\fFN
7407 0x0006b441 0x1006b441 4   5    .data   ascii   [wu+
7408 0x0006b455 0x1006b455 6   7    .data   ascii   s?_\u-
7409 0x0006b468 0x1006b468 6   7    .data   ascii   cA\t&&'
7410 0x0006b496 0x1006b496 6   7    .data   ascii   QT%dE0
7411 0x0006b4e1 0x1006b4e1 5   6    .data   ascii   o;+Ig
7412 0x0006b5f3 0x1006b5f3 4   7    .data   utf8    ^k僠] blocks=Basic Latin,CJK Unified Ideographs
7413 0x0006b607 0x1006b607 5   6    .data   ascii   mG\v`;
7414 0x0006b626 0x1006b626 6   9    .data   utf8    8l\rԟ8ʮ blocks=Basic Latin,Cyrillic Supplement,IPA Extensions
7415 0x0006b64c 0x1006b64c 4   5    .data   ascii   \"'I
7416 0x0006b669 0x1006b669 6   7    .data   ascii   5 -#)Q
7417 0x0006b68a 0x1006b68a 4   7    .data   utf8    ǐjҸn blocks=Latin Extended-B,Basic Latin,Cyrillic
7418 0x0006b69e 0x1006b69e 5   6    .data   ascii   YK4cB
7419 0x0006b6be 0x1006b6be 4   5    .data   ascii   EUhm
7420 0x0006b6dd 0x1006b6dd 6   9    .data   utf8    픥Z;S\nH blocks=Hangul Syllables,Basic Latin
7421 0x0006b713 0x1006b713 4   6    .data   utf8    rŘ{j blocks=Basic Latin,Latin Extended-A
7422 0x0006b728 0x1006b728 5   6    .data   ascii   0E(O<
7423 0x0006b761 0x1006b761 4   5    .data   ascii   <cP\t
7424 0x0006b789 0x1006b789 4   5    .data   ascii   RHqn
7425 0x0006b7d6 0x1006b7d6 5   7    .data   utf8    0ӕvu= blocks=Basic Latin,Cyrillic
7426 0x0006b7ff 0x1006b7ff 4   6    .data   utf8    MwÐ[ blocks=Basic Latin,Latin-1 Supplement
7427 0x0006b82f 0x1006b82f 9   11   .data   utf8    q} ZфfRI4 blocks=Basic Latin,Cyrillic
7428 0x0006b889 0x1006b889 5   6    .data   ascii   b)b9@
7429 0x0006b8a7 0x1006b8a7 4   8    .data   utf8    2?Ճ㛵 blocks=Basic Latin,Armenian,CJK Unified Ideographs Extension A
7430 0x0006b8c3 0x1006b8c3 4   6    .data   utf8    ʹ3\t& blocks=Spacing Modifier Letters,Basic Latin
7431 0x0006b8e1 0x1006b8e1 4   5    .data   ascii   B"\vk
7432 0x0006b91f 0x1006b91f 4   5    .data   ascii   )\ndU
7433 0x0006b991 0x1006b991 5   6    .data   ascii   lE[XZ
7434 0x0006b997 0x1006b997 4   5    .data   ascii   #Hg0
7435 0x0006b9e4 0x1006b9e4 4   5    .data   ascii   xg@\f
7436 0x0006ba43 0x1006ba43 4   5    .data   ascii   `Z88
7437 0x0006ba70 0x1006ba70 5   6    .data   ascii   f++@l
7438 0x0006baa5 0x1006baa5 5   6    .data   ascii   J(w|8
7439 0x0006baf2 0x1006baf2 4   5    .data   ascii   R3\eO
7440 0x0006bb26 0x1006bb26 4   6    .data   utf8    ԣ`iT blocks=Cyrillic Supplement,Basic Latin
7441 0x0006bb3f 0x1006bb3f 4   5    .data   ascii   Bfei
7442 0x0006bb60 0x1006bb60 4   5    .data   ascii    [y9
7443 0x0006bb80 0x1006bb80 4   5    .data   ascii   JzLK
7444 0x0006bba9 0x1006bba9 4   5    .data   ascii   \3,\a
7445 0x0006bbb9 0x1006bbb9 4   5    .data   ascii   "^Yu
7446 0x0006bc22 0x1006bc22 4   5    .data   ascii   8\h0
7447 0x0006bc43 0x1006bc43 7   9    .data   utf8    Dýe}k\a. blocks=Basic Latin,Latin-1 Supplement
7448 0x0006bca4 0x1006bca4 6   7    .data   ascii   lW<K)#
7449 0x0006bcbd 0x1006bcbd 4   6    .data   utf8    8zՂh blocks=Basic Latin,Armenian
7450 0x0006bd05 0x1006bd05 4   5    .data   ascii   E"\bV
7451 0x0006bd17 0x1006bd17 5   6    .data   ascii   C?G]Y
7452 0x0006bd23 0x1006bd23 6   7    .data   ascii   4}d\t~\n
7453 0x0006bd41 0x1006bd41 4   5    .data   ascii   Xh\b"
7454 0x0006bde4 0x1006bde4 4   6    .data   utf8    Iۧb\e blocks=Basic Latin,Arabic
7455 0x0006be20 0x1006be20 4   6    .data   utf8    BƦ-> blocks=Basic Latin,Latin Extended-B
7456 0x0006bed8 0x1006bed8 6   7    .data   ascii   nL8Asc
7457 0x0006beff 0x1006beff 5   7    .data   utf8    )mӊp' blocks=Basic Latin,Cyrillic
7458 0x0006bf16 0x1006bf16 4   5    .data   ascii   "qW 
7459 0x0006bf43 0x1006bf43 5   7    .data   utf8    PJ\bڎK blocks=Basic Latin,Arabic
7460 0x0006bfc5 0x1006bfc5 6   9    .data   utf8    6;\em苈- blocks=Basic Latin,CJK Unified Ideographs
7461 0x0006bfd0 0x1006bfd0 6   7    .data   ascii   iHu0+m
7462 0x0006c005 0x1006c005 4   5    .data   ascii   }\rYQ
7463 0x0006c01d 0x1006c01d 4   7    .data   utf8    Cȿҫs blocks=Basic Latin,Latin Extended-B,Cyrillic
7464 0x0006c037 0x1006c037 5   8    .data   utf8    \n뺙2,5 blocks=Basic Latin,Hangul Syllables
7465 0x0006c055 0x1006c055 5   7    .data   utf8    ˗oZ\bY blocks=Spacing Modifier Letters,Basic Latin
7466 0x0006c0b6 0x1006c0b6 5   6    .data   ascii   HtW"r
7467 0x0006c133 0x1006c133 4   5    .data   ascii   !Ols
7468 0x0006c141 0x1006c141 4   5    .data   ascii   ^O:[
7469 0x0006c15d 0x1006c15d 8   9    .data   ascii   v/DSc#mU
7470 0x0006c175 0x1006c175 6   9    .data   utf8    èZ(ٲR; blocks=Latin-1 Supplement,Basic Latin,Arabic
7471 0x0006c182 0x1006c182 4   5    .data   ascii   do}#
7472 0x0006c1ff 0x1006c1ff 4   5    .data   ascii   9YF?
7473 0x0006c269 0x1006c269 7   8    .data   ascii   'y@!XE7
7474 0x0006c33a 0x1006c33a 5   6    .data   ascii   5)'_5
7475 0x0006c343 0x1006c343 5   6    .data   ascii   jH%Co
7476 0x0006c350 0x1006c350 4   5    .data   ascii   < ,\e
7477 0x0006c386 0x1006c386 4   5    .data   ascii   9&uf
7478 0x0006c390 0x1006c390 4   5    .data   ascii   \e\r\r@
7479 0x0006c3e0 0x1006c3e0 7   10   .data   utf8    Kj>FݕĚ! blocks=Basic Latin,Arabic Supplement,Latin Extended-A
7480 0x0006c4a9 0x1006c4a9 4   5    .data   ascii   r$Vg
7481 0x0006c4b9 0x1006c4b9 4   5    .data   ascii   1]~a
7482 0x0006c4d9 0x1006c4d9 5   6    .data   ascii   $V.,6
7483 0x0006c4f9 0x1006c4f9 4   5    .data   ascii   $3WM
7484 0x0006c513 0x1006c513 4   5    .data   ascii   ut\a-
7485 0x0006c529 0x1006c529 4   5    .data   ascii   \a\aj{
7486 0x0006c52e 0x1006c52e 4   6    .data   utf8    ͼ5Ju blocks=Greek and Coptic,Basic Latin
7487 0x0006c581 0x1006c581 4   5    .data   ascii   S?d$
7488 0x0006c59c 0x1006c59c 4   7    .data   utf8    ̄ȁW{ blocks=Combining Diacritical Marks,Latin Extended-B,Basic Latin
7489 0x0006c5b0 0x1006c5b0 5   7    .data   utf8    (y.Ęq blocks=Basic Latin,Latin Extended-A
7490 0x0006c5cb 0x1006c5cb 4   7    .data   utf8    Q#X blocks=Basic Latin,Private Use Area
7491 0x0006c5fd 0x1006c5fd 4   5    .data   ascii   ?+T-
7492 0x0006c612 0x1006c612 4   6    .data   utf8    uFfȶ blocks=Basic Latin,Latin Extended-B
7493 0x0006c639 0x1006c639 9   11   .data   utf8    ç^Cn")3Q, blocks=Latin-1 Supplement,Basic Latin
7494 0x0006c6bc 0x1006c6bc 5   6    .data   ascii   q]}VC
7495 0x0006c6d3 0x1006c6d3 6   7    .data   ascii   ?^^*a#
7496 0x0006c6da 0x1006c6da 4   5    .data   ascii   s!W`
7497 0x0006c6fe 0x1006c6fe 4   6    .data   utf8    )a˧\ blocks=Basic Latin,Spacing Modifier Letters
7498 0x0006c729 0x1006c729 5   6    .data   ascii   _:s>p
7499 0x0006c73c 0x1006c73c 7   8    .data   ascii   Ii\fj#/\
7500 0x0006c797 0x1006c797 4   5    .data   ascii   \a\rUm
7501 0x0006c7cc 0x1006c7cc 5   6    .data   ascii   36XXB
7502 0x0006c7d8 0x1006c7d8 5   8    .data   utf8    =!uᤰd blocks=Basic Latin,Limbu
7503 0x0006c808 0x1006c808 6   8    .data   utf8    '@ʠ9\nS blocks=Basic Latin,IPA Extensions
7504 0x0006c810 0x1006c810 7   8    .data   ascii   DyFd\ago
7505 0x0006c867 0x1006c867 5   7    .data   utf8    kd\fĭC blocks=Basic Latin,Latin Extended-A
7506 0x0006c8a6 0x1006c8a6 4   6    .data   utf8    \e&ĢJ blocks=Basic Latin,Latin Extended-A
7507 0x0006c902 0x1006c902 4   5    .data   ascii   @w\bm
7508 0x0006c908 0x1006c908 4   5    .data   ascii   moN=
7509 0x0006c91b 0x1006c91b 6   7    .data   ascii   %K#U,w
7510 0x0006c959 0x1006c959 6   8    .data   utf8    Lūs9G\ blocks=Basic Latin,Latin Extended-A
7511 0x0006c9be 0x1006c9be 6   7    .data   ascii   4#To>Z
7512 0x0006c9de 0x1006c9de 4   5    .data   ascii   )j>x
7513 0x0006ca47 0x1006ca47 4   6    .data   utf8    ש![% blocks=Hebrew,Basic Latin
7514 0x0006ca78 0x1006ca78 4   6    .data   utf8    ϡ\eUN blocks=Greek and Coptic,Basic Latin
7515 0x0006caa0 0x1006caa0 4   5    .data   ascii   `\rb1
7516 0x0006caaa 0x1006caaa 5   6    .data   ascii   E(BY\e
7517 0x0006caca 0x1006caca 5   7    .data   utf8    mn*t˸ blocks=Basic Latin,Spacing Modifier Letters
7518 0x0006caed 0x1006caed 5   8    .data   utf8    W0z; blocks=Basic Latin,Private Use Area
7519 0x0006cb04 0x1006cb04 4   5    .data   ascii   ?dgp
7520 0x0006cc14 0x1006cc14 5   6    .data   ascii   QK\f*&
7521 0x0006cc59 0x1006cc59 5   7    .data   utf8    ,Y_ҳ% blocks=Basic Latin,Cyrillic
7522 0x0006cc7b 0x1006cc7b 7   9    .data   utf8    \bb}ԿEN& blocks=Basic Latin,Armenian
7523 0x0006ccb1 0x1006ccb1 5   6    .data   ascii   kw*/Q
7524 0x0006ccb7 0x1006ccb7 4   5    .data   ascii   c'/N
7525 0x0006cccf 0x1006cccf 4   5    .data   ascii   nn;}
7526 0x0006ccea 0x1006ccea 4   5    .data   ascii   oY(9
7527 0x0006cd14 0x1006cd14 5   6    .data   ascii   \vvm3k
7528 0x0006cd21 0x1006cd21 4   5    .data   ascii   @\v\af
