[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
350   0x00003cac 0x00407cac 8   9            ascii   .idata$5
351   0x00003cbe 0x00407cbe 9   10           ascii   .idata$4 
352   0x00003cd0 0x00407cd0 9   10           ascii   .idata$6x
353   0x00003ce2 0x00407ce2 5   6            ascii   .text
354   0x00003cf4 0x00407cf4 5   6            ascii   .data
355   0x00003d06 0x00407d06 4   5            ascii   .bss
356   0x00003d18 0x00407d18 8   9            ascii   .idata$7
357   0x00003d2a 0x00407d2a 9   10           ascii   .idata$5\f
358   0x00003d3c 0x00407d3c 8   9            ascii   .idata$4
359   0x00003d4e 0x00407d4e 9   10           ascii   .idata$6p
360   0x00003d60 0x00407d60 5   6            ascii   .text
361   0x00003d72 0x00407d72 5   6            ascii   .data
362   0x00003d84 0x00407d84 4   5            ascii   .bss
363   0x00003d96 0x00407d96 8   9            ascii   .idata$7
364   0x00003da8 0x00407da8 8   9            ascii   .idata$5
365   0x00003dba 0x00407dba 8   9            ascii   .idata$4
366   0x00003dcc 0x00407dcc 9   10           ascii   .idata$6,
367   0x00003dde 0x00407dde 5   6            ascii   .text
368   0x00003df0 0x00407df0 5   6            ascii   .data
369   0x00003e02 0x00407e02 4   5            ascii   .bss
370   0x00003e14 0x00407e14 8   9            ascii   .idata$7
371   0x00003e26 0x00407e26 8   9            ascii   .idata$5
372   0x00003e38 0x00407e38 9   10           ascii   .idata$4,
373   0x00003e4a 0x00407e4a 8   9            ascii   .idata$6
374   0x00003e5c 0x00407e5c 5   6            ascii   .text
375   0x00003e6e 0x00407e6e 5   6            ascii   .data
376   0x00003e80 0x00407e80 4   5            ascii   .bss
377   0x00003e92 0x00407e92 8   9            ascii   .idata$7
378   0x00003ea4 0x00407ea4 8   9            ascii   .idata$5
379   0x00003eb6 0x00407eb6 9   10           ascii   .idata$4\f
380   0x00003ec8 0x00407ec8 9   10           ascii   .idata$6L
381   0x00003eda 0x00407eda 5   6            ascii   .text
382   0x00003eec 0x00407eec 5   6            ascii   .data
383   0x00003efe 0x00407efe 4   5            ascii   .bss
384   0x00003f10 0x00407f10 8   9            ascii   .idata$7
385   0x00003f22 0x00407f22 8   9            ascii   .idata$5
386   0x00003f34 0x00407f34 8   9            ascii   .idata$4
387   0x00003f46 0x00407f46 8   9            ascii   .idata$6
388   0x00003f58 0x00407f58 5   6            ascii   .text
389   0x00003f6a 0x00407f6a 5   6            ascii   .data
390   0x00003f7c 0x00407f7c 4   5            ascii   .bss
391   0x00003f8e 0x00407f8e 8   9            ascii   .idata$7
392   0x00003fa0 0x00407fa0 8   9            ascii   .idata$5
393   0x00003fb2 0x00407fb2 9   10           ascii   .idata$4\b
394   0x00003fc4 0x00407fc4 9   10           ascii   .idata$6@
395   0x00003fd6 0x00407fd6 5   6            ascii   .text
396   0x00003fe8 0x00407fe8 5   6            ascii   .data
397   0x00003ffa 0x00407ffa 4   5            ascii   .bss
398   0x0000400c 0x0040800c 8   9            ascii   .idata$7
399   0x0000401e 0x0040801e 8   9            ascii   .idata$5
400   0x00004030 0x00408030 8   9            ascii   .idata$4
401   0x00004042 0x00408042 9   10           ascii   .idata$6T
402   0x00004054 0x00408054 5   6            ascii   .file
403   0x00004066 0x00408066 4   5            ascii   fake
404   0x00004078 0x00408078 5   6            ascii   hname
405   0x0000408a 0x0040808a 6   7            ascii   fthunk
406   0x0000409c 0x0040809c 5   6            ascii   .text
407   0x000040c0 0x004080c0 5   6            ascii   .data
408   0x000040e4 0x004080e4 4   5            ascii   .bss
409   0x00004108 0x00408108 9   10           ascii   .idata$2(
410   0x0000412c 0x0040812c 8   9            ascii   .idata$5
411   0x00004150 0x00408150 8   9            ascii   .idata$4
