[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
227  0x0000352e 0x0040412e 4   7    .text   utf8    D$ 蚬 blocks=Basic Latin,CJK Unified Ideographs
228  0x00003544 0x00404144 5   7    .text   utf8    PPhăA blocks=Basic Latin,Latin Extended-A
229  0x0000356f 0x0040416f 4   9    .text   utf16le jjjj
230  0x00003593 0x00404193 4   5    .text   ascii   D$\fP
231  0x000035c9 0x004041c9 4   5    .text   ascii   D$\fP
232  0x00003628 0x00404228 7   8    .text   ascii   T$\fRWPQ
233  0x00003649 0x00404249 4   5    .text   ascii   D$\b+
234  0x00003653 0x00404253 4   5    .text   ascii   T$\fR
235  0x000036e8 0x004042e8 5   7    .text   utf8    3ĉD$  blocks=Basic Latin,Latin Extended-A
236  0x000036ef 0x004042ef 5   6    .text   ascii   D$(SU
237  0x000036f5 0x004042f5 4   5    .text   ascii   l$8V
238  0x000036fa 0x004042fa 5   6    .text   ascii   t$8W3
239  0x0000371c 0x0040431c 6   9    .text   utf8    t)VSW說 blocks=Basic Latin,CJK Unified Ideographs
240  0x00003747 0x00404347 4   5    .text   ascii   _^]3
241  0x0000374e 0x0040434e 4   5    .text   ascii   L$ 3
242  0x00003779 0x00404379 4   5    .text   ascii   L$ Q
243  0x000037a5 0x004043a5 5   6    .text   ascii   VWQRj
244  0x000037b5 0x004043b5 5   7    .text   utf8    3\tD$%
245  0x000037c5 0x004043c5 8   10   .text   utf8    D$$3\tL$(
246  0x00003810 0x00404410 4   5    .text   ascii   @A;E
247  0x0000382f 0x0040442f 5   6    .text   ascii   _^][3
248  0x00003848 0x00404448 4   6    .text   utf8    3ĉD$ blocks=Basic Latin,Latin Extended-A
249  0x0000384f 0x0040444f 4   5    .text   ascii   D$$U
250  0x00003854 0x00404454 4   5    .text   ascii   l$$V
251  0x0000386f 0x0040446f 4   5    .text   ascii   t(Vj
252  0x000038c7 0x004044c7 4   6    .text   utf8    3ɉL$ blocks=Basic Latin,Latin Extended-B
253  0x000038db 0x004044db 4   6    .text   utf8    3ɉT$ blocks=Basic Latin,Latin Extended-B
254  0x00003906 0x00404506 9   10   .text   ascii   L$\fQUSVWj
255  0x00003923 0x00404523 4   5    .text   ascii   _^]3
256  0x000039a1 0x004045a1 4   5    .text   ascii   T$$h
257  0x000039d8 0x004045d8 5   6    .text   ascii   T$\fRj
258  0x00003a91 0x00404691 5   6    .text   ascii   L$\nQf
259  0x00003b18 0x00404718 6   9    .text   utf8    D$\bPQ螁 blocks=Basic Latin,CJK Unified Ideographs
260  0x00003b52 0x00404752 4   5    .text   ascii   h&FA
261  0x00003b5d 0x0040475d 5   6    .text   ascii   PQSUV
262  0x00003be2 0x004047e2 4   6    .text   utf8    \t3\tC
