Metadata Signature: 0xfb4 0x10001424a5342 12
.NET Version: v2.0.50727
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: ca0
Stream name: #~ 4
DirectoryAddress: d0c Size: 10e0
Stream name: #Strings 12
DirectoryAddress: 1dec Size: 1384
Stream name: #US 4
DirectoryAddress: 3170 Size: 10
Stream name: #GUID 8
DirectoryAddress: 3180 Size: 2fc
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len  size section type    string
204 0x00002646 0x00404446 15   16   .text   ascii   bInheritHandles
205 0x00002656 0x00404456 15   16   .text   ascii   dwCreationFlags
206 0x00002666 0x00404466 13   14   .text   ascii   lpEnvironment
207 0x00002674 0x00404474 18   19   .text   ascii   lpCurrentDirectory
208 0x00002687 0x00404487 13   14   .text   ascii   lpStartupInfo
209 0x00002695 0x00404495 20   21   .text   ascii   lpProcessInformation
210 0x000026aa 0x004044aa 13   14   .text   ascii   processHandle
211 0x000026b8 0x004044b8 13   14   .text   ascii   bindingString
212 0x000026c6 0x004044c6 9    10   .text   ascii   lpBinding
213 0x000026d0 0x004044d0 15   16   .text   ascii   pMIDL_STUB_DESC
214 0x000026e0 0x004044e0 8    9    .text   ascii   lpString
215 0x000026e9 0x004044e9 7    8    .text   ascii   ObjUuid
216 0x000026f1 0x004044f1 7    8    .text   ascii   ProtSeq
217 0x000026f9 0x004044f9 11   12   .text   ascii   NetworkAddr
218 0x00002705 0x00404505 8    9    .text   ascii   Endpoint
219 0x0000270e 0x0040450e 7    8    .text   ascii   Options
220 0x00002716 0x00404516 15   16   .text   ascii   lpBindingString
221 0x00002726 0x00404526 7    8    .text   ascii   Binding
222 0x0000272e 0x0040452e 6    7    .text   ascii   Option
223 0x00002735 0x00404535 11   12   .text   ascii   OptionValue
224 0x00002741 0x00404541 7    8    .text   ascii   binding
225 0x00002749 0x00404549 8    9    .text   ascii   hContext
226 0x00002752 0x00404552 8    9    .text   ascii   FileName
227 0x0000275b 0x0040455b 11   12   .text   ascii   interfaceID
228 0x00002767 0x00404567 11   12   .text   ascii   MajorVerson
229 0x00002773 0x00404573 4    5    .text   ascii   size
230 0x00002778 0x00404578 6    7    .text   ascii   memory
231 0x0000277f 0x0040457f 12   13   .text   ascii   IntPtrserver
232 0x0000278c 0x0040458c 6    7    .text   ascii   offset
233 0x00002793 0x00404593 19   20   .text   ascii   ParamArrayAttribute
234 0x000027a7 0x004045a7 6    7    .text   ascii   object
235 0x000027ae 0x004045ae 6    7    .text   ascii   method
236 0x000027b5 0x004045b5 8    9    .text   ascii   callback
237 0x000027be 0x004045be 6    7    .text   ascii   result
238 0x000027c5 0x004045c5 21   22   .text   ascii   InterfaceVersionMajor
239 0x000027db 0x004045db 21   22   .text   ascii   InterfaceVersionMinor
240 0x000027f5 0x004045f5 15   16   .text   ascii   pFormatTypesPtr
241 0x00002805 0x00404605 26   27   .text   ascii   RpcInterfaceInformationPtr
242 0x00002820 0x00404620 14   15   .text   ascii   pfnAllocatePtr
243 0x0000282f 0x0040462f 10   11   .text   ascii   pfnFreePtr
244 0x0000283a 0x0040463a 31   32   .text   ascii   System.Runtime.CompilerServices
245 0x0000285a 0x0040465a 31   32   .text   ascii   CompilationRelaxationsAttribute
246 0x0000287a 0x0040467a 29   30   .text   ascii   RuntimeCompatibilityAttribute
247 0x0000289c 0x0040469c 25   26   .text   ascii   System.Security.Principal
248 0x000028b6 0x004046b6 15   16   .text   ascii   WindowsIdentity
249 0x000028c6 0x004046c6 10   11   .text   ascii   GetCurrent
250 0x000028d1 0x004046d1 8    9    .text   ascii   get_Name
251 0x000028da 0x004046da 6    7    .text   ascii   String
252 0x000028e1 0x004046e1 6    7    .text   ascii   Concat
253 0x000028e8 0x004046e8 7    8    .text   ascii   Console
254 0x000028f0 0x004046f0 9    10   .text   ascii   WriteLine
255 0x000028fa 0x004046fa 9    10   .text   ascii   get_Token
256 0x00002904 0x00404704 7    8    .text   ascii   Marshal
257 0x0000290c 0x0040470c 6    7    .text   ascii   SizeOf
258 0x00002913 0x00404713 6    7    .text   ascii   IntPtr
259 0x0000291a 0x0040471a 4    5    .text   ascii   Zero
260 0x0000291f 0x0040471f 17   18   .text   ascii   GetLastWin32Error
261 0x00002931 0x00404731 11   12   .text   ascii   IDisposable
262 0x0000293d 0x0040473d 7    8    .text   ascii   Dispose
263 0x00002945 0x00404745 7    8    .text   ascii   NewGuid
264 0x0000294d 0x0040474d 8    9    .text   ascii   ToString
265 0x00002956 0x00404756 11   12   .text   ascii   op_Equality
266 0x00002962 0x00404762 21   22   .text   ascii   System.ComponentModel
267 0x00002978 0x00404778 14   15   .text   ascii   Win32Exception
268 0x00002987 0x00404787 9    10   .text   ascii   Exception
269 0x00002991 0x00404791 11   12   .text   ascii   get_Message
270 0x0000299d 0x0040479d 16   17   .text   ascii   ManualResetEvent
271 0x000029ae 0x004047ae 24   25   .text   ascii   ParameterizedThreadStart
272 0x000029c7 0x004047c7 6    7    .text   ascii   Thread
273 0x000029ce 0x004047ce 16   17   .text   ascii   set_IsBackground
274 0x000029df 0x004047df 5    6    .text   ascii   Start
275 0x000029e5 0x004047e5 7    8    .text   ascii   WaitOne
276 0x000029ed 0x004047ed 5    6    .text   ascii   Int32
277 0x000029f3 0x004047f3 5    6    .text   ascii   Abort
278 0x000029f9 0x004047f9 9    10   .text   ascii   System.IO
279 0x00002a03 0x00404803 10   11   .text   ascii   FileStream
280 0x00002a0e 0x0040480e 10   11   .text   ascii   FileAccess
281 0x00002a19 0x00404819 11   12   .text   ascii   System.Text
282 0x00002a25 0x00404825 8    9    .text   ascii   Encoding
283 0x00002a2e 0x0040482e 18   19   .text   ascii   get_OutputEncoding
284 0x00002a41 0x00404841 12   13   .text   ascii   StreamReader
285 0x00002a4e 0x0040484e 6    7    .text   ascii   Stream
286 0x00002a55 0x00404855 10   11   .text   ascii   TextReader
287 0x00002a60 0x00404860 8    9    .text   ascii   ReadLine
288 0x00002a69 0x00404869 15   16   .text   ascii   EventWaitHandle
289 0x00002a7d 0x0040487d 18   19   .text   ascii   DllImportAttribute
290 0x00002a90 0x00404890 12   13   .text   ascii   kernel32.dll
291 0x00002a9d 0x0040489d 12   13   .text   ascii   advapi32.dll
292 0x00002aaa 0x004048aa 8    9    .text   ascii   advapi32
293 0x00002ab3 0x004048b3 21   22   .text   ascii   StructLayoutAttribute
294 0x00002ac9 0x004048c9 10   11   .text   ascii   LayoutKind
295 0x00002ad4 0x004048d4 18   19   .text   ascii   set_SafeWaitHandle
296 0x00002ae7 0x004048e7 10   11   .text   ascii   Rpcrt4.dll
297 0x00002af2 0x004048f2 28   29   .text   ascii   RpcBindingFromStringBindingW
298 0x00002b0f 0x0040490f 14   15   .text   ascii   NdrClientCall2
299 0x00002b1e 0x0040491e 24   25   .text   ascii   RpcStringBindingComposeW
300 0x00002b37 0x00404937 8    9    .text   ascii   get_Size
301 0x00002b40 0x00404940 18   19   .text   ascii   StringToHGlobalUni
302 0x00002b53 0x00404953 12   13   .text   ascii   GCHandleType
303 0x00002b60 0x00404960 5    6    .text   ascii   Alloc
304 0x00002b66 0x00404966 18   19   .text   ascii   AddrOfPinnedObject
305 0x00002b79 0x00404979 10   11   .text   ascii   ReadIntPtr
306 0x00002b84 0x00404984 4    5    .text   ascii   Free
307 0x00002b89 0x00404989 16   17   .text   ascii   GetExceptionCode
308 0x00002b9a 0x0040499a 13   14   .text   ascii   op_Inequality
309 0x00002ba8 0x004049a8 11   12   .text   ascii   FreeHGlobal
310 0x00002bb4 0x004049b4 7    8    .text   ascii   ToInt64
311 0x00002bbc 0x004049bc 12   13   .text   ascii   SEHException
312 0x00002bc9 0x004049c9 8    9    .text   ascii   Delegate
313 0x00002bd2 0x004049d2 29   30   .text   ascii   GetFunctionPointerForDelegate
314 0x00002bf0 0x004049f0 12   13   .text   ascii   AllocHGlobal
315 0x00002bfd 0x004049fd 14   15   .text   ascii   PtrToStringUni
316 0x00002c0c 0x00404a0c 5    6    .text   ascii   Array
317 0x00002c12 0x00404a12 30   31   .text   ascii   UnsafeAddrOfPinnedArrayElement
318 0x00002c31 0x00404a31 6    7    .text   ascii   .cctor
319 0x00002c38 0x00404a38 4    5    .text   ascii   Byte
320 0x00002c3d 0x00404a3d 68   69   .text   ascii   <PrivateImplementationDetails>{D8864A55-E319-4774-A693-FC100D82D553}
321 0x00002c82 0x00404a82 26   27   .text   ascii   CompilerGeneratedAttribute
322 0x00002c9d 0x00404a9d 28   29   .text   ascii   __StaticArrayInitTypeSize=56
323 0x00002cba 0x00404aba 19   20   .text   ascii   $$method0x600002c-1
324 0x00002cce 0x00404ace 14   15   .text   ascii   RuntimeHelpers
325 0x00002cdd 0x00404add 18   19   .text   ascii   RuntimeFieldHandle
326 0x00002cf0 0x00404af0 15   16   .text   ascii   InitializeArray
327 0x00002d00 0x00404b00 28   29   .text   ascii   __StaticArrayInitTypeSize=58
328 0x00002d1d 0x00404b1d 19   20   .text   ascii   $$method0x600002c-2
329 0x00002d31 0x00404b31 28   29   .text   ascii   __StaticArrayInitTypeSize=18
330 0x00002d4e 0x00404b4e 19   20   .text   ascii   $$method0x600002c-3
331 0x00002d62 0x00404b62 19   20   .text   ascii   $$method0x600002c-4
332 0x00002d76 0x00404b76 4    5    .text   ascii   Type
333 0x00002d7b 0x00404b7b 17   18   .text   ascii   RuntimeTypeHandle
334 0x00002d8d 0x00404b8d 17   18   .text   ascii   GetTypeFromHandle
