[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
275  0x000096f6 0x0040a2f6 5   7    .text   utf8    Y_^]Ë blocks=Basic Latin,Latin-1 Supplement
276  0x000097b2 0x0040a3b2 4   5    .text   ascii   < w\b
277  0x000097bc 0x0040a3bc 5   6    .text   ascii   t\e<"u
278  0x000097d9 0x0040a3d9 5   6    .text   ascii   < w\aF
279  0x000097f0 0x0040a3f0 4   5    .text   ascii   E\fSV
280  0x000097f5 0x0040a3f5 4   6    .text   utf8    u\b+ƃ blocks=Basic Latin,Latin Extended-B
281  0x00009802 0x0040a402 4   5    .text   ascii   9u\f\e
282  0x00009851 0x0040a451 4   5    .text   ascii   ;u\fu
283  0x00009895 0x0040a495 4   5    .text   ascii   Y_^[
284  0x0000990a 0x0040a50a 4   5    .text   ascii   u\vhp
285  0x00009929 0x0040a529 4   5    .text   ascii   h\f2A
286  0x00009933 0x0040a533 6   7    .text   ascii   YYh$2A
287  0x0000993a 0x0040a53a 4   5    .text   ascii   h 2A
288  0x00009964 0x0040a564 4   5    .text   ascii   Y_^[
289  0x0000998b 0x0040a58b 5   6    .text   ascii   }\bcsm
290  0x00009a59 0x0040a659 4   5    .text   ascii   t#Vh
291  0x00009b4b 0x0040a74b 5   7    .text   utf8    j\fhȄA blocks=Basic Latin,Latin Extended-B
292  0x00009b7b 0x0040a77b 6   7    .text   ascii   9>t\vWV
293  0x00009ba5 0x0040a7a5 4   5    .text   ascii   Y_^[
294  0x00009c6c 0x0040a86c 4   6    .text   utf8    ^]á\ blocks=Basic Latin,Latin-1 Supplement
295  0x00009cab 0x0040a8ab 4   5    .text   ascii   j\fh\b
296  0x00009cef 0x0040a8ef 4   5    .text   ascii   Y_^[
297  0x00009d4a 0x0040a94a 4   5    .text   ascii   Y_^[
298  0x00009d8c 0x0040a98c 5   7    .text   utf8    3؋v\b3 blocks=Basic Latin,Arabic
299  0x00009dba 0x0040a9ba 4   5    .text   ascii   j _;
300  0x00009f6a 0x0040ab6a 4   5    .text   ascii   u\bhd
301  0x00009f76 0x0040ab76 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
302  0x00009fba 0x0040abba 5   6    .text   ascii   ;A\bu\r
303  0x0000a0ea 0x0040acea 4   5    .text   ascii   9>t\n
304  0x0000a0f7 0x0040acf7 4   5    .text   ascii   >_^]
305  0x0000a13c 0x0040ad3c 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
306  0x0000a19f 0x0040ad9f 4   5    .text   ascii   j\bh(
307  0x0000a304 0x0040af04 4   6    .text   utf8    ]ËM\f blocks=Basic Latin,Latin-1 Supplement
308  0x0000a318 0x0040af18 7   8    .text   ascii   t\rf;1u\b
309  0x0000a568 0x0040b168 5   6    .text   ascii   PPPPP
310  0x0000a5b4 0x0040b1b4 5   7    .text   utf8    ;\fŀ>A blocks=Basic Latin,Latin Extended-A
311  0x0000a5cb 0x0040b1cb 5   7    .text   utf8    j\rX]Í blocks=Basic Latin,Latin-1 Supplement
312  0x0000a636 0x0040b236 4   5    .text   ascii   j\bhH
313  0x0000a674 0x0040b274 4   5    .text   ascii   Y_^[
314  0x0000a6df 0x0040b2df 4   5    .text   ascii   Y_^[
315  0x0000a734 0x0040b334 4   5    .text   ascii   Y_^[
316  0x0000a748 0x0040b348 4   5    .text   ascii   j\bhh
317  0x0000a78e 0x0040b38e 4   5    .text   ascii   Y_^[
318  0x0000a7c8 0x0040b3c8 4   5    .text   ascii   E\bYj
319  0x0000a941 0x0040b541 4   5    .text   ascii   FLY;
320  0x0000a99a 0x0040b59a 4   6    .text   utf8    ux3ۋ blocks=Basic Latin,Arabic
321  0x0000aa5e 0x0040b65e 4   5    .text   ascii   tehd
322  0x0000aaf1 0x0040b6f1 4   6    .text   utf8    ux3ۋ blocks=Basic Latin,Arabic
323  0x0000ac34 0x0040b834 5   6    .text   ascii   ;E\fr4
324  0x0000ac83 0x0040b883 6   7    .text   ascii   E\f;E\bv
325  0x0000acc5 0x0040b8c5 8   9    .text   ascii   u\f9~\fu\rj
326  0x0000ad10 0x0040b910 8   9    .text   ascii   }\f;G\fv\fP
327  0x0000ad43 0x0040b943 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
328  0x0000ad5f 0x0040b95f 4   6    .text   utf8    3ۉ^\b blocks=Basic Latin,Arabic
329  0x0000ad79 0x0040b979 6   7    .text   ascii   u\f9^\fu
330  0x0000ad98 0x0040b998 5   6    .text   ascii   SSSSj
331  0x0000adc7 0x0040b9c7 8   9    .text   ascii   }\f;G\fv\fP
332  0x0000add8 0x0040b9d8 4   5    .text   ascii   u7SS
333  0x0000ae11 0x0040ba11 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
334  0x0000ae58 0x0040ba58 4   5    .text   ascii   u\bS3
335  0x0000ae65 0x0040ba65 6   10   .text   utf8    ˉ}؉M܉] blocks=Spacing Modifier Letters,Basic Latin,Arabic,Syriac
336  0x0000ae7a 0x0040ba7a 4   5    .text   ascii   *?QP
337  0x0000ae91 0x0040ba91 4   5    .text   ascii   PSSQ
338  0x0000aecf 0x0040bacf 6   10   .text   utf8    }؋M܋I] blocks=Basic Latin,Arabic,Syriac
339  0x0000b017 0x0040bc17 5   6    .text   ascii   SSSSS
340  0x0000b047 0x0040bc47 4   5    .text   ascii   j\fX_
341  0x0000b066 0x0040bc66 4   5    .text   ascii   u\fSV
342  0x0000b07f 0x0040bc7f 4   5    .text   ascii   u\bSP
343  0x0000b0c8 0x0040bcc8 5   6    .text   ascii   WWWWW
344  0x0000b128 0x0040bd28 4   5    .text   ascii   <:u 
345  0x0000b14e 0x0040bd4e 7   8    .text   ascii   </t\n<\t
346  0x0000b1b5 0x0040bdb5 4   5    .text   ascii   SSSQ
347  0x0000b2c7 0x0040bec7 4   5    .text   ascii   t4h}
348  0x0000b344 0x0040bf44 5   6    .text   ascii   9P\bt\f
349  0x0000b395 0x0040bf95 5   6    .text   ascii   F\bVWP
350  0x0000b3b4 0x0040bfb4 7   9    .text   utf8    3\t~\f_^]
351  0x0000b3f3 0x0040bff3 7   9    .text   utf8    3\t~\f_^]
352  0x0000b424 0x0040c024 4   5    .text   ascii   ~\b9~
353  0x0000b4a0 0x0040c0a0 4   6    .text   utf8    [_^Ë blocks=Basic Latin,Latin-1 Supplement
354  0x0000b4d4 0x0040c0d4 6   7    .text   ascii   u\f9^\fu
355  0x0000b4f7 0x0040c0f7 6   7    .text   ascii   zSSSSj
356  0x0000b527 0x0040c127 8   9    .text   ascii   }\f;G\fv\fP
