Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
144  0x000029d8 0x004035d8 4   6    UPX1    utf8    5h_Š blocks=Basic Latin,Latin Extended-A
145  0x00002a61 0x00403661 4   5    UPX1    ascii   d\n^>
146  0x00002abd 0x004036bd 4   5    UPX1    ascii   dyCV
147  0x00002ace 0x004036ce 6   8    UPX1    utf8    ;!ѩt#0 blocks=Basic Latin,Cyrillic
148  0x00002ada 0x004036da 4   5    UPX1    ascii   (p_>
149  0x00002b02 0x00403702 7   9    UPX1    utf8    5L/u̟ l blocks=Basic Latin,Combining Diacritical Marks
150  0x00002b0d 0x0040370d 4   5    UPX1    ascii   @/\vQ
151  0x00002b3c 0x0040373c 4   5    UPX1    ascii   Ul>\b
152  0x00002b4a 0x0040374a 4   6    UPX1    utf8    j߶4x blocks=Basic Latin,NKo
153  0x00002b8c 0x0040378c 5   6    UPX1    ascii   o>_6$
154  0x00002bfb 0x004037fb 6   8    UPX1    utf8    06ǿ=eh blocks=Basic Latin,Latin Extended-B
155  0x00002c78 0x00403878 4   5    UPX1    ascii   >^0G
156  0x00002d25 0x00403925 4   8    UPX1    utf8    (갊^F blocks=Basic Latin,Hangul Syllables
157  0x00002d8a 0x0040398a 4   6    UPX1    utf8    ߯:0u blocks=NKo,Basic Latin
158  0x00002ddf 0x004039df 5   7    UPX1    utf8    ~F˧Hm blocks=Basic Latin,Spacing Modifier Letters
159  0x00002def 0x004039ef 4   5    UPX1    ascii   Sz+{
160  0x00002e1c 0x00403a1c 6   7    UPX1    ascii   =08\Ia
161  0x00002e2f 0x00403a2f 5   6    UPX1    ascii   2~_ex
162  0x00002e99 0x00403a99 5   6    UPX1    ascii   *PedP
163  0x00002ec2 0x00403ac2 4   5    UPX1    ascii   x.Y1
164  0x00002eed 0x00403aed 4   5    UPX1    ascii   ]Q1>
165  0x00002ff5 0x00403bf5 5   6    UPX1    ascii   H_ &U
166  0x00003016 0x00403c16 4   6    UPX1    utf8    ?.֕9 blocks=Basic Latin,Hebrew
167  0x0000303a 0x00403c3a 4   7    UPX1    utf8     CÜ̆ blocks=Basic Latin,Latin-1 Supplement,Combining Diacritical Marks
168  0x0000309c 0x00403c9c 4   5    UPX1    ascii   %h]M
169  0x00003114 0x00403d14 4   5    UPX1    ascii   Fa/\v
170  0x00003129 0x00403d29 4   6    UPX1    utf8    4}ٰ? blocks=Basic Latin,Arabic
171  0x00003156 0x00403d56 4   5    UPX1    ascii   +cj?
172  0x000031ae 0x00403dae 4   5    UPX1    ascii   `\b_:
173  0x000031e0 0x00403de0 5   8    UPX1    utf8    &3⋜MT blocks=Basic Latin,Mathematical Operators
174  0x000032c3 0x00403ec3 4   6    UPX1    utf8    O^ހ/ blocks=Basic Latin,Thaana
175  0x0000337d 0x00403f7d 4   7    UPX1    utf8    Ntᛇk blocks=Basic Latin,Runic
176  0x0000338a 0x00403f8a 5   6    UPX1    ascii   a>\bUY
177  0x00003393 0x00403f93 5   6    UPX1    ascii   O'i;9
178  0x0000339c 0x00403f9c 6   7    UPX1    ascii   \f\v]x~$
179  0x000033c7 0x00403fc7 7   9    UPX1    utf8    ~P=P[Uؒ blocks=Basic Latin,Arabic
180  0x000033e1 0x00403fe1 4   5    UPX1    ascii   /\fA9
181  0x000033ee 0x00403fee 4   6    UPX1    utf8    Y=ĮT blocks=Basic Latin,Latin Extended-A
182  0x000033fb 0x00403ffb 4   6    UPX1    utf8    dџ 6 blocks=Basic Latin,Cyrillic
183  0x00003409 0x00404009 4   5    UPX1    ascii   ^7cc
184  0x0000340f 0x0040400f 5   8    UPX1    utf8    Qߞٵ0C blocks=Basic Latin,NKo,Arabic
185  0x00003463 0x00404063 6   7    UPX1    ascii   |-Ud>d
186  0x00003494 0x00404094 5   6    UPX1    ascii   >\auD.
187  0x000034bb 0x004040bb 5   7    UPX1    utf8    gФ_}m blocks=Basic Latin,Cyrillic
188  0x0000351f 0x0040411f 4   6    UPX1    utf8    7\r ԥ blocks=Basic Latin,Cyrillic Supplement
189  0x00003536 0x00404136 4   5    UPX1    ascii   \b>BG
190  0x000035fe 0x004041fe 4   5    UPX1    ascii   P*q_
191  0x000036b6 0x004042b6 4   6    UPX1    utf8    ע}dt blocks=Hebrew,Basic Latin
192  0x000036fb 0x004042fb 5   6    UPX1    ascii   FK>t>
193  0x00003738 0x00404338 4   5    UPX1    ascii   >C`_
194  0x0000374e 0x0040434e 4   5    UPX1    ascii   =L@@
195  0x00003758 0x00404358 6   7    UPX1    ascii   M(6\rGt
196  0x00003760 0x00404360 4   5    UPX1    ascii   `D>F
197  0x0000377a 0x0040437a 6   7    UPX1    ascii   >Bp?4\b
198  0x00003782 0x00404382 7   8    UPX1    ascii   @~@>\bQn
199  0x000037c3 0x004043c3 4   5    UPX1    ascii   U|~]
200  0x00003808 0x00404408 4   5    UPX1    ascii   \n`&i
201  0x00003812 0x00404412 4   5    UPX1    ascii   _\ru>
202  0x0000383f 0x0040443f 4   5    UPX1    ascii   _ l\e
203  0x0000387f 0x0040447f 4   5    UPX1    ascii   }6P"
204  0x000038be 0x004044be 4   5    UPX1    ascii   eP4+
205  0x000038d5 0x004044d5 6   7    UPX1    ascii   (w4R^f
206  0x000038fb 0x004044fb 4   5    UPX1    ascii   T~SK
207  0x0000392c 0x0040452c 4   5    UPX1    ascii   1T~]
208  0x0000395e 0x0040455e 8   9    UPX1    ascii   p.Y1O]*M
209  0x00003978 0x00404578 4   7    UPX1    utf8    \$\a䁽 blocks=Basic Latin,CJK Unified Ideographs Extension A
210  0x0000399c 0x0040459c 6   10   UPX1    utf8    bո߹!͗* blocks=Basic Latin,Armenian,NKo,Combining Diacritical Marks
211  0x000039b3 0x004045b3 4   5    UPX1    ascii   \b!j!
212  0x000039d2 0x004045d2 4   5    UPX1    ascii   !_xv
213  0x000039d8 0x004045d8 5   7    UPX1    utf8     ,1?Ʉ blocks=Basic Latin,Latin Extended-B
214  0x00003a10 0x00404610 5   6    UPX1    ascii   $b46B
215  0x00003a28 0x00404628 4   5    UPX1    ascii   <?\t/
