Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
335  0x000094bb 0x0040a0bb 6   7    .text   ascii   E\bf\t\bh
336  0x00009537 0x0040a137 4   5    .text   ascii   _^[]
337  0x00009659 0x0040a259 4   5    .text   ascii   :A\au
338  0x0000982d 0x0040a42d 4   5    .text   ascii   QQSV
339  0x00009a5c 0x0040a65c 5   6    .text   ascii   YY_^[
340  0x00009a6a 0x0040a66a 4   5    .text   ascii   \fSVW
341  0x00009bb1 0x0040a7b1 4   6    .text   utf8    Y3ɉE blocks=Basic Latin,Latin Extended-B
342  0x00009d4b 0x0040a94b 5   6    .text   ascii   YY_^[
343  0x0000a4d2 0x0040b0d2 4   5    .text   ascii   ;F u
344  0x0000a4ed 0x0040b0ed 4   5    .text   ascii   ;F$u
345  0x0000a7aa 0x0040b3aa 5   7    .text   utf8    73ƋO\b blocks=Basic Latin,Latin Extended-B
346  0x0000a7e4 0x0040b3e4 4   5    .text   ascii   O\b_^
347  0x0000a97a 0x0040b57a 4   5    .text   ascii   E\bSV
348  0x0000aa11 0x0040b611 4   5    .text   ascii   PPPS
349  0x0000aa5d 0x0040b65d 4   5    .text   ascii   A49E
350  0x0000aa99 0x0040b699 5   6    .text   ascii   t\a=PE
351  0x0000aadd 0x0040b6dd 4   6    .text   utf8    u\tG\b
352  0x0000ab9c 0x0040b79c 5   6    .text   ascii   9~@s\r
353  0x0000abc2 0x0040b7c2 4   5    .text   ascii   ~@WS
354  0x0000ac02 0x0040b802 6   7    .text   ascii   :;F(r\t
355  0x0000ac31 0x0040b831 4   5    .text   ascii   QWSP
356  0x0000ac70 0x0040b870 4   5    .text   ascii   9A t
357  0x0000ac76 0x0040b876 7   8    .text   ascii   E\b;A(r\t
358  0x0000acb9 0x0040b8b9 5   6    .text   ascii   8^,u\a
359  0x0000ad3d 0x0040b93d 7   8    .text   ascii   Ft9E\bu\a
360  0x0000ad4a 0x0040b94a 4   5    .text   ascii   FPPj
361  0x0000ad91 0x0040b991 4   5    .text   ascii   _^[]
362  0x0000adfc 0x0040b9fc 4   5    .text   ascii   FPPS
363  0x0000ae13 0x0040ba13 4   5    .text   ascii   PPPW
364  0x0000ae89 0x0040ba89 4   6    .text   utf8    \vȉVT blocks=Basic Latin,Latin Extended-B
365  0x0000af3b 0x0040bb3b 4   6    .text   utf8    \vȉVT blocks=Basic Latin,Latin Extended-B
366  0x0000af41 0x0040bb41 5   7    .text   utf8    Nh3\vM
367  0x0000af7a 0x0040bb7a 4   5    .text   ascii   ]\bVW
368  0x0000b034 0x0040bc34 6   8    .text   utf8    Fp3ɉN| blocks=Basic Latin,Latin Extended-B
369  0x0000b03e 0x0040bc3e 6   7    .text   ascii   t\a;Ftt
