[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
215  0x000033da 0x00403fda 4   6    CODE    utf8    03ۋ@ blocks=Basic Latin,Arabic
216  0x00003411 0x00404011 4   5    CODE    ascii   ZYYd
217  0x0000342d 0x0040402d 6   7    CODE    ascii   _^[YY]
218  0x000034b9 0x004040b9 5   7    CODE    utf8    ^_[Í@ blocks=Basic Latin,Latin-1 Supplement
219  0x00003500 0x00404100 4   7    CODE    utf8    03\nH
220  0x0000353a 0x0040413a 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
221  0x000035cf 0x004041cf 4   6    CODE    utf8    ZÀ=0 blocks=Basic Latin,Latin-1 Supplement
222  0x000035fc 0x004041fc 5   6    CODE    ascii   SVWUQ
223  0x00003650 0x00404250 4   6    CODE    utf8    3\tC\f
224  0x000036d6 0x004042d6 6   8    CODE    utf8    Z]_^[ã blocks=Basic Latin,Latin-1 Supplement
225  0x00003715 0x00404315 4   6    CODE    utf8    XÐSV blocks=Basic Latin,Latin-1 Supplement
226  0x000037e2 0x004043e2 4   6    CODE    utf8    ÐSVW blocks=Latin-1 Supplement,Basic Latin
227  0x0000380d 0x0040440d 5   7    CODE    utf8    ;_^[Ë blocks=Basic Latin,Latin-1 Supplement
228  0x0000381e 0x0040441e 5   6    CODE    ascii   E\bPQj
229  0x0000383a 0x0040443a 5   6    CODE    ascii   E\bPQj
230  0x00003850 0x00404450 4   5    CODE    ascii   SVWU
231  0x000038d7 0x004044d7 4   5    CODE    ascii   ]_^[
232  0x000038e9 0x004044e9 4   7    CODE    utf8    ZÐ1Ʌ blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
233  0x000038f0 0x004044f0 6   7    CODE    ascii   t!R:\nt
234  0x000038ff 0x004044ff 4   5    CODE    ascii   t\v:J
235  0x00003920 0x00404520 11  12   CODE    ascii   t-Rf;\nt f;J
236  0x00003958 0x00404558 4   6    CODE    utf8    1Ɋ\nB blocks=Basic Latin,Latin Extended-B
237  0x00003962 0x00404562 4   6    CODE    utf8    ÐWPQ blocks=Latin-1 Supplement,Basic Latin
238  0x00003a0e 0x0040460e 5   6    CODE    ascii   t\;\bt
239  0x00003a61 0x00404661 4   6    CODE    utf8    _^[É blocks=Basic Latin,Latin-1 Supplement
240  0x00003a74 0x00404674 5   6    CODE    ascii   SVWRP
241  0x00003a83 0x00404683 6   7    CODE    ascii   t\f9\bu\b
242  0x00003af3 0x004046f3 5   6    CODE    ascii   Z_^[X
243  0x00003b2f 0x0040472f 4   5    CODE    ascii   uXJt
244  0x00003b5b 0x0040475b 4   5    CODE    ascii   uAJt
245  0x00003b62 0x00404762 4   5    CODE    ascii   u:Jt
246  0x00003b9e 0x0040479e 4   7    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
247  0x00003bc9 0x004047c9 4   5    CODE    ascii   It2S
248  0x00003c1e 0x0040481e 6   7    CODE    ascii   t&J|\e9
249  0x00003c6b 0x0040486b 4   5    CODE    ascii   N|*9
250  0x00003c98 0x00404898 4   6    CODE    utf8    _^[Å blocks=Basic Latin,Latin-1 Supplement
251  0x00003c9e 0x0040489e 6   7    CODE    ascii   tVSVWU
252  0x00003cf2 0x004048f2 5   7    CODE    utf8    ]_^[Ð blocks=Basic Latin,Latin-1 Supplement
253  0x00003cfe 0x004048fe 5   6    CODE    ascii   t1SVW
254  0x00003d24 0x00404924 4   5    CODE    ascii   _^t\f
255  0x00003d39 0x00404939 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
256  0x00003d9d 0x0040499d 6   9    CODE    utf8    ;_^[Ë0 blocks=Basic Latin,Latin-1 Supplement
257  0x00003e0a 0x00404a0a 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
258  0x00003e34 0x00404a34 4   5    CODE    ascii   SVWU
