[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
185   0x0000245b 0x0040305b 4   5    sect_0  ascii   u<< 
186   0x00002460 0x00403060 4   5    sect_0  ascii   qnr|
187   0x00002469 0x00403069 8   9    sect_0  ascii   Kc3raKS*
188   0x0000249f 0x0040309f 4   5    sect_0  ascii    {<{
189   0x000025ef 0x004031ef 6   8    sect_0  utf8    #9\eI\rҪ blocks=Basic Latin,Cyrillic
190   0x00002637 0x00403237 4   5    sect_0  ascii   xH}k
191   0x0000263e 0x0040323e 8   9    sect_0  ascii   w1.\vlEg"
192   0x00002688 0x00403288 4   6    sect_0  utf8    Ʒv[I blocks=Latin Extended-B,Basic Latin
193   0x00002691 0x00403291 6   7    sect_0  ascii   1Wy&o~
194   0x000026a4 0x004032a4 8   11   sect_0  utf8    -\eMw0B1洝 blocks=Basic Latin,CJK Unified Ideographs
195   0x000026d2 0x004032d2 4   5    sect_0  ascii   ^#zJ
196   0x00002763 0x00403363 5   8    sect_0  utf8    DͰ!}Ի blocks=Basic Latin,Greek and Coptic,Armenian
197   0x0000278f 0x0040338f 6   8    sect_0  utf8     (1$~"
198   0x000027cc 0x004033cc 5   6    sect_0  ascii   rhN)"
199   0x000027ef 0x004033ef 4   5    sect_0  ascii   lMV@
200   0x00002818 0x00403418 4   5    sect_0  ascii   0_4e
201   0x0000281d 0x0040341d 4   5    sect_0  ascii   wmM8
202   0x0000282c 0x0040342c 4   6    sect_0  utf8    )c\tվ blocks=Basic Latin,Armenian
203   0x0000287a 0x0040347a 4   5    sect_0  ascii   d4+h
204   0x0000289b 0x0040349b 5   8    sect_0  utf8    ʁ;T0Ƥ blocks=IPA Extensions,Basic Latin,Latin Extended-B
205   0x000028b5 0x004034b5 4   5    sect_0  ascii   J@um
206   0x000028cf 0x004034cf 4   5    sect_0  ascii   ~$H-
207   0x000028f6 0x004034f6 4   5    sect_0  ascii   [qMp
208   0x00002905 0x00403505 7   10   sect_0  utf8    χwBI͈{i blocks=Greek and Coptic,Basic Latin,Combining Diacritical Marks
209   0x0000292c 0x0040352c 5   6    sect_0  ascii   b0>98
210   0x0000294f 0x0040354f 4   5    sect_0  ascii   E99)
211   0x00002958 0x00403558 5   6    sect_0  ascii   ^kld#
212   0x0000295e 0x0040355e 5   6    sect_0  ascii   c.mqs
213   0x00002968 0x00403568 4   7    sect_0  utf8    \a8dB
214   0x00002a01 0x00403601 4   5    sect_0  ascii   >YGM
215   0x00002a21 0x00403621 4   5    sect_0  ascii   E>Ss
216   0x00002a28 0x00403628 4   5    sect_0  ascii   (k}4
217   0x00002a52 0x00403652 4   5    sect_0  ascii   \tNY^
218   0x00002a79 0x00403679 4   5    sect_0  ascii   \t@g5
219   0x00002a9c 0x0040369c 4   5    sect_0  ascii   w\v\b-
220   0x00002aa8 0x004036a8 4   5    sect_0  ascii   .H~.
221   0x00002aba 0x004036ba 6   8    sect_0  utf8    QϲNu&a blocks=Basic Latin,Greek and Coptic
222   0x00002b19 0x00403719 5   7    sect_0  utf8    Jlt߷V blocks=Basic Latin,NKo
223   0x00002b26 0x00403726 4   5    sect_0  ascii   oB/y
224   0x00002b39 0x00403739 4   5    sect_0  ascii   2ZEz
225   0x00002b4e 0x0040374e 6   8    sect_0  utf8    .T?~Ϛ\f blocks=Basic Latin,Greek and Coptic
