[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
235   0x00003d1b 0x0040491b 5   6    .text   ascii   Nl#N4
236   0x00003d9e 0x0040499e 5   6    .text   ascii   G\fSRP
237   0x00003ddb 0x004049db 4   5    .text   ascii   _^]3
238   0x00003de0 0x004049e0 5   7    .text   utf8    [YÃ~h blocks=Basic Latin,Latin-1 Supplement
239   0x00003e4e 0x00404a4e 5   7    .text   utf8    3\vVlj
240   0x00003e81 0x00404a81 5   6    .text   ascii   W\fSQR
241   0x00003f62 0x00404b62 5   6    .text   ascii   _^][H
242   0x00003f72 0x00404b72 4   5    .text   ascii   _^][
243   0x00003f92 0x00404b92 12  13   .text   ascii   tr9_ tm9_$th
244   0x00004074 0x00404c74 6   7    .text   ascii   9B\bt\vj
245   0x000040fe 0x00404cfe 4   5    .text   ascii   |$$8
246   0x0000410a 0x00404d0a 4   5    .text   ascii   |$\f;
247   0x0000411a 0x00404d1a 5   6    .text   ascii   9O u\n
248   0x00004127 0x00404d27 7   8    .text   ascii   O(9O$u\a
249   0x00004161 0x00404d61 4   5    .text   ascii   D$ H
250   0x000041a9 0x00404da9 4   5    .text   ascii   G Vh
251   0x00004257 0x00404e57 4   5    .text   ascii   W PQ
252   0x00004275 0x00404e75 4   5    .text   ascii   V\ftN
253   0x000042a0 0x00404ea0 4   5    .text   ascii   T$(W
254   0x000042c2 0x00404ec2 4   5    .text   ascii   ^[_]
255   0x00004309 0x00404f09 4   5    .text   ascii   T$\bP
256   0x0000430e 0x00404f0e 5   6    .text   ascii   D$\bQj
257   0x00004318 0x00404f18 4   5    .text   ascii   j\bRP
258   0x0000433a 0x00404f3a 5   6    .text   ascii   ~\wuJ
259   0x00004349 0x00404f49 4   5    .text   ascii   FHQh
260   0x00004379 0x00404f79 6   7    .text   ascii   D$\fRPV
261   0x0000438e 0x00404f8e 4   6    .text   utf8    ^Ã~< blocks=Basic Latin,Latin-1 Supplement
262   0x000043ab 0x00404fab 4   5    .text   ascii   NDPh
263   0x00004471 0x00405071 4   6    .text   utf8    FX^Ë blocks=Basic Latin,Latin-1 Supplement
264   0x0000456c 0x0040516c 4   6    .text   utf8    _ËFP blocks=Basic Latin,Latin-1 Supplement
265   0x00004584 0x00405184 7   8    .text   ascii   F\<wu\bV
266   0x00004591 0x00405191 6   7    .text   ascii   \n<ru\vV
267   0x0000460f 0x0040520f 4   6    .text   utf8    ̋L$\b blocks=Combining Diacritical Marks,Basic Latin
268   0x0000461c 0x0040521c 5   6    .text   ascii   y\ru2
269   0x00004627 0x00405227 7   8    .text   ascii   t*9Qlu%
270   0x0000462f 0x0040522f 6   8    .text   utf8    Qh3҃y8 blocks=Basic Latin,Cyrillic
271   0x0000469a 0x0040529a 4   5    .text   ascii   FHQh
272   0x000046d4 0x004052d4 6   7    .text   ascii   )Nd)Vh
273   0x000046f2 0x004052f2 5   6    .text   ascii   FLWUP
274   0x00004707 0x00405307 4   6    .text   utf8    _]^ø blocks=Basic Latin,Latin-1 Supplement
275   0x0000473b 0x0040533b 4   5    .text   ascii   T$\bh
276   0x00004795 0x00405395 4   5    .text   ascii   D$\bj
277   0x0000479b 0x0040539b 5   6    .text   ascii   L$\fQR
278   0x000047b3 0x004053b3 4   6    .text   utf8    D$\bÃ blocks=Basic Latin,Latin-1 Supplement
279   0x000047bf 0x004053bf 4   6    .text   utf8    ̋T$\b blocks=Combining Diacritical Marks,Basic Latin
280   0x000047db 0x004053db 5   6    .text   ascii   D$\fRP
