[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
164  0x0000735e 0x00407f5e 5   6    .text   ascii   Gt\b@=
165  0x000073b9 0x00407fb9 4   5    .text   ascii   =x A
166  0x00007503 0x00408103 4   5    .text   ascii   vdj\b
167  0x0000751e 0x0040811e 4   6    .text   utf8    _^]á blocks=Basic Latin,Latin-1 Supplement
168  0x00007537 0x00408137 4   5    .text   ascii    w\tf
169  0x00007545 0x00408145 5   7    .text   utf8    "u\t3Ʌ blocks=Basic Latin,Latin Extended-B
170  0x000075dd 0x004081dd 5   6    .text   ascii   tAVWP
171  0x0000761b 0x0040821b 4   5    .text   ascii   Y[_^
172  0x00007639 0x00408239 5   6    .text   ascii   PPPPP
173  0x0000765b 0x0040825b 5   6    .text   ascii   9U\bt\t
174  0x00007670 0x00408270 4   6    .text   utf8    }\f3Ʌ blocks=Basic Latin,Latin Extended-B
175  0x000076e6 0x004082e6 5   6    .text   ascii   9U\bt\t
176  0x00007709 0x00408309 4   5    .text   ascii   8"u8
177  0x00007738 0x00408338 6   7    .text   ascii   t\tj\Yf
178  0x0000774f 0x0040834f 4   5    .text   ascii   t$9U
179  0x0000779f 0x0040839f 6   7    .text   ascii   QQSVWh
180  0x00007865 0x00408465 4   5    .text   ascii   f9\bu
181  0x0000786d 0x0040846d 4   5    .text   ascii   f9\bu
182  0x00007872 0x00408472 4   6    .text   utf8    S+ƍX blocks=Basic Latin,Latin Extended-B
183  0x000078b3 0x004084b3 6   7    .text   ascii   j@j ^V
184  0x00007919 0x00408519 5   6    .text   ascii   SWf9M
185  0x00007955 0x00408555 4   5    .text   ascii   j@j 
186  0x00007992 0x00408592 4   5    .text   ascii   @ \n\n
187  0x000079dc 0x004085dc 4   5    .text   ascii   \bu\vP
188  0x00007c54 0x00408854 4   5    .text   ascii   u\bj\r
189  0x00007dda 0x004089da 6   7    .text   ascii   Y;=`-A
190  0x00007e13 0x00408a13 4   5    .text   ascii   u\bj\r
191  0x00007e1c 0x00408a1c 6   8    .text   utf8    YËu\bj\f blocks=Basic Latin,Latin-1 Supplement
192  0x0000809f 0x00408c9f 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
193  0x000080eb 0x00408ceb 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
194  0x00008109 0x00408d09 8   9    .text   ascii   u,9E\ft'9
195  0x00008139 0x00408d39 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
196  0x00008246 0x00408e46 5   7    .text   utf8    @_^Ã$ blocks=Basic Latin,Latin-1 Supplement
197  0x000082c4 0x00408ec4 6   7    .text   ascii   j\fh\b\vA
198  0x000083d7 0x00408fd7 4   5    .text   ascii   u\bW3
199  0x000086df 0x004092df 6   7    .text   ascii   t)j\rXP
200  0x00008852 0x00409452 4   5    .text   ascii   j\r[f
201  0x00008927 0x00409527 4   5    .text   ascii   j\r[f
202  0x0000894e 0x0040954e 5   6    .text   ascii   VVhU\r
203  0x00008ab8 0x004096b8 4   5    .text   ascii   h(\vA
204  0x00008b7e 0x0040977e 4   6    .text   utf8    Ë]\bS blocks=Latin-1 Supplement,Basic Latin
205  0x00008bb2 0x004097b2 4   5    .text   ascii   hH\vA
206  0x00008c7d 0x0040987d 4   6    .text   utf8    Ë]\bS blocks=Latin-1 Supplement,Basic Latin
207  0x00008dfb 0x004099fb 5   6    .text   ascii   \rt\fHt
208  0x00009010 0x00409c10 6   7    .text   ascii   j\fhh\vA
209  0x00009038 0x00409c38 4   5    .text   ascii   u\bj 
210  0x0000905c 0x00409c5c 5   6    .text   ascii   ;5 *A
211  0x0000908b 0x00409c8b 4   5    .text   ascii   5 *A
212  0x000091dd 0x00409ddd 4   5    .text   ascii   s\f9U
213  0x00009224 0x00409e24 5   8    .text   utf8    uͱ8*A blocks=Basic Latin,Greek and Coptic
214  0x00009241 0x00409e41 5   8    .text   utf8    Eʀ$*A blocks=Basic Latin,IPA Extensions
215  0x000092ce 0x00409ece 5   6    .text   ascii   \b\b@Iu
216  0x00009344 0x00409f44 4   5    .text   ascii   E\b;C
217  0x00009402 0x0040a002 4   6    .text   utf8    \fEܝA blocks=Basic Latin,Syriac
218  0x00009441 0x0040a041 4   5    .text   ascii   5 *A
219  0x0000955b 0x0040a15b 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
220  0x000096d3 0x0040a2d3 4   5    .text   ascii   = +A
221  0x0000973e 0x0040a33e 6   8    .text   utf8    Y_^[]Ë blocks=Basic Latin,Latin-1 Supplement
222  0x000097aa 0x0040a3aa 4   5    .text   ascii   Fpt"
223  0x000097be 0x0040a3be 4   5    .text   ascii   u\bj 
224  0x000097dd 0x0040a3dd 4   5    .text   ascii   5`-A
225  0x00009850 0x0040a450 4   5    .text   ascii   t\b@;
226  0x0000986a 0x0040a46a 5   6    .text   ascii   9]$u\v
227  0x00009882 0x0040a482 5   6    .text   ascii   9](SS
228  0x000098bc 0x0040a4bc 4   5    .text   ascii   D?\b=
229  0x00009979 0x0040a579 4   5    .text   ascii   D?\b;
230  0x000099c8 0x0040a5c8 8   9    .text   ascii   t"SS9] u
231  0x00009ac7 0x0040a6c7 4   6    .text   utf8    ؋D$\f blocks=Arabic,Basic Latin
232  0x00009b04 0x0040a704 9   10   .text   ascii   w\br\a;D$\fv
233  0x00009b30 0x0040a730 6   8    .text   utf8    3\nD$\bS
234  0x00009b65 0x0040a765 4   6    .text   utf8    V\v؋\n blocks=Basic Latin,Arabic
235  0x00009ba4 0x0040a7a4 4   5    .text   ascii   ^_[3
236  0x00009bdc 0x0040a7dc 5   7    .text   utf8    ^_[ÍB blocks=Basic Latin,Latin-1 Supplement
237  0x00009be3 0x0040a7e3 5   7    .text   utf8    ^_[ÍB blocks=Basic Latin,Latin-1 Supplement
238  0x00009bea 0x0040a7ea 6   8    .text   utf8    ^_[Ã%X blocks=Basic Latin,Latin-1 Supplement
239  0x00009ce7 0x0040a8e7 5   6    .text   ascii   v\vWSV
240  0x00009d64 0x0040a964 7   8    .text   ascii   M\fQSWVj
241  0x00009dfe 0x0040a9fe 4   5    .text   ascii   D$\f3
242  0x00009e06 0x0040aa06 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
243  0x00009e4f 0x0040aa4f 7   8    .text   ascii   ;T$\fw\br
244  0x00009e57 0x0040aa57 10  11   .text   ascii   ;D$\bv\tN+D$
245  0x00009e68 0x0040aa68 8   9    .text   ascii   +D$\b\eT$\f
246  0x00009e78 0x0040aa78 4   9    .text   utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
247  0x00009e8f 0x0040aa8f 4   6    .text   utf8    ̋T$\f blocks=Combining Diacritical Marks,Basic Latin
248  0x00009e9a 0x0040aa9a 7   9    .text   utf8    ti3\nD$\b
249  0x00009ec9 0x0040aac9 5   7    .text   utf8    t\f+ш\a blocks=Basic Latin,Cyrillic
250  0x00009f00 0x0040ab00 7   9    .text   utf8    D$\b_ËD$ blocks=Basic Latin,Latin-1 Supplement
251  0x00009f1f 0x0040ab1f 6   7    .text   ascii   URPQQh
252  0x00009f35 0x0040ab35 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
253  0x00009f4a 0x0040ab4a 4   5    .text   ascii   L$,3
254  0x00009f9c 0x0040ab9c 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
255  0x0000a002 0x0040ac02 4   5    .text   ascii   UVWS
256  0x0000a014 0x0040ac14 5   7    .text   utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
257  0x0000a035 0x0040ac35 4   5    .text   ascii   SVWj
258  0x0000a046 0x0040ac46 4   5    .text   ascii   _^[]
259  0x0000a04d 0x0040ac4d 5   6    .text   ascii   l$\bRQ
260  0x0000a084 0x0040ac84 4   6    .text   utf8    ]ËA< blocks=Basic Latin,Latin-1 Supplement
261  0x0000a08a 0x0040ac8a 4   6    .text   utf8    A8PE
262  0x0000a0ef 0x0040acef 4   5    .text   ascii   _^[]
263  0x0000a11a 0x0040ad1a 4   5    .text   ascii   \bSVW
264  0x0000a183 0x0040ad83 4   5    .text   ascii   Y_^[
265  0x0000a18f 0x0040ad8f 4   6    .text   utf8    \b3ҁ9 blocks=Basic Latin,Cyrillic
266  0x0000a1b4 0x0040adb4 4   5    .text   ascii   Y_^[
267  0x0000a208 0x0040ae08 6   7    .text   ascii   j\bh\b\fA
268  0x0000a296 0x0040ae96 4   5    .text   ascii   M\b^;
269  0x0000a2b3 0x0040aeb3 6   7    .text   ascii   j h(\fA
270  0x0000a2c5 0x0040aec5 4   6    .text   utf8    }؋]\b blocks=Basic Latin,Arabic
271  0x0000a324 0x0040af24 4   5    .text   ascii   t!Ht
272  0x0000a391 0x0040af91 4   6    .text   utf8    Y3\tE
273  0x0000a3aa 0x0040afaa 4   6    .text   utf8    MԉG` blocks=Basic Latin,Cyrillic Supplement
274  0x0000a3cd 0x0040afcd 4   6    .text   utf8    M܋\rd blocks=Basic Latin,Syriac
275  0x0000a43e 0x0040b03e 4   6    .text   utf8    EԉG` blocks=Basic Latin,Cyrillic Supplement
276  0x0000a449 0x0040b049 5   7    .text   utf8    EЉGd3 blocks=Basic Latin,Cyrillic
277  0x0000a48e 0x0040b08e 4   5    .text   ascii   E\fVW
278  0x0000a4a8 0x0040b0a8 4   5    .text   ascii   u}hh
279  0x0000a537 0x0040b137 5   6    .text   ascii   tG9\rh
280  0x0000a606 0x0040b206 5   7    .text   utf8    _^]ËM blocks=Basic Latin,Latin-1 Supplement
281  0x0000a66b 0x0040b26b 4   5    .text   ascii   9U\fu
282  0x0000a672 0x0040b272 5   7    .text   utf8    _^[]Å blocks=Basic Latin,Latin-1 Supplement
283  0x0000a6c6 0x0040b2c6 4   5    .text   ascii   t'Ou
284  0x0000a6ff 0x0040b2ff 5   6    .text   ascii   M\fjPf
285  0x0000a763 0x0040b363 5   7    .text   utf8    _^]ËE blocks=Basic Latin,Latin-1 Supplement
286  0x0000a961 0x0040b561 4   5    .text   ascii   E\b^_
287  0x0000a96d 0x0040b56d 4   5    .text   ascii   E\b^_
288  0x0000a97f 0x0040b57f 4   5    .text   ascii   E\b^_
289  0x0000a999 0x0040b599 4   5    .text   ascii   E\b^_
290  0x0000aafd 0x0040b6fd 4   5    .text   ascii   E\b^_
291  0x0000ab0b 0x0040b70b 4   5    .text   ascii   E\b^_
292  0x0000ab21 0x0040b721 4   5    .text   ascii   E\b^_
293  0x0000ab3b 0x0040b73b 4   5    .text   ascii   E\b^_
294  0x0000ab54 0x0040b754 4   5    .text   ascii   ;E\fs
295  0x0000ac99 0x0040b899 4   7    .text   utf8    t8V訨 blocks=Basic Latin,CJK Unified Ideographs
296  0x0000acdd 0x0040b8dd 6   7    .text   ascii   j\fhH\fA
297  0x0000aced 0x0040b8ed 4   6    .text   utf8    3\vu\b
298  0x0000ad11 0x0040b911 5   6    .text   ascii   F\f@t\r
