[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
341   0x00009afc 0x0040a6fc 5   6    .text   ascii   t\vPQS
342   0x00009b5a 0x0040a75a 4   5    .text   ascii   Y_^[
343   0x00009c18 0x0040a818 4   6    .text   utf8    u\b3ɋ blocks=Basic Latin,Latin Extended-B
344   0x00009cb3 0x0040a8b3 4   5    .text   ascii    SVW
345   0x00009d21 0x0040a921 5   6    .text   ascii   ;y\fs\f
346   0x00009d3f 0x0040a93f 5   6    .text   ascii   ;x\fs\n
347   0x00009d74 0x0040a974 4   5    .text   ascii   hp<N
348   0x00009dbb 0x0040a9bb 4   5    .text   ascii   Y_^[
349   0x00009df9 0x0040a9f9 5   7    .text   utf8    u+h&K
350   0x0000a041 0x0040ac41 5   6    .text   ascii   ;y\fs\f
351   0x0000a05f 0x0040ac5f 5   6    .text   ascii   ;x\fs\n
352   0x0000a094 0x0040ac94 4   5    .text   ascii   hp<N
353   0x0000a0db 0x0040acdb 4   5    .text   ascii   Y_^[
354   0x0000a1a8 0x0040ada8 4   5    .text   ascii   uQj\b
355   0x0000a2b1 0x0040aeb1 4   5    .text   ascii   s#RW
356   0x0000a332 0x0040af32 5   6    .text   ascii   t\vPSQ
357   0x0000a350 0x0040af50 4   5    .text   ascii   _^[]
358   0x0000a384 0x0040af84 4   5    .text   ascii   E\fSV
359   0x0000a420 0x0040b020 4   5    .text   ascii   t\rQR
360   0x0000a4fc 0x0040b0fc 4   5    .text   ascii   \br\v@
361   0x0000a6d3 0x0040b2d3 4   5    .text   ascii   \fSVW
362   0x0000a773 0x0040b373 5   6    .text   ascii   ^\bKu\a
363   0x0000a78b 0x0040b38b 4   5    .text   ascii   Y_^[
364   0x0000a7b0 0x0040b3b0 4   5    .text   ascii   PSVW
365   0x0000a7ea 0x0040b3ea 5   6    .text   ascii   _\bKu\a
366   0x0000a800 0x0040b400 5   6    .text   ascii   t\vj\fV
367   0x0000a819 0x0040b419 4   5    .text   ascii   Y_^[
368   0x0000a851 0x0040b451 4   5    .text   ascii   SVWP
369   0x0000a873 0x0040b473 5   8    .text   utf8    E؍M؍E blocks=Basic Latin,Arabic
370   0x0000a894 0x0040b494 4   6    .text   utf8    U؋=t blocks=Basic Latin,Arabic
371   0x0000a8bc 0x0040b4bc 4   5    .text   ascii   \br\r@
372   0x0000a8da 0x0040b4da 5   8    .text   utf8    E؍M؍E blocks=Basic Latin,Arabic
373   0x0000a910 0x0040b510 4   5    .text   ascii   \br\r@
374   0x0000a92e 0x0040b52e 5   8    .text   utf8    E؍M؍E blocks=Basic Latin,Arabic
375   0x0000a964 0x0040b564 4   5    .text   ascii   \br\r@
376   0x0000a982 0x0040b582 5   8    .text   utf8    E؍M؍E blocks=Basic Latin,Arabic
377   0x0000a9d0 0x0040b5d0 4   5    .text   ascii   \bj*P
378   0x0000aa0c 0x0040b60c 4   5    .text   ascii   \br\r@
379   0x0000aad1 0x0040b6d1 4   5    .text   ascii   \bj"P
