[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
231  0x000023f4 0x00012ff4 5   7    .text   utf8    ߉\$4A blocks=NKo,Basic Latin
232  0x00002499 0x00013099 4   5    .text   ascii   Z0L;
233  0x0000249e 0x0001309e 4   5    .text   ascii   t!fA
234  0x000024dd 0x000130dd 5   6    .text   ascii   x ATH
235  0x000024f1 0x000130f1 4   5    .text   ascii   tzI;
236  0x000024fa 0x000130fa 5   6    .text   ascii   A\bLc@
237  0x0000251f 0x0001311f 4   5    .text   ascii   D8Hf
238  0x0000268f 0x0001328f 4   5    .text   ascii   l$8H
239  0x00002694 0x00013294 4   5    .text   ascii   t$@H
240  0x000026a0 0x000132a0 4   5    .text   ascii   \$0H
241  0x000026df 0x000132df 4   6    .text   utf8    ̊A\rL blocks=Combining Diacritical Marks,Basic Latin
242  0x00002766 0x00013366 4   5    .text   ascii   \$\bH
243  0x000027e9 0x000133e9 4   5    .text   ascii   @8E3
244  0x000028c0 0x000134c0 4   5    .text   ascii   \$0H
245  0x000028c5 0x000134c5 4   5    .text   ascii   l$8H
246  0x000028ca 0x000134ca 4   5    .text   ascii   t$@H
247  0x000028ed 0x000134ed 5   6    .text   ascii   x ATH
248  0x000029ad 0x000135ad 4   5    .text   ascii   \$0H
249  0x000029b2 0x000135b2 4   5    .text   ascii   l$8H
250  0x000029b7 0x000135b7 4   5    .text   ascii   t$@H
251  0x000029bc 0x000135bc 4   5    .text   ascii   |$HH
252  0x000029ce 0x000135ce 4   5    .text   ascii   \$\bH
253  0x00002a74 0x00013674 4   5    .text   ascii   \$0H
254  0x00002a79 0x00013679 4   5    .text   ascii   l$8H
255  0x00002a7e 0x0001367e 4   5    .text   ascii   t$@3
256  0x00002ab0 0x000136b0 4   5    .text   ascii   BKL+
257  0x00002ac9 0x000136c9 4   5    .text   ascii   J8M;
258  0x00002b89 0x00013789 5   6    .text   ascii   { ATH
259  0x00002b9a 0x0001379a 5   7    .text   utf8    ىD$$H blocks=Arabic,Basic Latin
260  0x00002e01 0x00013a01 4   5    .text   ascii   \$PH
261  0x00002e06 0x00013a06 4   5    .text   ascii   l$XH
262  0x00002e0b 0x00013a0b 4   5    .text   ascii   t$`H
263  0x00002e10 0x00013a10 4   5    .text   ascii   |$hH
264  0x00002e2b 0x00013a2b 4   5    .text   ascii   \$\bH
265  0x00002e78 0x00013a78 7   8    .text   ascii   t1L9A\bu
266  0x00002f37 0x00013b37 4   5    .text   ascii   \$0H
267  0x00002f3c 0x00013b3c 4   5    .text   ascii   t$8H
268  0x00002f5d 0x00013b5d 4   5    .text   ascii   Z8L;
269  0x00002f62 0x00013b62 4   5    .text   ascii   thL;
270  0x00002f72 0x00013b72 4   5    .text   ascii   BML;
271  0x00002fda 0x00013bda 5   6    .text   ascii   \$\bWH
272  0x00002ffd 0x00013bfd 5   6    .text   ascii   \bfA9@
273  0x000030b6 0x00013cb6 4   5    .text   ascii   \$0H
274  0x00003103 0x00013d03 4   5    .text   ascii   A9P\b
275  0x0000313c 0x00013d3c 5   6    .text   ascii   \bfA9@
276  0x0000314e 0x00013d4e 4   5    .text   ascii   \bfA9
277  0x000031ae 0x00013dae 5   6    .text   ascii   \$\bWH
278  0x00003233 0x00013e33 4   5    .text   ascii   D$8A
279  0x0000329d 0x00013e9d 4   5    .text   ascii   \$0H
280  0x0000337f 0x00013f7f 5   7    .text   utf8    \vȉJPH blocks=Basic Latin,Latin Extended-B
281  0x00003456 0x00014056 4   5    .text   ascii   \$8H
282  0x0000345b 0x0001405b 4   5    .text   ascii   t$@H
283  0x0000346e 0x0001406e 4   5    .text   ascii   \$\bH
284  0x000034d1 0x000140d1 4   5    .text   ascii   J8u1
285  0x00003583 0x00014183 4   5    .text   ascii   \$0H
286  0x00003588 0x00014188 4   5    .text   ascii   t$8H
287  0x000035a9 0x000141a9 5   6    .text   ascii   x ATH
288  0x000037a4 0x000143a4 4   5    .text   ascii   \$0H
289  0x000037a9 0x000143a9 4   5    .text   ascii   l$8H
290  0x000037ae 0x000143ae 4   5    .text   ascii   t$@H
291  0x000037b3 0x000143b3 4   5    .text   ascii   |$HH
292  0x000037c6 0x000143c6 5   6    .text   ascii   \$\bWH
293  0x000037e5 0x000143e5 5   6    .text   ascii   \bfA9@
294  0x000037f7 0x000143f7 4   5    .text   ascii   \bfA9
295  0x00003830 0x00014430 4   5    .text   ascii   \$0H
296  0x00003851 0x00014451 5   6    .text   ascii   \bfA9@
297  0x00003863 0x00014463 4   5    .text   ascii   \bfA9
298  0x000039c9 0x000145c9 5   6    .text   ascii   x ATH
299  0x00003a15 0x00014615 4   5    .text   ascii   o8E3
300  0x00003a76 0x00014676 4   5    .text   ascii   KMMc
301  0x00003b7e 0x0001477e 4   5    .text   ascii   \$@H
302  0x00003b83 0x00014783 4   5    .text   ascii   l$HH
303  0x00003b88 0x00014788 4   5    .text   ascii   t$PH
304  0x00003b8d 0x0001478d 4   5    .text   ascii   |$XH
305  0x00003ba2 0x000147a2 5   6    .text   ascii   \$\bWH
306  0x00003c34 0x00014834 4   5    .text   ascii   \$0H
307  0x00003c46 0x00014846 4   5    .text   ascii   \$\bH
308  0x00003c53 0x00014853 10  11   .text   ascii   WATAUAVAWH
309  0x00003d0c 0x0001490c 7   8    .text   ascii   E9e\|7E
310  0x00003e97 0x00014a97 4   5    .text   ascii   \$PH
311  0x00003e9c 0x00014a9c 4   5    .text   ascii   l$XH
312  0x00003ea1 0x00014aa1 4   5    .text   ascii   t$`H
313  0x00003ea7 0x00014aa7 10  11   .text   ascii    A_A^A]A\_
314  0x00003eba 0x00014aba 5   6    .text   ascii   \$\bWH
315  0x00003f2b 0x00014b2b 4   5    .text   ascii   tPD;
316  0x00003f5a 0x00014b5a 4   5    .text   ascii   ~\fD+
317  0x00003fc5 0x00014bc5 4   5    .text   ascii   \$0H
318  0x000040ec 0x00014cec 13  14   .text   ascii   t$ WATAUAVAWH
319  0x00004133 0x00014d33 5   6    .text   ascii   \bfA9@
320  0x00004149 0x00014d49 4   5    .text   ascii   \bfA9
321  0x0000436f 0x00014f6f 4   5    .text   ascii   \bfA;
322  0x00004374 0x00014f74 4   5    .text   ascii   v)D9
323  0x000043a2 0x00014fa2 4   5    .text   ascii   ~pD)
324  0x000044c3 0x000150c3 4   5    .text   ascii   C`H;
325  0x000044e5 0x000150e5 7   8    .text   ascii   ;L$P~\b3
326  0x00004552 0x00015152 4   5    .text   ascii   \bf9G
327  0x00004567 0x00015167 4   5    .text   ascii   \bf9\a
328  0x00004583 0x00015183 4   5    .text   ascii   \$XH
329  0x00004588 0x00015188 4   5    .text   ascii   l$`H
330  0x0000458d 0x0001518d 4   5    .text   ascii   t$hH
331  0x00004593 0x00015193 10  11   .text   ascii    A_A^A]A\_
332  0x00004641 0x00015241 5   6    .text   ascii   \bfA9B
