[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
132   0x00004493 0x10005093 4   6    .text   utf8    ًM\bW blocks=Arabic,Basic Latin
133   0x000046f8 0x100052f8 4   8    .text   utf8    U􉄾\\v blocks=Basic Latin,Supplementary Private Use Area-B
134   0x0000487a 0x1000547a 5   6    .text   ascii   }\t;M\b
135   0x000049d7 0x100055d7 4   5    .text   ascii   \f>f\t
136   0x00004e19 0x10005a19 4   5    .text   ascii   N\bf\t
137   0x00004e88 0x10005a88 4   5    .text   ascii   N\bf\t
138   0x00004ecb 0x10005acb 4   5    .text   ascii   E\bHf
139   0x00004ef8 0x10005af8 4   5    .text   ascii   N\bf\t
140   0x00004f84 0x10005b84 4   5    .text   ascii   N\bf\t
141   0x00004ffe 0x10005bfe 4   5    .text   ascii   E\bHP
142   0x00005011 0x10005c11 4   5    .text   ascii   \b_^[
143   0x000050ab 0x10005cab 4   5    .text   ascii   \b_[]
144   0x0000526f 0x10005e6f 4   5    .text   ascii   O\bf\t
145   0x00005319 0x10005f19 4   5    .text   ascii   O\bf\t
146   0x0000556f 0x1000616f 4   5    .text   ascii   t{+<
147   0x00005978 0x10006578 4   5    .text   ascii   _^[]
148   0x000059ca 0x100065ca 4   6    .text   utf8    ^[]Å blocks=Basic Latin,Latin-1 Supplement
149   0x000059d5 0x100065d5 5   7    .text   utf8    _^[]Ã blocks=Basic Latin,Latin-1 Supplement
150   0x00005dc6 0x100069c6 4   5    .text   ascii   u\b3^
151   0x00005f05 0x10006b05 4   5    .text   ascii   DSVW
152   0x00005f1e 0x10006b1e 4   7    .text   utf8    ÉEȋG blocks=Latin-1 Supplement,Basic Latin,Latin Extended-B
153   0x00005f2e 0x10006b2e 5   8    .text   utf8    ƉEċA( blocks=Latin Extended-B,Basic Latin,Latin Extended-A
154   0x00005f36 0x10006b36 4   6    .text   utf8    EЋA, blocks=Basic Latin,Cyrillic
155   0x00005f48 0x10006b48 4   6    .text   utf8    E̋AL blocks=Basic Latin,Combining Diacritical Marks
156   0x00005f4e 0x10006b4e 5   7    .text   utf8    E؋AP+ blocks=Basic Latin,Arabic
157   0x00005f6f 0x10006b6f 4   6    .text   utf8    }\vy<
158   0x00006174 0x10006d74 5   7    .text   utf8    sr+يG blocks=Basic Latin,Arabic
159   0x000062f8 0x10006ef8 4   6    .text   utf8    H#ȍC blocks=Basic Latin,Latin Extended-B
160   0x00006309 0x10006f09 5   9    .text   utf8    +ËڋUă blocks=Basic Latin,Latin-1 Supplement,Arabic,Latin Extended-A
161   0x00006325 0x10006f25 4   5    .text   ascii   x<_^
162   0x00006359 0x10006f59 4   6    .text   utf8    ڋU\fW blocks=Arabic,Basic Latin
163   0x000064bf 0x100070bf 4   5    .text   ascii   t?Ht
164   0x00006551 0x10007151 4   5    .text   ascii   u\t=T
165   0x0000655f 0x1000715f 4   5    .text   ascii   u"=P
166   0x00006566 0x10007166 4   5    .text   ascii   v\e_^
167   0x00006632 0x10007232 4   6    .text   utf8    L]܉U blocks=Basic Latin,Syriac
168   0x000066a6 0x100072a6 4   6    .text   utf8    u܍4V blocks=Basic Latin,Syriac
169   0x000066b7 0x100072b7 4   5    .text   ascii   ~\vBC
170   0x000066e1 0x100072e1 4   5    .text   ascii   u\a=T
171   0x000066ed 0x100072ed 4   5    .text   ascii   u\v=P
172   0x00006774 0x10007374 4   6    .text   utf8    _^3̓ blocks=Basic Latin,Combining Diacritical Marks
173   0x0000679e 0x1000739e 5   6    .text   ascii   ;\nt\v@
174   0x000067f5 0x100073f5 4   5    .text   ascii   PPQj
175   0x000068f2 0x100074f2 4   5    .text   ascii   tIA;
176   0x00006971 0x10007571 4   5    .text   ascii   t\nA;
177   0x00006a0f 0x1000760f 4   5    .text   ascii   9F\br
178   0x00006a8f 0x1000768f 5   6    .text   ascii   9^\bv9
179   0x00006ac7 0x100076c7 5   6    .text   ascii   [;~\br
180   0x00006ad8 0x100076d8 4   5    .text   ascii   tDW3
181   0x00006add 0x100076dd 6   7    .text   ascii   9~\bv+S
182   0x00006b06 0x10007706 5   6    .text   ascii   G;~\br
183   0x00006b58 0x10007758 5   6    .text   ascii   Qj@PW
184   0x00006bd9 0x100077d9 4   6    .text   utf8    6\vȋC blocks=Basic Latin,Latin Extended-B
185   0x00006bff 0x100077ff 4   7    .text   utf8    3ۋщU blocks=Basic Latin,Arabic,Cyrillic
186   0x00006cf6 0x100078f6 5   6    .text   ascii   u\bj\t^
187   0x00006d7c 0x1000797c 9   14   .text   utf8    EЍM؉u؉E܉} blocks=Basic Latin,Cyrillic,Arabic,Syriac
188   0x00006de1 0x100079e1 4   5    .text   ascii   B$9]
189   0x00006f53 0x10007b53 8   12   .text   utf8    E߉]؉]ԉ^\f blocks=Basic Latin,NKo,Arabic,Cyrillic Supplement
190   0x00006fb1 0x10007bb1 7   11   .text   utf8    ẺMЉUԋE blocks=Basic Latin,Combining Diacritical Marks,Cyrillic,Cyrillic Supplement
191   0x00006fe7 0x10007be7 4   6    .text   utf8    U߈\0 blocks=Basic Latin,NKo
192   0x00007311 0x10007f11 4   5    .text   ascii   gt)-
193   0x0000731b 0x10007f1b 7   8    .text   ascii   HHt\fHu&
194   0x000073d5 0x10007fd5 4   5    .text   ascii   $u\b3
195   0x00007574 0x10008174 6   7    .text   ascii   tuHHtf
196   0x000075ca 0x100081ca 4   5    .text   ascii   t\rOt
197   0x00007627 0x10008227 6   7    .text   ascii   taHtUH
198   0x000076a8 0x100082a8 6   7    .text   ascii   KHt"Ht
199   0x000076af 0x100082af 4   5    .text   ascii   HHu$
200   0x00007806 0x10008406 5   6    .text   ascii   D$0UP
201   0x00007810 0x10008410 5   8    .text   utf8    l$4興\n blocks=Basic Latin,CJK Unified Ideographs
202   0x0000781c 0x1000841c 4   5    .text   ascii   XPh0
203   0x000078b6 0x100084b6 4   5    .text   ascii   D$pP
204   0x000078bb 0x100084bb 4   5    .text   ascii   t$ f
205   0x000078c1 0x100084c1 4   7    .text   utf8    t$ 谚 blocks=Basic Latin,CJK Unified Ideographs
206   0x000078ca 0x100084ca 4   5    .text   ascii   D$@P
207   0x000079ba 0x100085ba 4   5    .text   ascii   D$&j
208   0x000079c0 0x100085c0 4   5    .text   ascii   D$(P
209   0x00007a04 0x10008604 4   5    .text   ascii   D$(P
210   0x00007a13 0x10008613 4   5    .text   ascii   YY]3
211   0x00007a24 0x10008624 4   5    .text   ascii   PPPh
212   0x00007a48 0x10008648 5   6    .text   ascii   tCVWj
213   0x00007a71 0x10008671 4   5    .text   ascii   E\bPV
214   0x00007ad3 0x100086d3 4   5    .text   ascii   }\b9u
215   0x00007bab 0x100087ab 6   7    .text   ascii   tMWVVh
216   0x00007c76 0x10008876 4   5    .text   ascii   tvSW
217   0x00007ce0 0x100088e0 4   5    .text   ascii   YYCV
218   0x00007e10 0x10008a10 4   5    .text   ascii   u\nF;
219   0x00007ee3 0x10008ae3 4   5    .text   ascii   Y_^3
