[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
150  0x00002d54 0x00403954 4   5    .text   ascii   SPRQ
151  0x00002d9c 0x0040399c 4   5    .text   ascii   ZYYd
152  0x00002da2 0x004039a2 4   5    .text   ascii   ]_^[
153  0x00002dcd 0x004039cd 4   7    .text   utf8    Ë\vD$ blocks=Latin-1 Supplement,Basic Latin
154  0x00002deb 0x004039eb 4   5    .text   ascii   SVWU
155  0x00002dfc 0x004039fc 4   5    .text   ascii   ]_^[
156  0x00002e05 0x00403a05 5   8    .text   utf8    Ë\vD$0 blocks=Latin-1 Supplement,Basic Latin
157  0x00002e4f 0x00403a4f 4   5    .text   ascii   ]_^[
158  0x00002e79 0x00403a79 4   5    .text   ascii   d$,1
159  0x00002e8c 0x00403a8c 5   7    .text   utf8    1ҋL$\b blocks=Basic Latin,Cyrillic
160  0x00002eb2 0x00403ab2 4   5    .text   ascii   ,t\=
161  0x00002eca 0x00403aca 5   6    .text   ascii   t=HtN
162  0x00002ed9 0x00403ad9 4   5    .text   ascii   r6t0
163  0x00002eed 0x00403aed 4   5    .text   ascii   t.Ht
164  0x00002f78 0x00403b78 4   5    .text   ascii   T$\bj
165  0x00002fe4 0x00403be4 4   6    .text   utf8    P1ҍE blocks=Basic Latin,Cyrillic
166  0x00003046 0x00403c46 5   6    .text   ascii   Uhz<@
167  0x00003072 0x00403c72 4   5    .text   ascii   ZYYd
168  0x0000308e 0x00403c8e 6   8    .text   utf8    _^[]ÐU blocks=Basic Latin,Latin-1 Supplement
169  0x00003097 0x00403c97 4   5    .text   ascii   QSVW
170  0x000030a5 0x00403ca5 4   6    .text   utf8    83ۋ@ blocks=Basic Latin,Arabic
171  0x000030de 0x00403cde 4   5    .text   ascii   ZYYd
172  0x000030fa 0x00403cfa 5   6    .text   ascii   _^[Y]
173  0x00003100 0x00403d00 4   5    .text   ascii   QSVW
174  0x00003115 0x00403d15 4   7    .text   utf8    ލ}9\f blocks=Thaana,Basic Latin
175  0x00003140 0x00403d40 6   8    .text   utf8    C\b1Ƀ}\f blocks=Basic Latin,Latin Extended-B
176  0x0000316f 0x00403d6f 4   5    .text   ascii   C(HY
177  0x00003176 0x00403d76 5   6    .text   ascii   S$t\a<
178  0x000031fc 0x00403dfc 4   5    .text   ascii   ZYYd
179  0x00003217 0x00403e17 4   5    .text   ascii   ^[Y]
180  0x00003229 0x00403e29 5   6    .text   ascii   Uh_>@
181  0x0000324b 0x00403e4b 4   5    .text   ascii   ZYYd
182  0x00003251 0x00403e51 4   5    .text   ascii   hf>@
183  0x00003266 0x00403e66 7   9    .text   utf8    ^[Y]ÐSV blocks=Basic Latin,Latin-1 Supplement
184  0x0000329b 0x00403e9b 7   8    .text   ascii   t\aIt\vIt
185  0x000032bd 0x00403ebd 5   7    .text   utf8    ^_[Í@ blocks=Basic Latin,Latin-1 Supplement
186  0x00003348 0x00403f48 6   9    .text   utf8    _^[Éǋ_ blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
187  0x00003363 0x00403f63 4   6    .text   utf8    _^1\a
188  0x000033aa 0x00403faa 4   5    .text   ascii   hlgA
189  0x000033e4 0x00403fe4 4   5    .text   ascii   hdgA
190  0x000033e9 0x00403fe9 4   5    .text   ascii   hlgA
191  0x00003408 0x00404008 4   5    .text   ascii   SVWU
192  0x00003483 0x00404083 4   6    .text   utf8    3\tC\f
193  0x0000350d 0x0040410d 6   9    .text   utf8    ]_^[Ë# blocks=Basic Latin,Latin-1 Supplement
194  0x0000354d 0x0040414d 4   6    .text   utf8    XÐSV blocks=Basic Latin,Latin-1 Supplement
195  0x00003694 0x00404294 5   6    .text   ascii   ;_^[]
196  0x000036b4 0x004042b4 5   6    .text   ascii   E\fPQj
197  0x000036ce 0x004042ce 5   6    .text   ascii   E\fPQj
198  0x000037d1 0x004043d1 6   7    .text   ascii   _^[YY]
199  0x000037ea 0x004043ea 7   10   .text   utf8    ZÇ\f$Q1Ʌ blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
200  0x000037f4 0x004043f4 6   7    .text   ascii   t!R:\nt
201  0x00003803 0x00404403 4   5    .text   ascii   t\v:J
202  0x00003821 0x00404421 5   7    .text   utf8    \f$Q1Ʌ blocks=Basic Latin,Latin Extended-B
203  0x00003828 0x00404428 11  12   .text   ascii   t-Rf;\nt f;J
204  0x00003862 0x00404462 4   5    .text   ascii   t!P1
205  0x00003873 0x00404473 4   5    .text   ascii   t\v:H
206  0x0000387f 0x0040447f 5   6    .text   ascii   @@@Y)
207  0x00003917 0x00404517 4   5    .text   ascii   X_^[
208  0x00003a05 0x00404605 4   5    .text   ascii   It6S
209  0x00003a4c 0x0040464c 4   5    .text   ascii   SVWU
210  0x00003a88 0x00404688 4   5    .text   ascii   \rp$P
211  0x00003add 0x004046dd 6   8    .text   utf8    ;]_^[Ð blocks=Basic Latin,Latin-1 Supplement
212  0x00003b4a 0x0040474a 4   6    .text   utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
213  0x00003c20 0x00404820 4   5    .text   ascii   SVWQ
214  0x00003c6c 0x0040486c 6   8    .text   utf8    Z_^[Í@ blocks=Basic Latin,Latin-1 Supplement
215  0x00003dc5 0x004049c5 5   7    .text   utf8    [ÐSVW blocks=Basic Latin,Latin-1 Supplement
216  0x00003df3 0x004049f3 4   5    .text   ascii   ;_^[
217  0x00003e05 0x00404a05 4   7    .text   utf8    ZÐ1Ʌ blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
218  0x00003e0c 0x00404a0c 6   7    .text   ascii   t!R:\nt
219  0x00003e1b 0x00404a1b 4   5    .text   ascii   t\v:J
220  0x00003e3c 0x00404a3c 11  12   .text   ascii   t-Rf;\nt f;J
221  0x00003eb7 0x00404ab7 6   9    .text   utf8    Ç\f$Q1Ʌ blocks=Latin-1 Supplement,Basic Latin,Latin Extended-B
222  0x00003fa2 0x00404ba2 5   7    .text   utf8    ;_^[Ð blocks=Basic Latin,Latin-1 Supplement
223  0x0000402c 0x00404c2c 4   5    .text   ascii   X_^[
224  0x0000410f 0x00404d0f 4   5    .text   ascii   $\vD$
225  0x00004133 0x00404d33 4   6    .text   utf8    _^[É blocks=Basic Latin,Latin-1 Supplement
226  0x00004151 0x00404d51 5   6    .text   ascii   SVWRP
227  0x0000418a 0x00404d8a 4   5    .text   ascii   9\bu\f
228  0x00004256 0x00404e56 8   9    .text   ascii   XZ_^[X]X
229  0x0000426f 0x00404e6f 4   5    .text   ascii   QSVW
230  0x00004284 0x00404e84 5   6    .text   ascii   Uh-O@
231  0x00004319 0x00404f19 4   5    .text   ascii   ZYYd
232  0x0000431f 0x00404f1f 4   5    .text   ascii   h4O@
233  0x00004334 0x00404f34 5   6    .text   ascii   _^[Y]
234  0x000043b1 0x00404fb1 5   7    .text   utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
235  0x000043b9 0x00404fb9 4   5    .text   ascii   =\f`A
236  0x000043d9 0x00404fd9 4   5    .text   ascii   PSVW
237  0x000043ea 0x00404fea 5   6    .text   ascii   <\nt-<
238  0x000043f0 0x00404ff0 15  16   .text   ascii   tc<\vtB<\ftr<\rt}<
239  0x0000447d 0x0040507d 4   6    .text   utf8    ՋT.\n blocks=Armenian,Basic Latin
240  0x000044ce 0x004050ce 5   6    .text   ascii   \v_^[X
241  0x000044da 0x004050da 5   7    .text   utf8    _^[XÐ blocks=Basic Latin,Latin-1 Supplement
242  0x00004582 0x00405182 4   5    .text   ascii   u+h\n
243  0x000045b8 0x004051b8 6   8    .text   utf8    ^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
244  0x000045c9 0x004051c9 4   5    .text   ascii   t ;s
245  0x000045ce 0x004051ce 6   7    .text   ascii   t\n;s\bt
246  0x000045d5 0x004051d5 5   6    .text   ascii   ;s\fu\v
247  0x000045ef 0x004051ef 20  22   .text   utf8    _^[Ðzh-TW,zh-Hant,zh blocks=Basic Latin,Latin-1 Supplement
248  0x00004608 0x00405208 12  13   .text   ascii   es-ES_tradnl
249  0x00004618 0x00405218 11  12   .text   ascii   nb-NO,nb,no
250  0x00004624 0x00405224 10  11   .text   ascii   tg-Cyrl-TJ
251  0x00004630 0x00405230 10  11   .text   ascii   az-Latn-AZ
252  0x0000463c 0x0040523c 10  11   .text   ascii   uz-Latn-UZ
253  0x00004648 0x00405248 16  17   .text   ascii   mn-MN,mn-Cyrl,mn
254  0x0000465c 0x0040525c 10  11   .text   ascii   iu-Cans-CA
255  0x00004668 0x00405268 10  11   .text   ascii   ha-Latn-NG
256  0x00004674 0x00405274 11  12   .text   ascii   qps-ploc,en
257  0x00004680 0x00405280 12  13   .text   ascii   qps-ploca,ja
258  0x00004690 0x00405290 16  17   .text   ascii   zh-CN,zh-Hans,zh
259  0x000046a4 0x004052a4 11  12   .text   ascii   nn-NO,nn,no
260  0x000046b0 0x004052b0 10  11   .text   ascii   sr-Latn-CS
261  0x000046bc 0x004052bc 10  11   .text   ascii   az-Cyrl-AZ
262  0x000046c8 0x004052c8 14  15   .text   ascii   dsb-DE,dsb,hsb
263  0x000046d8 0x004052d8 10  11   .text   ascii   uz-Cyrl-UZ
264  0x000046e4 0x004052e4 10  11   .text   ascii   mn-Mong-CN
265  0x000046f0 0x004052f0 10  11   .text   ascii   iu-Latn-CA
266  0x000046fc 0x004052fc 11  12   .text   ascii   tzm-Latn-DZ
267  0x00004708 0x00405308 12  13   .text   ascii   qps-plocm,ar
268  0x00004718 0x00405318 16  17   .text   ascii   zh-HK,zh-Hant,zh
269  0x0000472c 0x0040532c 10  11   .text   ascii   sr-Cyrl-CS
270  0x00004738 0x00405338 16  17   .text   ascii   zh-SG,zh-Hans,zh
271  0x0000474c 0x0040534c 13  14   .text   ascii   smj-NO,smj,se
272  0x0000475c 0x0040535c 16  17   .text   ascii   zh-MO,zh-Hant,zh
273  0x00004770 0x00405370 10  11   .text   ascii   bs-Latn-BA
274  0x0000477c 0x0040537c 13  14   .text   ascii   smj-SE,smj,se
275  0x0000478c 0x0040538c 10  11   .text   ascii   sr-Latn-BA
276  0x00004798 0x00405398 13  14   .text   ascii   sma-NO,sma,se
277  0x000047a8 0x004053a8 10  11   .text   ascii   sr-Cyrl-BA
278  0x000047b4 0x004053b4 13  14   .text   ascii   sma-SE,sma,se
279  0x000047c4 0x004053c4 10  11   .text   ascii   bs-Cyrl-BA
280  0x000047d0 0x004053d0 13  14   .text   ascii   sms-FI,sms,se
281  0x000047e0 0x004053e0 10  11   .text   ascii   sr-Latn-RS
282  0x000047ec 0x004053ec 13  14   .text   ascii   smn-FI,smn,se
283  0x000047fc 0x004053fc 10  11   .text   ascii   sr-Cyrl-RS
284  0x00004808 0x00405408 10  11   .text   ascii   sr-Latn-ME
285  0x00004814 0x00405414 10  11   .text   ascii   sr-Cyrl-ME
286  0x000048a0 0x004054a0 29  30   .text   ascii   GetThreadPreferredUILanguages
287  0x000048c0 0x004054c0 12  26   .text   utf16le kernel32.dll
288  0x000048dc 0x004054dc 29  30   .text   ascii   SetThreadPreferredUILanguages
289  0x000048fc 0x004054fc 19  20   .text   ascii   GetThreadUILanguage
290  0x00004928 0x00405528 16  17   .text   ascii   0123456789ABCDEF
291  0x000049b8 0x004055b8 4   5    .text   ascii   ZYYd
292  0x000049d5 0x004055d5 5   7    .text   utf8    [Y]Í@ blocks=Basic Latin,Latin-1 Supplement
293  0x000049e1 0x004055e1 6   7    .text   ascii   QQQQSV
294  0x00004a23 0x00405623 6   7    .text   ascii   ,tfBHu
295  0x00004a8e 0x0040568e 4   5    .text   ascii   ZYYd
296  0x00004ad5 0x004056d5 5   7    .text   utf8    SVW3ɉ blocks=Basic Latin,Latin Extended-B
297  0x00004af3 0x004056f3 5   6    .text   ascii   Uh3X@
298  0x00004b10 0x00405710 5   6    .text   ascii   rTf;5
