ii 592 64
[Strings]
nth   paddr      vaddr      len  size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
235   0x00003322 0x000032e2 4    5            ascii   \nW8K
236   0x0000333f 0x000032ff 4    5            ascii   K\t-:
237   0x00003345 0x00003305 4    5            ascii   2Uz`
238   0x0000335c 0x0000331c 4    5            ascii   \vP\an
239   0x00003382 0x00003342 4    5            ascii   .v\a}
240   0x000033c0 0x00003380 4    6            utf8    Υi4o blocks=Greek and Coptic,Basic Latin
241   0x000033e5 0x000033a5 4    5            ascii   ev>f
242   0x0000340b 0x000033cb 4    6            utf8    @-٨u blocks=Basic Latin,Arabic
243   0x00003468 0x00003428 4    5            ascii   Er(S
244   0x0000347c 0x0000343c 5    6            ascii   >-?kg
245   0x00003491 0x00003451 8    9            ascii   \n"pTXqn9
246   0x000034ee 0x000034ae 6    8            utf8    ̧ax\n)] blocks=Combining Diacritical Marks,Basic Latin
247   0x00003526 0x000034e6 7    8            ascii   Gb\cDkm
248   0x00003534 0x000034f4 6    7            ascii   \rE}!Gc
249   0x00003559 0x00003519 6    8            utf8    k}ی4>b blocks=Basic Latin,Arabic
250   0x0000357d 0x0000353d 4    5            ascii   \vG~/
251   0x000035aa 0x0000356a 5    6            ascii   um]rQ
252   0x000035b5 0x00003575 4    5            ascii   &OFk
253   0x000035c6 0x00003586 4    5            ascii   <$w]
254   0x00003604 0x000035c4 4    7            utf8    f0邅\n blocks=Basic Latin,CJK Unified Ideographs
255   0x00003644 0x00003604 4    5            ascii   [[yE
256   0x00003682 0x00003642 4    5            ascii   PI3B
257   0x000036af 0x0000366f 5    8            utf8    sa\eʀژ blocks=Basic Latin,IPA Extensions,Arabic
258   0x000036f5 0x000036b5 6    7            ascii   -U$TM+
259   0x00003737 0x000036f7 5    6            ascii   0e\t\t=
260   0x00003787 0x00003747 4    5            ascii   O\b\tr
261   0x000037a5 0x00003765 5    6            ascii   \r:RWw
262   0x000037f8 0x000037b8 5    6            ascii   o>@uG
263   0x00003818 0x000037d8 6    7            ascii   ZjP\aC^
264   0x00003830 0x000037f0 4    5            ascii   |i=V
265   0x0000384d 0x0000380d 4    7            utf8    0.魏( blocks=Basic Latin,CJK Unified Ideographs
266   0x000038d9 0x00003899 6    7            ascii   EkFUd^
267   0x000038e0 0x000038a0 4    5            ascii   #]L.
268   0x000038ed 0x000038ad 6    8            utf8    eAĠ4\nP blocks=Basic Latin,Latin Extended-A
269   0x0000399a 0x0000395a 6    7            ascii   jE^fAH
270   0x000039b3 0x00003973 4    6            utf8    9р-Y blocks=Basic Latin,Cyrillic
271   0x000039bf 0x0000397f 5    6            ascii   k$GR"
