[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
282  0x00013b42 0x00414742 4   5    .text   ascii   h0*I
283  0x00013b90 0x00414790 4   5    .text   ascii   h4*I
284  0x00013ca8 0x004148a8 4   5    .text   ascii   \t\a\a\v
285  0x00013ccf 0x004148cf 4   5    .text   ascii   \r\t\f\a
286  0x00013d99 0x00414999 4   5    .text   ascii   h0*I
287  0x00013e05 0x00414a05 4   5    .text   ascii   h4*I
288  0x00013f1e 0x00414b1e 4   5    .text   ascii   \r\a\v\t
289  0x00013f6c 0x00414b6c 4   5    .text   ascii   \v\n\f\t
290  0x000141c7 0x00414dc7 7   9    .text   utf8    \t\f\n\n3\bE
291  0x000143ca 0x00414fca 4   5    .text   ascii   \a\r\a\r
292  0x0001451b 0x0041511b 4   5    .text   ascii   \n\n\n\v
293  0x00014542 0x00415142 4   5    .text   ascii   \n\b\f\v
294  0x0001454c 0x0041514c 4   5    .text   ascii   \a\a\b\n
295  0x000145d4 0x004151d4 4   5    .text   ascii   \t\t\r\f
296  0x000145eb 0x004151eb 6   10   .text   utf8    \v3\bE荍0 blocks=Basic Latin,CJK Unified Ideographs
297  0x0001473d 0x0041533d 4   5    .text   ascii   \n\a\v\b
298  0x00014795 0x00415395 4   5    .text   ascii   \b\a\n\a
299  0x000148bb 0x004154bb 5   6    .text   ascii   *h8*I
300  0x00014d93 0x00415993 5   6    .text   ascii   :h@*I
301  0x00014e89 0x00415a89 4   5    .text   ascii   \r\v\r\n
302  0x00015164 0x00415d64 5   9    .text   utf8    3\bEፍ0 blocks=Basic Latin,Ethiopic
303  0x000152f6 0x00415ef6 4   5    .text   ascii   hD*I
304  0x00015309 0x00415f09 4   6    .text   utf8    D3\bE
305  0x00015736 0x00416336 5   6    .text   ascii   Oh@*I
306  0x000158b1 0x004164b1 4   5    .text   ascii   \n\r\t\t
307  0x00015a4e 0x0041664e 5   8    .text   utf8    \n3\bEލ blocks=Basic Latin,Thaana
308  0x00015bce 0x004167ce 4   5    .text   ascii   \a\f\f\n
309  0x00016471 0x00417071 4   5    .text   ascii   \n\b\f\n
310  0x0001686d 0x0041746d 4   5    .text   ascii   \f\t\t\r
311  0x000169a4 0x004175a4 4   5    .text   ascii   hH*I
312  0x00016b1f 0x0041771f 4   5    .text   ascii   \n\r\n\f
313  0x00016b53 0x00417753 4   6    .text   utf8    \r3\bE
314  0x00016b97 0x00417797 4   5    .text   ascii   hT*I
