[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
251  0x00004a80 0x10005680 5   6    .text   ascii   @SVWH
252  0x00004ad9 0x100056d9 5   6    .text   ascii   \ax+;X
253  0x00004b02 0x10005702 6   8    .text   utf8     _^[ùW blocks=Basic Latin,Latin-1 Supplement
254  0x00004b14 0x10005714 8   9    .text   ascii   @SUVWATH
255  0x00004b45 0x10005745 4   5    .text   ascii   d$`;
256  0x00004b82 0x10005782 7   8    .text   ascii    A\_^][
257  0x00004baf 0x100057af 4   5    .text   ascii   R Hc
258  0x00004bd4 0x100057d4 5   6    .text   ascii   @SVWH
259  0x00004c41 0x10005841 4   5    .text   ascii    _^[
260  0x00004c4a 0x1000584a 6   7    .text   ascii   L$\bSWH
261  0x00004d00 0x10005900 12  13   .text   ascii   @SUVWATAUAVH
262  0x00004dc8 0x100059c8 5   6    .text   ascii   R IcU
263  0x00004e38 0x10005a38 11  12   .text   ascii    A^A]A\_^][
264  0x00004e73 0x10005a73 4   5    .text   ascii   L$@L
265  0x00004e7f 0x10005a7f 4   5    .text   ascii   T$HH
266  0x00004eac 0x10005aac 4   5    .text   ascii   L$@L
267  0x00004eb8 0x10005ab8 4   5    .text   ascii   T$PH
268  0x00004ed4 0x10005ad4 4   5    .text   ascii   T$PH
269  0x00004f15 0x10005b15 4   5    .text   ascii   T$HH
270  0x00004f9c 0x10005b9c 5   7    .text   utf8    t\a3ҍJ blocks=Basic Latin,Cyrillic
271  0x00005014 0x10005c14 4   5    .text   ascii   @SWH
272  0x00005090 0x10005c90 5   6    .text   ascii   @SVWH
273  0x000050da 0x10005cda 4   5    .text   ascii   T$ H
274  0x00005118 0x10005d18 4   5    .text   ascii   L$ A
275  0x000052e4 0x10005ee4 5   6    .text   ascii   @SVWH
276  0x00005387 0x10005f87 4   5    .text   ascii    _^[
277  0x0000538c 0x10005f8c 4   5    .text   ascii   @SWH
278  0x000053be 0x10005fbe 4   5    .text   ascii   D$hH
279  0x000053d4 0x10005fd4 5   6    .text   ascii   8tsH+
280  0x000053da 0x10005fda 4   5    .text   ascii   tfH+
281  0x000053df 0x10005fdf 4   5    .text   ascii   tYH+
282  0x000053e4 0x10005fe4 4   5    .text   ascii   tLH+
283  0x000053e9 0x10005fe9 4   5    .text   ascii   t(H;
284  0x000053f6 0x10005ff6 4   5    .text   ascii   T$`H
285  0x00005415 0x10006015 4   5    .text   ascii   T$`H
286  0x00005454 0x10006054 4   5    .text   ascii   D$`M
287  0x00005474 0x10006074 5   6    .text   ascii   ?tnH+
288  0x0000547a 0x1000607a 4   5    .text   ascii   tQH+
289  0x0000547f 0x1000607f 4   5    .text   ascii   t"H+
290  0x00005491 0x10006091 4   5    .text   ascii   T$`A
291  0x0000549b 0x1000609b 4   5    .text   ascii   T$`A
292  0x000054a5 0x100060a5 4   5    .text   ascii   |$`H
293  0x000054cf 0x100060cf 4   5    .text   ascii   |$`H
294  0x000054e7 0x100060e7 4   5    .text   ascii   D$`M
295  0x0000550c 0x1000610c 10  11   .text   ascii   @SUVWATAUH
296  0x0000555c 0x1000615c 4   5    .text   ascii   D$ A
297  0x000055a2 0x100061a2 4   5    .text   ascii   uCD;
298  0x000055ac 0x100061ac 6   7    .text   ascii   u\aH9+t
299  0x000055d9 0x100061d9 4   5    .text   ascii   D$\bH
300  0x0000563e 0x1000623e 9   10   .text   ascii   HA]A\_^][
301  0x00005658 0x10006258 4   5    .text   ascii   D$0I
302  0x00005665 0x10006265 4   5    .text   ascii   D$(H
303  0x00005702 0x10006302 4   6    .text   utf8    3\tA0
304  0x0000573d 0x1000633d 7   9    .text   utf8    C83\tK\bH
305  0x000057c8 0x100063c8 5   6    .text   ascii   @SVWH
306  0x000057ea 0x100063ea 6   7    .text   ascii   S\f;S0r
307  0x0000582f 0x1000642f 7   8    .text   ascii   H;F@u&H
308  0x00005870 0x10006470 4   5    .text   ascii    _^[
309  0x00005878 0x10006478 4   5    .text   ascii   @SWH
310  0x00005896 0x10006496 6   7    .text   ascii   S\f;S0r
311  0x000058ce 0x100064ce 4   5    .text   ascii   I@E3
312  0x00005908 0x10006508 4   5    .text   ascii   @SWH
313  0x0000594b 0x1000654b 4   5    .text   ascii   ;S0r
314  0x00005998 0x10006598 8   9    .text   ascii   @SUVWATH
315  0x000059e3 0x100065e3 5   6    .text   ascii   L$0A;
316  0x00005a0b 0x1000660b 4   5    .text   ascii   G\aD+
317  0x00005a27 0x10006627 4   6    .text   utf8    LcۍF blocks=Basic Latin,Arabic
318  0x00005a42 0x10006642 4   5    .text   ascii   TL0E
319  0x00005ac1 0x100066c1 6   7    .text   ascii   A\_^][
320  0x00005af8 0x100066f8 6   7    .text   ascii   C09C\fr
321  0x00005b27 0x10006727 4   5    .text   ascii   S\fE3
322  0x00005b48 0x10006748 4   5    .text   ascii   @SWH
323  0x00005cba 0x100068ba 4   5    .text   ascii   I@E3
324  0x00005cd4 0x100068d4 4   5    .text   ascii   @SWH
325  0x00005d17 0x10006917 9   10   .text   ascii   x=A;X\b}7I
326  0x00005dbe 0x100069be 4   5    .text   ascii   D$xH
327  0x00005dc3 0x100069c3 4   5    .text   ascii   D$@H
328  0x00005dd3 0x100069d3 4   5    .text   ascii   D$8H
329  0x00005e0d 0x10006a0d 4   5    .text   ascii   D$xH
330  0x00005e12 0x10006a12 4   5    .text   ascii   D$@H
331  0x00005e17 0x10006a17 5   6    .text   ascii   D$PE3
332  0x00005e1f 0x10006a1f 4   5    .text   ascii   D$8H
333  0x00005e6c 0x10006a6c 4   5    .text   ascii   D$PH
334  0x00005e78 0x10006a78 4   5    .text   ascii   @SWH
335  0x00005eaa 0x10006aaa 4   5    .text   ascii   D$@H
336  0x00005eba 0x10006aba 4   5    .text   ascii   D$8H
337  0x00005ef8 0x10006af8 6   7    .text   ascii   @SUVWH
338  0x00005f0d 0x10006b0d 4   5    .text   ascii   D$H3
339  0x00005f24 0x10006b24 5   6    .text   ascii   L$0tJ
340  0x00005f3c 0x10006b3c 4   5    .text   ascii   D$0A
341  0x00005f4a 0x10006b4a 4   5    .text   ascii   L$(H
342  0x00005f92 0x10006b92 4   5    .text   ascii   D$8H
343  0x00005fa3 0x10006ba3 5   6    .text   ascii   L$HH3
344  0x00005fb1 0x10006bb1 5   6    .text   ascii   X_^][
345  0x00005fb8 0x10006bb8 12  13   .text   ascii   @SUVWATAUAVH
346  0x00006042 0x10006c42 13  15   .text   utf8     A^A]A\_^][ùW blocks=Basic Latin,Latin-1 Supplement
347  0x0000605c 0x10006c5c 5   6    .text   ascii   @SVWH
348  0x000060a0 0x10006ca0 4   5    .text   ascii   L$!3
349  0x000060c4 0x10006cc4 4   5    .text   ascii   T$ H
350  0x000060d6 0x10006cd6 4   5    .text   ascii   L$ H
351  0x00006143 0x10006d43 5   6    .text   ascii   t3SWH
352  0x0000617c 0x10006d7c 4   5    .text   ascii   @SWH
353  0x000061e8 0x10006de8 4   5    .text   ascii   T$HH
354  0x0000622e 0x10006e2e 4   5    .text   ascii   T$ H
355  0x0000623c 0x10006e3c 4   5    .text   ascii   T$HH
356  0x0000628a 0x10006e8a 8   9    .text   ascii   L$\bSUVWH
357  0x000062a7 0x10006ea7 6   8    .text   utf8    3ۉ\$xH blocks=Basic Latin,Arabic
358  0x00006320 0x10006f20 4   5    .text   ascii   \$ L
359  0x00006338 0x10006f38 5   6    .text   ascii   H_^][
360  0x00006370 0x10006f70 5   6    .text   ascii   @SVWH
361  0x0000639e 0x10006f9e 4   5    .text   ascii   L$8H
362  0x000063a3 0x10006fa3 4   5    .text   ascii   T$@L
363  0x000063a8 0x10006fa8 4   5    .text   ascii   D$0H
364  0x000063c6 0x10006fc6 4   5    .text   ascii   D$`3
365  0x000063de 0x10006fde 4   5    .text   ascii   T$`H
366  0x000063ee 0x10006fee 4   5    .text   ascii   T$(H
367  0x00006401 0x10007001 4   5    .text   ascii   D$ H
368  0x00006406 0x10007006 4   5    .text   ascii   T$(H
369  0x00006430 0x10007030 5   8    .text   utf8    댋\$(H blocks=Hangul Syllables,Basic Latin
370  0x00006438 0x10007038 4   5    .text   ascii   |$8H
371  0x000064e0 0x100070e0 4   5    .text   ascii   @SWH
372  0x00006520 0x10007120 4   5    .text   ascii   D$PH
373  0x000065d1 0x100071d1 4   7    .text   utf8    L$0藺 blocks=Basic Latin,CJK Unified Ideographs
374  0x000065e2 0x100071e2 4   5    .text   ascii   T$0H
375  0x00006607 0x10007207 4   5    .text   ascii   T$XH
376  0x0000662b 0x1000722b 4   5    .text   ascii   T$8H
377  0x0000663f 0x1000723f 4   5    .text   ascii   D$@H
378  0x00006644 0x10007244 4   5    .text   ascii   T$0H
379  0x0000665c 0x1000725c 4   5    .text   ascii   D$p3
380  0x00006675 0x10007275 4   5    .text   ascii   T$0H
