[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
224  0x00004f28 0x00405b28 7   8    .text   ascii   9AAAA@J
225  0x00004f40 0x00405b40 5   6    .text   ascii   [QSh1
226  0x00004f7d 0x00405b7d 4   5    .text   ascii   QSh@
227  0x00004f8b 0x00405b8b 5   7    .text   utf8    \f[Y_ý blocks=Basic Latin,Latin-1 Supplement
228  0x0000501e 0x00405c1e 4   5    .text   ascii   WZ_!
229  0x0000509c 0x00405c9c 4   6    .text   utf8    ]_^ù blocks=Basic Latin,Latin-1 Supplement
230  0x000050bf 0x00405cbf 4   5    .text   ascii   GGGG
231  0x000051d2 0x00405dd2 6   8    .text   utf8    \f^YXÿe blocks=Basic Latin,Latin-1 Supplement
232  0x00005217 0x00405e17 5   6    .text   ascii   7^31V
233  0x0000521f 0x00405e1f 6   7    .text   ascii   GGGGAJ
234  0x0000525b 0x00405e5b 4   5    .text   ascii   URhS
235  0x000052cd 0x00405ecd 4   5    .text   ascii   _SWh
236  0x000052ea 0x00405eea 4   5    .text   ascii   SWhS
237  0x00005318 0x00405f18 4   6    .text   utf8    _[^ù blocks=Basic Latin,Latin-1 Supplement
238  0x000053b6 0x00405fb6 4   5    .text   ascii   @@@@
239  0x000053da 0x00405fda 5   6    .text   ascii   1AAAA
240  0x0000541f 0x0040601f 4   5    .text   ascii   U_]!
241  0x00005433 0x00406033 4   5    .text   ascii   W]_G
242  0x0000559b 0x0040619b 4   5    .text   ascii   RQh!
243  0x000055b9 0x004061b9 4   5    .text   ascii   RQh-
244  0x000055d5 0x004061d5 4   5    .text   ascii   RQh,
245  0x00005645 0x00406245 5   6    .text   ascii   XVPh?
246  0x000056f9 0x004062f9 5   6    .text   ascii   \aRPhR
247  0x00005736 0x00406336 4   5    .text   ascii   RPhm
248  0x00005744 0x00406344 5   7    .text   utf8    \fXZYý blocks=Basic Latin,Latin-1 Supplement
249  0x00005800 0x00406400 4   5    .text   ascii   [WSh
250  0x0000584f 0x0040644f 4   5    .text   ascii   \f[_^
251  0x00005885 0x00406485 4   5    .text   ascii   UPh\e
252  0x000058fd 0x004064fd 4   5    .text   ascii   SRh\r
253  0x0000591d 0x0040651d 4   5    .text   ascii   SRhc
254  0x0000594c 0x0040654c 4   6    .text   utf8    Z[^Í blocks=Basic Latin,Latin-1 Supplement
255  0x000059b2 0x004065b2 5   7    .text   utf8    [_^ýW blocks=Basic Latin,Latin-1 Supplement
256  0x00005a12 0x00406612 4   6    .text   utf8    [X]ù blocks=Basic Latin,Latin-1 Supplement
257  0x00005a2f 0x0040662f 6   7    .text   ascii   CCCCPj
258  0x00005abb 0x004066bb 5   6    .text   ascii   9UWh-
259  0x00005b08 0x00406708 4   5    .text   ascii   \f_]Z
260  0x00005b50 0x00406750 4   5    .text   ascii   >QWh
261  0x00005b70 0x00406770 4   5    .text   ascii   QWhU
262  0x00005b9f 0x0040679f 4   5    .text   ascii   \f_YX
263  0x00005bb0 0x004067b0 4   5    .text   ascii   VSho
264  0x00005bcc 0x004067cc 4   5    .text   ascii   VSh8
265  0x00005bea 0x004067ea 4   5    .text   ascii   VSh:
266  0x00005c2f 0x0040682f 5   7    .text   utf8    _X^Í\r blocks=Basic Latin,Latin-1 Supplement
267  0x00005d1b 0x0040691b 4   7    .text   utf8    PRS腮 blocks=Basic Latin,CJK Unified Ideographs
268  0x00005e2d 0x00406a2d 4   5    .text   ascii   PVh\
269  0x00005e3b 0x00406a3b 4   5    .text   ascii   \f^XZ
270  0x00005ea6 0x00406aa6 5   7    .text   utf8    Z_^Í= blocks=Basic Latin,Latin-1 Supplement
271  0x00005f72 0x00406b72 4   5    .text   ascii   P[X!
272  0x00006033 0x00406c33 4   6    .text   utf8    Y[Zø blocks=Basic Latin,Latin-1 Supplement
273  0x00006057 0x00406c57 4   5    .text   ascii   FFFF
274  0x000061b5 0x00406db5 4   5    .text   ascii   VQhV
275  0x000061d4 0x00406dd4 4   5    .text   ascii   VQh[
276  0x000061e2 0x00406de2 4   5    .text   ascii   \fY^Z
277  0x0000622e 0x00406e2e 4   5    .text   ascii   WY_G
278  0x000062df 0x00406edf 4   5    .text   ascii   QVhj
279  0x000062ff 0x00406eff 4   5    .text   ascii   QVh/
280  0x00006376 0x00406f76 4   5    .text   ascii   \n3\vQ
281  0x000063a0 0x00406fa0 4   5    .text   ascii   0]3*
282  0x000064f7 0x004070f7 6   7    .text   ascii   GGGGCH
283  0x00006545 0x00407145 4   5    .text   ascii   2WVh
284  0x00006591 0x00407191 4   5    .text   ascii   \f^_Y
285  0x00006615 0x00407215 4   5    .text   ascii   SPh-
286  0x0000665e 0x0040725e 4   5    .text   ascii   \fX[Z
287  0x0000666e 0x0040726e 5   6    .text   ascii   [PShK
288  0x000066ab 0x004072ab 4   5    .text   ascii   PSh%
289  0x000066b9 0x004072b9 4   5    .text   ascii   \f[X^
290  0x000066f1 0x004072f1 4   6    .text   utf8    Z]^ø blocks=Basic Latin,Latin-1 Supplement
291  0x0000670f 0x0040730f 7   8    .text   ascii   )AAAAWj
292  0x0000674a 0x0040734a 4   5    .text   ascii   PUht
293  0x00006779 0x00407379 4   6    .text   utf8    ]X_Í blocks=Basic Latin,Latin-1 Supplement
294  0x0000679a 0x0040739a 5   6    .text   ascii   AAAAG
295  0x000067c4 0x004073c4 5   6    .text   ascii   ;CCCC
296  0x000067e0 0x004073e0 4   5    .text   ascii   YSQh
297  0x00006821 0x00407421 4   5    .text   ascii   SQhK
298  0x00006890 0x00407490 4   5    .text   ascii   WPhS
299  0x000068bb 0x004074bb 6   8    .text   utf8    \fX_]þ/ blocks=Basic Latin,Latin-1 Supplement
300  0x00006912 0x00407512 4   5    .text   ascii   QWhz
301  0x00006930 0x00407530 4   5    .text   ascii   QWhp
302  0x0000695e 0x0040755e 5   6    .text   ascii   \b@@@@
303  0x00006a41 0x00407641 4   5    .text   ascii   \fZ]Y
304  0x00006a51 0x00407651 4   5    .text   ascii   PSh\b
305  0x00006a90 0x00407690 4   5    .text   ascii   PShE
306  0x00006a9e 0x0040769e 4   5    .text   ascii   \f[X_
307  0x00006ab3 0x004076b3 4   5    .text   ascii   :SWh
308  0x00006ad2 0x004076d2 4   5    .text   ascii   SWh\t
309  0x00006afd 0x004076fd 4   5    .text   ascii   \f_[X
310  0x00006b34 0x00407734 5   7    .text   utf8    YZ[ù* blocks=Basic Latin,Latin-1 Supplement
311  0x00006bcf 0x004077cf 4   5    .text   ascii   UQh8
312  0x00006c0a 0x0040780a 4   5    .text   ascii   UQh\b
313  0x00006c18 0x00407818 4   5    .text   ascii   \fY][
314  0x00006c27 0x00407827 5   6    .text   ascii   ^PVhl
315  0x00006c70 0x00407870 4   5    .text   ascii   \f^X[
316  0x00006cee 0x004078ee 4   5    .text   ascii   SQhX
317  0x00006d40 0x00407940 4   5    .text   ascii   AAAA
318  0x00006dc1 0x004079c1 4   5    .text   ascii   P[XG
