Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
235  0x00005ebc 0x00406abc 4   6    .text   utf8    ËM\b; blocks=Latin-1 Supplement,Basic Latin
236  0x00005eca 0x00406aca 4   5    .text   ascii   u\f9E
237  0x00005ecf 0x00406acf 4   6    .text   utf8    w͋}\f blocks=Basic Latin,Combining Diacritical Marks
238  0x00005f54 0x00406b54 4   6    .text   utf8    t\t3ҋ blocks=Basic Latin,Cyrillic
239  0x000060a5 0x00406ca5 5   6    .text   ascii   ~,WPV
240  0x00006163 0x00406d63 4   5    .text   ascii   98t^
241  0x0000616d 0x00406d6d 4   5    .text   ascii   tVPV
242  0x0000618a 0x00406d8a 7   9    .text   utf8    Ct/9U\bu
243  0x000061a4 0x00406da4 4   5    .text   ascii   9}\bu
244  0x000061ba 0x00406dba 4   6    .text   utf8    \tE܉} blocks=Basic Latin,Syriac
245  0x00006242 0x00406e42 4   5    .text   ascii   t\tVP
246  0x00006271 0x00406e71 4   5    .text   ascii   5TFC
247  0x000062a3 0x00406ea3 4   5    .text   ascii   u\bWV
248  0x0000633a 0x00406f3a 4   5    .text   ascii   h8WA
249  0x00006387 0x00406f87 5   6    .text   ascii   WWWWW
250  0x00006441 0x00407041 4   5    .text   ascii   8csm
251  0x00006478 0x00407078 4   5    .text   ascii   h6p@
252  0x00006549 0x00407149 4   5    .text   ascii   ;u\br
253  0x0000656d 0x0040716d 4   5    .text   ascii   ;u\fr
254  0x000065d8 0x004071d8 4   5    .text   ascii   Yt\eh
255  0x000065fc 0x004071fc 4   5    .text   ascii   hXWA
256  0x0000663a 0x0040723a 4   5    .text   ascii   5\fyC
257  0x0000664f 0x0040724f 4   5    .text   ascii   5\byC
258  0x0000668f 0x0040728f 4   5    .text   ascii   5\fyC
259  0x0000669c 0x0040729c 4   5    .text   ascii   5\byC
260  0x00006715 0x00407315 4   5    .text   ascii   t\bj\b
261  0x000067aa 0x004073aa 4   5    .text   ascii   h<s@
262  0x000067c7 0x004073c7 5   6    .text   ascii   ]\bVW3
263  0x0000680b 0x0040740b 4   5    .text   ascii   =\bpA
264  0x00006823 0x00407423 4   5    .text   ascii   hP2A
265  0x0000683e 0x0040743e 7   8    .text   ascii   t\rVVVVV
266  0x00006869 0x00407469 6   7    .text   ascii   u&h82A
267  0x00006884 0x00407484 5   6    .text   ascii   PPPPP
268  0x0000689b 0x0040749b 4   5    .text   ascii   <v8V
269  0x000068b0 0x004074b0 4   5    .text   ascii   h42A
270  0x000068c7 0x004074c7 5   6    .text   ascii   VVVVV
271  0x000068d8 0x004074d8 4   5    .text   ascii   h02A
272  0x000068e9 0x004074e9 7   8    .text   ascii   t\rVVVVV
273  0x000068fc 0x004074fc 4   6    .text   utf8    4żzA blocks=Basic Latin,Latin Extended-A
274  0x0000690e 0x0040750e 7   8    .text   ascii   t\rVVVVV
275  0x00006922 0x00407522 4   5    .text   ascii   h\b2A
276  0x00006983 0x00407583 4   5    .text   ascii   =\bpA
277  0x000069c8 0x004075c8 4   5    .text   ascii   S99t
278  0x000069e2 0x004075e2 5   6    .text   ascii   s\b99u
279  0x00006a36 0x00407636 4   5    .text   ascii   \rp{A
280  0x00006a3c 0x0040763c 4   5    .text   ascii   =t{A
281  0x00006a55 0x00407655 4   5    .text   ascii   =p{A
282  0x00006ae1 0x004076e1 4   5    .text   ascii   vdj\b
283  0x00006b27 0x00407727 4   5    .text   ascii   < w\b
284  0x00006b31 0x00407731 8   10   .text   utf8    t$<"u\t3Ʌ blocks=Basic Latin,Latin Extended-B
285  0x00006b52 0x00407752 5   6    .text   ascii   < w\aF
286  0x00006baa 0x004077aa 4   5    .text   ascii   =\bBC
287  0x00006bc6 0x004077c6 6   7    .text   ascii   >=Yt1j
288  0x00006bd9 0x004077d9 5   6    .text   ascii   tNVSP
289  0x00006bec 0x004077ec 5   6    .text   ascii   PPPPP
290  0x00006c24 0x00407824 4   5    .text   ascii   Y[_^
291  0x00006c2a 0x0040782a 4   5    .text   ascii   5\bBC
292  0x00006c35 0x00407835 4   5    .text   ascii   %\bBC
293  0x00006c5a 0x0040785a 5   6    .text   ascii   9E\bt\t
294  0x00006d1a 0x0040791a 4   5    .text   ascii   >"u&
295  0x00006d64 0x00407964 10  11   .text   ascii   u\b< tK<\ttG
296  0x00006dcb 0x004079cb 4   5    .text   ascii   E\b^[
297  0x00006ea5 0x00407aa5 4   5    .text   ascii   5,!A
298  0x00006ecf 0x00407acf 4   5    .text   ascii   xu\nj
299  0x00006f04 0x00407b04 4   5    .text   ascii   @@f9
300  0x00006f0b 0x00407b0b 4   5    .text   ascii   @@f9
301  0x00006f13 0x00407b13 4   5    .text   ascii   5(!A
302  0x00006f18 0x00407b18 4   5    .text   ascii   SSS+
303  0x00006f20 0x00407b20 5   6    .text   ascii   @PWSS
304  0x00006f3d 0x00407b3d 4   5    .text   ascii   t!SS
305  0x00006f86 0x00407b86 4   5    .text   ascii   t\n@8
306  0x0000701f 0x00407c1f 4   5    .text   ascii   9E\bj
307  0x00007072 0x00407c72 4   6    .text   utf8    УlzA blocks=Cyrillic,Basic Latin
308  0x000070cc 0x00407ccc 4   5    .text   ascii   5hzA
309  0x000070d2 0x00407cd2 5   7    .text   utf8    ։5lzA blocks=Armenian,Basic Latin
310  0x000070de 0x00407cde 6   7    .text   ascii   j\fhxWA
311  0x00007255 0x00407e55 4   5    .text   ascii   Et\a@
312  0x00007338 0x00407f38 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
313  0x0000734b 0x00407f4b 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
314  0x00007374 0x00407f74 6   7    .text   ascii   _VVVVV
315  0x00007398 0x00407f98 4   5    .text   ascii   9u\bv
316  0x0000739d 0x00407f9d 4   5    .text   ascii   9u\f~
317  0x000073ab 0x00407fab 6   7    .text   ascii   \t9E\bw\t
318  0x000073b6 0x00407fb6 4   7    .text   utf8    j"뺀} blocks=Basic Latin,Hangul Syllables
319  0x000073cb 0x00407fcb 4   6    .text   utf8    3Ƀ:- blocks=Basic Latin,Latin Extended-B
320  0x0000743c 0x0040803c 7   8    .text   ascii   t\rSSSSS
321  0x0000745b 0x0040805b 4   5    .text   ascii   80t.
322  0x000074d1 0x004080d1 5   6    .text   ascii   E\bSVW
323  0x000074fd 0x004080fd 5   6    .text   ascii   SSSSS
324  0x000075e9 0x004081e9 6   7    .text   ascii   ^WWWWW
325  0x00007743 0x00408343 4   5    .text   ascii   E\f9U
326  0x0000780e 0x0040840e 4   5    .text   ascii   ;E\ft
327  0x000078a3 0x004084a3 4   5    .text   ascii   SQRP
328  0x000078c9 0x004084c9 4   5    .text   ascii   jdRP
329  0x000078ef 0x004084ef 4   5    .text   ascii   j\nRP
330  0x0000794f 0x0040854f 5   6    .text   ascii   PPPPP
331  0x0000797c 0x0040857c 4   5    .text   ascii   ;u\fu
332  0x000079e6 0x004085e6 4   5    .text   ascii   9]\f|
333  0x000079f8 0x004085f8 4   5    .text   ascii   Wj0V
334  0x00007a2b 0x0040862b 5   6    .text   ascii   E\bSVW
335  0x00007a57 0x00408657 5   6    .text   ascii   SSSSS
336  0x00007a79 0x00408679 4   6    .text   utf8    \v3Ƀ} blocks=Basic Latin,Latin Extended-B
337  0x00007ae6 0x004086e6 4   5    .text   ascii   E\bSV
338  0x00007aeb 0x004086eb 4   5    .text   ascii   u\fWj
339  0x00007b12 0x00408712 5   6    .text   ascii   SSSSS
340  0x00007b73 0x00408773 4   5    .text   ascii   |-;E
341  0x00007cb3 0x004088b3 7   8    .text   ascii   t\rVVVVV
342  0x00007d02 0x00408902 4   5    .text   ascii   h$3A
343  0x00007d11 0x00408911 4   5    .text   ascii   h\b3A
344  0x00007d66 0x00408966 17  18   .text   ascii   tRHtCHt4Ht%HtFHHt
345  0x00007e07 0x00408a07 4   5    .text   ascii   N\bQP
346  0x00007e35 0x00408a35 5   6    .text   ascii   >\bYYt
347  0x00007ea5 0x00408aa5 5   7    .text   utf8    @_^Ã$ blocks=Basic Latin,Latin-1 Supplement
348  0x00007f15 0x00408b15 4   6    .text   utf8    4Ű{A blocks=Basic Latin,Latin Extended-A
349  0x00007ff0 0x00408bf0 4   6    .text   utf8    4Ű{A blocks=Basic Latin,Latin Extended-A
350  0x0000804e 0x00408c4e 5   7    .text   utf8    ]ËT$\f blocks=Basic Latin,Latin-1 Supplement
351  0x0000805a 0x00408c5a 7   9    .text   utf8    ti3\nD$\b
352  0x00008089 0x00408c89 5   7    .text   utf8    t\f+ш\a blocks=Basic Latin,Cyrillic
353  0x000080c0 0x00408cc0 7   9    .text   utf8    D$\b_ËD$ blocks=Basic Latin,Latin-1 Supplement
354  0x000080e2 0x00408ce2 5   6    .text   ascii   U\b+P\f
355  0x00008162 0x00408d62 5   6    .text   ascii   ;K\buB
356  0x000081a1 0x00408da1 4   5    .text   ascii   M\b!Y
357  0x000081f0 0x00408df0 5   6    .text   ascii   u\fK^;
358  0x00008216 0x00408e16 5   6    .text   ascii   ;q\bu;
359  0x00008236 0x00408e36 4   5    .text   ascii   M\b!1
360  0x00008251 0x00408e51 4   5    .text   ascii   M\b!q
361  0x0000829f 0x00408e9f 5   6    .text   ascii   ;N\bu`
362  0x000082ec 0x00408eec 4   5    .text   ascii   M\b\tY
363  0x0000832c 0x00408f2c 4   5    .text   ascii   54!A
364  0x00008396 0x00408f96 4   5    .text   ascii   ueSj
365  0x000083ab 0x00408fab 4   5    .text   ascii   5TFC
366  0x00008432 0x00409032 4   5    .text   ascii   5TFC
367  0x00008468 0x00409068 4   5    .text   ascii   5TFC
