[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
224  0x00002eaa 0x00423aaa 4   5    UPX1    ascii   w_x\e
225  0x00002ee2 0x00423ae2 5   7    UPX1    utf8    `\t,عk blocks=Basic Latin,Arabic
226  0x00002f2c 0x00423b2c 4   6    UPX1    utf8    \boȢy blocks=Basic Latin,Latin Extended-B
227  0x00002f4c 0x00423b4c 4   5    UPX1    ascii   $ ! 
228  0x00002f70 0x00423b70 4   5    UPX1    ascii   >$"\
229  0x00002f7c 0x00423b7c 6   7    UPX1    ascii   4k-!.L
230  0x00002f90 0x00423b90 6   9    UPX1    utf8    9w:W놩\ blocks=Basic Latin,Hangul Syllables
231  0x00002f9e 0x00423b9e 6   7    UPX1    ascii   \b#6[Y0
232  0x00002fbf 0x00423bbf 5   6    UPX1    ascii   CG_[=
233  0x00002fd6 0x00423bd6 4   6    UPX1    utf8    07=С blocks=Basic Latin,Cyrillic
234  0x00002ff7 0x00423bf7 5   6    UPX1    ascii   h%`\fG
235  0x000030df 0x00423cdf 5   8    UPX1    utf8    % $`뿰 blocks=Basic Latin,Hangul Syllables
236  0x00003104 0x00423d04 4   5    UPX1    ascii   Vz\f6
237  0x0000310f 0x00423d0f 6   8    UPX1    utf8    m^u&ʥc blocks=Basic Latin,IPA Extensions
238  0x00003134 0x00423d34 4   5    UPX1    ascii   3x\b-
239  0x00003141 0x00423d41 4   5    UPX1    ascii   \e"'@
240  0x0000315e 0x00423d5e 4   5    UPX1    ascii   Y;x\e
241  0x00003197 0x00423d97 5   6    UPX1    ascii    a\f7Y
242  0x000031f2 0x00423df2 5   6    UPX1    ascii   \e-*Sf
243  0x00003202 0x00423e02 4   5    UPX1    ascii   yY\e@
244  0x0000320a 0x00423e0a 5   6    UPX1    ascii   DoX<:
245  0x0000323f 0x00423e3f 5   7    UPX1    utf8    |ϾVeR blocks=Basic Latin,Greek and Coptic
246  0x00003263 0x00423e63 4   5    UPX1    ascii   }EnI
247  0x00003292 0x00423e92 4   5    UPX1    ascii   YD'A
248  0x00003328 0x00423f28 4   5    UPX1    ascii   #x)=
249  0x000033fc 0x00423ffc 4   5    UPX1    ascii   <@ub
250  0x00003499 0x00424099 5   6    UPX1    ascii   \aw6ao
251  0x000034cb 0x004240cb 7   8    UPX1    ascii   t/\b1HHj
252  0x000034d6 0x004240d6 4   6    UPX1    utf8    \r9uă blocks=Basic Latin,Latin Extended-A
253  0x000034f7 0x004240f7 5   6    UPX1    ascii   *u/7S
254  0x0000352d 0x0042412d 5   6    UPX1    ascii   /6\fh+
255  0x00003553 0x00424153 4   5    UPX1    ascii   QItE
256  0x0000355c 0x0042415c 7   8    UPX1    ascii   ht8I\nl,
257  0x000035aa 0x004241aa 11  12   UPX1    ascii   m5We<i\aOoGy
258  0x000035b6 0x004241b6 7   8    UPX1    ascii   gyu?x7X
259  0x0000361d 0x0042421d 4   5    UPX1    ascii   |QAt
260  0x00003628 0x00424228 4   5    UPX1    ascii   -Q?2
