[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
217  0x00004d6d 0x0040576d 5   7    .text   utf8    ډ\$<j blocks=Arabic,Basic Latin
218  0x00004dc6 0x004057c6 5   7    .text   utf8    3҉D$, blocks=Basic Latin,Cyrillic
219  0x00004e10 0x00405810 4   6    .text   utf8    ω|$( blocks=Greek and Coptic,Basic Latin
220  0x00004e1f 0x0040581f 5   7    .text   utf8    3ɉL$( blocks=Basic Latin,Latin Extended-B
221  0x00004e2b 0x0040582b 5   6    .text   ascii   t$ t\r
222  0x00004e5c 0x0040585c 6   7    .text   ascii   D$$PQh
223  0x00004e74 0x00405874 6   7    .text   ascii   D$$PWh
224  0x00004ec0 0x004058c0 5   7    .text   utf8    ӋL$ @ blocks=Cyrillic,Basic Latin
225  0x00004ef3 0x004058f3 4   5    .text   ascii   D$\f;
226  0x00004f03 0x00405903 4   5    .text   ascii   t$(3
227  0x00004f22 0x00405922 9   10   .text   ascii   ><\nt\v<\rt\a
228  0x00004f2f 0x0040592f 5   6    .text   ascii   L$\fWF
229  0x00004f35 0x00405935 5   7    .text   utf8    ӋL$\f; blocks=Cyrillic,Basic Latin
230  0x00004f55 0x00405955 9   10   .text   ascii   ><\nt\v<\rt\a
231  0x00004f62 0x00405962 5   6    .text   ascii   L$\fWF
232  0x00004f68 0x00405968 5   7    .text   utf8    ӋL$\f; blocks=Cyrillic,Basic Latin
233  0x00004fb6 0x004059b6 4   5    .text   ascii   t$ j
234  0x00005028 0x00405a28 4   6    .text   utf8    ؉\$  blocks=Arabic,Basic Latin
235  0x00005044 0x00405a44 5   7    .text   utf8    3\tD$\f
236  0x00005068 0x00405a68 4   5    .text   ascii   L$8f
237  0x0000508c 0x00405a8c 5   7    .text   utf8    L$JƄ$ blocks=Basic Latin,Latin Extended-B
238  0x000050e7 0x00405ae7 6   7    .text   ascii   D$$PWh
239  0x00005152 0x00405b52 9   10   .text   ascii   ><\nt\v<\rt\a
240  0x0000515f 0x00405b5f 5   6    .text   ascii   L$\fWF
241  0x00005165 0x00405b65 5   7    .text   utf8    ӋL$\f; blocks=Cyrillic,Basic Latin
242  0x0000522b 0x00405c2b 4   6    .text   utf8    ӍL$@ blocks=Cyrillic,Basic Latin
