[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
211  0x00004164 0x00405b64 6   8    .data   utf8    Yk8Zԙ1 blocks=Basic Latin,Cyrillic Supplement
212  0x00004178 0x00405b78 4   5    .data   ascii   Y}re
213  0x00004210 0x00405c10 4   5    .data   ascii   IN8Z
214  0x000042c9 0x00405cc9 5   6    .data   ascii   '{TOk
215  0x00004329 0x00405d29 5   7    .data   utf8    z8[˙1 blocks=Basic Latin,Spacing Modifier Letters
216  0x0000433c 0x00405d3c 5   7    .data   utf8    _)53ގ blocks=Basic Latin,Thaana
217  0x000043bb 0x00405dbb 5   6    .data   ascii   jYirD
218  0x000043ec 0x00405dec 6   8    .data   utf8    YQ8[˙1 blocks=Basic Latin,Spacing Modifier Letters
219  0x000043f4 0x00405df4 4   5    .data   ascii   Ym8]
220  0x00004414 0x00405e14 5   7    .data   utf8    Yi8ZЙ blocks=Basic Latin,Cyrillic
221  0x00004440 0x00405e40 5   6    .data   ascii   _,%;b
222  0x00004456 0x00405e56 4   6    .data   utf8    8Zԙ1 blocks=Basic Latin,Cyrillic Supplement
223  0x00004494 0x00405e94 4   5    .data   ascii   Y`8Z
224  0x000044ac 0x00405eac 6   8    .data   utf8    Y\8Zԙ1 blocks=Basic Latin,Cyrillic Supplement
225  0x000044d4 0x00405ed4 4   5    .data   ascii   Y{8Z
226  0x000044f3 0x00405ef3 7   9    .data   utf8    ZYi8Zԙ1 blocks=Basic Latin,Cyrillic Supplement
227  0x00004530 0x00405f30 6   8    .data   utf8    Yl8ZЙ* blocks=Basic Latin,Cyrillic
228  0x000045bc 0x00405fbc 6   8    .data   utf8    Y{8[˙1 blocks=Basic Latin,Spacing Modifier Letters
229  0x00004651 0x00406051 5   7    .data   utf8    |8ZЙ! blocks=Basic Latin,Cyrillic
230  0x000046a4 0x004060a4 4   5    .data   ascii   *!:S
231  0x00004760 0x00406160 4   5    .data   ascii   Y}8Z
232  0x000047af 0x004061af 5   6    .data   ascii   bYl8Z
233  0x000048a8 0x004062a8 6   8    .data   utf8    Y{8Zԉ. blocks=Basic Latin,Cyrillic Supplement
234  0x000048d8 0x004062d8 6   8    .data   utf8    Yk8ZЙ. blocks=Basic Latin,Cyrillic
235  0x000048f3 0x004062f3 5   6    .data   ascii   CYd8Z
236  0x00004932 0x00406332 4   5    .data   ascii   rPY}
237  0x00004960 0x00406360 6   8    .data   utf8    Yq8[˙1 blocks=Basic Latin,Spacing Modifier Letters
238  0x00004968 0x00406368 6   8    .data   utf8    Yl8Zԙ1 blocks=Basic Latin,Cyrillic Supplement
239  0x00004ac0 0x004064c0 4   5    .data   ascii   #!2S
240  0x00004acc 0x004064cc 4   5    .data   ascii   sBF0
241  0x00004ad8 0x004064d8 6   8    .data   utf8    YT8Zԙ1 blocks=Basic Latin,Cyrillic Supplement
242  0x00004bed 0x004065ed 4   5    .data   ascii   !#S\e
243  0x00004bf3 0x004065f3 5   6    .data   ascii   ZYl8Y
244  0x00004c18 0x00406618 6   8    .data   utf8    Yh8ZЙ! blocks=Basic Latin,Cyrillic
245  0x00004c44 0x00406644 6   8    .data   utf8    Yl8Zٙ. blocks=Basic Latin,Arabic
246  0x00004cd8 0x004066d8 4   5    .data   ascii   Y|8Z
247  0x00004e19 0x00406819 4   5    .data   ascii   !6S\e
248  0x00004e4c 0x0040684c 6   8    .data   utf8    Yy8ZЙ* blocks=Basic Latin,Cyrillic
