[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
220  0x000061e1 0x004061e1 10  11   .text   ascii   RWWWWWWWSW
221  0x0000622b 0x0040622b 6   7    .text   ascii   /T:w$U
222  0x0000623d 0x0040623d 4   5    .text   ascii   H\bS3
223  0x0000628b 0x0040628b 4   5    .text   ascii   E\fPV
224  0x000062f0 0x004062f0 4   5    .text   ascii   M\fSQ
225  0x0000630b 0x0040630b 4   6    .text   utf8    Q3\rU
226  0x00006317 0x00406317 5   8    .text   utf8    E\tEĉE blocks=Basic Latin,Latin Extended-A
227  0x00006363 0x00406363 4   5    .text   ascii   SSRW
228  0x0000637f 0x0040637f 8   9    .text   ascii   RSSSSSSS
229  0x00006427 0x00406427 4   5    .text   ascii   _^[]
230  0x000064b0 0x004064b0 4   6    .text   utf8    ^_]Ú blocks=Basic Latin,Latin-1 Supplement
231  0x000064bb 0x004064bb 6   7    .text   ascii   \C\a@7U
232  0x000064c5 0x004064c5 4   5    .text   ascii   u\bj4
233  0x000064ca 0x004064ca 4   5    .text   ascii   F4PV
234  0x000064df 0x004064df 4   5    .text   ascii   F\f^]
235  0x00006521 0x00406521 10  11   .text   ascii   <0POSTt\t@;
236  0x000065b7 0x004065b7 5   6    .text   ascii   wMRQW
237  0x00006600 0x00406600 4   5    .text   ascii   Rj"S
238  0x00006631 0x00406631 4   5    .text   ascii   @tpW
239  0x0000664a 0x0040664a 4   6    .text   utf8    _]ËH blocks=Basic Latin,Latin-1 Supplement
240  0x000067e8 0x004067e8 4   5    .text   ascii   QjxS
241  0x00006831 0x00406831 4   5    .text   ascii   RjyS
242  0x00006863 0x00406863 4   5    .text   ascii   PjzS
243  0x00006895 0x00406895 4   5    .text   ascii   Qj{S
244  0x000068ca 0x004068ca 4   5    .text   ascii   Rj|S
245  0x000069a6 0x004069a6 4   5    .text   ascii   \f_^[
246  0x000069ac 0x004069ac 4   6    .text   utf8    ]Ëu\f blocks=Basic Latin,Latin-1 Supplement
247  0x000069f0 0x004069f0 7   8    .text   ascii   eyY9(L@
248  0x00006a0d 0x00406a0d 4   5    .text   ascii   %qgj
249  0x00006a69 0x00406a69 5   8    .text   utf8    鏦w~&^ blocks=CJK Unified Ideographs,Basic Latin
250  0x00006ab0 0x00406ab0 5   6    .text   ascii   R6}lk
251  0x00006ae7 0x00406ae7 6   7    .text   ascii   <p"RUg
252  0x00006b0e 0x00406b0e 5   6    .text   ascii   'onp4
253  0x00006b14 0x00406b14 4   6    .text   utf8    e"چ? blocks=Basic Latin,Arabic
254  0x00006b1f 0x00406b1f 5   6    .text   ascii   UL._E
255  0x00006b3f 0x00406b3f 7   8    .text   ascii   %D"O\vej
256  0x00006b4d 0x00406b4d 5   7    .text   utf8    X6ݯqs blocks=Basic Latin,Arabic Supplement
257  0x00006ba9 0x00406ba9 5   6    .text   ascii   ww9w|
258  0x00006baf 0x00406baf 4   5    .text   ascii   \n\f$l
259  0x00006c08 0x00406c08 4   5    .text   ascii   pC\k
260  0x00006c1e 0x00406c1e 5   7    .text   utf8    ZFsЏJ blocks=Basic Latin,Cyrillic
261  0x00006c3a 0x00406c3a 7   8    .text   ascii   Axa0hDt
262  0x00006c4a 0x00406c4a 6   7    .text   ascii   DQ}M,\b
263  0x00006c78 0x00406c78 4   5    .text   ascii   }>MY
264  0x00006cb4 0x00406cb4 5   7    .text   utf8    IƇ }u blocks=Basic Latin,Latin Extended-B
265  0x00006cbb 0x00406cbb 4   5    .text   ascii   S\nn\
266  0x00006cc8 0x00406cc8 5   7    .text   utf8    7MÍsx blocks=Basic Latin,Latin-1 Supplement
267  0x00006d06 0x00406d06 4   5    .text   ascii   `V[Y
268  0x00006d13 0x00406d13 4   5    .text   ascii   U&%G
269  0x00006d9e 0x00406d9e 5   6    .text   ascii   )z4G(
270  0x00006dd9 0x00406dd9 4   5    .text   ascii   gfMV
271  0x00006e0d 0x00406e0d 4   5    .text   ascii   Ig3M
272  0x00006eab 0x00406eab 5   6    .text   ascii   M\fWSQ
273  0x00006ec1 0x00406ec1 5   6    .text   ascii   U\fWRS
274  0x00006f1b 0x00406f1b 5   8    .text   utf8    E؉EډE blocks=Basic Latin,Arabic
275  0x00006f34 0x00406f34 4   5    .text   ascii   @v\v3
276  0x000070e9 0x004070e9 4   5    .text   ascii   SVWh
277  0x00007169 0x00407169 4   5    .text   ascii   t;WV
278  0x00007213 0x00407213 6   7    .text   ascii   U\fRVPW
279  0x0000725a 0x0040725a 6   7    .text   ascii   M\fQVRW
280  0x00007327 0x00407327 4   5    .text   ascii   D~$_
281  0x00007415 0x00407415 4   5    .text   ascii   @\fRP
282  0x00007446 0x00407446 4   5    .text   ascii   A\b;B
283  0x0000745e 0x0040745e 4   5    .text   ascii   \f_^]
284  0x00007468 0x00407468 4   5    .text   ascii   $L>U
285  0x0000747a 0x0040747a 4   5    .text   ascii   u\fWh
286  0x00007485 0x00407485 4   5    .text   ascii   WVQP
287  0x00007515 0x00407515 4   5    .text   ascii   \t\ff
288  0x00007575 0x00407575 5   6    .text   ascii   9\t\v3
289  0x000075d0 0x004075d0 6   7    .text   ascii   3333t\t
290  0x00007618 0x00407618 5   6    .text   ascii   `,@N3
291  0x00007625 0x00407625 4   5    .text   ascii   @Vj?
292  0x00007680 0x00407680 4   5    .text   ascii   Pj\bj
293  0x000076b9 0x004076b9 4   5    .text   ascii   SVW3
294  0x000076e3 0x004076e3 4   5    .text   ascii   }\bQW
295  0x0000772e 0x0040772e 4   5    .text   ascii   PSQW
296  0x00007776 0x00407776 4   5    .text   ascii   &_^3
297  0x0000789e 0x0040789e 4   6    .text   utf8    ؋C(P blocks=Arabic,Basic Latin
298  0x000078ca 0x004078ca 4   5    .text   ascii   (_^[
299  0x000078d4 0x004078d4 4   5    .text   ascii   jN*s
300  0x000078e5 0x004078e5 6   7    .text   ascii   XSVWj4
301  0x000079eb 0x004079eb 5   6    .text   ascii   H(WQS
302  0x00007a16 0x00407a16 8   9    .text   ascii   U\fjdVWRS
303  0x00007a4f 0x00407a4f 4   5    .text   ascii   QPRS
304  0x00007a78 0x00407a78 4   5    .text   ascii   \bQRS
305  0x00007b27 0x00407b27 4   5    .text   ascii   }\b^3
306  0x00007b31 0x00407b31 6   7    .text   ascii   W9^ ts
307  0x00007b97 0x00407b97 4   5    .text   ascii   PQWV
308  0x00007bd8 0x00407bd8 4   5    .text   ascii   \b_^3
309  0x00007c90 0x00407c90 4   5    .text   ascii   QRSV
310  0x00007c9b 0x00407c9b 4   5    .text   ascii   L_^[
311  0x00007cc4 0x00407cc4 4   5    .text   ascii   u\b_3
312  0x00007d2a 0x00407d2a 4   5    .text   ascii   Ph!i
313  0x00007d51 0x00407d51 4   5    .text   ascii   RPQW
314  0x00007de4 0x00407de4 4   5    .text   ascii   E\fPW
315  0x00007df0 0x00407df0 5   7    .text   utf8    _^[]Å blocks=Basic Latin,Latin-1 Supplement
316  0x00007e07 0x00407e07 5   6    .text   ascii   M\bSVW
317  0x00007ea9 0x00407ea9 5   6    .text   ascii   u\f8\0
318  0x00007edc 0x00407edc 5   6    .text   ascii   <>AuJ
319  0x00007ef9 0x00407ef9 5   6    .text   ascii   u\f8\0
320  0x00007f2c 0x00407f2c 5   6    .text   ascii   <>BuJ
321  0x00007f49 0x00407f49 5   6    .text   ascii   u\f8\0
322  0x00007f7c 0x00407f7c 5   6    .text   ascii   <>CuJ
323  0x00007f99 0x00407f99 5   6    .text   ascii   u\f8\0
324  0x00007fcc 0x00407fcc 5   6    .text   ascii   <>DuG
325  0x00007fe9 0x00407fe9 5   6    .text   ascii   u\f8\0
326  0x00008111 0x00408111 5   6    .text   ascii   M\bQWV
327  0x000081cd 0x004081cd 4   5    .text   ascii   Pj|V
328  0x00008279 0x00408279 4   5    .text   ascii   SVW3
329  0x00008537 0x00408537 8   11   .text   utf8    _^]Ì=\مV blocks=Basic Latin,Latin-1 Supplement,Arabic
330  0x000086d9 0x004086d9 4   6    .text   utf8    v!3Ʌ blocks=Basic Latin,Latin Extended-B
331  0x0000874a 0x0040874a 5   6    .text   ascii   -1<HI
