Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
190  0x00002f48 0x00014b48 4   5    .data   ascii   \>tc
191  0x00002f6f 0x00014b6f 4   5    .data   ascii   > 'C
192  0x00002f78 0x00014b78 4   5    .data   ascii   +t~e
193  0x00002f7d 0x00014b7d 4   5    .data   ascii   +kY!
194  0x00002faa 0x00014baa 4   7    .data   utf8    rk*뻶 blocks=Basic Latin,Hangul Syllables
195  0x00002fce 0x00014bce 6   7    .data   ascii   Q.;\t 1
196  0x00002ff1 0x00014bf1 5   6    .data   ascii   t*48=
197  0x00003018 0x00014c18 4   5    .data   ascii   `W#\b
198  0x0000305a 0x00014c5a 11  13   .data   utf8    iw{1ٕuHwhXL blocks=Basic Latin,Arabic
199  0x000030c5 0x00014cc5 4   6    .data   utf8    9;ԣ\n blocks=Basic Latin,Cyrillic Supplement
200  0x000030df 0x00014cdf 4   5    .data   ascii   J\vDC
201  0x000030f4 0x00014cf4 4   5    .data   ascii   fDNt
202  0x0000316f 0x00014d6f 5   6    .data   ascii   EX>V!
203  0x00003181 0x00014d81 5   6    .data   ascii   /bv^5
204  0x000031be 0x00014dbe 4   5    .data   ascii   _aWp
205  0x00003203 0x00014e03 6   8    .data   utf8    ޱub/rX blocks=Thaana,Basic Latin
206  0x0000322a 0x00014e2a 5   6    .data   ascii   g\n1))
207  0x00003267 0x00014e67 4   5    .data   ascii   ih8/
208  0x0000329e 0x00014e9e 5   6    .data   ascii   uf\rBd
209  0x000032d7 0x00014ed7 6   7    .data   ascii   N'^\rq[
210  0x000032e2 0x00014ee2 5   6    .data   ascii   U-H/v
211  0x000032fc 0x00014efc 4   5    .data   ascii   Z\bk\a
212  0x0000333c 0x00014f3c 4   5    .data   ascii   e]eJ
213  0x0000334e 0x00014f4e 8   9    .data   ascii   T\agEPZfT
214  0x00003360 0x00014f60 7   8    .data   ascii   qkq@AQ,
215  0x00003426 0x00015026 4   5    .data   ascii   ;*cG
216  0x00003436 0x00015036 4   6    .data   utf8    3В&G blocks=Basic Latin,Cyrillic
217  0x0000344d 0x0001504d 4   5    .data   ascii   8*-^
218  0x000034a1 0x000150a1 4   5    .data   ascii   <\t{ 
219  0x00003562 0x00015162 4   5    .data   ascii   *\ed\e
220  0x0000356d 0x0001516d 5   7    .data   utf8    ȘwzlB blocks=Latin Extended-B,Basic Latin
221  0x00003596 0x00015196 4   5    .data   ascii   yT%3
222  0x000035c1 0x000151c1 5   6    .data   ascii   07"ec
223  0x000035e5 0x000151e5 6   7    .data   ascii   M\e^|\r}
224  0x00003611 0x00015211 4   5    .data   ascii   (MfY
225  0x00003634 0x00015234 5   6    .data   ascii   gredf
226  0x00003641 0x00015241 4   6    .data   utf8    -ڊyu blocks=Basic Latin,Arabic
227  0x0000367f 0x0001527f 4   6    .data   utf8    cZvm
228  0x000036a3 0x000152a3 4   5    .data   ascii   r"m(
229  0x000036c6 0x000152c6 4   5    .data   ascii   \nIXF
230  0x0000371a 0x0001531a 4   6    .data   utf8    ?ڎB\b blocks=Basic Latin,Arabic
231  0x0000375f 0x0001535f 4   6    .data   utf8    {ɣhT blocks=Basic Latin,IPA Extensions
232  0x00003766 0x00015366 5   7    .data   utf8    .fԙ@b blocks=Basic Latin,Cyrillic Supplement
233  0x00003780 0x00015380 4   5    .data   ascii   \om\f
234  0x00003799 0x00015399 7   8    .data   ascii   i:J@p.l
235  0x000037cb 0x000153cb 4   5    .data   ascii   XAId
236  0x000037db 0x000153db 5   7    .data   utf8    -3{\rۋ blocks=Basic Latin,Arabic
237  0x000037e3 0x000153e3 4   5    .data   ascii   |,nB
238  0x000037f7 0x000153f7 5   6    .data   ascii   9,#xJ
239  0x000037ff 0x000153ff 4   6    .data   utf8    Vxy܃ blocks=Basic Latin,Syriac
240  0x0000382a 0x0001542a 4   6    .data   utf8    !cހ\n blocks=Basic Latin,Thaana
241  0x0000386f 0x0001546f 4   5    .data   ascii   M"rt
242  0x000038a2 0x000154a2 6   7    .data   ascii   iI,1=\t
243  0x000038b3 0x000154b3 10  13   .data   utf8    fj{8Ñj\atjѢ blocks=Basic Latin,Latin-1 Supplement,Cyrillic
244  0x000038df 0x000154df 4   5    .data   ascii   E9]&
245  0x00003921 0x00015521 7   9    .data   utf8    sϧh\rHyb blocks=Basic Latin,Greek and Coptic
246  0x00003934 0x00015534 5   6    .data   ascii   zC\n?3
247  0x0000393c 0x0001553c 4   6    .data   utf8    s!ӷk blocks=Basic Latin,Cyrillic
248  0x0000399f 0x0001559f 5   6    .data   ascii   6}3<r
249  0x000039ef 0x000155ef 4   7    .data   utf8    \f퇵 q blocks=Basic Latin,Hangul Syllables
250  0x000039fa 0x000155fa 4   5    .data   ascii   SgCc
251  0x00003a15 0x00015615 6   7    .data   ascii   \v }p8s
252  0x00003a30 0x00015630 6   7    .data   ascii   w_/pM-
253  0x00003a42 0x00015642 6   9    .data   utf8    1%Ρ׳`~ blocks=Basic Latin,Greek and Coptic,Hebrew
254  0x00003a66 0x00015666 4   5    .data   ascii   ~(v@
255  0x00003a89 0x00015689 4   6    .data   utf8    F8Ԍ# blocks=Basic Latin,Cyrillic Supplement
256  0x00003ab6 0x000156b6 5   8    .data   utf8    q{HC盥 blocks=Basic Latin,CJK Unified Ideographs
257  0x00003aff 0x000156ff 8   10   .data   utf8    HA[cvỈJ blocks=Basic Latin,Combining Diacritical Marks
258  0x00003b15 0x00015715 4   5    .data   ascii   x<\a{
259  0x00003b2b 0x0001572b 4   5    .data   ascii   vG?~
260  0x00003b52 0x00015752 5   7    .data   utf8    A֥\n_q blocks=Basic Latin,Hebrew
261  0x00003b5c 0x0001575c 7   8    .data   ascii   \f]A52JH
262  0x00003bab 0x000157ab 6   8    .data   utf8    cǌC'2U blocks=Basic Latin,Latin Extended-B
263  0x00003bb7 0x000157b7 4   6    .data   utf8    adǂ$ blocks=Basic Latin,Latin Extended-B
264  0x00003bc2 0x000157c2 4   5    .data   ascii   I\rLJ
265  0x00003bcb 0x000157cb 6   7    .data   ascii   {\UeM+
266  0x00003bee 0x000157ee 6   7    .data   ascii   ; sAI<
267  0x00003c68 0x00015868 7   8    .data   ascii   HD4twKM
268  0x00003c99 0x00015899 4   5    .data   ascii   y%F[
269  0x00003cbd 0x000158bd 5   6    .data   ascii   Bg1ZF
270  0x00003ce0 0x000158e0 4   7    .data   utf8    qفRӿ blocks=Basic Latin,Arabic,Cyrillic
271  0x00003cf1 0x000158f1 4   5    .data   ascii   n!6:
272  0x00003cff 0x000158ff 6   8    .data   utf8    |>٫bKP blocks=Basic Latin,Arabic
273  0x00003d0a 0x0001590a 4   5    .data   ascii   .nYv
274  0x00003d46 0x00015946 4   5    .data   ascii   BN(l
275  0x00003d60 0x00015960 4   5    .data   ascii   t=0G
276  0x00003d68 0x00015968 4   5    .data   ascii   FRQs
277  0x00003d82 0x00015982 4   5    .data   ascii   wEFR
278  0x00003dc8 0x000159c8 4   5    .data   ascii   %]Ft
279  0x00003de0 0x000159e0 10  14   .data   utf8    O/=:9fŁi/途 blocks=Basic Latin,Latin Extended-A,CJK Unified Ideographs
280  0x00003e01 0x00015a01 4   6    .data   utf8    ݲdm9 blocks=Arabic Supplement,Basic Latin
281  0x00003e08 0x00015a08 5   7    .data   utf8    ̃lFL$ blocks=Combining Diacritical Marks,Basic Latin
282  0x00003e81 0x00015a81 4   5    .data   ascii   F** 
283  0x00003e8b 0x00015a8b 6   7    .data   ascii   Nn;du\r
284  0x00003e99 0x00015a99 4   5    .data   ascii   ]a'^
285  0x00003ebf 0x00015abf 5   6    .data   ascii   G"*8R
286  0x00003ec5 0x00015ac5 4   5    .data   ascii   A!N;
287  0x00003eca 0x00015aca 5   6    .data   ascii   )y}p%
288  0x00003f50 0x00015b50 4   5    .data   ascii   YBN$
289  0x00003f5b 0x00015b5b 4   5    .data   ascii   4X#R
290  0x00003f66 0x00015b66 4   5    .data   ascii   >\fmP
291  0x00003fa9 0x00015ba9 5   9    .data   utf8    8>ߓ߱ޙ blocks=Basic Latin,NKo,Thaana
292  0x0000402e 0x00015c2e 4   5    .data   ascii   2jk\f
293  0x00004092 0x00015c92 5   6    .data   ascii   DV\=X
294  0x000040a6 0x00015ca6 5   6    .data   ascii   }2F\v;
