[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
173  0x0000663f 0x0040723f 4   5    .text   ascii   t=Sj
174  0x0000667a 0x0040727a 4   7    .text   utf8    N4붋} blocks=Basic Latin,Hangul Syllables
175  0x00006687 0x00407287 5   6    .text   ascii   F4_^[
176  0x000066c7 0x004072c7 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
177  0x000066d0 0x004072d0 4   6    .text   utf8    Q3\tM
178  0x0000678f 0x0040738f 4   5    .text   ascii   w\bSP
179  0x00006901 0x00407501 10  11   .text   ascii   \t<et\v<Et\aA
180  0x00006955 0x00407555 4   6    .text   utf8    3ɋE\f blocks=Basic Latin,Latin Extended-B
181  0x00006972 0x00407572 4   5    .text   ascii   U\bSW
182  0x00006984 0x00407584 4   5    .text   ascii   <8et
183  0x0000699b 0x0040759b 5   7    .text   utf8    À<8xu blocks=Latin-1 Supplement,Basic Latin
184  0x000069c1 0x004075c1 4   6    .text   utf8    _[]Ë blocks=Basic Latin,Latin-1 Supplement
185  0x000069ca 0x004075ca 4   5    .text   ascii   QSVW
186  0x000069f0 0x004075f0 5   6    .text   ascii   Hj\nQP
187  0x00006a6c 0x0040766c 5   7    .text   utf8    ^[É^8 blocks=Basic Latin,Latin-1 Supplement
188  0x00006c55 0x00407855 5   6    .text   ascii   Q(t\aR
189  0x00006c75 0x00407875 6   8    .text   utf8    ÊA1<Fu blocks=Latin-1 Supplement,Basic Latin
190  0x00006c97 0x00407897 4   5    .text   ascii   <Nu&
191  0x00006c9d 0x0040789d 4   6    .text   utf8    j\bZ#
192  0x00006cd5 0x004078d5 14  15   .text   ascii   <ItC<Lt3<Tt#<h
193  0x00006ced 0x004078ed 5   6    .text   ascii   8hu\f@
194  0x00006d55 0x00407955 4   5    .text   ascii   k<dt
195  0x00006d5e 0x0040795e 11  12   .text   ascii   <ot\f<ut\b<xt
196  0x00006d6a 0x0040796a 4   5    .text   ascii   <XuS
197  0x00006d7f 0x0040797f 8   9    .text   ascii   A<lt'<tt
198  0x00006d88 0x00407988 8   9    .text   ascii   <wt\r<zu1
199  0x00006daf 0x004079af 5   6    .text   ascii   8lu\b@
200  0x00006dc9 0x004079c9 4   5    .text   ascii   QQSV
201  0x00006e2d 0x00407a2d 4   5    .text   ascii   \atVH
202  0x00006ecb 0x00407acb 5   7    .text   utf8    3ҋ^ B blocks=Basic Latin,Cyrillic
203  0x00006f73 0x00407b73 4   5    .text   ascii   F \fu
204  0x00006f78 0x00407b78 5   6    .text   ascii   SWj P
205  0x00006f89 0x00407b89 5   6    .text   ascii   F\fPSQ
