Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
235  0x00003c28 0x004bd828 4   5    ...._1  ascii   h(\nM
236  0x00003c3b 0x004bd83b 6   7    ...._1  ascii   F\b;G\b_
237  0x00003c70 0x004bd870 4   5    ...._1  ascii   u\b_2
238  0x00003ca0 0x004bd8a0 4   5    ...._1  ascii   hx\aM
239  0x00003d21 0x004bd921 4   5    ...._1  ascii   M\bRV
240  0x00003d75 0x004bd975 4   5    ...._1  ascii   hhSK
241  0x00003d83 0x004bd983 4   5    ...._1  ascii   \bSVW
242  0x00003ddf 0x004bd9df 4   5    ...._1  ascii   Y_^[
243  0x00003e7b 0x004bda7b 4   5    ...._1  ascii   jih\b
244  0x00003f07 0x004bdb07 4   5    ...._1  ascii   E\fSV
245  0x00004016 0x004bdc16 4   5    ...._1  ascii   hx\aM
246  0x00004043 0x004bdc43 4   5    ...._1  ascii   \bSVW
247  0x000040aa 0x004bdcaa 4   5    ...._1  ascii   P\bSS
248  0x000040c3 0x004bdcc3 4   5    ...._1  ascii   Y_^[
249  0x000040e3 0x004bdce3 4   5    ...._1  ascii   \bSVW
250  0x0000414a 0x004bdd4a 4   5    ...._1  ascii   P\bSS
251  0x00004163 0x004bdd63 4   5    ...._1  ascii   Y_^[
252  0x00004183 0x004bdd83 4   5    ...._1  ascii   \bSVW
253  0x000041ea 0x004bddea 4   5    ...._1  ascii   P\bSS
254  0x00004203 0x004bde03 4   5    ...._1  ascii   Y_^[
255  0x00004223 0x004bde23 4   5    ...._1  ascii   \bSVW
256  0x0000428a 0x004bde8a 4   5    ...._1  ascii   P\bSS
257  0x000042a3 0x004bdea3 4   5    ...._1  ascii   Y_^[
258  0x000042c3 0x004bdec3 4   5    ...._1  ascii   \bSVW
259  0x0000432a 0x004bdf2a 4   5    ...._1  ascii   P\bSS
260  0x00004343 0x004bdf43 4   5    ...._1  ascii   Y_^[
261  0x000043be 0x004bdfbe 4   5    ...._1  ascii   J\b[]
262  0x000043fe 0x004bdffe 4   5    ...._1  ascii   SVWP
263  0x00004466 0x004be066 4   7    ...._1  utf8    E\f붋u blocks=Basic Latin,Hangul Syllables
264  0x0000446d 0x004be06d 5   6    ...._1  ascii   ;u\ftf
265  0x000044d2 0x004be0d2 5   6    ...._1  ascii   6;u\fu
266  0x000044eb 0x004be0eb 4   5    ...._1  ascii   Y_^[
267  0x00004548 0x004be148 4   5    ...._1  ascii   ~P\ns
268  0x0000457e 0x004be17e 4   5    ...._1  ascii   9~Ps
269  0x0000458d 0x004be18d 4   5    ...._1  ascii   h,\fM
270  0x00004599 0x004be199 4   5    ...._1  ascii   \f_^]
271  0x000045a7 0x004be1a7 6   7    ...._1  ascii   FX;FPu
272  0x000045b8 0x004be1b8 4   5    ...._1  ascii   h\\fM
273  0x000045f0 0x004be1f0 4   5    ...._1  ascii   FX^]
274  0x00004603 0x004be203 4   5    ...._1  ascii   QSVW
275  0x0000460e 0x004be20e 4   5    ...._1  ascii   \nv\nW
276  0x00004645 0x004be245 5   6    ...._1  ascii   ^T^[v
277  0x00004655 0x004be255 4   5    ...._1  ascii   hl\fM
278  0x00004678 0x004be278 4   6    ...._1  utf8    u\b3ɋ blocks=Basic Latin,Latin Extended-B
279  0x00004727 0x004be327 4   5    ...._1  ascii   t)VS
280  0x00004773 0x004be373 4   5    ...._1  ascii   \bSVW
