Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
7134 0x000c1f98 0x0057c998 14  15           ascii   address in use
7135 0x000c1fa8 0x0057c9a8 21  22           ascii   address not available
7136 0x000c1fc0 0x0057c9c0 17  18           ascii   already connected
7137 0x000c1fd4 0x0057c9d4 22  23           ascii   argument list too long
7138 0x000c1fec 0x0057c9ec 22  23           ascii   argument out of domain
7139 0x000c2004 0x0057ca04 11  12           ascii   bad address
7140 0x000c2010 0x0057ca10 19  20           ascii   bad file descriptor
7141 0x000c2024 0x0057ca24 11  12           ascii   bad message
7142 0x000c2030 0x0057ca30 11  12           ascii   broken pipe
7143 0x000c203c 0x0057ca3c 18  19           ascii   connection aborted
7144 0x000c2050 0x0057ca50 30  31           ascii   connection already in progress
7145 0x000c2070 0x0057ca70 18  19           ascii   connection refused
7146 0x000c2084 0x0057ca84 16  17           ascii   connection reset
7147 0x000c2098 0x0057ca98 17  18           ascii   cross device link
7148 0x000c20ac 0x0057caac 28  29           ascii   destination address required
7149 0x000c20cc 0x0057cacc 23  24           ascii   device or resource busy
7150 0x000c20e4 0x0057cae4 19  20           ascii   directory not empty
7151 0x000c20f8 0x0057caf8 23  24           ascii   executable format error
7152 0x000c2110 0x0057cb10 11  12           ascii   file exists
7153 0x000c211c 0x0057cb1c 14  15           ascii   file too large
7154 0x000c212c 0x0057cb2c 17  18           ascii   filename too long
7155 0x000c2140 0x0057cb40 22  23           ascii   function not supported
7156 0x000c2158 0x0057cb58 16  17           ascii   host unreachable
7157 0x000c216c 0x0057cb6c 18  19           ascii   identifier removed
7158 0x000c2180 0x0057cb80 21  22           ascii   illegal byte sequence
7159 0x000c2198 0x0057cb98 34  35           ascii   inappropriate io control operation
7160 0x000c21bc 0x0057cbbc 11  12           ascii   interrupted
7161 0x000c21c8 0x0057cbc8 13  14           ascii   unknown error
7162 0x000c2460 0x0057ce60 14  15           ascii   0123456789-+Ee
7163 0x000c2470 0x0057ce70 26  27           ascii   0123456789ABCDEFabcdef-+Xx
7164 0x000c248c 0x0057ce8c 28  29           ascii   0123456789ABCDEFabcdef-+XxPp
7165 0x000c24b8 0x0057ceb8 12  26           utf16le kernel32.dll
7166 0x000c24d4 0x0057ced4 8   9            ascii   FlsAlloc
7167 0x000c24e0 0x0057cee0 7   8            ascii   FlsFree
7168 0x000c24e8 0x0057cee8 11  12           ascii   FlsGetValue
7169 0x000c24f4 0x0057cef4 11  12           ascii   FlsSetValue
7170 0x000c2500 0x0057cf00 27  28           ascii   InitializeCriticalSectionEx
7171 0x000c251c 0x0057cf1c 19  20           ascii   InitOnceExecuteOnce
7172 0x000c2530 0x0057cf30 14  15           ascii   CreateEventExW
7173 0x000c2540 0x0057cf40 16  17           ascii   CreateSemaphoreW
7174 0x000c2554 0x0057cf54 18  19           ascii   CreateSemaphoreExW
7175 0x000c2568 0x0057cf68 21  22           ascii   CreateThreadpoolTimer
7176 0x000c2580 0x0057cf80 18  19           ascii   SetThreadpoolTimer
7177 0x000c2594 0x0057cf94 31  32           ascii   WaitForThreadpoolTimerCallbacks
7178 0x000c25b4 0x0057cfb4 20  21           ascii   CloseThreadpoolTimer
7179 0x000c25cc 0x0057cfcc 20  21           ascii   CreateThreadpoolWait
7180 0x000c25e4 0x0057cfe4 17  18           ascii   SetThreadpoolWait
7181 0x000c25f8 0x0057cff8 19  20           ascii   CloseThreadpoolWait
7182 0x000c260c 0x0057d00c 24  25           ascii   FlushProcessWriteBuffers
7183 0x000c2628 0x0057d028 30  31           ascii   FreeLibraryWhenCallbackReturns
7184 0x000c2648 0x0057d048 25  26           ascii   GetCurrentProcessorNumber
7185 0x000c2664 0x0057d064 19  20           ascii   CreateSymbolicLinkW
7186 0x000c2678 0x0057d078 19  20           ascii   GetCurrentPackageId
7187 0x000c268c 0x0057d08c 14  15           ascii   GetTickCount64
7188 0x000c269c 0x0057d09c 28  29           ascii   GetFileInformationByHandleEx
7189 0x000c26bc 0x0057d0bc 26  27           ascii   SetFileInformationByHandle
7190 0x000c26d8 0x0057d0d8 30  31           ascii   GetSystemTimePreciseAsFileTime
7191 0x000c26f8 0x0057d0f8 27  28           ascii   InitializeConditionVariable
7192 0x000c2714 0x0057d114 21  22           ascii   WakeConditionVariable
7193 0x000c272c 0x0057d12c 24  25           ascii   WakeAllConditionVariable
7194 0x000c2748 0x0057d148 24  25           ascii   SleepConditionVariableCS
7195 0x000c2764 0x0057d164 17  18           ascii   InitializeSRWLock
7196 0x000c2778 0x0057d178 23  24           ascii   AcquireSRWLockExclusive
7197 0x000c2790 0x0057d190 26  27           ascii   TryAcquireSRWLockExclusive
7198 0x000c27ac 0x0057d1ac 23  24           ascii   ReleaseSRWLockExclusive
7199 0x000c27c4 0x0057d1c4 25  26           ascii   SleepConditionVariableSRW
7200 0x000c27e0 0x0057d1e0 20  21           ascii   CreateThreadpoolWork
7201 0x000c27f8 0x0057d1f8 20  21           ascii   SubmitThreadpoolWork
7202 0x000c2810 0x0057d210 19  20           ascii   CloseThreadpoolWork
7203 0x000c2824 0x0057d224 15  16           ascii   CompareStringEx
7204 0x000c2834 0x0057d234 15  16           ascii   GetLocaleInfoEx
7205 0x000c2844 0x0057d244 13  14           ascii   LCMapStringEx
7206 0x000c28a0 0x0057d2a0 85  86           ascii   :Sun:Sunday:Mon:Monday:Tue:Tuesday:Wed:Wednesday:Thu:Thursday:Fri:Friday:Sat:Saturday
7207 0x000c28f8 0x0057d2f8 134 135          ascii   :Jan:January:Feb:February:Mar:March:Apr:April:May:May:Jun:June:Jul:July:Aug:August:Sep:September:Oct:October:Nov:November:Dec:December
7208 0x000c2980 0x0057d380 85  172          utf16le :Sun:Sunday:Mon:Monday:Tue:Tuesday:Wed:Wednesday:Thu:Thursday:Fri:Friday:Sat:Saturday
7209 0x000c2a30 0x0057d430 134 270          utf16le :Jan:January:Feb:February:Mar:March:Apr:April:May:May:Jun:June:Jul:July:Aug:August:Sep:September:Oct:October:Nov:November:Dec:December
7210 0x000c2fbe 0x0057d9be 4   10           utf16le F!%x
7211 0x000c2fcc 0x0057d9cc 21  22           ascii   %b %d %H : %M : %S %Y
7212 0x000c2fe4 0x0057d9e4 12  13           ascii   %m / %d / %y
7213 0x000c2ff4 0x0057d9f4 12  13           ascii   :AM:am:PM:pm
7214 0x000c3004 0x0057da04 15  16           ascii   %I : %M : %S %p
7215 0x000c3014 0x0057da14 7   8            ascii   %H : %M
7216 0x000c301c 0x0057da1c 12  13           ascii   %H : %M : %S
7217 0x000c302c 0x0057da2c 12  13           ascii   %d / %m / %y
7218 0x000c303c 0x0057da3c 11  12           ascii   0123456789-
7219 0x000c3048 0x0057da48 5   6            ascii   %.0Lf
7220 0x000c3050 0x0057da50 11  12           ascii   0123456789-
7221 0x000c305c 0x0057da5c 11  12           ascii   0123456789-
7222 0x000c3068 0x0057da68 14  15           ascii   0123456789-+Ee
7223 0x000c3078 0x0057da78 26  27           ascii   0123456789ABCDEFabcdef-+Xx
7224 0x000c3094 0x0057da94 11  12           ascii   0123456789-
7225 0x000c30a0 0x0057daa0 14  15           ascii   0123456789-+Ee
7226 0x000c30b0 0x0057dab0 26  27           ascii   0123456789ABCDEFabcdef-+Xx
7227 0x000c30cc 0x0057dacc 4   5            ascii   $+xv
7228 0x000c30d4 0x0057dad4 28  29           ascii   0123456789ABCDEFabcdef-+XxPp
7229 0x000c30f4 0x0057daf4 12  26           utf16le :AM:am:PM:pm
7230 0x000c3110 0x0057db10 28  29           ascii   0123456789ABCDEFabcdef-+XxPp
7231 0x000c3130 0x0057db30 120 121          ascii   +v$x+v$xv$+xv+$xv$+x+$vx+$vx$v+x+$vx$+vx+v $+v $v $+v +$v $++$ v+$ v$ v++$ v$+ v+xv$+ v$v$ +v+ $v$ ++x$v+ $v$v ++ $v$ +v
7232 0x000c31bb 0x0057dbbb 8   9            ascii   raB3G8BM
7233 0x000c330c 0x0057dd0c 11  12           ascii   0123456789-
7234 0x000c3318 0x0057dd18 11  12           ascii   0123456789-
7235 0x000c3324 0x0057dd24 36  37           ascii   0123456789abcdefghijklmnopqrstuvwxyz
7236 0x000c3352 0x0057dd52 31  32           ascii   \r\f\v\v\n\n\t\t\t\t\t\b\b\b\b\b\b\b\a\a\a\a\a\a\a\a\a\a\a\a\a
7237 0x000c3374 0x0057dd74 36  37           ascii   0123456789abcdefghijklmnopqrstuvwxyz
7238 0x000c33bb 0x0057ddbb 6   7            ascii   \r\r\r\r\r\r
7239 0x000c4220 0x0057ec20 6   14           utf16le zh-CHS
7240 0x000c4420 0x0057ee20 5   12           utf16le ar-SA
7241 0x000c442c 0x0057ee2c 5   12           utf16le bg-BG
7242 0x000c4438 0x0057ee38 5   12           utf16le ca-ES
7243 0x000c4444 0x0057ee44 5   12           utf16le zh-TW
7244 0x000c4450 0x0057ee50 5   12           utf16le cs-CZ
7245 0x000c445c 0x0057ee5c 5   12           utf16le da-DK
7246 0x000c4468 0x0057ee68 5   12           utf16le de-DE
7247 0x000c4474 0x0057ee74 5   12           utf16le el-GR
7248 0x000c4480 0x0057ee80 5   12           utf16le en-US
7249 0x000c448c 0x0057ee8c 5   12           utf16le fi-FI
7250 0x000c4498 0x0057ee98 5   12           utf16le fr-FR
7251 0x000c44a4 0x0057eea4 5   12           utf16le he-IL
7252 0x000c44b0 0x0057eeb0 5   12           utf16le hu-HU
7253 0x000c44bc 0x0057eebc 5   12           utf16le is-IS
7254 0x000c44c8 0x0057eec8 5   12           utf16le it-IT
7255 0x000c44d4 0x0057eed4 5   12           utf16le ja-JP
7256 0x000c44e0 0x0057eee0 5   12           utf16le ko-KR
7257 0x000c44ec 0x0057eeec 5   12           utf16le nl-NL
7258 0x000c44f8 0x0057eef8 5   12           utf16le nb-NO
7259 0x000c4504 0x0057ef04 5   12           utf16le pl-PL
7260 0x000c4510 0x0057ef10 5   12           utf16le pt-BR
7261 0x000c451c 0x0057ef1c 5   12           utf16le ro-RO
7262 0x000c4528 0x0057ef28 5   12           utf16le ru-RU
7263 0x000c4534 0x0057ef34 5   12           utf16le hr-HR
7264 0x000c4540 0x0057ef40 5   12           utf16le sk-SK
7265 0x000c454c 0x0057ef4c 5   12           utf16le sq-AL
7266 0x000c4558 0x0057ef58 5   12           utf16le sv-SE
7267 0x000c4564 0x0057ef64 5   12           utf16le th-TH
7268 0x000c4570 0x0057ef70 5   12           utf16le tr-TR
7269 0x000c457c 0x0057ef7c 5   12           utf16le ur-PK
7270 0x000c4588 0x0057ef88 5   12           utf16le id-ID
7271 0x000c4594 0x0057ef94 5   12           utf16le uk-UA
7272 0x000c45a0 0x0057efa0 5   12           utf16le be-BY
7273 0x000c45ac 0x0057efac 5   12           utf16le sl-SI
7274 0x000c45b8 0x0057efb8 5   12           utf16le et-EE
7275 0x000c45c4 0x0057efc4 5   12           utf16le lv-LV
7276 0x000c45d0 0x0057efd0 5   12           utf16le lt-LT
7277 0x000c45dc 0x0057efdc 5   12           utf16le fa-IR
7278 0x000c45e8 0x0057efe8 5   12           utf16le vi-VN
7279 0x000c45f4 0x0057eff4 5   12           utf16le hy-AM
7280 0x000c4600 0x0057f000 10  22           utf16le az-AZ-Latn
7281 0x000c4618 0x0057f018 5   12           utf16le eu-ES
7282 0x000c4624 0x0057f024 5   12           utf16le mk-MK
7283 0x000c4630 0x0057f030 5   12           utf16le tn-ZA
7284 0x000c463c 0x0057f03c 5   12           utf16le xh-ZA
7285 0x000c4648 0x0057f048 5   12           utf16le zu-ZA
7286 0x000c4654 0x0057f054 5   12           utf16le af-ZA
7287 0x000c4660 0x0057f060 5   12           utf16le ka-GE
7288 0x000c466c 0x0057f06c 5   12           utf16le fo-FO
7289 0x000c4678 0x0057f078 5   12           utf16le hi-IN
7290 0x000c4684 0x0057f084 5   12           utf16le mt-MT
7291 0x000c4690 0x0057f090 5   12           utf16le se-NO
7292 0x000c469c 0x0057f09c 5   12           utf16le ms-MY
7293 0x000c46a8 0x0057f0a8 5   12           utf16le kk-KZ
7294 0x000c46b4 0x0057f0b4 5   12           utf16le ky-KG
7295 0x000c46c0 0x0057f0c0 5   12           utf16le sw-KE
7296 0x000c46cc 0x0057f0cc 10  22           utf16le uz-UZ-Latn
7297 0x000c46e4 0x0057f0e4 5   12           utf16le tt-RU
7298 0x000c46f0 0x0057f0f0 5   12           utf16le bn-IN
7299 0x000c46fc 0x0057f0fc 5   12           utf16le pa-IN
7300 0x000c4708 0x0057f108 5   12           utf16le gu-IN
7301 0x000c4714 0x0057f114 5   12           utf16le ta-IN
7302 0x000c4720 0x0057f120 5   12           utf16le te-IN
7303 0x000c472c 0x0057f12c 5   12           utf16le kn-IN
7304 0x000c4738 0x0057f138 5   12           utf16le ml-IN
7305 0x000c4744 0x0057f144 5   12           utf16le mr-IN
7306 0x000c4750 0x0057f150 5   12           utf16le sa-IN
7307 0x000c475c 0x0057f15c 5   12           utf16le mn-MN
7308 0x000c4768 0x0057f168 5   12           utf16le cy-GB
7309 0x000c4774 0x0057f174 5   12           utf16le gl-ES
7310 0x000c4780 0x0057f180 6   14           utf16le kok-IN
7311 0x000c4790 0x0057f190 6   14           utf16le syr-SY
7312 0x000c47a0 0x0057f1a0 6   14           utf16le div-MV
7313 0x000c47b0 0x0057f1b0 6   14           utf16le quz-BO
7314 0x000c47c0 0x0057f1c0 5   12           utf16le ns-ZA
7315 0x000c47cc 0x0057f1cc 5   12           utf16le mi-NZ
7316 0x000c47d8 0x0057f1d8 5   12           utf16le ar-IQ
7317 0x000c47e4 0x0057f1e4 5   12           utf16le zh-CN
7318 0x000c47f0 0x0057f1f0 5   12           utf16le de-CH
7319 0x000c47fc 0x0057f1fc 5   12           utf16le en-GB
7320 0x000c4808 0x0057f208 5   12           utf16le es-MX
7321 0x000c4814 0x0057f214 5   12           utf16le fr-BE
7322 0x000c4820 0x0057f220 5   12           utf16le it-CH
7323 0x000c482c 0x0057f22c 5   12           utf16le nl-BE
7324 0x000c4838 0x0057f238 5   12           utf16le nn-NO
7325 0x000c4844 0x0057f244 5   12           utf16le pt-PT
7326 0x000c4850 0x0057f250 10  22           utf16le sr-SP-Latn
7327 0x000c4868 0x0057f268 5   12           utf16le sv-FI
7328 0x000c4874 0x0057f274 10  22           utf16le az-AZ-Cyrl
7329 0x000c488c 0x0057f28c 5   12           utf16le se-SE
7330 0x000c4898 0x0057f298 5   12           utf16le ms-BN
7331 0x000c48a4 0x0057f2a4 10  22           utf16le uz-UZ-Cyrl
7332 0x000c48bc 0x0057f2bc 6   14           utf16le quz-EC
7333 0x000c48cc 0x0057f2cc 5   12           utf16le ar-EG
7334 0x000c48d8 0x0057f2d8 5   12           utf16le zh-HK
7335 0x000c48e4 0x0057f2e4 5   12           utf16le de-AT
7336 0x000c48f0 0x0057f2f0 5   12           utf16le en-AU
7337 0x000c48fc 0x0057f2fc 5   12           utf16le es-ES
7338 0x000c4908 0x0057f308 5   12           utf16le fr-CA
7339 0x000c4914 0x0057f314 10  22           utf16le sr-SP-Cyrl
7340 0x000c492c 0x0057f32c 5   12           utf16le se-FI
7341 0x000c4938 0x0057f338 6   14           utf16le quz-PE
7342 0x000c4948 0x0057f348 5   12           utf16le ar-LY
7343 0x000c4954 0x0057f354 5   12           utf16le zh-SG
7344 0x000c4960 0x0057f360 5   12           utf16le de-LU
7345 0x000c496c 0x0057f36c 5   12           utf16le en-CA
7346 0x000c4978 0x0057f378 5   12           utf16le es-GT
7347 0x000c4984 0x0057f384 5   12           utf16le fr-CH
7348 0x000c4990 0x0057f390 5   12           utf16le hr-BA
7349 0x000c499c 0x0057f39c 6   14           utf16le smj-NO
7350 0x000c49ac 0x0057f3ac 5   12           utf16le ar-DZ
7351 0x000c49b8 0x0057f3b8 5   12           utf16le zh-MO
7352 0x000c49c4 0x0057f3c4 5   12           utf16le de-LI
7353 0x000c49d0 0x0057f3d0 5   12           utf16le en-NZ
7354 0x000c49dc 0x0057f3dc 5   12           utf16le es-CR
7355 0x000c49e8 0x0057f3e8 5   12           utf16le fr-LU
7356 0x000c49f4 0x0057f3f4 10  22           utf16le bs-BA-Latn
7357 0x000c4a0c 0x0057f40c 6   14           utf16le smj-SE
7358 0x000c4a1c 0x0057f41c 5   12           utf16le ar-MA
7359 0x000c4a28 0x0057f428 5   12           utf16le en-IE
7360 0x000c4a34 0x0057f434 5   12           utf16le es-PA
7361 0x000c4a40 0x0057f440 5   12           utf16le fr-MC
7362 0x000c4a4c 0x0057f44c 10  22           utf16le sr-BA-Latn
7363 0x000c4a64 0x0057f464 6   14           utf16le sma-NO
7364 0x000c4a74 0x0057f474 5   12           utf16le ar-TN
7365 0x000c4a80 0x0057f480 5   12           utf16le en-ZA
7366 0x000c4a8c 0x0057f48c 5   12           utf16le es-DO
7367 0x000c4a98 0x0057f498 10  22           utf16le sr-BA-Cyrl
7368 0x000c4ab0 0x0057f4b0 6   14           utf16le sma-SE
7369 0x000c4ac0 0x0057f4c0 5   12           utf16le ar-OM
7370 0x000c4acc 0x0057f4cc 5   12           utf16le en-JM
7371 0x000c4ad8 0x0057f4d8 5   12           utf16le es-VE
7372 0x000c4ae4 0x0057f4e4 6   14           utf16le sms-FI
7373 0x000c4af4 0x0057f4f4 5   12           utf16le ar-YE
7374 0x000c4b00 0x0057f500 5   12           utf16le en-CB
7375 0x000c4b0c 0x0057f50c 5   12           utf16le es-CO
7376 0x000c4b18 0x0057f518 6   14           utf16le smn-FI
7377 0x000c4b28 0x0057f528 5   12           utf16le ar-SY
7378 0x000c4b34 0x0057f534 5   12           utf16le en-BZ
7379 0x000c4b40 0x0057f540 5   12           utf16le es-PE
7380 0x000c4b4c 0x0057f54c 5   12           utf16le ar-JO
7381 0x000c4b58 0x0057f558 5   12           utf16le en-TT
7382 0x000c4b64 0x0057f564 5   12           utf16le es-AR
7383 0x000c4b70 0x0057f570 5   12           utf16le ar-LB
7384 0x000c4b7c 0x0057f57c 5   12           utf16le en-ZW
7385 0x000c4b88 0x0057f588 5   12           utf16le es-EC
7386 0x000c4b94 0x0057f594 5   12           utf16le ar-KW
7387 0x000c4ba0 0x0057f5a0 5   12           utf16le en-PH
7388 0x000c4bac 0x0057f5ac 5   12           utf16le es-CL
7389 0x000c4bb8 0x0057f5b8 5   12           utf16le ar-AE
7390 0x000c4bc4 0x0057f5c4 5   12           utf16le es-UY
7391 0x000c4bd0 0x0057f5d0 5   12           utf16le ar-BH
7392 0x000c4bdc 0x0057f5dc 5   12           utf16le es-PY
7393 0x000c4be8 0x0057f5e8 5   12           utf16le ar-QA
7394 0x000c4bf4 0x0057f5f4 5   12           utf16le es-BO
7395 0x000c4c00 0x0057f600 5   12           utf16le es-SV
7396 0x000c4c0c 0x0057f60c 5   12           utf16le es-HN
7397 0x000c4c18 0x0057f618 5   12           utf16le es-NI
7398 0x000c4c24 0x0057f624 5   12           utf16le es-PR
7399 0x000c4c30 0x0057f630 6   14           utf16le zh-CHT
7400 0x000c4c48 0x0057f648 5   12           utf16le af-za
7401 0x000c4c54 0x0057f654 5   12           utf16le ar-ae
7402 0x000c4c60 0x0057f660 5   12           utf16le ar-bh
7403 0x000c4c6c 0x0057f66c 5   12           utf16le ar-dz
7404 0x000c4c78 0x0057f678 5   12           utf16le ar-eg
7405 0x000c4c84 0x0057f684 5   12           utf16le ar-iq
7406 0x000c4c90 0x0057f690 5   12           utf16le ar-jo
7407 0x000c4c9c 0x0057f69c 5   12           utf16le ar-kw
7408 0x000c4ca8 0x0057f6a8 5   12           utf16le ar-lb
7409 0x000c4cb4 0x0057f6b4 5   12           utf16le ar-ly
7410 0x000c4cc0 0x0057f6c0 5   12           utf16le ar-ma
7411 0x000c4ccc 0x0057f6cc 5   12           utf16le ar-om
7412 0x000c4cd8 0x0057f6d8 5   12           utf16le ar-qa
7413 0x000c4ce4 0x0057f6e4 5   12           utf16le ar-sa
7414 0x000c4cf0 0x0057f6f0 5   12           utf16le ar-sy
7415 0x000c4cfc 0x0057f6fc 5   12           utf16le ar-tn
7416 0x000c4d08 0x0057f708 5   12           utf16le ar-ye
7417 0x000c4d14 0x0057f714 10  22           utf16le az-az-cyrl
7418 0x000c4d2c 0x0057f72c 10  22           utf16le az-az-latn
7419 0x000c4d44 0x0057f744 5   12           utf16le be-by
7420 0x000c4d50 0x0057f750 5   12           utf16le bg-bg
7421 0x000c4d5c 0x0057f75c 5   12           utf16le bn-in
7422 0x000c4d68 0x0057f768 10  22           utf16le bs-ba-latn
7423 0x000c4d80 0x0057f780 5   12           utf16le ca-es
7424 0x000c4d8c 0x0057f78c 5   12           utf16le cs-cz
7425 0x000c4d98 0x0057f798 5   12           utf16le cy-gb
7426 0x000c4da4 0x0057f7a4 5   12           utf16le da-dk
7427 0x000c4db0 0x0057f7b0 5   12           utf16le de-at
7428 0x000c4dbc 0x0057f7bc 5   12           utf16le de-ch
7429 0x000c4dc8 0x0057f7c8 5   12           utf16le de-de
7430 0x000c4dd4 0x0057f7d4 5   12           utf16le de-li
7431 0x000c4de0 0x0057f7e0 5   12           utf16le de-lu
7432 0x000c4dec 0x0057f7ec 6   14           utf16le div-mv
7433 0x000c4dfc 0x0057f7fc 5   12           utf16le el-gr
7434 0x000c4e08 0x0057f808 5   12           utf16le en-au
7435 0x000c4e14 0x0057f814 5   12           utf16le en-bz
7436 0x000c4e20 0x0057f820 5   12           utf16le en-ca
7437 0x000c4e2c 0x0057f82c 5   12           utf16le en-cb
7438 0x000c4e38 0x0057f838 5   12           utf16le en-gb
7439 0x000c4e44 0x0057f844 5   12           utf16le en-ie
7440 0x000c4e50 0x0057f850 5   12           utf16le en-jm
7441 0x000c4e5c 0x0057f85c 5   12           utf16le en-nz
7442 0x000c4e68 0x0057f868 5   12           utf16le en-ph
7443 0x000c4e74 0x0057f874 5   12           utf16le en-tt
7444 0x000c4e80 0x0057f880 5   12           utf16le en-us
7445 0x000c4e8c 0x0057f88c 5   12           utf16le en-za
7446 0x000c4e98 0x0057f898 5   12           utf16le en-zw
7447 0x000c4ea4 0x0057f8a4 5   12           utf16le es-ar
7448 0x000c4eb0 0x0057f8b0 5   12           utf16le es-bo
7449 0x000c4ebc 0x0057f8bc 5   12           utf16le es-cl
7450 0x000c4ec8 0x0057f8c8 5   12           utf16le es-co
7451 0x000c4ed4 0x0057f8d4 5   12           utf16le es-cr
7452 0x000c4ee0 0x0057f8e0 5   12           utf16le es-do
7453 0x000c4eec 0x0057f8ec 5   12           utf16le es-ec
7454 0x000c4ef8 0x0057f8f8 5   12           utf16le es-es
7455 0x000c4f04 0x0057f904 5   12           utf16le es-gt
7456 0x000c4f10 0x0057f910 5   12           utf16le es-hn
7457 0x000c4f1c 0x0057f91c 5   12           utf16le es-mx
7458 0x000c4f28 0x0057f928 5   12           utf16le es-ni
7459 0x000c4f34 0x0057f934 5   12           utf16le es-pa
7460 0x000c4f40 0x0057f940 5   12           utf16le es-pe
7461 0x000c4f4c 0x0057f94c 5   12           utf16le es-pr
7462 0x000c4f58 0x0057f958 5   12           utf16le es-py
7463 0x000c4f64 0x0057f964 5   12           utf16le es-sv
7464 0x000c4f70 0x0057f970 5   12           utf16le es-uy
7465 0x000c4f7c 0x0057f97c 5   12           utf16le es-ve
7466 0x000c4f88 0x0057f988 5   12           utf16le et-ee
7467 0x000c4f94 0x0057f994 5   12           utf16le eu-es
7468 0x000c4fa0 0x0057f9a0 5   12           utf16le fa-ir
7469 0x000c4fac 0x0057f9ac 5   12           utf16le fi-fi
7470 0x000c4fb8 0x0057f9b8 5   12           utf16le fo-fo
7471 0x000c4fc4 0x0057f9c4 5   12           utf16le fr-be
7472 0x000c4fd0 0x0057f9d0 5   12           utf16le fr-ca
7473 0x000c4fdc 0x0057f9dc 5   12           utf16le fr-ch
7474 0x000c4fe8 0x0057f9e8 5   12           utf16le fr-fr
7475 0x000c4ff4 0x0057f9f4 5   12           utf16le fr-lu
7476 0x000c5000 0x0057fa00 5   12           utf16le fr-mc
7477 0x000c500c 0x0057fa0c 5   12           utf16le gl-es
7478 0x000c5018 0x0057fa18 5   12           utf16le gu-in
7479 0x000c5024 0x0057fa24 5   12           utf16le he-il
7480 0x000c5030 0x0057fa30 5   12           utf16le hi-in
7481 0x000c503c 0x0057fa3c 5   12           utf16le hr-ba
7482 0x000c5048 0x0057fa48 5   12           utf16le hr-hr
7483 0x000c5054 0x0057fa54 5   12           utf16le hu-hu
7484 0x000c5060 0x0057fa60 5   12           utf16le hy-am
7485 0x000c506c 0x0057fa6c 5   12           utf16le id-id
7486 0x000c5078 0x0057fa78 5   12           utf16le is-is
7487 0x000c5084 0x0057fa84 5   12           utf16le it-ch
7488 0x000c5090 0x0057fa90 5   12           utf16le it-it
7489 0x000c509c 0x0057fa9c 5   12           utf16le ja-jp
7490 0x000c50a8 0x0057faa8 5   12           utf16le ka-ge
7491 0x000c50b4 0x0057fab4 5   12           utf16le kk-kz
7492 0x000c50c0 0x0057fac0 5   12           utf16le kn-in
7493 0x000c50cc 0x0057facc 5   12           utf16le ko-kr
7494 0x000c50d8 0x0057fad8 6   14           utf16le kok-in
7495 0x000c50e8 0x0057fae8 5   12           utf16le ky-kg
7496 0x000c50f4 0x0057faf4 5   12           utf16le lt-lt
7497 0x000c5100 0x0057fb00 5   12           utf16le lv-lv
7498 0x000c510c 0x0057fb0c 5   12           utf16le mi-nz
7499 0x000c5118 0x0057fb18 5   12           utf16le mk-mk
7500 0x000c5124 0x0057fb24 5   12           utf16le ml-in
7501 0x000c5130 0x0057fb30 5   12           utf16le mn-mn
7502 0x000c513c 0x0057fb3c 5   12           utf16le mr-in
7503 0x000c5148 0x0057fb48 5   12           utf16le ms-bn
7504 0x000c5154 0x0057fb54 5   12           utf16le ms-my
7505 0x000c5160 0x0057fb60 5   12           utf16le mt-mt
7506 0x000c516c 0x0057fb6c 5   12           utf16le nb-no
7507 0x000c5178 0x0057fb78 5   12           utf16le nl-be
7508 0x000c5184 0x0057fb84 5   12           utf16le nl-nl
7509 0x000c5190 0x0057fb90 5   12           utf16le nn-no
7510 0x000c519c 0x0057fb9c 5   12           utf16le ns-za
7511 0x000c51a8 0x0057fba8 5   12           utf16le pa-in
7512 0x000c51b4 0x0057fbb4 5   12           utf16le pl-pl
7513 0x000c51c0 0x0057fbc0 5   12           utf16le pt-br
7514 0x000c51cc 0x0057fbcc 5   12           utf16le pt-pt
7515 0x000c51d8 0x0057fbd8 6   14           utf16le quz-bo
7516 0x000c51e8 0x0057fbe8 6   14           utf16le quz-ec
7517 0x000c51f8 0x0057fbf8 6   14           utf16le quz-pe
7518 0x000c5208 0x0057fc08 5   12           utf16le ro-ro
7519 0x000c5214 0x0057fc14 5   12           utf16le ru-ru
7520 0x000c5220 0x0057fc20 5   12           utf16le sa-in
7521 0x000c522c 0x0057fc2c 5   12           utf16le se-fi
7522 0x000c5238 0x0057fc38 5   12           utf16le se-no
7523 0x000c5244 0x0057fc44 5   12           utf16le se-se
7524 0x000c5250 0x0057fc50 5   12           utf16le sk-sk
7525 0x000c525c 0x0057fc5c 5   12           utf16le sl-si
7526 0x000c5268 0x0057fc68 6   14           utf16le sma-no
7527 0x000c5278 0x0057fc78 6   14           utf16le sma-se
7528 0x000c5288 0x0057fc88 6   14           utf16le smj-no
7529 0x000c5298 0x0057fc98 6   14           utf16le smj-se
7530 0x000c52a8 0x0057fca8 6   14           utf16le smn-fi
7531 0x000c52b8 0x0057fcb8 6   14           utf16le sms-fi
7532 0x000c52c8 0x0057fcc8 5   12           utf16le sq-al
7533 0x000c52d4 0x0057fcd4 10  22           utf16le sr-ba-cyrl
7534 0x000c52ec 0x0057fcec 10  22           utf16le sr-ba-latn
7535 0x000c5304 0x0057fd04 10  22           utf16le sr-sp-cyrl
