[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
227  0x0000735e 0x00407f5e 4   5    .text   ascii   D$tP
228  0x00007363 0x00407f63 4   5    .text   ascii   D$|P
229  0x000073a8 0x00407fa8 4   5    .text   ascii   YD$D
230  0x000073bb 0x00407fbb 4   5    .text   ascii   D$D=
231  0x000073c0 0x00407fc0 4   6    .text   utf8    ʚ;t, blocks=IPA Extensions,Basic Latin
232  0x00007405 0x00408005 8   9    .text   ascii   D$`9D$\t
233  0x0000742d 0x0040802d 4   5    .text   ascii   M\f_^
234  0x0000746e 0x0040806e 4   5    .text   ascii   SVWP
235  0x00007568 0x00408168 4   5    .text   ascii   Y_^[
236  0x0000759e 0x0040819e 4   5    .text   ascii   SVWP
237  0x00007698 0x00408298 4   5    .text   ascii   Y_^[
238  0x000076ce 0x004082ce 4   5    .text   ascii   SVWP
239  0x000077bf 0x004083bf 4   5    .text   ascii   Y_^[
240  0x000077fe 0x004083fe 4   5    .text   ascii   SVWP
241  0x000078ef 0x004084ef 4   5    .text   ascii   Y_^[
242  0x0000792e 0x0040852e 4   5    .text   ascii   SVWP
243  0x00007a0a 0x0040860a 4   7    .text   utf8    ދE\t0 blocks=Thaana,Basic Latin
244  0x00007a2d 0x0040862d 4   5    .text   ascii   Y_^[
245  0x00007a6e 0x0040866e 4   5    .text   ascii   SVWP
246  0x00007b76 0x00408776 4   5    .text   ascii   Y_^[
247  0x00007b95 0x00408795 4   5    .text   ascii   hDsH
248  0x00007bae 0x004087ae 4   5    .text   ascii   SVWP
249  0x00007dfa 0x004089fa 4   5    .text   ascii   Y_^[
250  0x00007e20 0x00408a20 5   6    .text   ascii   t\vj\bV
251  0x00008025 0x00408c25 4   5    .text   ascii   hvsH
252  0x0000803e 0x00408c3e 4   5    .text   ascii   SVWP
253  0x000080c5 0x00408cc5 4   5    .text   ascii   ;B\bu
254  0x000080e8 0x00408ce8 4   5    .text   ascii   E\f;E
255  0x000080fd 0x00408cfd 4   5    .text   ascii   Y_^[
256  0x00008125 0x00408d25 4   5    .text   ascii   hvsH
257  0x0000813e 0x00408d3e 4   5    .text   ascii   SVWP
258  0x000081c5 0x00408dc5 4   5    .text   ascii   ;B\bu
259  0x000081e8 0x00408de8 4   5    .text   ascii   E\f;E
260  0x000081fd 0x00408dfd 4   5    .text   ascii   Y_^[
261  0x00008254 0x00408e54 4   6    .text   utf8    s%+ȃ blocks=Basic Latin,Latin Extended-B
262  0x000082b7 0x00408eb7 4   6    .text   utf8    s%+ȃ blocks=Basic Latin,Latin Extended-B
263  0x000082f5 0x00408ef5 4   5    .text   ascii   hvsH
264  0x0000830e 0x00408f0e 4   5    .text   ascii   SVWP
265  0x00008395 0x00408f95 4   5    .text   ascii   ;B\bu
266  0x000083b8 0x00408fb8 4   5    .text   ascii   E\f;E
267  0x000083cd 0x00408fcd 4   5    .text   ascii   Y_^[
268  0x00008412 0x00409012 6   7    .text   ascii   ;;7u%;
269  0x00008455 0x00409055 4   5    .text   ascii   u\f;u
270  0x000084a1 0x004090a1 4   5    .text   ascii   SVWP
271  0x000084d5 0x004090d5 4   5    .text   ascii   QSRV
272  0x0000879e 0x0040939e 6   10   .text   utf8    }܍EȋMȃ blocks=Basic Latin,Syriac,Latin Extended-B
273  0x000087c1 0x004093c1 6   10   .text   utf8    }܍EȋUȃ blocks=Basic Latin,Syriac,Latin Extended-B
274  0x00008cde 0x004098de 4   5    .text   ascii   :\bt\b
275  0x00008ce8 0x004098e8 4   5    .text   ascii   \a0O;
276  0x0000916c 0x00409d6c 4   5    .text   ascii   r\rAQ
277  0x00009188 0x00409d88 4   5    .text   ascii   Y_^[
278  0x000091be 0x00409dbe 4   5    .text   ascii   SVWP
279  0x0000925c 0x00409e5c 4   5    .text   ascii   uz8C
280  0x000094a1 0x0040a0a1 5   8    .text   utf8    MԍEԊS blocks=Basic Latin,Cyrillic Supplement
281  0x000094d7 0x0040a0d7 5   6    .text   ascii   <0t\f;
282  0x0000964b 0x0040a24b 5   6    .text   ascii   :\f0u/
283  0x000096bf 0x0040a2bf 4   5    .text   ascii   Y_^[
284  0x000096e5 0x0040a2e5 4   5    .text   ascii   hNtH
285  0x000096fe 0x0040a2fe 4   5    .text   ascii   SVWP
286  0x000097ea 0x0040a3ea 4   5    .text   ascii   HHt=
287  0x00009869 0x0040a469 4   5    .text   ascii   Y_^[
288  0x00009987 0x0040a587 4   5    .text   ascii   E\bSV
289  0x000099c5 0x0040a5c5 4   5    .text   ascii   ;p\bu
290  0x00009a56 0x0040a656 4   5    .text   ascii   09^\b
291  0x00009a97 0x0040a697 4   5    .text   ascii   ;s\bu
292  0x00009c05 0x0040a805 4   5    .text   ascii   ;P\bu
293  0x00009cb5 0x0040a8b5 4   5    .text   ascii   ;H\bu
294  0x00009dbf 0x0040a9bf 4   5    .text   ascii   ;P\bu
295  0x00009df7 0x0040a9f7 4   5    .text   ascii   E\bSV
296  0x00009e35 0x0040aa35 4   5    .text   ascii   ;p\bu
297  0x00009ec6 0x0040aac6 4   5    .text   ascii   09^\b
298  0x00009f07 0x0040ab07 4   5    .text   ascii   ;s\bu
299  0x0000a075 0x0040ac75 4   5    .text   ascii   ;P\bu
300  0x0000a12e 0x0040ad2e 4   5    .text   ascii   ;H\bu
301  0x0000a238 0x0040ae38 4   5    .text   ascii   ;P\bu
302  0x0000a25c 0x0040ae5c 4   5    .text   ascii   E\f^[
303  0x0000a29e 0x0040ae9e 4   6    .text   utf8    s%+ȃ blocks=Basic Latin,Latin Extended-B
304  0x0000a2e8 0x0040aee8 4   6    .text   utf8    u\b3ɋ blocks=Basic Latin,Latin Extended-B
305  0x0000a347 0x0040af47 4   5    .text   ascii   E\bSV
306  0x0000a385 0x0040af85 4   5    .text   ascii   ;p\bu
307  0x0000a416 0x0040b016 4   5    .text   ascii   09^\b
308  0x0000a457 0x0040b057 4   5    .text   ascii   ;s\bu
309  0x0000a5c5 0x0040b1c5 4   5    .text   ascii   ;P\bu
310  0x0000a67d 0x0040b27d 4   5    .text   ascii   ;H\bu
311  0x0000a787 0x0040b387 4   5    .text   ascii   ;P\bu
312  0x0000a7d0 0x0040b3d0 4   5    .text   ascii   PSVW
313  0x0000a838 0x0040b438 4   5    .text   ascii   Y_^[
314  0x0000a8d7 0x0040b4d7 4   5    .text   ascii   09^\b
315  0x0000a917 0x0040b517 4   5    .text   ascii   ;s\bu
316  0x0000aa85 0x0040b685 4   5    .text   ascii   ;P\bu
317  0x0000aafb 0x0040b6fb 4   5    .text   ascii   M\f_^
318  0x0000ab0b 0x0040b70b 4   5    .text   ascii   ;H\bu
319  0x0000ac15 0x0040b815 4   5    .text   ascii   ;P\bu
320  0x0000ac39 0x0040b839 4   5    .text   ascii   E\f_^
321  0x0000ac71 0x0040b871 4   5    .text   ascii   SVWP
322  0x0000adb0 0x0040b9b0 4   5    .text   ascii   u}8F
