[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
213   0x000045a5 0x110051a5 5   7    .text   utf8    \v݉\$8 blocks=Basic Latin,Syriac
214   0x000045dc 0x110051dc 5   7    .text   utf8    \v͉L$( blocks=Basic Latin,Combining Diacritical Marks
215   0x000045ee 0x110051ee 4   5    .text   ascii   L$8@
216   0x0000462a 0x1100522a 4   5    .text   ascii   T$(@
217   0x00004662 0x11005262 4   5    .text   ascii   t$H@
218   0x000046ba 0x110052ba 5   7    .text   utf8    \v݉\$$ blocks=Basic Latin,Syriac
219   0x000046cc 0x110052cc 4   5    .text   ascii   \$4@
220   0x0000470a 0x1100530a 4   5    .text   ascii   L$$@
221   0x000047a4 0x110053a4 4   5    .text   ascii   l$<@
222   0x000047df 0x110053df 4   5    .text   ascii   |$,@
223   0x00004819 0x11005419 6   8    .text   utf8    \v։T$T# blocks=Basic Latin,Armenian
224   0x00004889 0x11005489 5   7    .text   utf8    #މ\$` blocks=Basic Latin,Thaana
225   0x000048a9 0x110054a9 4   5    .text   ascii   \vT$`
226   0x000048f9 0x110054f9 5   7    .text   utf8    \vΉ\$` blocks=Basic Latin,Greek and Coptic
227   0x00004919 0x11005519 4   5    .text   ascii   \vL$`
228   0x00004989 0x11005589 4   5    .text   ascii   \vT$`
229   0x00004b18 0x11005718 4   5    .text   ascii   _^][
230   0x00004b1e 0x1100571e 7   9    .text   utf8    HËT$\bUW blocks=Basic Latin,Latin-1 Supplement
231   0x00004b77 0x11005777 5   6    .text   ascii   ~X[^_
232   0x00004b9f 0x1100579f 5   6    .text   ascii   D$0j@
233   0x00004bab 0x110057ab 4   5    .text   ascii   L$<+
234   0x00004bf2 0x110057f2 4   5    .text   ascii   \f[^_
235   0x00004bff 0x110057ff 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
236   0x00004d7c 0x1100597c 5   7    .text   utf8    \ËL$h blocks=Basic Latin,Latin-1 Supplement
