[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
265  0x00005fca 0x00406bca 5   7    .text   utf8    j\rX]Ë blocks=Basic Latin,Latin-1 Supplement
266  0x000060c0 0x00406cc0 4   5    .text   ascii   ;u\fr
267  0x00006107 0x00406d07 6   7    .text   ascii   uTVWh"
268  0x0000613c 0x00406d3c 6   7    .text   ascii   _^t\eh8
269  0x000061bf 0x00406dbf 5   9    .text   utf8    }ԉ]܉} blocks=Basic Latin,Cyrillic Supplement,Syriac
270  0x0000620a 0x00406e0a 6   10   .text   utf8    ]܉]ЉE؋ blocks=Basic Latin,Syriac,Cyrillic,Arabic
271  0x0000628e 0x00406e8e 4   5    .text   ascii   t\bj\b
272  0x0000630c 0x00406f0c 6   8    .text   utf8    3\vM\b;\f
273  0x00006345 0x00406f45 4   5    .text   ascii   u\bWV
274  0x000063ed 0x00406fed 5   6    .text   ascii   PPPPP
275  0x00006401 0x00407001 4   5    .text   ascii   <v*V
276  0x0000646e 0x0040706e 6   7    .text   ascii   ^SSSSS
277  0x0000648a 0x0040708a 6   8    .text   utf8    tA3\n\fG
278  0x0000649b 0x0040709b 5   6    .text   ascii   Gt\b@=
279  0x000065ea 0x004071ea 4   6    .text   utf8    F\ȿ@ blocks=Basic Latin,Latin Extended-B
280  0x0000666f 0x0040726f 4   5    .text   ascii   u\bj\r
281  0x00006790 0x00407390 5   7    .text   utf8    F\=ȿ@ blocks=Basic Latin,Latin Extended-B
282  0x000067f5 0x004073f5 4   5    .text   ascii   Y;=h
283  0x0000682e 0x0040742e 4   5    .text   ascii   u\bj\r
284  0x00006837 0x00407437 6   8    .text   utf8    YËu\bj\f blocks=Basic Latin,Latin-1 Supplement
285  0x000069eb 0x004075eb 4   5    .text   ascii   oV f
286  0x000069f0 0x004075f0 4   5    .text   ascii   o^0f
287  0x00006a08 0x00407608 4   5    .text   ascii   of@f
288  0x00006a0d 0x0040760d 4   5    .text   ascii   onPf
289  0x00006a12 0x00407612 4   5    .text   ascii   ov`f
290  0x00006a17 0x00407617 4   5    .text   ascii   o~pf
291  0x00006a84 0x00407684 5   6    .text   ascii   \aFGIu
292  0x00006a8a 0x0040768a 5   7    .text   utf8    X^_]ú blocks=Basic Latin,Latin-1 Supplement
293  0x00006aa6 0x004076a6 4   5    .text   ascii   FGIu
294  0x00006ae1 0x004076e1 5   6    .text   ascii   \rt\fHt
295  0x00006d1e 0x0040791e 4   5    .text   ascii   u\bj 
296  0x00006ec3 0x00407ac3 4   5    .text   ascii   s\f9U
297  0x00006fb4 0x00407bb4 5   6    .text   ascii   \b\b@Iu
298  0x0000702a 0x00407c2a 4   5    .text   ascii   E\b;C
299  0x00007241 0x00407e41 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
300  0x00007424 0x00408024 6   8    .text   utf8    Y_^[]Ë blocks=Basic Latin,Latin-1 Supplement
301  0x00007477 0x00408077 4   5    .text   ascii   j\fh@
302  0x00007490 0x00408090 4   5    .text   ascii   Fpt"
